GemeentecodeGM,Gemeentenaam,train_share_in_nl,has_tram_metro,buildings_total,arable_land_km2,number_of_vans_data,number_of_trucks_data,number_of_busses_data,greenhouse_scaled,arable_land_scaled,wet_biomass_potential,dry_biomass_potential,oily_biomass_potential,number_of_cars_data,total_land_area_km2,coast_line_km,households_roof_pv_potential,buildings_roof_pv_potential
GM0743,Asten,0,0,2627.249462,45.8798234,1488,103,2,0.009790721,0.002056979,0.241764765,0.152381229,0.010152375,9591,70.21132066,0,0.78238,2.687544
GM0744,Baarle-Nassau,0,0,1836.384846,62.80550473,694,41,4,0.000294091,0.002815826,0.209567004,0.067345904,0.004159983,4372,76.12456631,0,0.381167,1.120089
GM0308,Baarn,0.001617575,0,1914.763462,7.636063052,935,24,8,0,0.000342356,0.072502328,0.081635357,0.015047509,12562,32.54004941,0,0.769361,0.49923
GM0489,Barendrecht,0.002074139,1,1619.091308,3.472410553,2326,276,8,0.00123209,0.000155682,0.092845258,0.131095593,0.029571906,24077,19.57733227,0,1.256377,1.265111
GM0203,Barneveld,0.001842095,0,5377.359462,93.89116633,5966,396,46,0,0.004209523,0.330408501,0.463399497,0.035221025,30757,175.8365662,0,2.010101,4.418026
GM0888,Beek,0.000874322,0,964.4234615,13.09485451,811,61,1,0,0.000587096,0.046394812,0.045229136,0.009677868,9695,21.0690028,0,0.672705,0.609464
GM1954,Beekdaelen,0.000295005,0,2659.375,56.03787954,2074,154,1,0,0.002512406,0.128334669,0.123766429,0.021706398,22365,78.3013197,0,1.80541,0.94878
GM0889,Beesel,0.001093299,0,987.3658462,18.157155,548,41,0,0.000771363,0.000814059,0.064245334,0.043796327,0.008213642,7338,27.87794397,0,0.566964,0.650536
GM1945,Berg en Dal,0,0,2512.615385,49.71807691,1763,69,10,0.000141599,0.002229064,0.216687981,0.128199817,0.021126783,19031,86.38869894,0,1.327979,1.120208
GM1724,Bergeijk,0,0,2422.413077,61.66419384,1837,69,19,0,0.002764657,0.239272727,0.147741336,0.011234444,11303,101.0183518,0,0.991389,1.443895
GM0893,Bergen (L.),0,0,1912.560769,55.17481351,915,55,1,0.002917326,0.002473711,0.198580026,0.078750261,0.007983376,8123,103.2558619,0,0.667967,1.169862
GM0373,Bergen (NH.),0,0,3911.744769,41.80012027,1395,66,2,0,0.001874069,0.11733836,0.102250692,0.018211089,16520,98.99971178,20.29673402,1.295289,0.885486
GM0748,Bergen op Zoom,0.002103046,0,4369.417846,33.29388886,2726,241,42,0.002655109,0.0014927,0.393532235,0.197323576,0.040591881,33852,79.96980286,0,2.080057,2.877556
GM1859,Berkelland,0,0,5397.973923,211.591153,3014,195,7,0,0.009486492,0.650176884,0.235940505,0.026674439,25664,258.091756,0,2.2659,3.26428
GM1721,Bernheze,0,0,2267.381462,65.64880262,2975,202,3,0.000101837,0.002943303,0.324235659,0.240955903,0.018716581,17768,89.72636838,0,1.435826,2.021417
GM0753,Best,0.002015534,0,1559.406,14.80078737,1436,102,2,0,0.000663579,0.109654769,0.126497781,0.018118131,16148,33.8885951,0,1.026967,1.311613
GM0209,Beuningen,0,0,1742.630846,30.43871509,1253,88,0,0.000108758,0.001364691,0.099404342,0.083252581,0.015724941,14289,43.60427121,0,0.938264,0.8417
GM0375,Beverwijk,0.0016742,0,2305.528,3.896434837,2195,270,1,0,0.000174693,0.07621907,0.107829379,0.025017007,20145,18.35245327,1.200353602,0.971164,1.459417
GM0310,De Bilt,0.002171946,0,3042.517846,33.91529913,1807,107,0,0.000245145,0.001520561,0.147493279,0.138087969,0.026018271,21742,66.18774776,0,1.466315,1.035096
GM1728,Bladel,0,0,2166.017769,42.14405113,1926,141,2,0.00063624,0.001889489,0.209851136,0.123016639,0.01225758,12452,75.33398508,0,1.007337,1.757966
GM0376,Blaricum,0,0,489.1080769,3.323177236,388,27,0,0,0.000148992,0.023003791,0.032137314,0.006805919,7177,11.07316325,0,0.470748,0.13851
GM0377,Bloemendaal,0.001174078,0,1382.425692,4.218327032,478,6,0,0,0.000189125,0.058499526,0.070611708,0.014223046,12488,39.76713523,4.685847877,0.896033,0.316567
GM1901,Bodegraven-Reeuwijk,0.001189918,0,2185.065154,62.89034983,2587,223,13,0.000582308,0.00281963,0.316181057,0.109451535,0.020937831,17882,75.4036042,0,1.214437,1.286456
GM0755,Boekel,0,0,1368.881077,28.91791519,1165,56,1,0.001444352,0.001296508,0.145164499,0.063332835,0.006432875,6209,34.49920484,0,0.60129,1.153525
GM1681,Borger-Odoorn,0,0,3067.803231,213.1143855,2265,127,3,0,0.009554785,0.38689829,0.266312203,0.015415084,15982,274.6857022,0,1.449955,1.444594
GM0147,Borne,0.00011325,0,1553.869154,16.08234831,1225,77,7,0,0.000721037,0.068191568,0.06674801,0.014101533,12586,25.98992917,0,0.870596,0.575288
GM0654,Borsele,0,0,2050.568231,116.6388588,2322,139,36,0,0.005229394,0.412077752,0.125984232,0.013852433,13512,141.4713853,51.74009659,0.973272,1.872173
GM0757,Boxtel,0.002067804,0,2254.969385,39.67144999,2116,142,5,0.000610117,0.001778632,0.175566735,0.103611268,0.018680735,16841,69.01286061,0,1.273519,1.395412
GM0758,Breda,0.014866644,0,12424.08915,56.11720965,15376,423,31,0.007212788,0.002515963,0.442136814,0.494644198,0.111714402,148119,125.6917739,0,5.356542,6.372717
GM1876,Bronckhorst,0,0,5140.898231,226.6650035,3402,153,1,0.000175066,0.010162314,0.613532199,0.230553987,0.022001065,22460,283.5326899,0,1.95283,2.736593
GM0213,Brummen,0.000325099,0,1472.911077,57.7983253,1193,67,1,0,0.002591334,0.146415476,0.082156204,0.012575336,11886,83.62839585,0,0.796,1.053072
GM0899,Brunssum,0,0,2127.591615,1.768756428,1042,49,9,0,7.93E-05,0.0496528,0.075994737,0.017074338,15780,17.23943124,0,1.022871,0.694049
GM0312,Bunnik,0.00079473,0,937.1126154,28.23829033,882,40,15,0,0.001266037,0.092314968,0.051672101,0.009230095,7576,36.93030778,0,0.542781,0.609492
GM0313,Bunschoten,0,0,1182.973385,24.27138375,1549,217,0,0,0.001088185,0.096149907,0.061420414,0.013108776,10167,30.38872607,0,0.60326,0.845194
GM0214,Buren,0,0,2497.647846,114.6184477,2672,284,0,0.000302848,0.005138811,0.253289385,0.109254342,0.016141729,16537,133.5967614,0,1.295124,1.521877
GM0502,Capelle aan den IJssel,0.00076424,0,2958.348769,0.75160596,2593,97,4,0,3.37E-05,0.119651038,0.174023953,0.040596134,31332,14.14249361,0,1.330252,0.972373
GM0383,Castricum,0.002557234,0,1916.372538,22.99097266,1548,129,0,7.14E-05,0.001030779,0.151502056,0.104336447,0.021733738,18053,49.64256643,5.186662752,1.250343,0.683617
GM0109,Coevorden,0.000654158,0,5200.576231,229.7405003,2689,122,1,7.25E-05,0.010300201,0.554110241,0.212846906,0.021558152,20478,296.1138746,0,1.959397,2.336088
GM1706,Cranendonck,0.00049537,0,1909.268462,37.22619994,1689,87,0,0.00071106,0.001669002,0.160828878,0.086123765,0.012418584,12459,76.496415,0,0.974826,1.403877
GM0216,Culemborg,0.003105269,0,1606.412769,18.06899935,1211,156,2,0,0.000810107,0.085904843,0.081321026,0.017348957,14009,29.27160349,0,0.840364,1.023649
GM0148,Dalfsen,0.000454188,0,2936.061923,133.9654641,2612,233,127,0,0.006006217,0.381795394,0.179927093,0.017314933,17307,165.0193924,0,1.385018,2.073374
GM1891,Dantumadiel,0,0,1642.313077,69.90851853,1536,58,10,0.000179265,0.003134283,0.215118017,0.069162572,0.011496912,10509,84.59714521,0,0.978196,0.664049
GM0503,Delft,0.015530701,1,6739.799154,2.086308676,2529,106,1,0,9.35E-05,0.187995102,0.268071256,0.062678005,34212,22.66470574,0,1.810325,1.745903
GM0762,Deurne,0.001531648,0,3422.005385,74.74121599,2854,220,20,0.002519258,0.003350953,0.429564092,0.183482185,0.019661949,17766,116.758419,0,1.627183,3.102072
GM0150,Deventer,0.008510782,0,5761.523615,85.02104927,3583,171,748,0,0.003811839,0.390080315,0.347770519,0.060730159,47012,130.5633777,0,2.903937,3.089854
GM0384,Diemen,0.002366372,1,1204.588231,2.32595004,951,73,43,0,0.000104282,0.062426029,0.078655134,0.017738405,10737,11.94655609,0,0.562167,0.457436
GM1980,Dijk en Waard,0.001532836,0,3782.855538,32.63621231,4588,275,5,0.012775757,0.001463214,0.101565377,0.074479586,0.017006899,44840,61.89924476,0,2.673359,3.79087
GM1774,Dinkelland,0,0,2343.427615,142.7794855,2617,197,24,0.002383322,0.006401385,0.415177772,0.142745644,0.016009281,15457,175.7240731,0,1.378524,2.208843
GM0221,Doesburg,0,0,691.6485385,7.369777826,416,28,1,0,0.000330417,0.041844985,0.032357929,0.006773111,6066,11.55861289,0,0.361175,0.26326
GM0222,Doetinchem,0.003606183,0,4150.669462,49.56718604,3560,182,6,0.000247551,0.002222299,0.224822667,0.193408297,0.034968279,32465,79.04305888,0,1.996096,2.418197
GM0766,Dongen,0,0,1813.526615,19.97098816,1331,125,25,0.004261941,0.000895381,0.120900882,0.07351121,0.015827619,14868,29.23352464,0,1.12804,1.550517
GM0505,Dordrecht,0.008708771,0,6988.265385,27.78023834,6809,296,18,0.000385335,0.001245501,0.417769549,0.329418148,0.072089761,60837,77.55648952,0,2.604998,2.817677
GM0498,Drechterland,0.005106548,0,1681.727077,50.68844153,1571,101,4,0.002590568,0.002272569,0.123428543,0.061876527,0.011906409,10583,58.88488683,0,0.83245,1.49619
GM1719,Drimmelen,0.000342522,0,2215.244,66.90841446,2006,84,7,0.012638126,0.002999776,0.470123441,0.115479998,0.016495331,15610,95.05122536,0,1.070011,2.650059
GM0303,Dronten,0.001112702,0,2901.972846,264.1822981,2593,154,11,0,0.011844367,1.411988003,0.303691201,0.024797677,22910,333.6019604,0,1.491041,2.531373
GM0225,Druten,0,0,1560.842692,27.54079667,1322,99,2,0.000216848,0.001234766,0.119652481,0.064544694,0.011420359,10649,37.52108986,0,0.744628,0.756603
GM0226,Duiven,0.001292476,0,1110.925615,23.03709957,1113,159,0,0.000817936,0.001032847,0.0752663,0.075408715,0.015390782,13492,33.87941234,0,0.880543,1.26771
GM1711,Echt-Susteren,0.001162991,0,3265.570769,70.47152338,1969,138,16,0,0.003159525,0.238136231,0.132409361,0.019222073,19395,103.02283,0,1.625371,1.437355
GM0385,Edam-Volendam,0,0,1874.129462,43.91392219,2973,118,21,0,0.00196884,0.120892015,0.099381128,0.021932411,15856,54.32155217,0,1.201671,0.83432
GM0228,Ede,0.006076697,0,8319.983077,108.0405347,8561,849,22,0,0.004843897,0.514019098,0.659341561,0.070301096,61460,318.1451393,0,3.636138,5.46154
GM0317,Eemnes,0,0,623.6815385,25.35951219,742,46,0,0,0.00113697,0.04835138,0.029115339,0.00553672,5335,31.03868632,0,0.322899,0.254866
GM1979,Eemsdelta,0.001499177,0,6531.930231,225.5435601,2504,77,1,0,0.010112035,0.63648366,0.358628798,0.027978876,24198,268.0701145,91.19826738,2.531728,2.402362
GM0770,Eersel,0,0,2051.941154,49.94711243,1709,114,1,0,0.002239332,0.244050611,0.148804863,0.011610526,11707,82.46634757,0,0.989462,1.275687
GM1903,Eijsden-Margraten,6.34E-05,0,2064.474,60.62053858,1386,130,2,0,0.002717865,0.153981324,0.095060104,0.015588847,15129,77.55693168,0,1.295416,0.954296
GM0772,Eindhoven,0.026696524,0,13911.80869,12.94354654,8986,1533,22,6.71E-05,0.000580312,0.402680141,0.614950744,0.140737071,104234,88.01558927,0,6.25857,6.323452
GM0230,Elburg,0.000476363,0,1883.280077,29.47834506,1579,74,0,0,0.001321634,0.098845995,0.086079864,0.014026196,12668,63.81582231,0,0.772855,0.9109
GM0114,Emmen,0.001222784,0,8360.906385,234.602034,6749,397,5,0.02057955,0.010518163,0.706690169,0.443555329,0.065077878,58987,335.3316443,0,4.758685,6.926678
GM0388,Enkhuizen,0.000636339,0,1181.879,6.838101979,908,25,0,0.001535403,0.00030658,0.046223852,0.051056048,0.011244165,8436,12.6644444,0,0.582613,0.795203
GM0153,Enschede,0.003457691,0,10203.40369,68.37285914,5791,511,2,0.000104423,0.003065433,0.374643825,0.461455061,0.096593985,70551,140.7280983,0,4.760136,4.48686
GM0232,Epe,0,0,3261.405462,68.19526958,2358,136,0,0.000203967,0.003057471,0.207689358,0.19227472,0.02013767,19091,156.1212696,0,1.297462,1.676272
GM0233,Ermelo,0.000882638,0,3627.969154,19.84507044,1596,207,5,8.74E-05,0.000889735,0.108418483,0.114719081,0.016317923,14211,85.63607443,0,1.016849,1.314614
GM0777,Etten-Leur,0.001161803,0,2277.826385,37.97576709,2084,217,4,0.00618157,0.001702608,0.169810439,0.126622679,0.026595456,22913,55.29171622,0,1.435839,3.027892
GM1940,De Fryske Marren,0,0,7905.810769,291.766255,4399,224,23,1.95E-05,0.013081068,1.496436485,0.259569015,0.031246957,29481,351.2101566,0,2.933939,2.612817
GM0779,Geertruidenberg,0,0,1208.889923,15.98240686,1245,59,4,0.000278635,0.000716556,0.116463282,0.086890726,0.013071714,11974,26.59730194,0,0.713107,1.30769
GM1771,Geldrop-Mierlo,0.000595949,0,2247.619462,10.3930796,2380,115,7,0,0.000465964,0.101357442,0.113275294,0.024056451,22240,31.01449722,0,1.405347,1.147656
GM1652,Gemert-Bakel,0,0,4033.983462,77.69856572,2712,208,4,0.001018133,0.003483543,0.407996982,0.202654158,0.018498466,17310,122.0654701,0,1.490025,2.584671
GM0907,Gennep,0,0,1644.621692,31.75476585,972,117,0,9.27E-05,0.001423695,0.10980504,0.081326858,0.010371705,9799,47.56814255,0,0.732774,1.151501
GM0784,Gilze en Rijen,0.001776759,0,2081.477154,36.55457305,1518,98,1,0.000684433,0.00163889,0.163312125,0.119896365,0.016058493,14443,65.38320355,0,0.989994,1.630209
GM1924,Goeree-Overflakkee,0,0,6090.464154,180.3295851,3716,197,79,0.002446214,0.008084909,0.883777953,0.210230754,0.0301418,28379,262.2018841,43.96854475,1.86798,2.70871
GM0664,Goes,0.002291136,0,3435.760462,69.32528736,2483,130,1,0,0.003108135,0.285474789,0.147211242,0.022876564,21617,92.47549092,3.120173305,1.348652,1.380722
GM0785,Goirle,0,0,1468.072,24.55002497,1146,85,2,0,0.001100677,0.112699652,0.090162339,0.014455743,12645,42.97391188,0,0.912349,0.787101
GM1942,Gooise Meren,0.00495568,0,3895.219385,13.22276261,1838,47,0,0,0.00059283,0.181605819,0.158361678,0.035065489,29412,41.43441052,0,1.724145,1.009728
GM0512,Gorinchem,0.000657326,0,2630.927077,7.113999271,1901,97,5,0,0.00031895,0.086850655,0.099069369,0.02228662,17719,18.71369878,0,0.873332,1.153151
GM0513,Gouda,0.012169234,0,4767.488462,2.984848364,2498,94,3,0,0.000133823,0.132139149,0.184149912,0.044462056,29676,16.4988463,0,1.604982,1.180514
GM0518,'s-Gravenhage,0.053455216,1,29826.91846,1.767539343,20724,486,156,0.000583187,7.92E-05,0.87632155,1.347863809,0.326767344,203451,82.44174336,12.52226543,9.800414,5.936362
GM0014,Groningen,0.008573346,0,14752.96423,107.7758644,11095,412,308,7.38E-05,0.00483203,0.399862428,0.537288804,0.12383285,97287,185.525439,0,5.914107,4.680075
GM1729,Gulpen-Wittem,0,0,1833.179538,58.41734902,750,45,2,0,0.002619087,0.113684807,0.072989695,0.00865534,8458,73.18076681,0,0.746127,0.463325
GM0158,Haaksbergen,0,0,2404.442231,71.19372904,1631,86,0,0,0.003191904,0.257756656,0.108370593,0.014749803,13663,104.7810176,0,1.013607,1.55369
GM0392,Haarlem,0.015902922,0,8766.037846,4.094947907,5030,247,95,6.62E-05,0.000183593,0.289080847,0.407501419,0.097978621,64102,29.21216346,0,3.629916,2.398528
GM0394,Haarlemmermeer,0.039426068,0,7073.975846,115.1433619,20457,1098,44,0.010920587,0.005162345,0.46114545,0.473166945,0.089960614,126589,197.2147668,0,4.345982,8.122333
GM1655,Halderberge,0.000412214,0,2523.985923,57.75697204,1955,135,8,0.002106971,0.00258948,0.247417519,0.104187797,0.018344752,17657,74.44324677,0,1.301757,2.089246
GM0160,Hardenberg,0.001343162,0,5998.986,254.7302925,4799,339,1,4.44E-05,0.011420595,0.691031424,0.412431931,0.036802511,34363,312.1595526,0,2.622064,4.028906
GM0243,Harderwijk,0.001977124,0,2949.930385,8.41312407,2459,124,1,0.000280611,0.000377195,0.095394836,0.136117135,0.028908447,23473,38.92496363,0,1.344503,1.524939
GM0523,Hardinxveld-Giessendam,0.000494578,0,832.1070769,10.77703809,1420,115,16,0,0.000483178,0.067055028,0.048973348,0.010967117,8979,16.8577263,0,0.507454,0.603502
GM0072,Harlingen,0.00083512,0,1262.294385,16.64318145,962,67,3,0,0.000746182,0.075143256,0.047885,0.009573975,7605,24.961535,361.8309267,0.591365,0.661455
GM0244,Hattem,0,0,830.2786154,12.48528372,564,30,0,0,0.000559766,0.047496669,0.037899229,0.007395862,6399,23.06923338,0,0.46234,0.325746
GM0396,Heemskerk,0.00090996,0,1991.956,6.669901384,1559,49,1,0.00162562,0.000299039,0.077706147,0.110343573,0.023794591,19366,27.27126141,3.971840414,1.03845,0.865053
GM0397,Heemstede,0.002477642,0,1671.331769,1.501810272,523,52,0,0.000124031,6.73E-05,0.050883183,0.07052604,0.01657796,13628,9.171709936,0,0.831,0.402394
GM0246,Heerde,0,0,1442.858385,39.61348423,1204,75,4,0.000379483,0.001776034,0.117206743,0.083847732,0.01126786,10621,78.54522212,0,0.751312,0.878128
GM0074,Heerenveen,0.004813919,0,5742.332308,146.1550137,3258,321,1180,0,0.006552724,0.502009306,0.23204634,0.030534286,27468,189.9662128,0,2.290272,2.360181
GM0917,Heerlen,0.001077459,0,6635.554385,7.808009799,3225,248,8,0,0.000350065,0.160563183,0.258561995,0.052755896,45757,44.90635255,0,2.74654,2.526463
GM1658,Heeze-Leende,0.001618367,0,1744.827154,44.36095318,1169,58,3,0,0.001988882,0.206425222,0.127966843,0.009699133,9702,103.9230461,0,0.812588,0.971783
GM0399,Heiloo,0.000280749,0,1213.537846,9.55121605,881,47,1,0.000302229,0.00042822,0.054586765,0.063384462,0.014255854,12107,18.70540084,0,0.808728,0.479385
GM0400,Den Helder,0.001918123,0,5100.256846,17.20185698,2107,67,10,0,0.000771229,0.138427814,0.154488539,0.033782924,26441,45.10239666,131.4515598,1.734834,1.62707
GM0163,Hellendoorn,0.001233475,0,3387.506231,81.58462449,2174,105,8,0,0.003657771,0.300837787,0.178835774,0.02175561,20609,137.9311319,0,1.397903,1.902855
GM0794,Helmond,0.001699939,0,4925.321462,14.93424421,4308,215,13,0.00199655,0.000669563,0.198090987,0.252590168,0.055606581,46215,53.16647863,0,2.899962,3.349649
GM0531,Hendrik-Ido-Ambacht,0,0,885.5633846,2.347781911,1047,25,0,0.001790113,0.000105261,0.053183467,0.078222006,0.018813791,15048,10.18665961,0,0.722869,0.652504
GM0164,Hengelo,0.024883335,0,5438.824462,25.26608664,4390,267,9,7.51E-05,0.001132781,0.178553177,0.219712023,0.049019992,49781,60.841271,0,2.661354,2.677392
GM0796,'s-Hertogenbosch,0.002032561,0,10230.29769,54.35058804,8574,714,7,0.000205939,0.002436758,0.472277602,0.426963214,0.093689227,84703,109.483253,0,4.641193,4.244602
GM0252,Heumen,0,0,1056.626077,23.25388433,726,43,15,0,0.001042566,0.086056422,0.057017617,0.010016281,8904,39.72860371,0,0.683947,0.605724
GM0797,Heusden,0,0,3349.858,46.08251552,2861,175,3,0.006681035,0.002066067,0.181275855,0.147775615,0.026814786,25750,78.85616384,0,1.733067,2.748035
GM0534,Hillegom,0.009876118,0,1299.629846,7.463428926,1142,102,0,0.00071125,0.000334616,0.047570256,0.055402552,0.013345725,11957,12.85513697,0,0.632717,0.844834
GM0798,Hilvarenbeek,0,0,1976.714769,56.57951231,1450,129,1,0.000135994,0.00253669,0.318382809,0.103627093,0.009316369,9322,94.86681139,0,0.819415,1.33197
GM0402,Hilversum,0.003882972,0,5488.440231,5.70288295,3190,107,1414,0,0.000255683,0.173437449,0.23919425,0.054825255,41060,45.60986153,0,2.354859,1.698287
GM1963,Hoeksche Waard,0,0,5020.133538,213.9738436,5521,319,22,0.005033221,0.009593318,0.882084864,0.335280938,0.052648965,48613,268.5400092,0,3.008789,3.6596
GM1735,Hof van Twente,0,0,3586.622308,156.8579479,2569,107,18,0,0.00703258,0.498841974,0.282012559,0.021228246,20660,212.4329667,0,1.589063,3.002939
GM1966,Het Hogeland,0.002362016,0,8630.407462,385.2723773,3350,115,8,0.000585775,0.017273328,5.991852324,0.392528427,0.030041552,25586,476.7432599,408.5158815,3.295705,2.993022
GM1911,Hollands Kroon,0.000630399,0,6468.533077,316.6373514,4574,443,21,0.027047458,0.01419614,0.964574202,0.285741948,0.029050617,27912,357.632398,178.4880129,2.41223,7.539034
GM0118,Hoogeveen,0.000383308,0,4732.607308,87.70657019,3998,204,28,0,0.003932242,0.2697837,0.19755345,0.033818163,29044,127.5436188,0,2.114922,2.411389
GM0405,Hoorn,0.002490709,0,4075.745231,2.33575244,4814,183,0,7.56E-05,0.000104721,0.124219336,0.187669365,0.044354517,34648,20.374905,0,2.006997,1.491801
GM1507,Horst aan de Maas,0.002413493,0,5769.015615,130.8415333,2943,269,24,0.024411884,0.005866158,0.44179165,0.250390729,0.02569444,25862,188.6749322,0,2.292213,7.16927
GM0321,Houten,0.001983064,0,2266.346154,38.75806921,8749,163,1,0.00204701,0.001737682,0.177225542,0.149558349,0.030324069,73318,54.90155704,0,1.444235,1.449055
GM0406,Huizen,0,0,1654.201615,1.088568173,1553,38,0,0,4.88E-05,0.07308148,0.109524012,0.025075941,22066,15.81048947,0,1.180206,0.526335
GM0677,Hulst,0,0,1931.248385,154.193004,1539,102,1,0,0.0069131,0.788609254,0.169795897,0.01672256,16652,201.2617546,47.28585368,1.339219,1.58021
GM0353,IJsselstein,0,1,1304.792077,13.12699997,1335,67,0,0,0.000588537,0.085100249,0.090055594,0.020754347,15587,21.01151466,0,0.905054,0.622776
GM1884,Kaag en Braassem,0,0,2833.805846,53.80373046,1888,183,0,0.010391774,0.00241224,0.253185934,0.085713416,0.016322783,15061,63.1346502,0,1.011751,2.192972
GM0166,Kampen,0.000638319,0,4384.208462,112.652767,3209,195,0,0.008071479,0.005050682,0.419517923,0.187949388,0.032674122,24565,141.2331602,0,1.799342,3.087253
GM0678,Kapelle,0.000380932,0,1066.284846,27.76302217,909,39,30,0.005622019,0.001244729,0.111272019,0.04871986,0.007767691,7227,37.13450101,11.51402111,0.485679,1.430559
GM0537,Katwijk,0,0,3856.803077,6.184724558,3027,486,19,0.007001373,0.000277286,0.121642973,0.164886791,0.039675068,27215,24.80667936,4.787786229,1.548098,2.374806
GM0928,Kerkrade,0,0,3076.290462,3.700635537,1711,104,21,0,0.000165915,0.084247534,0.127466626,0.027730383,24608,21.90852598,0,1.632694,1.349664
GM1598,Koggenland,0.00042251,0,1588.491923,69.45728885,2220,168,3,0.003821823,0.003114053,0.234312673,0.076284793,0.013814764,12898,80.25539429,0,0.935538,1.602777
GM0542,Krimpen aan den IJssel,0,0,1294.239385,0.413306701,1029,98,0,0,1.85E-05,0.056162529,0.075603823,0.017847766,13987,7.6736574,0,0.753756,0.534513
GM1931,Krimpenerwaard,0,0,3242.478385,128.3242206,4194,288,0,0,0.005753297,0.416144936,0.182095895,0.034052682,28953,148.3199793,0,1.812482,2.067755
GM1659,Laarbeek,0,0,3841.986923,38.44243661,1703,168,0,0.002548341,0.001723531,0.17067015,0.101942701,0.013568701,12970,55.3511207,0,0.969573,1.706577
GM1982,Land van Cuijk,0.002792841,0,10168.62777,252.3529942,5881,614,13,0.001887573,0.011314011,0.430550136,0.107650119,0.007051374,52033,341.2622239,0,3.960186,6.809434
GM0882,Landgraaf,0,0,2215.968538,7.43895641,1438,93,0,0,0.000333519,0.070357422,0.106601089,0.022838895,21428,24.58345799,0,1.451904,0.736203
GM0415,Landsmeer,0,0,567.7246923,15.15217613,539,13,1,0,0.000679334,0.101037833,0.031844013,0.006979682,5678,22.43872031,0,0.372406,0.215509
GM1621,Lansingerland,0,0,2816.791769,29.46449712,3557,340,6,0.075475284,0.001321013,0.157113565,0.16405134,0.037426478,32099,53.27243562,0,1.730338,11.350783
