key,query
transport_road_mixer_compressed_network_gas_transport_bus_using_compressed_natural_gas_parent_share,mq_transport_road_mixer_compressed_network_gas_transport_bus_using_compressed_natural_gas_parent_share
transport_road_mixer_compressed_network_gas_transport_car_using_compressed_natural_gas_parent_share,mq_transport_road_mixer_compressed_network_gas_transport_car_using_compressed_natural_gas_parent_share
transport_road_mixer_compressed_network_gas_transport_van_using_compressed_natural_gas_parent_share,mq_transport_road_mixer_compressed_network_gas_transport_van_using_compressed_natural_gas_parent_share
transport_road_mixer_compressed_network_gas_transport_truck_using_compressed_natural_gas_parent_share,mq_transport_road_mixer_compressed_network_gas_transport_truck_using_compressed_natural_gas_parent_share
input_transport_road_car_hydrogen_share,mq_input_transport_road_car_hydrogen_share
transport_final_demand_for_road_hydrogen_transport_van_using_hydrogen_parent_share,mq_transport_final_demand_for_road_hydrogen_transport_van_using_hydrogen_parent_share
transport_final_demand_for_road_hydrogen_transport_bus_using_hydrogen_parent_share,mq_transport_final_demand_for_road_hydrogen_transport_bus_using_hydrogen_parent_share
transport_final_demand_for_road_hydrogen_transport_truck_using_hydrogen_parent_share,mq_transport_final_demand_for_road_hydrogen_transport_truck_using_hydrogen_parent_share
transport_road_mixer_lng_transport_bus_using_lng_mix_parent_share,mq_transport_road_mixer_lng_transport_bus_using_lng_mix_parent_share
transport_road_mixer_lng_transport_truck_using_lng_mix_parent_share,mq_transport_road_mixer_lng_transport_truck_using_lng_mix_parent_share
transport_final_demand_for_road_lpg_transport_car_using_lpg_parent_share,mq_transport_final_demand_for_road_lpg_transport_car_using_lpg_parent_share
transport_final_demand_for_road_lpg_transport_van_using_lpg_parent_share,mq_transport_final_demand_for_road_lpg_transport_van_using_lpg_parent_share
input_industry_aluminium_electrolysis_current_electricity_share,mq_input_industry_aluminium_electrolysis_current_electricity_share
input_industry_aluminium_smeltoven_electricity_share,mq_input_industry_aluminium_smeltoven_electricity_share
industry_final_demand_for_metal_aluminium_electricity_industry_aluminium_electrolysis_current_electricity_parent_share,mq_industry_final_demand_for_metal_aluminium_electricity_industry_aluminium_electrolysis_current_electricity_parent_share
industry_final_demand_for_metal_aluminium_electricity_industry_aluminium_smeltoven_electricity_parent_share,mq_industry_final_demand_for_metal_aluminium_electricity_industry_aluminium_smeltoven_electricity_parent_share
industry_aluminium_burner_network_gas_industry_aluminium_electrolysis_current_electricity_parent_share,mq_industry_aluminium_burner_network_gas_industry_aluminium_electrolysis_current_electricity_parent_share
industry_aluminium_burner_network_gas_industry_aluminium_smeltoven_electricity_parent_share,mq_industry_aluminium_burner_network_gas_industry_aluminium_smeltoven_electricity_parent_share
industry_final_demand_for_other_food_electricity_industry_useful_demand_for_other_food_electricity_parent_share,mq_industry_final_demand_for_other_food_electricity_industry_useful_demand_for_other_food_electricity_parent_share
industry_final_demand_for_other_food_electricity_industry_other_food_heater_electricity_parent_share,mq_industry_final_demand_for_other_food_electricity_industry_other_food_heater_electricity_parent_share
input_share_mixer_gas_fuel_bio_oil,mq_input_share_mixer_gas_fuel_bio_oil
input_share_mixer_gas_fuel_oil,mq_input_share_mixer_gas_fuel_oil
input_share_mixer_gas_fuel_network_gas,mq_input_share_mixer_gas_fuel_network_gas
industry_final_demand_for_other_paper_electricity_industry_useful_demand_for_other_paper_electricity_parent_share,mq_industry_final_demand_for_other_paper_electricity_industry_useful_demand_for_other_paper_electricity_parent_share
industry_final_demand_for_other_paper_electricity_industry_other_paper_heater_electricity_parent_share,mq_industry_final_demand_for_other_paper_electricity_industry_other_paper_heater_electricity_parent_share
input_industry_steel_blastfurnace_bof_share,mq_input_industry_steel_blastfurnace_bof_share
input_industry_steel_scrap_hbi_eaf_share,mq_input_industry_steel_scrap_hbi_eaf_share
industry_final_demand_for_metal_steel_coal_industry_steel_blastfurnace_bof_parent_share,mq_industry_final_demand_for_metal_steel_coal_industry_steel_blastfurnace_bof_parent_share
industry_final_demand_for_metal_steel_coal_industry_steel_scrap_hbi_eaf_parent_share,mq_industry_final_demand_for_metal_steel_coal_industry_steel_scrap_hbi_eaf_parent_share
industry_final_demand_for_metal_steel_cokes_industry_steel_blastfurnace_bof_parent_share,mq_industry_final_demand_for_metal_steel_cokes_industry_steel_blastfurnace_bof_parent_share
industry_final_demand_for_metal_steel_cokes_industry_steel_scrap_hbi_eaf_parent_share,mq_industry_final_demand_for_metal_steel_cokes_industry_steel_scrap_hbi_eaf_parent_share
industry_final_demand_for_metal_steel_crude_oil_industry_steel_blastfurnace_bof_parent_share,mq_industry_final_demand_for_metal_steel_crude_oil_industry_steel_blastfurnace_bof_parent_share
industry_final_demand_for_metal_steel_crude_oil_industry_steel_scrap_hbi_eaf_parent_share,mq_industry_final_demand_for_metal_steel_crude_oil_industry_steel_scrap_hbi_eaf_parent_share
industry_final_demand_for_metal_steel_electricity_industry_steel_blastfurnace_bof_parent_share,mq_industry_final_demand_for_metal_steel_electricity_industry_steel_blastfurnace_bof_parent_share
industry_final_demand_for_metal_steel_electricity_industry_steel_scrap_hbi_eaf_parent_share,mq_industry_final_demand_for_metal_steel_electricity_industry_steel_scrap_hbi_eaf_parent_share
industry_final_demand_for_metal_steel_network_gas_industry_steel_blastfurnace_bof_parent_share,mq_industry_final_demand_for_metal_steel_network_gas_industry_steel_blastfurnace_bof_parent_share
industry_final_demand_for_metal_steel_network_gas_industry_steel_scrap_hbi_eaf_parent_share,mq_industry_final_demand_for_metal_steel_network_gas_industry_steel_scrap_hbi_eaf_parent_share
industry_final_demand_for_metal_steel_steam_hot_water_industry_steel_blastfurnace_bof_parent_share,mq_industry_final_demand_for_metal_steel_steam_hot_water_industry_steel_blastfurnace_bof_parent_share
industry_final_demand_for_metal_steel_steam_hot_water_industry_steel_scrap_hbi_eaf_parent_share,mq_industry_final_demand_for_metal_steel_steam_hot_water_industry_steel_scrap_hbi_eaf_parent_share
industry_final_demand_for_metal_steel_wood_pellets_industry_steel_blastfurnace_bof_parent_share,mq_industry_final_demand_for_metal_steel_wood_pellets_industry_steel_blastfurnace_bof_parent_share
industry_final_demand_for_metal_steel_wood_pellets_industry_steel_scrap_hbi_eaf_parent_share,mq_industry_final_demand_for_metal_steel_wood_pellets_industry_steel_scrap_hbi_eaf_parent_share
lv_net_total_costs_present,lv_net_total_costs_present_distributed
mv_net_total_costs_present,mv_net_total_costs_present_distributed
hv_net_total_costs_present,hv_net_total_costs_present_distributed
lv_mv_trafo_total_costs_present,lv_mv_trafo_total_costs_present_distributed
mv_hv_trafo_total_costs_present,mv_hv_trafo_total_costs_present_distributed
offshore_net_costs_present,zero
interconnection_net_costs_present,zero
annual_infrastructure_cost_gas,annual_infrastructure_cost_gas_distributed
file_carriers_natural_gas_co2_conversion_per_mj,mq_file_carriers_natural_gas_co2_conversion_per_mj
file_carriers_crude_oil_co2_conversion_per_mj,mq_file_carriers_crude_oil_co2_conversion_per_mj
file_carriers_coal_co2_conversion_per_mj,mq_file_carriers_coal_co2_conversion_per_mj
file_carriers_lignite_co2_conversion_per_mj,mq_file_carriers_lignite_co2_conversion_per_mj
file_carriers_non_biogenic_waste_co2_conversion_per_mj,mq_file_carriers_non_biogenic_waste_co2_conversion_per_mj
file_carriers_propane_co2_conversion_per_mj,mq_file_carriers_propane_co2_conversion_per_mj
file_carriers_diesel_co2_conversion_per_mj,mq_file_carriers_diesel_co2_conversion_per_mj
file_carriers_gasoline_co2_conversion_per_mj,mq_file_carriers_gasoline_co2_conversion_per_mj
file_carriers_heavy_fuel_oil_co2_conversion_per_mj,mq_file_carriers_heavy_fuel_oil_co2_conversion_per_mj
file_carriers_kerosene_co2_conversion_per_mj,mq_file_carriers_kerosene_co2_conversion_per_mj
file_carriers_lng_co2_conversion_per_mj,mq_file_carriers_lng_co2_conversion_per_mj
file_carriers_lpg_co2_conversion_per_mj,mq_file_carriers_lpg_co2_conversion_per_mj
file_carriers_imported_electricity_co2_conversion_per_mj,mq_file_carriers_imported_electricity_co2_conversion_per_mj
file_carriers_imported_heat_co2_conversion_per_mj,mq_file_carriers_imported_heat_co2_conversion_per_mj
file_carriers_imported_hydrogen_co2_conversion_per_mj,mq_file_carriers_imported_hydrogen_co2_conversion_per_mj
file_carriers_imported_ammonia_co2_conversion_per_mj,mq_file_carriers_imported_ammonia_co2_conversion_per_mj
input_energy_power_supercritical_coal_electricity_output_conversion,mq_input_energy_power_supercritical_coal_electricity_output_conversion
input_energy_power_ultra_supercritical_coal_electricity_output_conversion,mq_input_energy_power_ultra_supercritical_coal_electricity_output_conversion
input_energy_power_ultra_supercritical_ccs_coal_electricity_output_conversion,mq_input_energy_power_ultra_supercritical_ccs_coal_electricity_output_conversion
input_energy_power_ultra_supercritical_cofiring_coal_electricity_output_conversion,mq_input_energy_power_ultra_supercritical_cofiring_coal_electricity_output_conversion
input_energy_power_combined_cycle_coal_electricity_output_conversion,mq_input_energy_power_combined_cycle_coal_electricity_output_conversion
input_energy_power_combined_cycle_ccs_coal_electricity_output_conversion,mq_input_energy_power_combined_cycle_ccs_coal_electricity_output_conversion
input_energy_power_ultra_supercritical_lignite_electricity_output_conversion,mq_input_energy_power_ultra_supercritical_lignite_electricity_output_conversion
input_energy_power_ultra_supercritical_oxyfuel_ccs_lignite_electricity_output_conversion,mq_input_energy_power_ultra_supercritical_oxyfuel_ccs_lignite_electricity_output_conversion
input_energy_chp_ultra_supercritical_cofiring_coal_electricity_output_conversion,mq_input_energy_chp_ultra_supercritical_cofiring_coal_electricity_output_conversion
input_energy_chp_ultra_supercritical_cofiring_coal_steam_hot_water_output_conversion,mq_input_energy_chp_ultra_supercritical_cofiring_coal_steam_hot_water_output_conversion
input_energy_chp_ultra_supercritical_coal_electricity_output_conversion,mq_input_energy_chp_ultra_supercritical_coal_electricity_output_conversion
input_energy_chp_ultra_supercritical_coal_steam_hot_water_output_conversion,mq_input_energy_chp_ultra_supercritical_coal_steam_hot_water_output_conversion
input_industry_chp_ultra_supercritical_coal_electricity_output_conversion,mq_input_industry_chp_ultra_supercritical_coal_electricity_output_conversion
input_industry_chp_ultra_supercritical_coal_steam_hot_water_output_conversion,mq_input_industry_chp_ultra_supercritical_coal_steam_hot_water_output_conversion
input_energy_chp_ultra_supercritical_lignite_electricity_output_conversion,mq_input_energy_chp_ultra_supercritical_lignite_electricity_output_conversion
input_energy_chp_ultra_supercritical_lignite_steam_hot_water_output_conversion,mq_input_energy_chp_ultra_supercritical_lignite_steam_hot_water_output_conversion
input_energy_power_turbine_network_gas_electricity_output_conversion,mq_input_energy_power_turbine_network_gas_electricity_output_conversion
input_energy_power_combined_cycle_network_gas_electricity_output_conversion,mq_input_energy_power_combined_cycle_network_gas_electricity_output_conversion
input_energy_power_combined_cycle_ccs_network_gas_electricity_output_conversion,mq_input_energy_power_combined_cycle_ccs_network_gas_electricity_output_conversion
input_energy_power_ultra_supercritical_network_gas_electricity_output_conversion,mq_input_energy_power_ultra_supercritical_network_gas_electricity_output_conversion
input_energy_power_engine_network_gas_electricity_output_conversion,mq_input_energy_power_engine_network_gas_electricity_output_conversion
input_energy_chp_combined_cycle_network_gas_electricity_output_conversion,mq_input_energy_chp_combined_cycle_network_gas_electricity_output_conversion
input_energy_chp_combined_cycle_network_gas_steam_hot_water_output_conversion,mq_input_energy_chp_combined_cycle_network_gas_steam_hot_water_output_conversion
input_energy_chp_local_engine_network_gas_electricity_output_conversion,mq_input_energy_chp_local_engine_network_gas_electricity_output_conversion
input_energy_chp_local_engine_network_gas_steam_hot_water_output_conversion,mq_input_energy_chp_local_engine_network_gas_steam_hot_water_output_conversion
input_industry_chp_engine_gas_power_fuelmix_electricity_output_conversion,mq_input_industry_chp_engine_gas_power_fuelmix_electricity_output_conversion
input_industry_chp_engine_gas_power_fuelmix_steam_hot_water_output_conversion,mq_input_industry_chp_engine_gas_power_fuelmix_steam_hot_water_output_conversion
input_agriculture_chp_engine_network_gas_dispatchable_electricity_output_conversion,mq_input_agriculture_chp_engine_network_gas_dispatchable_electricity_output_conversion
input_agriculture_chp_engine_network_gas_dispatchable_steam_hot_water_output_conversion,mq_input_agriculture_chp_engine_network_gas_dispatchable_steam_hot_water_output_conversion
input_industry_chp_turbine_gas_power_fuelmix_electricity_output_conversion,mq_input_industry_chp_turbine_gas_power_fuelmix_electricity_output_conversion
input_industry_chp_turbine_gas_power_fuelmix_steam_hot_water_output_conversion,mq_input_industry_chp_turbine_gas_power_fuelmix_steam_hot_water_output_conversion
input_industry_chp_combined_cycle_gas_power_fuelmix_electricity_output_conversion,mq_input_industry_chp_combined_cycle_gas_power_fuelmix_electricity_output_conversion
input_industry_chp_combined_cycle_gas_power_fuelmix_steam_hot_water_output_conversion,mq_input_industry_chp_combined_cycle_gas_power_fuelmix_steam_hot_water_output_conversion
input_energy_power_ultra_supercritical_crude_oil_electricity_output_conversion,mq_input_energy_power_ultra_supercritical_crude_oil_electricity_output_conversion
input_energy_power_engine_diesel_electricity_output_conversion,mq_input_energy_power_engine_diesel_electricity_output_conversion
input_energy_power_supercritical_waste_mix_electricity_output_conversion,mq_input_energy_power_supercritical_waste_mix_electricity_output_conversion
input_energy_power_supercritical_ccs_waste_mix_electricity_output_conversion,mq_input_energy_power_supercritical_ccs_waste_mix_electricity_output_conversion
input_energy_power_nuclear_gen2_uranium_oxide_electricity_output_conversion,mq_input_energy_power_nuclear_gen2_uranium_oxide_electricity_output_conversion
input_energy_power_nuclear_gen3_uranium_oxide_electricity_output_conversion,mq_input_energy_power_nuclear_gen3_uranium_oxide_electricity_output_conversion
input_energy_chp_local_wood_pellets_electricity_output_conversion,mq_input_energy_chp_local_wood_pellets_electricity_output_conversion
input_energy_chp_local_wood_pellets_steam_hot_water_output_conversion,mq_input_energy_chp_local_wood_pellets_steam_hot_water_output_conversion
input_industry_chp_wood_pellets_electricity_output_conversion,mq_input_industry_chp_wood_pellets_electricity_output_conversion
input_industry_chp_wood_pellets_steam_hot_water_output_conversion,mq_input_industry_chp_wood_pellets_steam_hot_water_output_conversion
input_agriculture_chp_wood_pellets_electricity_output_conversion,mq_input_agriculture_chp_wood_pellets_electricity_output_conversion
input_agriculture_chp_wood_pellets_steam_hot_water_output_conversion,mq_input_agriculture_chp_wood_pellets_steam_hot_water_output_conversion
input_energy_chp_local_engine_biogas_electricity_output_conversion,mq_input_energy_chp_local_engine_biogas_electricity_output_conversion
input_energy_chp_local_engine_biogas_steam_hot_water_output_conversion,mq_input_energy_chp_local_engine_biogas_steam_hot_water_output_conversion
input_agriculture_chp_engine_biogas_electricity_output_conversion,mq_input_agriculture_chp_engine_biogas_electricity_output_conversion
input_agriculture_chp_engine_biogas_steam_hot_water_output_conversion,mq_input_agriculture_chp_engine_biogas_steam_hot_water_output_conversion
input_energy_chp_supercritical_waste_mix_electricity_output_conversion,mq_input_energy_chp_supercritical_waste_mix_electricity_output_conversion
input_energy_chp_supercritical_waste_mix_steam_hot_water_output_conversion,mq_input_energy_chp_supercritical_waste_mix_steam_hot_water_output_conversion
input_industry_chp_turbine_hydrogen_electricity_output_conversion,mq_input_industry_chp_turbine_hydrogen_electricity_output_conversion
input_industry_chp_turbine_hydrogen_steam_hot_water_output_conversion,mq_input_industry_chp_turbine_hydrogen_steam_hot_water_output_conversion
input_energy_heat_burner_wood_pellets_steam_hot_water_output_conversion,mq_input_energy_heat_burner_wood_pellets_steam_hot_water_output_conversion
input_energy_heat_burner_coal_steam_hot_water_output_conversion,mq_input_energy_heat_burner_coal_steam_hot_water_output_conversion
input_energy_heat_burner_hydrogen_steam_hot_water_output_conversion,mq_input_energy_heat_burner_hydrogen_steam_hot_water_output_conversion
input_energy_heat_burner_crude_oil_steam_hot_water_output_conversion,mq_input_energy_heat_burner_crude_oil_steam_hot_water_output_conversion
input_energy_heat_burner_network_gas_steam_hot_water_output_conversion,mq_input_energy_heat_burner_network_gas_steam_hot_water_output_conversion
input_energy_heat_burner_waste_mix_steam_hot_water_output_conversion,mq_input_energy_heat_burner_waste_mix_steam_hot_water_output_conversion
input_energy_heat_boiler_electricity_steam_hot_water_output_conversion,mq_input_energy_heat_boiler_electricity_steam_hot_water_output_conversion
input_industry_heat_burner_lignite_steam_hot_water_output_conversion,mq_input_industry_heat_burner_lignite_steam_hot_water_output_conversion
input_industry_heat_burner_coal_steam_hot_water_output_conversion,mq_input_industry_heat_burner_coal_steam_hot_water_output_conversion
input_industry_heat_burner_crude_oil_steam_hot_water_output_conversion,mq_input_industry_heat_burner_crude_oil_steam_hot_water_output_conversion
input_industry_heat_burner_hydrogen_steam_hot_water_output_conversion,mq_input_industry_heat_burner_hydrogen_steam_hot_water_output_conversion
input_energy_heat_distribution_ht_loss_share,mq_input_energy_heat_distribution_ht_loss_share
input_energy_heat_distribution_mt_loss_share,mq_input_energy_heat_distribution_mt_loss_share
input_energy_heat_distribution_lt_loss_share,mq_input_energy_heat_distribution_lt_loss_share
input_energy_cokesoven_transformation_cokes_output_conversion,mq_input_energy_cokesoven_transformation_cokes_output_conversion
input_energy_cokesoven_transformation_coal_gas_output_conversion,mq_input_energy_cokesoven_transformation_coal_gas_output_conversion
input_energy_cokesoven_transformation_loss_output_conversion,mq_input_energy_cokesoven_transformation_loss_output_conversion
input_energy_blastfurnace_transformation_coal_gas_output_conversion,mq_input_energy_blastfurnace_transformation_coal_gas_output_conversion
input_energy_blastfurnace_transformation_loss_output_conversion,mq_input_energy_blastfurnace_transformation_loss_output_conversion
input_energy_power_combined_cycle_coal_gas_electricity_output_conversion,mq_input_energy_power_combined_cycle_coal_gas_electricity_output_conversion
input_energy_power_combined_cycle_coal_gas_loss_output_conversion,mq_input_energy_power_combined_cycle_coal_gas_loss_output_conversion
input_energy_chp_coal_gas_electricity_output_conversion,mq_input_energy_chp_coal_gas_electricity_output_conversion
input_energy_chp_coal_gas_steam_hot_water_output_conversion,mq_input_energy_chp_coal_gas_steam_hot_water_output_conversion
input_energy_chp_coal_gas_loss_output_conversion,mq_input_energy_chp_coal_gas_loss_output_conversion
energy_power_combined_cycle_network_gas_full_load_hours,mq_energy_power_combined_cycle_network_gas_full_load_hours
energy_power_ultra_supercritical_network_gas_full_load_hours,mq_energy_power_ultra_supercritical_network_gas_full_load_hours
energy_power_turbine_network_gas_full_load_hours,mq_energy_power_turbine_network_gas_full_load_hours
energy_power_engine_network_gas_full_load_hours,mq_energy_power_engine_network_gas_full_load_hours
energy_power_supercritical_coal_full_load_hours,mq_energy_power_supercritical_coal_full_load_hours
energy_power_combined_cycle_coal_gas_full_load_hours,mq_energy_power_combined_cycle_coal_gas_full_load_hours
energy_power_ultra_supercritical_ccs_coal_full_load_hours,mq_energy_power_ultra_supercritical_ccs_coal_full_load_hours
energy_power_ultra_supercritical_coal_full_load_hours,mq_energy_power_ultra_supercritical_coal_full_load_hours
energy_power_ultra_supercritical_cofiring_coal_full_load_hours,mq_energy_power_ultra_supercritical_cofiring_coal_full_load_hours
energy_power_ultra_supercritical_lignite_full_load_hours,mq_energy_power_ultra_supercritical_lignite_full_load_hours
energy_power_ultra_supercritical_oxyfuel_ccs_lignite_full_load_hours,mq_energy_power_ultra_supercritical_oxyfuel_ccs_lignite_full_load_hours
energy_power_engine_diesel_full_load_hours,mq_energy_power_engine_diesel_full_load_hours
energy_power_ultra_supercritical_crude_oil_full_load_hours,mq_energy_power_ultra_supercritical_crude_oil_full_load_hours
energy_power_nuclear_gen2_uranium_oxide_full_load_hours,mq_energy_power_nuclear_gen2_uranium_oxide_full_load_hours
energy_power_nuclear_gen3_uranium_oxide_full_load_hours,mq_energy_power_nuclear_gen3_uranium_oxide_full_load_hours
energy_power_wind_turbine_inland_full_load_hours,mq_energy_power_wind_turbine_inland_full_load_hours
energy_power_wind_turbine_coastal_full_load_hours,mq_energy_power_wind_turbine_coastal_full_load_hours
input_energy_power_wind_turbine_offshore_full_load_hours,mq_input_energy_power_wind_turbine_offshore_full_load_hours
input_solar_pv_on_roof_households_full_load_hours,mq_input_solar_pv_on_roof_households_full_load_hours
input_solar_pv_on_roof_buildings_full_load_hours,mq_input_solar_pv_on_roof_buildings_full_load_hours
input_solar_pv_on_land_full_load_hours,mq_input_solar_pv_on_land_full_load_hours
input_solar_csp_full_load_hours,mq_input_solar_csp_full_load_hours
energy_power_geothermal_full_load_hours,mq_energy_power_geothermal_full_load_hours
energy_power_hydro_mountain_full_load_hours,mq_energy_power_hydro_mountain_full_load_hours
energy_power_hydro_river_full_load_hours,mq_energy_power_hydro_river_full_load_hours
energy_power_supercritical_waste_mix_full_load_hours,mq_energy_power_supercritical_waste_mix_full_load_hours
energy_power_supercritical_ccs_waste_mix_full_load_hours,mq_energy_power_supercritical_ccs_waste_mix_full_load_hours
flh_solar_pv_solar_radiation_max,mq_flh_solar_pv_solar_radiation_max
energy_chp_coal_gas_full_load_hours,mq_energy_chp_coal_gas_full_load_hours
industry_chp_turbine_gas_power_fuelmix_full_load_hours,mq_industry_chp_turbine_gas_power_fuelmix_full_load_hours
industry_chp_combined_cycle_gas_power_fuelmix_full_load_hours,mq_industry_chp_combined_cycle_gas_power_fuelmix_full_load_hours
industry_chp_engine_gas_power_fuelmix_full_load_hours,mq_industry_chp_engine_gas_power_fuelmix_full_load_hours
agriculture_chp_engine_network_gas_dispatchable_full_load_hours,mq_agriculture_chp_engine_network_gas_dispatchable_full_load_hours
input_energy_chp_local_engine_network_gas_full_load_hours,mq_input_energy_chp_local_engine_network_gas_full_load_hours
input_energy_chp_combined_cycle_network_gas_full_load_hours,mq_input_energy_chp_combined_cycle_network_gas_full_load_hours
input_energy_chp_ultra_supercritical_cofiring_coal_full_load_hours,mq_input_energy_chp_ultra_supercritical_cofiring_coal_full_load_hours
input_energy_chp_ultra_supercritical_coal_full_load_hours,mq_input_energy_chp_ultra_supercritical_coal_full_load_hours
input_energy_chp_ultra_supercritical_lignite_full_load_hours,mq_input_energy_chp_ultra_supercritical_lignite_full_load_hours
industry_chp_ultra_supercritical_coal_full_load_hours,mq_industry_chp_ultra_supercritical_coal_full_load_hours
input_energy_chp_local_wood_pellets_full_load_hours,mq_input_energy_chp_local_wood_pellets_full_load_hours
industry_chp_wood_pellets_full_load_hours,mq_industry_chp_wood_pellets_full_load_hours
agriculture_chp_wood_pellets_full_load_hours,mq_agriculture_chp_wood_pellets_full_load_hours
input_energy_chp_local_engine_biogas_full_load_hours,mq_input_energy_chp_local_engine_biogas_full_load_hours
agriculture_chp_engine_biogas_full_load_hours,mq_agriculture_chp_engine_biogas_full_load_hours
input_energy_chp_supercritical_waste_mix_full_load_hours,mq_input_energy_chp_supercritical_waste_mix_full_load_hours
industry_chp_turbine_hydrogen_full_load_hours,mq_industry_chp_turbine_hydrogen_full_load_hours
input_energy_heat_burner_coal_full_load_hours,mq_input_energy_heat_burner_coal_full_load_hours
industry_heat_burner_coal_full_load_hours,mq_industry_heat_burner_coal_full_load_hours
industry_heat_burner_crude_oil_full_load_hours,mq_industry_heat_burner_crude_oil_full_load_hours
input_energy_heat_burner_crude_oil_full_load_hours,mq_input_energy_heat_burner_crude_oil_full_load_hours
input_energy_heat_burner_network_gas_full_load_hours,mq_input_energy_heat_burner_network_gas_full_load_hours
industry_heat_burner_lignite_full_load_hours,mq_industry_heat_burner_lignite_full_load_hours
input_energy_heat_burner_wood_pellets_full_load_hours,mq_input_energy_heat_burner_wood_pellets_full_load_hours
input_energy_heat_solar_solar_thermal_full_load_hours,mq_input_energy_heat_solar_solar_thermal_full_load_hours
input_energy_heat_burner_waste_mix_full_load_hours,mq_input_energy_heat_burner_waste_mix_full_load_hours
input_energy_heat_heatpump_water_water_electricity_full_load_hours,mq_input_energy_heat_heatpump_water_water_electricity_full_load_hours
industry_heat_burner_hydrogen_full_load_hours,mq_industry_heat_burner_hydrogen_full_load_hours
lv_net_spare_capacity,mq_lv_net_spare_capacity
mv_net_spare_capacity,mq_mv_net_spare_capacity
hv_net_spare_capacity,mq_hv_net_spare_capacity
lv_mv_trafo_spare_capacity,mq_lv_mv_trafo_spare_capacity
mv_hv_trafo_spare_capacity,mq_mv_hv_trafo_spare_capacity
lv_net_capacity_per_step,mq_lv_net_capacity_per_step
lv_net_costs_per_capacity_step,mq_lv_net_costs_per_capacity_step
mv_net_capacity_per_step,mq_mv_net_capacity_per_step
mv_net_costs_per_capacity_step,mq_mv_net_costs_per_capacity_step
hv_net_capacity_per_step,mq_hv_net_capacity_per_step
hv_net_costs_per_capacity_step,mq_hv_net_costs_per_capacity_step
lv_mv_trafo_capacity_per_step,mq_lv_mv_trafo_capacity_per_step
lv_mv_trafo_costs_per_capacity_step,mq_lv_mv_trafo_costs_per_capacity_step
mv_hv_trafo_capacity_per_step,mq_mv_hv_trafo_capacity_per_step
mv_hv_trafo_costs_per_capacity_step,mq_mv_hv_trafo_costs_per_capacity_step
heat_length_of_distribution_pipelines_in_meter_per_residence_object_first_bracket,mq_heat_length_of_distribution_pipelines_in_meter_per_residence_object_first_bracket
