PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transformation processes,x,x,0,-121221.01,-255110.47,0,0,0,4731,0,3854.79,0,0,14513.75,11508.8,0,0,-380929.72,x,-2125563.29,-162139.98,-43251.99,-3827.99,0,52964.99,0,33672,278696.02,2683.99,0,298505.99,14792.01,876878.41,339999.98,255332,1264.41,23268.02,20123.98,13240,13248,32080.02,0,-38247.63,-32581.72,-22072.77,-8119.42,0,0,0,0,0,0,0,-44637.11,-403.27,0,-2826.51,0,0,-20872.96,-522.09,372371.81,130080.99,-468516.99,-92542.56
Main activity producer electricity plants,x,x,0,0,-189346.73,0,0,0,0,0,0,0,0,-1610.54,-15600.02,0,0,-130372.81,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10570.96,-231.95,0,0,0,0,0,0,0,-44637.11,-403.27,0,-64.81,0,0,-17200.3,-72.01,195050.7,0,-215059.8,-28471.29
Autoproducer electricity plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4111.81,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4600.12,-404.91,0,0,0,0,0,0,0,0,0,0,-2761.7,0,0,-3672.66,-450.08,9595.73,0,-6405.55,-11439.38
Main activity producer CHP plants,x,x,0,0,-65763.74,0,0,0,0,0,0,0,0,0,-8607.35,0,0,-165928.87,x,0,0,0,0,0,-7820.98,0,0,0,0,0,0,0,-2811.6,0,0,0,0,0,0,0,0,0,0,0,-5342.98,-449.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98250.88,85193.63,-73280.93,-5792.9
Autoproducer CHP plants,x,x,0,0,0,0,0,0,0,0,0,0,0,-157.47,-464.9,0,0,-80624.2,x,0,0,0,0,0,-12523.51,0,0,0,0,0,0,0,-85.2,-39.98,0,0,0,0,0,0,-3039.99,0,-38247.63,-32581.72,-1136.8,-5081.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69474.5,41137.11,-63370.82,-44465.45
Main activity producer heat plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3853.61,x,0,0,0,0,0,-9949.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-421.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7899.49,-6325.54,-421.9
Autoproducer heat plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5327.37,x,0,0,0,0,0,-10296.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12898.53,-2724.85,0
Heat pumps,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric boilers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical heat for electricity production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
