Year,Coal,Lignite,Natural gas,Crude oil,Uranium oxide,Woody biomass
2.02300000000000E+03,2.49051619809792E+06,3.04888815710208E+06,5.48458239600000E+06,2.91871876320000E+06,7.78419066960000E+06,5.32012080568320E+06
2.02400000000000E+03,2.44441281782016E+06,2.99244843177984E+06,5.34867886800000E+06,2.81759916960000E+06,7.67857445280000E+06,5.32701797253120E+06
2.02500000000000E+03,2.39830943754240E+06,2.93600870645760E+06,5.21277534000000E+06,2.71647957600000E+06,7.57295823600000E+06,5.33391513937920E+06
2.02600000000000E+03,2.25193515816960E+06,2.75681741783040E+06,5.08805056800000E+06,2.63513842560000E+06,7.74308466720000E+06,5.34253836644352E+06
2.02700000000000E+03,2.10556087879680E+06,2.57762612920320E+06,4.96332579600000E+06,2.55379727520000E+06,7.91321109840000E+06,5.35116159350784E+06
2.02800000000000E+03,1.95918659942400E+06,2.39843484057600E+06,4.83860102400000E+06,2.47245612480000E+06,8.08333752960000E+06,5.35978482057216E+06
2.02900000000000E+03,1.81281232005120E+06,2.21924355194880E+06,4.71387625200000E+06,2.39111497440000E+06,8.25346396080000E+06,5.36840804763648E+06
2.03000000000000E+03,1.66643804067840E+06,2.04005226332160E+06,4.58915148000000E+06,2.30977382400000E+06,8.42359039200000E+06,5.37703127470080E+06
2.03100000000000E+03,1.63132779043584E+06,1.99707031996416E+06,4.52473337520000E+06,2.20920688800000E+06,8.53855992000000E+06,5.39105905096704E+06
2.03200000000000E+03,1.59621754019328E+06,1.95408837660672E+06,4.46031527040000E+06,2.10863995200000E+06,8.65352944800000E+06,5.40508682723328E+06
2.03300000000000E+03,1.56110728995072E+06,1.91110643324928E+06,4.39589716560000E+06,2.00807301600000E+06,8.76849897600000E+06,5.41911460349952E+06
2.03400000000000E+03,1.52599703970816E+06,1.86812448989184E+06,4.33147906080000E+06,1.90750608000000E+06,8.88346850400000E+06,5.43314237976576E+06
2.03500000000000E+03,1.49088678946560E+06,1.82514254653440E+06,4.26706095600000E+06,1.80693914400000E+06,8.99843803200000E+06,5.44717015603200E+06
2.03600000000000E+03,1.47238670693376E+06,1.80249475866624E+06,4.21226411760000E+06,1.72925725680000E+06,9.02349184320000E+06,5.49327860066304E+06
2.03700000000000E+03,1.45388662440192E+06,1.77984697079808E+06,4.15746727920000E+06,1.65157536960000E+06,9.04854565440000E+06,5.53938704529408E+06
2.03800000000000E+03,1.43538654187008E+06,1.75719918292992E+06,4.10267044080000E+06,1.57389348240000E+06,9.07359946560000E+06,5.58549548992512E+06
2.03900000000000E+03,1.41688645933824E+06,1.73455139506176E+06,4.04787360240000E+06,1.49621159520000E+06,9.09865327680000E+06,5.63160393455616E+06
2.04000000000000E+03,1.39838637680640E+06,1.71190360719360E+06,3.99307676400000E+06,1.41852970800000E+06,9.12370708800000E+06,5.67771237918720E+06
2.04100000000000E+03,1.39266392555520E+06,1.70489818644480E+06,3.88680740640000E+06,1.32719047920000E+06,9.14672611440000E+06,5.70004505174016E+06
2.04200000000000E+03,1.38694147430400E+06,1.69789276569600E+06,3.78053804880000E+06,1.23585125040000E+06,9.16974514080000E+06,5.72237772429312E+06
2.04300000000000E+03,1.38121902305280E+06,1.69088734494720E+06,3.67426869120000E+06,1.14451202160000E+06,9.19276416720000E+06,5.74471039684608E+06
2.04400000000000E+03,1.37549657180160E+06,1.68388192419840E+06,3.56799933360000E+06,1.05317279280000E+06,9.21578319360000E+06,5.76704306939904E+06
2.04500000000000E+03,1.36977412055040E+06,1.67687650344960E+06,3.46172997600000E+06,9.61833564000000E+05,9.23880222000000E+06,5.78937574195200E+06
2.04600000000000E+03,1.35613059204096E+06,1.66017410555904E+06,3.35275594560000E+06,9.04390668000000E+05,9.19915322400000E+06,5.78436026370048E+06
2.04700000000000E+03,1.34248706353152E+06,1.64347170766848E+06,3.24378191520000E+06,8.46947772000000E+05,9.15950422800000E+06,5.77934478544896E+06
2.04800000000000E+03,1.32884353502208E+06,1.62676930977792E+06,3.13480788480000E+06,7.89504876000000E+05,9.11985523200000E+06,5.77432930719744E+06
2.04900000000000E+03,1.31520000651264E+06,1.61006691188736E+06,3.02583385440000E+06,7.32061980000000E+05,9.08020623600000E+06,5.76931382894592E+06
2.05000000000000E+03,1.30155647800320E+06,1.59336451399680E+06,2.91685982400000E+06,6.74619084000000E+05,9.04055724000000E+06,5.76429835069440E+06
