Indicator,Unit,NL_2011,NL_2012,FR_2011,FR_2012,DE_2011,DE_2012,PL_2011,PL_2012,ES_2011,ES_2012,UK_2011,UK_2012,EU_2011,EU_2012
Gasoline consumption of road transport,Mtoe,4.1,n.a.,7.9,7.4,18.8,17.7,3.9,n.a.,5.2,n.a.,14.9,14.2,88.4,n.a.
Diesel consumption of road transport,Mtoe,5.1,n.a.,30.7,30.8,28.6,29.2,9.9,n.a.,21.3,n.a.,21.5,22.1,188.6,n.a.
LPG consumption of road transport,Mtoe,0.2,n.a.,0.1,0.1,0.6,0.6,1.8,n.a.,0.0,n.a.,0.1,0.1,5.4,n.a.
Biofuel consumption of road transport,Mtoe,0.3,0.3,2.4,2.7,2.8,2.8,0.9,n.a.,1.7,n.a.,1.1,0.9,14.0,n.a.
Total consumption of road transport,Mtoe,9.8,n.a.,41.2,41.0,50.7,50.2,16.5,n.a.,28.2,n.a.,37.5,37.2,296.4,n.a.
Gasoline consumption of domestic road transport (fuel tourism excluded),Mtoe,4.2,n.a.,7.0,6.4,22.3,n.a.,4.1,n.a.,5.4,n.a.,13.9,n.a.,89.0,n.a.
Diesel consumption of domestic road transport (fuel tourism excluded),Mtoe,5.0,n.a.,27.1,26.7,28.0,n.a.,10.6,n.a.,22.7,n.a.,21.0,n.a.,200.0,n.a.
LPG consumption of domestic road transport (fuel tourism excluded),Mtoe,0.2,n.a.,0.1,0.1,0.6,0.6,1.8,n.a.,0.0,n.a.,0.1,0.1,5.4,n.a.
Biofuel  consumption of domestic road transport (fuel tourism excluded),Mtoe,0.3,0.3,2.4,2.7,2.4,n.a.,0.9,n.a.,1.7,n.a.,1.2,n.a.,14.0,n.a.
Total consumption of domestic road transport (fuel tourism excluded),Mtoe,9.7,n.a.,36.7,35.9,50.3,n.a.,16.5,n.a.,28.2,n.a.,34.9,n.a.,294.3,n.a.
Diesel oil consumption of foreign cars & border trade,Mtoe,0.0,n.a.,0.6,0.6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Diesel oil consumption of foreign trucks & border trade,Mtoe,0.2,n.a.,2.6,2.4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Gasoline consumption of cars,Mtoe,4.0,n.a.,6.2,5.6,21.0,n.a.,3.0,n.a.,4.1,n.a.,13.1,n.a.,76.5,n.a.
Diesel consumption of cars,Mtoe,1.7,n.a.,14.4,14.6,11.8,n.a.,3.0,n.a.,8.1,n.a.,7.2,n.a.,78.0,n.a.
LPG consumption of cars,Mtoe,0.2,n.a.,0.1,0.1,0.3,n.a.,1.4,n.a.,0.0,n.a.,0.0,n.a.,5.4,n.a.
Total consumption of cars,Mtoe,6.2,n.a.,22.2,22.0,34.4,n.a.,7.8,n.a.,13.9,n.a.,20.9,n.a.,168.4,n.a.
Gasoline consumption of motorcycles,Mtoe,0.1,n.a.,0.5,0.5,0.5,n.a.,0.0,n.a.,0.3,n.a.,0.2,n.a.,5.0,n.a.
Gasoline consumption of buses,Mtoe,0.0,n.a.,n.a.,n.a.,0.0,n.a.,0.0,n.a.,0.0,n.a.,n.a.,n.a.,n.a.,n.a.
Diesel consumption of buses,Mtoe,0.2,n.a.,0.9,0.9,0.7,n.a.,1.0,n.a.,1.1,n.a.,1.5,n.a.,10.6,n.a.
LPG consumption of buses,Mtoe,0.0,n.a.,n.a.,n.a.,0.0,n.a.,n.a.,n.a.,0.0,n.a.,n.a.,n.a.,n.a.,n.a.
Total consumption of buses,Mtoe,0.2,n.a.,0.9,0.9,0.8,n.a.,1.0,n.a.,1.1,n.a.,1.5,n.a.,10.6,n.a.
Gasoline consumption of trucks & light vehicles,Mtoe,0.0,n.a.,0.2,0.2,0.2,n.a.,0.8,n.a.,0.8,n.a.,0.2,n.a.,4.8,n.a.
Diesel consumption of trucks & light vehicles,Mtoe,3.0,n.a.,11.9,11.3,13.3,n.a.,5.9,n.a.,12.1,n.a.,11.6,n.a.,100.0,n.a.
Total consumption of trucks & light vehicles,Mtoe,3.1,n.a.,13.1,12.5,14.7,n.a.,7.6,n.a.,12.9,n.a.,12.3,n.a.,110.2,n.a.
Gasoline consumption of light duty vehicles,Mtoe,0.0,n.a.,0.3,0.2,n.a.,n.a.,n.a.,n.a.,0.8,n.a.,0.3,n.a.,n.a.,n.a.
Diesel consumption of light duty vehicles,Mtoe,1.3,n.a.,6.8,6.9,n.a.,n.a.,n.a.,n.a.,3.0,n.a.,4.6,n.a.,n.a.,n.a.
LPG consumption of light duty vehicles,Mtoe,0.0,n.a.,0.0,0.0,n.a.,n.a.,n.a.,n.a.,0.0,n.a.,n.a.,n.a.,n.a.,n.a.
Total consumption of light duty vehicles,Mtoe,1.3,n.a.,7.6,7.7,n.a.,n.a.,n.a.,n.a.,3.8,n.a.,4.9,n.a.,n.a.,n.a.
Gasoline consumption of trucks,Mtoe,0.0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.0,n.a.,n.a.,n.a.,n.a.,n.a.
Diesel consumption of trucks,Mtoe,1.8,n.a.,5.9,5.4,n.a.,n.a.,n.a.,n.a.,9.1,n.a.,7.4,n.a.,n.a.,n.a.
Total consumption of trucks,Mtoe,1.8,n.a.,6.3,5.9,n.a.,n.a.,n.a.,n.a.,9.1,n.a.,7.4,n.a.,n.a.,n.a.
Diesel consumption of rail transport,Mtoe,0.0,n.a.,0.2,0.2,0.4,0.3,0.1,n.a.,0.5,n.a.,0.7,0.6,2.7,n.a.
Fuel oil consumption of rail transport,Mtoe,n.a.,n.a.,n.a.,n.a.,0.0,0.0,n.a.,n.a.,0.0,n.a.,0.0,0.0,0.0,n.a.
Total consumption of rail transport,Mtoe,0.2,n.a.,1.2,1.2,1.8,1.8,0.4,n.a.,0.8,n.a.,1.4,1.4,8.4,n.a.
Total consumption of rail transport of passenger,Mtoe,0.1,n.a.,0.8,0.8,0.7,n.a.,0.1,n.a.,0.6,n.a.,1.0,n.a.,3.8,n.a.
Total consumption of rail transport of goods,Mtoe,0.1,n.a.,0.4,0.4,1.1,n.a.,0.3,n.a.,0.2,n.a.,0.4,n.a.,4.7,n.a.
Electricity consumption of rail transport,Mtoe,0.1,0.2,1.0,1.1,1.4,1.4,0.3,n.a.,0.3,n.a.,0.8,0.8,5.7,n.a.
Jet fuel consumption of air transport,Mtoe,3.6,3.5,6.8,6.6,8.3,8.9,0.5,n.a.,5.8,n.a.,12.1,11.8,50.5,n.a.
Jet fuel consumption of domestic air transport,Mtoe,0.0,0.0,1.5,n.a.,1.6,1.8,0.0,n.a.,2.1,n.a.,1.8,n.a.,5.9,n.a.
Gasoline consumption of inland waterways transport,Mtoe,n.a.,n.a.,n.a.,n.a.,0.0,0.0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.3,n.a.
Diesel consumption of inland waterways transport,Mtoe,0.2,n.a.,0.3,0.4,0.3,0.3,0.0,n.a.,0.7,n.a.,n.a.,n.a.,3.5,n.a.
Fuel oil consumption of inland waterways transport,Mtoe,n.a.,n.a.,n.a.,n.a.,0.0,n.a.,0.0,n.a.,0.1,n.a.,n.a.,n.a.,2.1,n.a.
Total consumption of inland waterways transport,Mtoe,0.2,n.a.,0.3,0.4,0.3,n.a.,0.0,n.a.,0.8,n.a.,n.a.,n.a.,5.9,n.a.
