PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. bio,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. bio,Other Kerosene,Gas/diesel oil excl. bio,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
Transformation processes,x,x,0,-362045.74,-989128.74,0,-527323.32,0,195821.7,0,14182.7,0,67.49,43975.84,11507.8,990.81,0,-80599,x,-1081503.53,0,-7819.98,-2783.51,0,38758.51,0,21711.99,167331.99,792.02,0,39516.99,43,477844.22,116880.01,45979.98,7324.81,19110.02,60449.98,3120,0,29720,-915.82,0,-370.91,-106005.63,-3679.28,0,0,0,0,0,0,0,0,-7334.52,0,-3.6,0,0,-17092.28,0,582264.39,327205.12,-982006.49,-134115.3
Main activity producer electricity plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7327.32,0,0,0,0,-17092.28,0,24419.59,0,0,-24419.59
Autoproducer electricity plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.2,0,-3.6,0,0,0,0,10.8,0,0,-10.8
Main activity producer CHP plants,x,x,0,0,-832627.95,0,-526800.97,0,0,0,0,0,0,-9898.98,-8738.31,-4808.08,0,-42617.23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-426.01,-5239.99,0,0,0,0,0,0,0,0,0,0,-92822.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527422.92,182798.87,-813757.88,-92822.15
Autoproducer CHP plants,x,x,0,0,-32041.54,0,0,0,0,0,0,0,0,-10232.79,-2433.54,0,0,-10785.24,x,0,0,0,0,0,-1979.98,0,0,0,0,0,0,0,-85.2,-14160.01,0,0,0,0,0,0,0,-787.83,0,-370.91,-11498.79,-3664.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30411.07,25550.07,-32078.97,-15163.08
Main activity producer heat plants,x,x,0,0,-118817.24,0,-513.97,0,-25.79,0,0,0,0,-403.98,0,0,0,-8398.22,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-340.81,-879.98,0,0,0,0,0,0,0,-13.98,0,0,-1423.72,-5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107182.41,-23641.27,-1429.71
Autoproducer heat plants,x,x,0,-3518,-5642.01,0,-8.33,0,0,0,0,0,0,-790.89,0,0,0,-1760.8,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.58,-39.98,0,0,0,0,0,0,-80.01,-113.96,0,0,-260.96,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11673.76,-592.77,-269.96
Heat pumps,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric boilers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical heat for electricity production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast furnaces,x,x,0,-5979.84,0,0,0,0,-52149.52,0,0,0,0,0,22679.64,5798.89,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29650.83,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,67.49,0,0,0,0,0,x,0,0,0,0,0,0,0,-91.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.49,0
Coke ovens,x,x,0,-352547.9,0,0,0,0,247997.02,0,14182.7,0,0,65302.48,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25065.7,0
Patent fuel plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1081503.53,0,-48322.5,-2783.51,-17042.5,51083.98,0,24794.02,167331.99,792.02,0,39516.99,43,480911.38,137200.01,67848.02,7324.81,19110.02,60449.98,3120,0,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55085.81,0
Petrochemical plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,40502.52,0,0,-10345.5,0,-2990,0,0,0,0,0,-2172.61,0,-21867.99,0,0,0,0,0,-5239.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2113.58,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For blended natural gas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (transformation),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17037.55,x,0,0,0,0,17042.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0
Energy industry own use,x,x,0,-29.6,-763.34,0,-551.07,0,0,0,0,0,-11.68,-33447.05,0,0,0,-40422.76,x,0,0,0,0,0,-26234.99,0,-91.98,0,0,0,0,0,-1448.38,-17439.99,0,0,0,0,0,0,-1680,-10.01,0,0,-159.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91244.02,-50118.38,-263653.22,-159.98
Coal mines,x,x,0,0,-715.36,0,-176.93,0,0,0,0,0,0,-134.94,0,0,0,-695.51,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-937.22,0,0,0,0,0,0,0,0,0,0,0,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22741.69,-4984.05,-30437.7,-52
Oil and gas extraction,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8116.57,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-212.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-385.27,-27,-8741.83,0
Blast furnaces,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,-11.68,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-212.44,-20.01,-244.13,0
Gasification plants for biogases,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke ovens,x,x,0,-29.6,0,0,0,0,0,0,0,0,0,-33310.31,0,0,0,-2.68,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2556.46,-6407.77,-42316.82,0
Patent fuel plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,-26.5,0,-16.08,0,0,0,0,0,0,0,0,0,0,-29011.34,x,0,0,0,0,0,-26234.99,0,-91.98,0,0,0,0,0,0,-17400.01,0,0,0,0,0,0,-1640.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3381.01,-7900.49,-85702.41,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquefaction (LNG) / regasification plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Own use in electricity, CHP and heat plants",x,x,0,0,-21.52,0,-358.01,0,0,0,0,0,0,-1.8,0,0,0,-293.33,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-298.18,-39.98,0,0,0,0,0,0,-39.98,0,0,0,-107.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52483.05,-10215.04,-63858.87,-107.98
Pumped storage plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-788.54,0,-788.54,0
Nuclear industry,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (energy),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2303.33,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8695.56,-20564.05,-31562.95,0
Losses,x,x,0,0,0,0,0,0,0,0,0,0,0,-1259.64,0,0,0,-4775.84,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39189.45,-27494.72,-72719.65,0
Total final consumption,x,x,0,233.92,440517.85,0,6305.95,186.52,27976.57,0,339.01,98.72,53.97,10419.94,11508.8,990.81,0,447206.64,x,0,0,0,0,0,12523.51,0,109020,157432.01,220.02,0,558.98,43,511072.21,7280.01,26444,1787.6,9324,54171,4880.01,0,7680.01,20144.12,1359.75,3940.24,186340.19,3352.37,6444.91,27993.61,0,0,0,0,0,0,0,660.89,0,543.91,0,0,0,441605.07,249597.04,2790257.15,226695.63
Industry,x,x,0,204.61,117639.2,0,817.47,23.45,21647.85,0,0,81.06,0,10419.02,11508.8,990.81,0,132121.01,x,0,0,0,0,0,12523.51,0,2207.99,132.01,0,0,0,0,15548.98,5920.01,0,0,0,0,0,0,119.99,20136.12,1359.75,3912.23,41735.99,289.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162713.28,29249.36,591302.43,43385.67
Iron and steel,x,x,0,58.45,2751.65,0,0,23.45,9404.85,0,0,0,0,8085.09,11504.78,46.98,0,16900.77,x,0,0,0,0,0,0,0,91.98,0,0,0,0,0,42.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22781.3,1831.64,73523.52,0
Chemical and petrochemical,x,x,0,58.45,43685.45,0,0,0,3088.56,0,0,0,0,594.73,0,0,0,13563.64,x,0,0,0,0,0,12523.51,0,138,44,0,0,0,0,3109.79,559.98,0,0,0,0,0,0,0,7746.5,0,0,130.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31008.78,6508.76,122761.12,130.96
Non-ferrous metals,x,x,0,0,113.71,0,0,0,6232.81,0,0,0,0,43.21,0,927.84,0,6887.54,x,0,0,0,0,0,0,0,0,0,0,0,0,0,170.4,119.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7104.08,1491.71,23091.29,0
Non-metallic minerals,x,x,0,0,26766.17,0,548.72,0,2448.61,0,0,0,0,1686.11,0,15.99,0,42336.5,x,0,0,0,0,0,0,0,229.98,0,0,0,0,0,1831.81,1399.98,0,0,0,0,0,0,0,12167.68,1359.75,3912.23,406.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16343.34,1379.72,112833.51,1766.66
Transport equipment,x,x,0,0,841.42,0,0,0,0,0,0,0,0,0,0,0,0,3542.28,x,0,0,0,0,0,0,0,91.98,0,0,0,0,0,383.39,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7251.71,2616.5,14731.3,4.02
Machinery,x,x,0,0,1819.29,0,0,0,55.64,0,0,0,0,9.88,4.02,0,0,7998.71,x,0,0,0,0,0,0,0,368.02,44,0,0,0,0,724.19,39.98,0,0,0,0,0,0,39.98,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14107.34,3296.35,28535.43,27
Mining and quarrying,x,x,0,0,454.81,0,0,0,0,0,0,0,0,0,0,0,0,1645.62,x,0,0,0,0,0,0,0,46.01,0,0,0,0,0,2428.22,0,0,0,0,0,0,0,39.98,1,0,0,23.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7889.02,2797.45,15326.12,23.99
Food and tobacco,x,x,0,87.71,26061.2,0,0,0,306.06,0,0,0,0,0,0,0,0,23697.46,x,0,0,0,0,0,0,0,689.98,0,0,0,0,0,3237.61,1360,0,0,0,0,0,0,0,0,0,0,442.92,207.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19479.51,2125.6,77696,650.88
"Paper, pulp and print",x,x,0,0,10642.8,0,0,0,0,0,0,0,0,0,0,0,0,5533.44,x,0,0,0,0,0,0,0,91.98,0,0,0,0,0,170.4,1520.02,0,0,0,0,0,0,0,152.99,0,0,19086.32,81.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13642.86,2630.48,53553.28,19168.3
Wood and wood products,x,x,0,0,1523.66,0,0,0,0,0,0,0,0,0,0,0,0,3448.71,x,0,0,0,0,0,0,0,91.98,0,0,0,0,0,298.18,320,0,0,0,0,0,0,0,0,0,0,18412.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6790.82,2212.56,33098.37,18412.46
Construction,x,x,0,0,204.65,0,268.75,0,111.29,0,0,81.06,0,0,0,0,0,1680.71,x,0,0,0,0,0,0,0,46.01,44,0,0,0,0,2385.6,520,0,0,0,0,0,0,39.98,0,0,0,119.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2912.92,658.88,9073.84,119.99
Textile and leather,x,x,0,0,545.79,0,0,0,0,0,0,0,0,0,0,0,0,1193.95,x,0,0,0,0,0,0,0,46.01,0,0,0,0,0,212.98,39.98,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767.92,569.91,4380.57,4.02
Non-specified (industry),x,x,0,0,2228.63,0,0,0,0,0,0,0,0,0,0,0,0,3691.63,x,0,0,0,0,0,0,0,275.99,0,0,0,0,0,553.79,39.98,0,0,0,0,0,0,0,66.99,0,0,3077.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11633.69,1129.77,22697.9,3077.42
Transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10803.2,x,0,0,0,0,0,0,0,73876,157256,220.02,0,558.98,0,400184.39,0,0,0,0,0,0,0,0,0,0,0,0,0,6444.91,27993.61,0,0,0,0,0,0,0,0,0,0,0,0,0,11522.07,0,688859.19,34438.52
Domestic aviation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,220.02,0,558.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,0
Road,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,73876,157256,0,0,0,0,395455.82,0,0,0,0,0,0,0,0,0,0,0,0,0,6444.91,27993.61,0,0,0,0,0,0,0,0,0,0,0,0,0,72.01,0,661098.36,34438.52
Rail,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,4558.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10341.06,0,14899.27,0
Pipeline transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10803.2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,42.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,11954.78,0
Domestic navigation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,127.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.78,0
Non-specified (transport),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,x,x,0,29.31,320127,0,5477.3,163.03,6300.88,0,0,17.67,53.97,0.88,0,0,0,220490.2,x,0,0,0,0,0,0,0,29348,44,0,0,0,43,95338.8,1360,0,0,0,0,0,0,0,8,0,28.01,144604.2,3062.39,0,0,0,0,0,0,0,0,0,660.89,0,543.91,0,0,0,267369.72,220347.64,1315418.79,148871.39
Residential,x,x,0,0,243744.82,0,3619.36,0,5297.18,0,0,0,39.61,0,0,0,0,141356.88,x,0,0,0,0,0,0,0,23000.02,0,0,0,0,0,3706.2,0,0,0,0,0,0,0,0,0,0,0,116827.55,0,0,0,0,0,0,0,0,0,0,509.91,0,379.91,0,0,0,101963.15,179965.41,820409.99,117717.37
Commercial and public services,x,x,0,29.31,32667.09,0,530.84,116.48,724.86,0,0,0,14.4,0.88,0,0,0,77337.44,x,0,0,0,0,0,0,0,4048.01,0,0,0,0,0,18147.6,0,0,0,0,0,0,0,0,8,0,28.01,6832.69,2662.47,0,0,0,0,0,0,0,0,0,150.98,0,163.96,0,0,0,159793.16,39382.42,342638.58,9810.09
Agriculture/forestry,x,x,0,0,43715.09,0,1327.09,46.6,278.8,0,0,17.67,0,0,0,0,0,1795.89,x,0,0,0,0,0,0,0,2300.02,44,0,0,0,0,73485,1360,0,0,0,0,0,0,0,0,0,0,20943.96,399.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5613.41,999.81,152327.26,21343.89
Fishing,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
