agriculture_heating,agriculture_heating_2019,buildings_heating,buildings_heating_2019,insulation_apartments_high,insulation_apartments_high_2019,insulation_apartments_low,insulation_apartments_low_2019,insulation_apartments_medium,insulation_apartments_medium_2019,insulation_detached_houses_high,insulation_detached_houses_high_2019,insulation_detached_houses_low,insulation_detached_houses_low_2019,insulation_detached_houses_medium,insulation_detached_houses_medium_2019,insulation_semi_detached_houses_high,insulation_semi_detached_houses_high_2019,insulation_semi_detached_houses_low,insulation_semi_detached_houses_low_2019,insulation_semi_detached_houses_medium,insulation_semi_detached_houses_medium_2019,insulation_terraced_houses_high,insulation_terraced_houses_high_2019,insulation_terraced_houses_low,insulation_terraced_houses_low_2019,insulation_terraced_houses_medium,insulation_terraced_houses_medium_2019
1.860013496354666e-08,5.088441382387561e-08,1.860013496354666e-08,5.088441382387561e-08,2.789062297739131e-08,5.7668562685e-08,3.2907850625980963e-08,5.5861202384e-08,3.3815467469228614e-08,5.7676901918e-08,3.2098464666391845e-08,5.2342373751e-08,3.466146772540167e-08,5.1491507893e-08,3.5652236323640274e-08,5.2714625925e-08,3.0815739883054223e-08,5.4933632418e-08,3.705991023285917e-08,5.3320921917e-08,3.4851516800940145e-08,5.5550366793e-08,2.922960684036072e-08,5.6005831199e-08,3.231960101079756e-08,5.2155161426e-08,3.1364244230229624e-08,5.1491012936e-08
3.8286228562805195e-08,5.2160437330637474e-08,3.8286228562805195e-08,5.2160437330637474e-08,2.2372497257089058e-08,5.1882426576e-08,2.5022250458545836e-08,5.0118129635e-08,2.8046002951450493e-08,5.4052544923e-08,3.06060814569009e-08,5.0598169544e-08,3.0708262880694953e-08,4.5873756803e-08,3.454702058817339e-08,5.0850354402e-08,2.8679333147768175e-08,5.0142183535e-08,2.8593024951030562e-08,4.6535804663e-08,3.178027128887763e-08,5.0615599514e-08,2.63947011723187e-08,5.1572771716e-08,2.6805750385532924e-08,4.6867504188e-08,2.859723041672054e-08,4.8505879468e-08
4.1944710400516356e-08,5.576930085325941e-08,4.1944710400516356e-08,5.576930085325941e-08,1.9572761504430612e-08,4.8239745839e-08,2.3305884910887684e-08,4.5396323319e-08,2.8191841131513225e-08,4.9639024214e-08,3.035155718597458e-08,4.97888162e-08,2.8079351649073723e-08,4.4207746449e-08,3.257958779399469e-08,5.0602168829e-08,2.7341280738538522e-08,4.6913660409e-08,2.6160693346274116e-08,4.4345766992e-08,3.282954326050878e-08,5.0065810046e-08,2.511140845452889e-08,4.8807876708e-08,2.5177366522892293e-08,4.5066501684e-08,3.0018229079078475e-08,4.9015797119e-08
4.3059553479076584e-08,5.506973163016637e-08,4.3059553479076584e-08,5.506973163016637e-08,2.06289661146844e-08,4.8296781523e-08,2.6808673191327912e-08,4.4778643781e-08,3.4748941124889595e-08,5.1781812947e-08,3.106400216840797e-08,5.0145417855e-08,2.8538603885978027e-08,4.5873570093e-08,3.6670935360179294e-08,5.5567349759e-08,2.790384297316497e-08,4.5660321134e-08,2.8103536077425004e-08,4.6398773458e-08,4.206596581415435e-08,5.4630115578e-08,2.6140865712925164e-08,4.8848450942e-08,2.6929386185635287e-08,4.6064812942e-08,3.7168709070763975e-08,5.4979687984e-08
4.1644443426947153e-08,5.442830366552918e-08,4.1644443426947153e-08,5.442830366552918e-08,2.5651018717549828e-08,5.1387909857e-08,3.2209503741947074e-08,4.9436373105e-08,3.9442979957407595e-08,5.9245462966e-08,3.2990014231137455e-08,5.1436327864e-08,3.272204369837721e-08,5.0516552741e-08,4.376197571270244e-08,6.5115133363e-08,3.105316314656867e-08,4.8765628616e-08,3.344904742824649e-08,5.0883151797e-08,4.761500320854993e-08,5.8423293776e-08,2.9330444915947572e-08,5.122252165e-08,3.1814812729773535e-08,5.0239235694e-08,4.7521255474716655e-08,6.4303311463e-08
3.524524710203718e-08,5.1522920907231816e-08,3.524524710203718e-08,5.1522920907231816e-08,3.2888640796791144e-08,5.7050949261e-08,4.06874862382509e-08,5.8786128878e-08,5.356492955414176e-08,7.3123139447e-08,3.590091116861955e-08,5.3977014656e-08,3.9464415660354574e-08,5.9356246227e-08,5.5737852437163966e-08,7.8900485239e-08,3.533183547388369e-08,5.3997056744e-08,3.940959196575117e-08,5.8594594324e-08,5.8850276845066795e-08,7.131681051e-08,3.40198054700445e-08,5.526688294e-08,3.901441793368589e-08,5.7157536767e-08,6.387513304095092e-08,8.0262598432e-08
3.536101252087076e-08,4.8163765880203097e-08,3.536101252087076e-08,4.8163765880203097e-08,4.095522444673448e-08,6.5282606593e-08,5.0002307363118546e-08,6.8559417331e-08,7.8245541710715e-08,9.1421568875e-08,3.967107457147147e-08,5.7524072507e-08,4.5460622584741424e-08,6.7382853644e-08,7.019245830115652e-08,8.5943471813e-08,4.017536741313521e-08,6.036814631e-08,4.4992618473577274e-08,6.7776316324e-08,7.079376403822838e-08,9.4764298808e-08,4.0225195213371144e-08,6.0454559865e-08,4.6324129751288733e-08,6.5180823574e-08,7.215246267842825e-08,8.8992099082e-08
3.2474630454022225e-08,4.5250988397674136e-08,3.2474630454022225e-08,4.5250988397674136e-08,4.9206929408276504e-08,7.4965038869e-08,5.6706998023288144e-08,7.8699957735e-08,8.435889317093689e-08,1.0037412984e-07,4.324293151938742e-08,6.1447765812e-08,5.267664734661055e-08,7.1531071684e-08,7.516217339631425e-08,9.6198484226e-08,4.5320989961507484e-08,6.6710142045e-08,5.357069335060813e-08,7.4180232132e-08,7.293868821160484e-08,9.9686005061e-08,4.639198707294246e-08,6.7204225376e-08,5.1319381370515475e-08,7.1147775455e-08,7.981704638360276e-08,9.7234551849e-08
3.007798498608428e-08,4.3889767047959045e-08,3.007798498608428e-08,4.3889767047959045e-08,5.5750018261247234e-08,8.381765135e-08,6.017298655979556e-08,8.2134967586e-08,8.56889159648368e-08,1.1067781626e-07,4.629758858127349e-08,6.5295904789e-08,5.491130024045559e-08,7.4140323883e-08,8.360510100380611e-08,9.1241078441e-08,4.9347984854349784e-08,7.1660786996e-08,5.5857106704083335e-08,7.7061461758e-08,7.343864848296027e-08,9.9743553302e-08,5.143346300504987e-08,7.3468617344e-08,5.586245251801349e-08,7.5971252104e-08,8.16203990344858e-08,9.8660802813e-08
2.5544854901232e-08,4.0094075408836885e-08,2.5544854901232e-08,4.0094075408836885e-08,6.058857779358529e-08,9.1458669166e-08,5.5675759639802255e-08,7.8680867204e-08,7.28438530162981e-08,1.0365162002e-07,4.8701095325960474e-08,6.8612471735e-08,5.1582598552140846e-08,7.0362697631e-08,7.583300099407473e-08,8.1614852502e-08,5.2343443881151375e-08,7.5328047037e-08,5.3217878091127214e-08,7.1686957177e-08,7.696680328039079e-08,8.5529435386e-08,5.5322565454574454e-08,7.8406829513e-08,5.5341183098611014e-08,7.4522528436e-08,7.47590005015802e-08,9.0962148364e-08
1.9931872488474463e-08,3.89525433403171e-08,1.9931872488474463e-08,3.89525433403171e-08,6.385825707485277e-08,9.6781323938e-08,5.0583304092331145e-08,7.1782847165e-08,6.4827912411735e-08,8.6539131479e-08,5.0287285468086534e-08,7.1104950049e-08,4.6271237760345985e-08,6.1480990343e-08,5.8801640518275344e-08,6.9241678406e-08,5.424399922638234e-08,7.8210478708e-08,4.636874614172517e-08,6.5003677546e-08,6.267991419532346e-08,7.6167654266e-08,5.777216168918065e-08,8.2073501439e-08,4.9615291851342374e-08,6.7173617142e-08,5.7032912334819475e-08,7.2490679004e-08
2.142269540099545e-08,4.0227012145883476e-08,2.142269540099545e-08,4.0227012145883476e-08,6.583467020293349e-08,9.995756471e-08,4.2846349896470754e-08,6.0941211541e-08,5.7043828457905094e-08,7.194594219e-08,5.1047539080018564e-08,7.2888131863e-08,3.8759264490745645e-08,5.1585767969e-08,4.674350933639944e-08,5.6556282249e-08,5.5279683387403016e-08,8.0373683315e-08,4.0611821116568144e-08,5.4956960887e-08,4.635474703784671e-08,6.6759169601e-08,5.90277894001853e-08,8.400654594e-08,4.0509328327874385e-08,5.5682236451e-08,4.4423871348959327e-08,5.7551716117e-08
1.1770711758788711e-08,3.9560333441983633e-08,1.1770711758788711e-08,3.9560333441983633e-08,6.625227160154556e-08,1.0176714407e-07,3.254146315628547e-08,5.0253348024e-08,4.081179305461874e-08,5.7506580238e-08,5.12499289821968e-08,7.3995390749e-08,3.1470612976569186e-08,3.8622476806e-08,3.5713737501865e-08,4.3366767498e-08,5.5408518522758164e-08,8.1623643792e-08,3.213516888135332e-08,4.2206898788e-08,3.57103511396679e-08,4.8370265983e-08,5.951609294353295e-08,8.5227041725e-08,3.1833327689188046e-08,4.4396957121e-08,3.5300111452254545e-08,4.583637156e-08
1.249382715693955e-08,2.994246043067738e-08,1.249382715693955e-08,2.994246043067738e-08,6.582555108978874e-08,1.032152813e-07,2.1933041955488232e-08,3.5996718821e-08,2.717310644658569e-08,4.3140693892e-08,5.1016106575098154e-08,7.4722832888e-08,2.129190667767276e-08,2.7485399285e-08,2.4678964788119742e-08,2.9864571368e-08,5.4944366353198826e-08,8.2526771649e-08,2.216655174803534e-08,2.9786440483e-08,2.5103714946826967e-08,3.3261355709e-08,5.9510977927178866e-08,8.6422069299e-08,2.332630297755455e-08,3.4665405874e-08,2.3205415508290596e-08,3.2213794635e-08
1.0726211739237492e-08,3.5486957165937905e-08,1.0726211739237492e-08,3.5486957165937905e-08,6.519688858833433e-08,1.0397735904e-07,1.1974779501110069e-08,2.4795369961e-08,1.66987541573133e-08,3.2354386473e-08,5.043591221955491e-08,7.5213054907e-08,1.2409057078049686e-08,1.812268674e-08,1.548420897870559e-08,2.2027479535e-08,5.4180142933027674e-08,8.3161464603e-08,1.3497908575971196e-08,1.9623376034e-08,1.7750747663424944e-08,2.2685937751e-08,5.920333200509996e-08,8.7352437272e-08,1.4277140293893636e-08,2.6185533814e-08,1.4423210917344876e-08,2.3405207848e-08
9.320154020610856e-09,3.190237546670072e-08,9.320154020610856e-09,3.190237546670072e-08,6.45221848739872e-08,1.0455610383e-07,7.626114171364114e-09,2.4118555966e-08,1.2958213442023794e-08,2.6298698221e-08,5.0038578441263455e-08,7.5587688622e-08,9.228698059722744e-09,1.5306568513e-08,9.582476383967442e-09,1.9803026635e-08,5.363123566871957e-08,8.3713729681e-08,8.157699045889655e-09,1.8550026179e-08,1.1297760030678813e-08,2.0827891918e-08,5.8597559720151695e-08,8.7767181165e-08,8.209933588343906e-09,2.3444047691e-08,9.44658511865239e-09,2.1363050492e-08
7.070461670808235e-09,3.107613506109927e-08,7.070461670808235e-09,3.107613506109927e-08,6.392228827730685e-08,1.0499831078e-07,9.532972033574212e-09,2.8656401959e-08,1.332843666350835e-08,3.0433879548e-08,4.983672640615993e-08,7.5916233216e-08,8.181348024142382e-09,2.3086538906e-08,8.067074772494724e-09,2.2770011503e-08,5.354169531608459e-08,8.383262991e-08,8.256397591024044e-09,2.6764487301e-08,1.0818135048648252e-08,2.3965230726e-08,5.8053657419526033e-08,8.7994004441e-08,8.8839017375289e-09,3.0031657427e-08,1.039160558846547e-08,2.9040560565e-08
6.066134728932065e-09,3.2208996463203514e-08,6.066134728932065e-09,3.2208996463203514e-08,6.374841521587984e-08,1.050766758e-07,1.7248155946921445e-08,4.4740062418e-08,1.36660172372266e-08,4.1074610187e-08,5.0083511652624314e-08,7.6082820421e-08,1.4223836257202098e-08,3.7687071891e-08,9.35375971910084e-09,3.1288367397e-08,5.3780451052536706e-08,8.3943450398e-08,1.6475733567095512e-08,4.227458534e-08,1.3109308076568909e-08,2.829431281e-08,5.7910385545437245e-08,8.8077362816e-08,1.6519770858528337e-08,4.4452922456e-08,1.5007648247035294e-08,4.1282648785e-08
8.617928622851035e-09,3.564606550372447e-08,8.617928622851035e-09,3.564606550372447e-08,6.392823942844468e-08,1.0467811898e-07,3.075544005662828e-08,6.6982674934e-08,2.0245587211382983e-08,5.6656210624e-08,5.0871898127546527e-08,7.6094500851e-08,2.5969669788438468e-08,6.262211738e-08,1.3694984073662544e-08,4.5343536134e-08,5.4482889481668865e-08,8.3647092423e-08,2.7553966216080314e-08,6.298475188e-08,1.866727200577552e-08,4.3502853836e-08,5.8272334190085954e-08,8.7831933891e-08,2.9624589617837373e-08,6.3841952155e-08,2.4141368855905044e-08,5.8442981716e-08
2.6090405296059132e-08,4.1064616221299905e-08,2.6090405296059132e-08,4.1064616221299905e-08,6.46365159928828e-08,1.0309047101e-07,4.8387363182483106e-08,8.4787959718e-08,3.5046244522545465e-08,7.6210071839e-08,5.1545659360142366e-08,7.5662418565e-08,3.793731334699089e-08,8.3355195559e-08,2.0989955873213412e-08,5.7416279036e-08,5.5183714311498895e-08,8.3447614779e-08,3.7870631965546224e-08,8.3653016086e-08,2.6669704927797904e-08,6.6799469945e-08,5.882992845735473e-08,8.715302725e-08,4.406124750118772e-08,8.128014468e-08,3.258413326166029e-08,7.1154781351e-08
2.4558605844309592e-08,5.478254722533657e-08,2.4558605844309592e-08,5.478254722533657e-08,6.487211641339903e-08,1.0048869072e-07,6.24479975298136e-08,1.0287606525e-07,4.4572095901505316e-08,8.7698688604e-08,5.195628450640379e-08,7.4681836335e-08,5.4100355289090875e-08,9.1889949246e-08,2.826919917285545e-08,7.1522941145e-08,5.5141051661096513e-08,8.2706120835e-08,5.7483911229037486e-08,9.5776263515e-08,3.2804460310730756e-08,7.7390001261e-08,5.899677283994286e-08,8.594113201e-08,5.3918476008307255e-08,8.9617348169e-08,4.145607909992267e-08,8.1837361694e-08
3.0381291722530886e-08,7.457802046883955e-08,3.0381291722530886e-08,7.457802046883955e-08,6.461861514936998e-08,9.6114102589e-08,7.147153511612823e-08,1.0739488286e-07,5.1999841993546746e-08,9.680200443e-08,5.1952549023193443e-08,7.3280453964e-08,6.29966100765266e-08,9.7295100058e-08,3.6872797262728345e-08,7.375875308e-08,5.434170640908812e-08,8.0941731538e-08,6.537457040406485e-08,1.0010436388e-07,3.8179674003922435e-08,8.2197767609e-08,5.854839043079367e-08,8.3574764802e-08,6.540321885202875e-08,9.6110076859e-08,4.8527910334064726e-08,8.5598333734e-08
5.3443584333703914e-08,6.80841618653316e-08,5.3443584333703914e-08,6.80841618653316e-08,6.287392960556849e-08,9.0158969564e-08,6.41411063334791e-08,9.6548586096e-08,5.1988198097763066e-08,9.3183014536e-08,5.163605735305564e-08,7.1375040984e-08,6.033693820135509e-08,8.8897018763e-08,4.246958084938319e-08,7.1534125443e-08,5.37388010850833e-08,7.8206943324e-08,6.29309226957498e-08,8.6768723906e-08,4.476109331417273e-08,7.6412948809e-08,5.7314631378932066e-08,8.04095743e-08,6.806178528493895e-08,9.2864795905e-08,5.1584205489286825e-08,8.2126436091e-08
5.6818658499443505e-08,6.693512678709833e-08,5.6818658499443505e-08,6.693512678709833e-08,5.865652326426544e-08,8.4028723013e-08,5.8148186564157724e-08,8.3740652294e-08,5.1269398949276284e-08,8.2514596683e-08,5.0864523654967825e-08,6.9149387728e-08,5.4976554553723033e-08,7.2060185753e-08,4.4581867786103176e-08,6.741898281e-08,5.28535679624999e-08,7.4350113563e-08,5.4407564853358794e-08,7.6943839464e-08,4.6252796667728664e-08,7.2591099474e-08,5.467943444750422e-08,7.6714940267e-08,6.107833631304274e-08,8.1117605903e-08,4.8792505190183954e-08,7.2125930614e-08
5.6224632590888474e-08,7.181599529441307e-08,5.6224632590888474e-08,7.181599529441307e-08,5.3208706297109554e-08,7.7812227096e-08,5.13420182521619e-08,7.1655322398e-08,4.9534131001459296e-08,7.3968385751e-08,5.0085559713494634e-08,6.6897671891e-08,4.8940547715826914e-08,6.5626611567e-08,4.4634152410419806e-08,6.4746772415e-08,5.1260467570268396e-08,7.0172443802e-08,5.2162339289686035e-08,6.8056440677e-08,4.576687527269815e-08,6.9424732314e-08,5.1971716392764075e-08,7.2692525566e-08,5.0322605092515926e-08,6.7505399811e-08,4.655198889545974e-08,6.5971948316e-08
6.03465242706072e-08,7.222732269842262e-08,6.03465242706072e-08,7.222732269842262e-08,4.882256383877725e-08,7.2601771996e-08,4.5505406562228356e-08,6.6147036028e-08,4.7140484058033496e-08,7.0280176123e-08,4.979449346011504e-08,6.5042607431e-08,4.6973928471995635e-08,5.9647178866e-08,4.7610704840832355e-08,6.3479193046e-08,5.012066468288606e-08,6.6366539315e-08,4.668085181166205e-08,6.1176758795e-08,4.582040301714525e-08,6.4714360908e-08,5.0556219501034494e-08,6.8962991926e-08,4.6119363684871246e-08,6.1735370603e-08,4.6186770756495635e-08,6.3115484167e-08
6.056078068487412e-08,7.273139857461805e-08,6.056078068487412e-08,7.273139857461805e-08,4.7808033667827915e-08,7.0122944217e-08,4.4289452275341737e-08,6.2098269812e-08,4.957351629455281e-08,6.6674090784e-08,4.9892946344713384e-08,6.4052246099e-08,4.5631833633132595e-08,5.7966602064e-08,4.8799178569072167e-08,6.3203166188e-08,4.9911490648504015e-08,6.3590301555e-08,4.4695235863542516e-08,5.9019786278e-08,5.0064068588946474e-08,6.4301974213e-08,5.049141678948542e-08,6.6506987555e-08,4.53984735911862e-08,5.9931523982e-08,4.9658770764267e-08,6.3889319397e-08
6.359585670322392e-08,7.12804731403308e-08,6.359585670322392e-08,7.12804731403308e-08,5.057401270891782e-08,7.0080616854e-08,4.7883197928465596e-08,6.1415385861e-08,5.7151112901841415e-08,6.9440789319e-08,5.085704598764162e-08,6.3887796322e-08,4.6490735410577424e-08,5.9173212926e-08,5.3767590521085064e-08,6.768926791e-08,5.0659235717262394e-08,6.3359753413e-08,4.6761202293888665e-08,6.0729105093e-08,6.03474770505741e-08,6.8817588116e-08,5.165507547171063e-08,6.6316173131e-08,4.7217593674600775e-08,6.0823445284e-08,5.6979280978270386e-08,6.9466235178e-08
5.997037035330985e-08,6.847082018402229e-08,5.997037035330985e-08,6.847082018402229e-08,5.601360842127369e-08,7.2824317494e-08,5.4003867232260834e-08,6.5563499143e-08,6.238864911349046e-08,7.6122070277e-08,5.3151567546087696e-08,6.4730143586e-08,5.113161028298714e-08,6.2718065275e-08,6.126109376409844e-08,7.6728100664e-08,5.324835429057417e-08,6.533289061e-08,5.2838765338884325e-08,6.4338844377e-08,6.610375917769317e-08,7.1507204201e-08,5.4630797740824935e-08,6.8088931617e-08,5.2109059445901876e-08,6.4212733416e-08,6.772155973897103e-08,7.7861063553e-08
5.6744472216003586e-08,6.367894320801852e-08,5.6744472216003586e-08,6.367894320801852e-08,6.390179502386528e-08,7.7997602497e-08,6.25464531407531e-08,7.3351034286e-08,7.63354258304944e-08,8.9025884867e-08,5.6392353180891016e-08,6.6540508638e-08,5.83546587583031e-08,7.0510645171e-08,7.386226793536897e-08,8.9432645816e-08,5.7982366085410296e-08,6.9050035353e-08,5.9359915446215097e-08,7.0748513286e-08,7.807439014183298e-08,8.3243363157e-08,5.96716960311627e-08,7.12208716e-08,5.985870684800293e-08,7.0007443813e-08,8.480376606335075e-08,9.2535138258e-08
5.044533363655626e-08,5.6651843403650755e-08,5.044533363655626e-08,5.6651843403650755e-08,7.155555316502563e-08,8.4746298291e-08,7.214148356069276e-08,8.0896531256e-08,1.0101196377940137e-07,1.0518799313e-07,6.05212708825601e-08,6.903162979e-08,6.492940161289243e-08,7.7134574338e-08,8.87392941395842e-08,9.5364496171e-08,6.366394409583928e-08,7.3851007682e-08,6.506345900084059e-08,7.8113274165e-08,9.087127604716465e-08,1.0525876124e-07,6.595420011929139e-08,7.5603904436e-08,6.791267656494134e-08,7.6470585189e-08,9.34401971581199e-08,9.983040278e-08
4.887617322256893e-08,5.2556467344646375e-08,4.887617322256893e-08,5.2556467344646375e-08,7.8996588998646e-08,9.1918370841e-08,7.992246639430015e-08,8.9188352207e-08,1.0796359991375829e-07,1.1163785824e-07,6.493404260158564e-08,7.1949157503e-08,7.289103489357254e-08,7.9838528036e-08,9.398960306791035e-08,1.0456611897e-07,6.889816274775128e-08,7.8271031243e-08,7.4462083117004e-08,8.3322428138e-08,9.35479523291379e-08,1.0907469764e-07,7.245758577364698e-08,8.0276532672e-08,7.351179311569564e-08,8.0790285056e-08,1.0153192929495985e-07,1.0641153703e-07
4.0159418828637274e-08,4.8964273480450937e-08,4.0159418828637274e-08,4.8964273480450937e-08,8.628800408238785e-08,9.8857017245e-08,8.44652022411707e-08,9.1361566132e-08,1.0957147781235349e-07,1.2042441277e-07,6.918477092663818e-08,7.4803650697e-08,7.604168709116871e-08,8.1818994107e-08,1.0295708370443992e-07,9.8924468974e-08,7.395506588449675e-08,8.1952278025e-08,7.80240295766857e-08,8.5355699805e-08,9.447578672900985e-08,1.0803687947e-07,7.878578348812789e-08,8.4751746346e-08,7.888831729974305e-08,8.4387606409e-08,1.0412615708954499e-07,1.0704793157e-07
