Country,Key,Value,Unit,Year,Source
IE,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,0,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
IT,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,9000,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
LT,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,25200,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
LU,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,0,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
LV,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,0,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
NL,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,54000,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
PL,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,63000,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
PT,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,0,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
RO,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,14400,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
SE,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,0,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
SI,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,0,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
SK,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,14400,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
