B8130AB3F36EB92770CCF8C556228D0D
CET,CEST
,van,tot, SPT
06-01-2023 17:00,06-01-2023 16:00,06-01-2023 17:00,-2.297
06-01-2023 18:00,06-01-2023 17:00,06-01-2023 18:00,-2.488
06-01-2023 19:00,06-01-2023 18:00,06-01-2023 19:00,-2.616
06-01-2023 20:00,06-01-2023 19:00,06-01-2023 20:00,-2.741
06-01-2023 21:00,06-01-2023 20:00,06-01-2023 21:00,-2.759
06-01-2023 22:00,06-01-2023 21:00,06-01-2023 22:00,-2.736
06-01-2023 23:00,06-01-2023 22:00,06-01-2023 23:00,-2.810
07-01-2023 00:00,06-01-2023 23:00,07-01-2023 00:00,-2.810
07-01-2023 01:00,07-01-2023 00:00,07-01-2023 01:00,-2.672
07-01-2023 02:00,07-01-2023 01:00,07-01-2023 02:00,-2.709
07-01-2023 03:00,07-01-2023 02:00,07-01-2023 03:00,-2.736
07-01-2023 04:00,07-01-2023 03:00,07-01-2023 04:00,-2.807
07-01-2023 05:00,07-01-2023 04:00,07-01-2023 05:00,-2.790
07-01-2023 06:00,07-01-2023 05:00,07-01-2023 06:00,-2.847
07-01-2023 07:00,07-01-2023 06:00,07-01-2023 07:00,-2.797
07-01-2023 08:00,07-01-2023 07:00,07-01-2023 08:00,-2.851
07-01-2023 09:00,07-01-2023 08:00,07-01-2023 09:00,-2.835
07-01-2023 10:00,07-01-2023 09:00,07-01-2023 10:00,-2.529
07-01-2023 11:00,07-01-2023 10:00,07-01-2023 11:00,-2.018
07-01-2023 12:00,07-01-2023 11:00,07-01-2023 12:00,-1.555
07-01-2023 13:00,07-01-2023 12:00,07-01-2023 13:00,-1.313
07-01-2023 14:00,07-01-2023 13:00,07-01-2023 14:00,-1.291
07-01-2023 15:00,07-01-2023 14:00,07-01-2023 15:00,-1.391
07-01-2023 16:00,07-01-2023 15:00,07-01-2023 16:00,-1.748
07-01-2023 17:00,07-01-2023 16:00,07-01-2023 17:00,-2.116
07-01-2023 18:00,07-01-2023 17:00,07-01-2023 18:00,-2.301
07-01-2023 19:00,07-01-2023 18:00,07-01-2023 19:00,-2.347
07-01-2023 20:00,07-01-2023 19:00,07-01-2023 20:00,-2.408
07-01-2023 21:00,07-01-2023 20:00,07-01-2023 21:00,-2.438
07-01-2023 22:00,07-01-2023 21:00,07-01-2023 22:00,-2.433
07-01-2023 23:00,07-01-2023 22:00,07-01-2023 23:00,-2.556
08-01-2023 00:00,07-01-2023 23:00,08-01-2023 00:00,-2.560
08-01-2023 01:00,08-01-2023 00:00,08-01-2023 01:00,-2.497
08-01-2023 02:00,08-01-2023 01:00,08-01-2023 02:00,-2.589
08-01-2023 03:00,08-01-2023 02:00,08-01-2023 03:00,-2.636
08-01-2023 04:00,08-01-2023 03:00,08-01-2023 04:00,-2.667
08-01-2023 05:00,08-01-2023 04:00,08-01-2023 05:00,-2.633
08-01-2023 06:00,08-01-2023 05:00,08-01-2023 06:00,-2.687
08-01-2023 07:00,08-01-2023 06:00,08-01-2023 07:00,-2.697
08-01-2023 08:00,08-01-2023 07:00,08-01-2023 08:00,-2.697
08-01-2023 09:00,08-01-2023 08:00,08-01-2023 09:00,-2.672
08-01-2023 10:00,08-01-2023 09:00,08-01-2023 10:00,-2.403
08-01-2023 11:00,08-01-2023 10:00,08-01-2023 11:00,-1.842
08-01-2023 12:00,08-01-2023 11:00,08-01-2023 12:00,-1.356
08-01-2023 13:00,08-01-2023 12:00,08-01-2023 13:00,-0.999
08-01-2023 14:00,08-01-2023 13:00,08-01-2023 14:00,-0.932
08-01-2023 15:00,08-01-2023 14:00,08-01-2023 15:00,-1.160
08-01-2023 16:00,08-01-2023 15:00,08-01-2023 16:00,-1.510
08-01-2023 17:00,08-01-2023 16:00,08-01-2023 17:00,-1.995
08-01-2023 18:00,08-01-2023 17:00,08-01-2023 18:00,-2.167
08-01-2023 19:00,08-01-2023 18:00,08-01-2023 19:00,-2.311
08-01-2023 20:00,08-01-2023 19:00,08-01-2023 20:00,-2.367
08-01-2023 21:00,08-01-2023 20:00,08-01-2023 21:00,-2.427
08-01-2023 22:00,08-01-2023 21:00,08-01-2023 22:00,-2.486
08-01-2023 23:00,08-01-2023 22:00,08-01-2023 23:00,-2.575
09-01-2023 00:00,08-01-2023 23:00,09-01-2023 00:00,-2.621
09-01-2023 01:00,09-01-2023 00:00,09-01-2023 01:00,-2.606
09-01-2023 02:00,09-01-2023 01:00,09-01-2023 02:00,-2.671
09-01-2023 03:00,09-01-2023 02:00,09-01-2023 03:00,-2.736
09-01-2023 04:00,09-01-2023 03:00,09-01-2023 04:00,-2.794
09-01-2023 05:00,09-01-2023 04:00,09-01-2023 05:00,-2.782
09-01-2023 06:00,09-01-2023 05:00,09-01-2023 06:00,-2.807
09-01-2023 07:00,09-01-2023 06:00,09-01-2023 07:00,-2.850
09-01-2023 08:00,09-01-2023 07:00,09-01-2023 08:00,-2.877
09-01-2023 09:00,09-01-2023 08:00,09-01-2023 09:00,-2.829
09-01-2023 10:00,09-01-2023 09:00,09-01-2023 10:00,-2.433
09-01-2023 11:00,09-01-2023 10:00,09-01-2023 11:00,-1.701
09-01-2023 12:00,09-01-2023 11:00,09-01-2023 12:00,-1.102
09-01-2023 13:00,09-01-2023 12:00,09-01-2023 13:00,-0.730
09-01-2023 14:00,09-01-2023 13:00,09-01-2023 14:00,-0.607
09-01-2023 15:00,09-01-2023 14:00,09-01-2023 15:00,-0.776
09-01-2023 16:00,09-01-2023 15:00,09-01-2023 16:00,-1.270
09-01-2023 17:00,09-01-2023 16:00,09-01-2023 17:00,-1.786
09-01-2023 18:00,09-01-2023 17:00,09-01-2023 18:00,-2.009
09-01-2023 19:00,09-01-2023 18:00,09-01-2023 19:00,-2.139
09-01-2023 20:00,09-01-2023 19:00,09-01-2023 20:00,-2.183
09-01-2023 21:00,09-01-2023 20:00,09-01-2023 21:00,-2.253
09-01-2023 22:00,09-01-2023 21:00,09-01-2023 22:00,-2.238
09-01-2023 23:00,09-01-2023 22:00,09-01-2023 23:00,-2.253
10-01-2023 00:00,09-01-2023 23:00,10-01-2023 00:00,-2.302
10-01-2023 01:00,10-01-2023 00:00,10-01-2023 01:00,-2.306
10-01-2023 02:00,10-01-2023 01:00,10-01-2023 02:00,-2.281
10-01-2023 03:00,10-01-2023 02:00,10-01-2023 03:00,-2.347
10-01-2023 04:00,10-01-2023 03:00,10-01-2023 04:00,-2.381
10-01-2023 05:00,10-01-2023 04:00,10-01-2023 05:00,-2.472
10-01-2023 06:00,10-01-2023 05:00,10-01-2023 06:00,-2.492
10-01-2023 07:00,10-01-2023 06:00,10-01-2023 07:00,-2.509
10-01-2023 08:00,10-01-2023 07:00,10-01-2023 08:00,-2.564
10-01-2023 09:00,10-01-2023 08:00,10-01-2023 09:00,-2.557
10-01-2023 10:00,10-01-2023 09:00,10-01-2023 10:00,-2.197
10-01-2023 11:00,10-01-2023 10:00,10-01-2023 11:00,-1.399
10-01-2023 12:00,10-01-2023 11:00,10-01-2023 12:00,-0.711
10-01-2023 13:00,10-01-2023 12:00,10-01-2023 13:00,-0.397
10-01-2023 14:00,10-01-2023 13:00,10-01-2023 14:00,-0.367
10-01-2023 15:00,10-01-2023 14:00,10-01-2023 15:00,-0.636
10-01-2023 16:00,10-01-2023 15:00,10-01-2023 16:00,-1.164
10-01-2023 17:00,10-01-2023 16:00,10-01-2023 17:00,-1.764
10-01-2023 18:00,10-01-2023 17:00,10-01-2023 18:00,-2.038
10-01-2023 19:00,10-01-2023 18:00,10-01-2023 19:00,-2.169
10-01-2023 20:00,10-01-2023 19:00,10-01-2023 20:00,-2.346
10-01-2023 21:00,10-01-2023 20:00,10-01-2023 21:00,-2.368
10-01-2023 22:00,10-01-2023 21:00,10-01-2023 22:00,-2.520
10-01-2023 23:00,10-01-2023 22:00,10-01-2023 23:00,-2.574
11-01-2023 00:00,10-01-2023 23:00,11-01-2023 00:00,-2.570
11-01-2023 01:00,11-01-2023 00:00,11-01-2023 01:00,-2.567
11-01-2023 02:00,11-01-2023 01:00,11-01-2023 02:00,-2.609
11-01-2023 03:00,11-01-2023 02:00,11-01-2023 03:00,-2.657
11-01-2023 04:00,11-01-2023 03:00,11-01-2023 04:00,-2.706
11-01-2023 05:00,11-01-2023 04:00,11-01-2023 05:00,-2.770
11-01-2023 06:00,11-01-2023 05:00,11-01-2023 06:00,-2.840
11-01-2023 07:00,11-01-2023 06:00,11-01-2023 07:00,-2.874
11-01-2023 08:00,11-01-2023 07:00,11-01-2023 08:00,-2.879
11-01-2023 09:00,11-01-2023 08:00,11-01-2023 09:00,-2.902
11-01-2023 10:00,11-01-2023 09:00,11-01-2023 10:00,-2.528
11-01-2023 11:00,11-01-2023 10:00,11-01-2023 11:00,-1.779
11-01-2023 12:00,11-01-2023 11:00,11-01-2023 12:00,-1.277
11-01-2023 13:00,11-01-2023 12:00,11-01-2023 13:00,-0.891
11-01-2023 14:00,11-01-2023 13:00,11-01-2023 14:00,-0.826
11-01-2023 15:00,11-01-2023 14:00,11-01-2023 15:00,-0.907
11-01-2023 16:00,11-01-2023 15:00,11-01-2023 16:00,-1.253
11-01-2023 17:00,11-01-2023 16:00,11-01-2023 17:00,-1.744
11-01-2023 18:00,11-01-2023 17:00,11-01-2023 18:00,-1.958
11-01-2023 19:00,11-01-2023 18:00,11-01-2023 19:00,-2.047
11-01-2023 20:00,11-01-2023 19:00,11-01-2023 20:00,-2.093
11-01-2023 21:00,11-01-2023 20:00,11-01-2023 21:00,-2.142
11-01-2023 22:00,11-01-2023 21:00,11-01-2023 22:00,-2.176
11-01-2023 23:00,11-01-2023 22:00,11-01-2023 23:00,-2.220
12-01-2023 00:00,11-01-2023 23:00,12-01-2023 00:00,-2.221
12-01-2023 01:00,12-01-2023 00:00,12-01-2023 01:00,-2.280
12-01-2023 02:00,12-01-2023 01:00,12-01-2023 02:00,-2.388
12-01-2023 03:00,12-01-2023 02:00,12-01-2023 03:00,-2.433
12-01-2023 04:00,12-01-2023 03:00,12-01-2023 04:00,-2.413
12-01-2023 05:00,12-01-2023 04:00,12-01-2023 05:00,-2.484
12-01-2023 06:00,12-01-2023 05:00,12-01-2023 06:00,-2.511
12-01-2023 07:00,12-01-2023 06:00,12-01-2023 07:00,-2.530
12-01-2023 08:00,12-01-2023 07:00,12-01-2023 08:00,-2.570
12-01-2023 09:00,12-01-2023 08:00,12-01-2023 09:00,-2.544
12-01-2023 10:00,12-01-2023 09:00,12-01-2023 10:00,-2.281
12-01-2023 11:00,12-01-2023 10:00,12-01-2023 11:00,-1.685
12-01-2023 12:00,12-01-2023 11:00,12-01-2023 12:00,-1.211
12-01-2023 13:00,12-01-2023 12:00,12-01-2023 13:00,-0.928
12-01-2023 14:00,12-01-2023 13:00,12-01-2023 14:00,-0.842
12-01-2023 15:00,12-01-2023 14:00,12-01-2023 15:00,-0.942
12-01-2023 16:00,12-01-2023 15:00,12-01-2023 16:00,-1.359
12-01-2023 17:00,12-01-2023 16:00,12-01-2023 17:00,-1.786
12-01-2023 18:00,12-01-2023 17:00,12-01-2023 18:00,-2.025
12-01-2023 19:00,12-01-2023 18:00,12-01-2023 19:00,-2.070
12-01-2023 20:00,12-01-2023 19:00,12-01-2023 20:00,-2.168
12-01-2023 21:00,12-01-2023 20:00,12-01-2023 21:00,-2.216
12-01-2023 22:00,12-01-2023 21:00,12-01-2023 22:00,-2.284
12-01-2023 23:00,12-01-2023 22:00,12-01-2023 23:00,-2.325
13-01-2023 00:00,12-01-2023 23:00,13-01-2023 00:00,-2.367
13-01-2023 01:00,13-01-2023 00:00,13-01-2023 01:00,-2.348
13-01-2023 02:00,13-01-2023 01:00,13-01-2023 02:00,-2.361
13-01-2023 03:00,13-01-2023 02:00,13-01-2023 03:00,-2.420
13-01-2023 04:00,13-01-2023 03:00,13-01-2023 04:00,-2.446
13-01-2023 05:00,13-01-2023 04:00,13-01-2023 05:00,-2.454
13-01-2023 06:00,13-01-2023 05:00,13-01-2023 06:00,-2.394
13-01-2023 07:00,13-01-2023 06:00,13-01-2023 07:00,-2.434
13-01-2023 08:00,13-01-2023 07:00,13-01-2023 08:00,-2.406
13-01-2023 09:00,13-01-2023 08:00,13-01-2023 09:00,-2.388
13-01-2023 10:00,13-01-2023 09:00,13-01-2023 10:00,-1.917
13-01-2023 11:00,13-01-2023 10:00,13-01-2023 11:00,-1.229
13-01-2023 12:00,13-01-2023 11:00,13-01-2023 12:00,-0.630
13-01-2023 13:00,13-01-2023 12:00,13-01-2023 13:00,-0.239
13-01-2023 14:00,13-01-2023 13:00,13-01-2023 14:00,-0.201
13-01-2023 15:00,13-01-2023 14:00,13-01-2023 15:00,-0.484
13-01-2023 16:00,13-01-2023 15:00,13-01-2023 16:00,-0.904
13-01-2023 17:00,13-01-2023 16:00,13-01-2023 17:00,-1.419
13-01-2023 18:00,13-01-2023 17:00,13-01-2023 18:00,-1.624
13-01-2023 19:00,13-01-2023 18:00,13-01-2023 19:00,-1.720
13-01-2023 20:00,13-01-2023 19:00,13-01-2023 20:00,-1.795
13-01-2023 21:00,13-01-2023 20:00,13-01-2023 21:00,-1.849
13-01-2023 22:00,13-01-2023 21:00,13-01-2023 22:00,-1.999
13-01-2023 23:00,13-01-2023 22:00,13-01-2023 23:00,-2.066
14-01-2023 00:00,13-01-2023 23:00,14-01-2023 00:00,-2.103
14-01-2023 01:00,14-01-2023 00:00,14-01-2023 01:00,-2.016
14-01-2023 02:00,14-01-2023 01:00,14-01-2023 02:00,-2.044
14-01-2023 03:00,14-01-2023 02:00,14-01-2023 03:00,-2.125
14-01-2023 04:00,14-01-2023 03:00,14-01-2023 04:00,-2.180
14-01-2023 05:00,14-01-2023 04:00,14-01-2023 05:00,-2.222
14-01-2023 06:00,14-01-2023 05:00,14-01-2023 06:00,-2.272
14-01-2023 07:00,14-01-2023 06:00,14-01-2023 07:00,-2.266
14-01-2023 08:00,14-01-2023 07:00,14-01-2023 08:00,-2.242
14-01-2023 09:00,14-01-2023 08:00,14-01-2023 09:00,-2.298
14-01-2023 10:00,14-01-2023 09:00,14-01-2023 10:00,-1.814
14-01-2023 11:00,14-01-2023 10:00,14-01-2023 11:00,-1.128
14-01-2023 12:00,14-01-2023 11:00,14-01-2023 12:00,-0.585
14-01-2023 13:00,14-01-2023 12:00,14-01-2023 13:00,-0.220
14-01-2023 14:00,14-01-2023 13:00,14-01-2023 14:00,-0.145
14-01-2023 15:00,14-01-2023 14:00,14-01-2023 15:00,-0.336
14-01-2023 16:00,14-01-2023 15:00,14-01-2023 16:00,-0.776
14-01-2023 17:00,14-01-2023 16:00,14-01-2023 17:00,-1.374
14-01-2023 18:00,14-01-2023 17:00,14-01-2023 18:00,-1.747
14-01-2023 19:00,14-01-2023 18:00,14-01-2023 19:00,-1.903
14-01-2023 20:00,14-01-2023 19:00,14-01-2023 20:00,-2.056
14-01-2023 21:00,14-01-2023 20:00,14-01-2023 21:00,-2.153
14-01-2023 22:00,14-01-2023 21:00,14-01-2023 22:00,-2.283
14-01-2023 23:00,14-01-2023 22:00,14-01-2023 23:00,-2.373
15-01-2023 00:00,14-01-2023 23:00,15-01-2023 00:00,-2.384
15-01-2023 01:00,15-01-2023 00:00,15-01-2023 01:00,-2.440
15-01-2023 02:00,15-01-2023 01:00,15-01-2023 02:00,-2.488
15-01-2023 03:00,15-01-2023 02:00,15-01-2023 03:00,-2.518
15-01-2023 04:00,15-01-2023 03:00,15-01-2023 04:00,-2.494
15-01-2023 05:00,15-01-2023 04:00,15-01-2023 05:00,-2.550
15-01-2023 06:00,15-01-2023 05:00,15-01-2023 06:00,-2.534
15-01-2023 07:00,15-01-2023 06:00,15-01-2023 07:00,-2.596
15-01-2023 08:00,15-01-2023 07:00,15-01-2023 08:00,-2.561
15-01-2023 09:00,15-01-2023 08:00,15-01-2023 09:00,-2.578
15-01-2023 10:00,15-01-2023 09:00,15-01-2023 10:00,-2.114
15-01-2023 11:00,15-01-2023 10:00,15-01-2023 11:00,-1.433
15-01-2023 12:00,15-01-2023 11:00,15-01-2023 12:00,-0.885
15-01-2023 13:00,15-01-2023 12:00,15-01-2023 13:00,-0.532
15-01-2023 14:00,15-01-2023 13:00,15-01-2023 14:00,-0.438
15-01-2023 15:00,15-01-2023 14:00,15-01-2023 15:00,-0.609
15-01-2023 16:00,15-01-2023 15:00,15-01-2023 16:00,-0.994
15-01-2023 17:00,15-01-2023 16:00,15-01-2023 17:00,-1.501
15-01-2023 18:00,15-01-2023 17:00,15-01-2023 18:00,-1.771
15-01-2023 19:00,15-01-2023 18:00,15-01-2023 19:00,-1.933
15-01-2023 20:00,15-01-2023 19:00,15-01-2023 20:00,-2.001
15-01-2023 21:00,15-01-2023 20:00,15-01-2023 21:00,-2.024
15-01-2023 22:00,15-01-2023 21:00,15-01-2023 22:00,-2.128
15-01-2023 23:00,15-01-2023 22:00,15-01-2023 23:00,-2.176
16-01-2023 00:00,15-01-2023 23:00,16-01-2023 00:00,-2.232
16-01-2023 01:00,16-01-2023 00:00,16-01-2023 01:00,-2.397
16-01-2023 02:00,16-01-2023 01:00,16-01-2023 02:00,-2.487
16-01-2023 03:00,16-01-2023 02:00,16-01-2023 03:00,-2.514
16-01-2023 04:00,16-01-2023 03:00,16-01-2023 04:00,-2.545
16-01-2023 05:00,16-01-2023 04:00,16-01-2023 05:00,-2.639
16-01-2023 06:00,16-01-2023 05:00,16-01-2023 06:00,-2.693
16-01-2023 07:00,16-01-2023 06:00,16-01-2023 07:00,-2.735
16-01-2023 08:00,16-01-2023 07:00,16-01-2023 08:00,-2.747
16-01-2023 09:00,16-01-2023 08:00,16-01-2023 09:00,-2.783
16-01-2023 10:00,16-01-2023 09:00,16-01-2023 10:00,-2.201
16-01-2023 11:00,16-01-2023 10:00,16-01-2023 11:00,-1.384
16-01-2023 12:00,16-01-2023 11:00,16-01-2023 12:00,-0.709
