PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. bio,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. bio,Other Kerosene,Gas/diesel oil excl. bio,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
Transformation processes,x,x,-1054.78,-116461.62,-211425.36,0,0,0,-56.98,0,3980.52,0,0,13735.47,11939.71,0,0,-405918.3,x,-2160363.8,-184448.01,43813.4,-1884.06,0,75041.98,0,33165.99,307428.02,2200,0,281176.99,21284.98,860477.42,347840.01,229811.99,-6845.21,24486,12284.99,11040.01,0,46280.01,0,-39786.36,-31259.99,-39130.46,-7796.49,0,0,0,0,179.99,0,0,-42716.79,-374.47,0,-914.56,0,0,-17938.43,-529.3,369084.42,119549.01,-454104.1,-105760.79
Main activity producer electricity plants,x,x,0,0,-152306.45,0,0,0,0,0,0,0,0,-1791.41,-16943.73,0,0,-104535.77,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17618.6,-275.95,0,0,0,0,0,0,0,-42716.79,-374.47,0,-39.61,0,0,-13322.4,-57.61,161445.86,0,-188536.92,-31631.02
Autoproducer electricity plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1199.35,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5958.86,-640.87,0,0,0,0,0,0,0,0,0,0,-874.96,0,0,-4616.03,-471.68,8360.7,0,-5401.06,-12090.72
Main activity producer CHP plants,x,x,0,0,-59118.91,0,0,0,0,0,0,0,0,0,-7593.56,0,0,-215458.84,x,0,0,0,0,0,-4801.51,0,0,0,0,0,0,0,-468.59,0,0,0,0,0,0,0,0,0,0,0,-15193.06,-865.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119973.59,93107.11,-90419.6,-16058.89
Autoproducer CHP plants,x,x,0,0,0,0,0,0,0,0,0,0,0,-197.95,-516.9,0,0,-82842.96,x,0,0,0,0,0,-12325.52,0,0,0,0,0,0,0,-212.98,0,0,0,0,0,0,0,-200,0,-39786.36,-31259.99,0,-5139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79304.27,29033.41,-64144,-44925.37
Main activity producer heat plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5002.56,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4752.1,-250.45,0
Autoproducer heat plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5758.36,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5469.93,-288.43,0
Heat pumps,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric boilers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical heat for electricity production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast furnaces,x,x,-1054.78,-37845.7,0,0,0,0,-53608.5,0,0,0,0,0,36993.89,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55515.08,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke ovens,x,x,0,-78615.88,0,0,0,0,53693.99,0,3980.52,0,0,15724.83,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5216.54,0
Patent fuel plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-2160363.8,-184448.01,-113974.28,-1884.06,0,102118.48,0,71346,307428.02,2200,0,281176.99,25155.01,861329.39,347840.01,339679.98,4490.8,24486,12284.99,11040.01,0,47599.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22494.5,0
Petrochemical plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,157787.64,0,0,-197.99,0,-38180.02,0,0,0,0,-3869.98,-170.4,0,-109868,-11336.01,0,0,0,0,-1120.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6954.78,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For blended natural gas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8879.57,x,0,0,0,0,0,-9751.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-874.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1746.77,-874.83
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-359.94,0,0,0,0,0,179.99,0,0,0,0,0,0,0,0,0,0,0,0,-179.95,-179.95
Non-specified (transformation),x,x,0,0,0,0,0,0,-142.52,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12813.53,-12956.05,0
Energy industry own use,x,x,0,0,0,0,0,0,0,0,0,0,0,-6218.11,-945.8,0,0,-74582.44,x,0,0,0,0,0,-90634.51,0,-46.01,0,0,0,0,0,-42.58,-320,0,0,0,0,0,0,-11519.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31142,-18291.5,-233742.93,0
Coal mines,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil and gas extraction,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28928.53,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6859.23,0,-35787.76,0
Blast furnaces,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasification plants for biogases,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke ovens,x,x,0,0,0,0,0,0,0,0,0,0,0,-6218.11,-945.8,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-284.45,0,-7448.36,0
Patent fuel plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43857.99,x,0,0,0,0,0,-90634.51,0,-46.01,0,0,0,0,0,-42.58,-320,0,0,0,0,0,0,-11519.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9430.1,-14982.13,-170833.29,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquefaction (LNG) / regasification plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Own use in electricity, CHP and heat plants",x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1795.89,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13884.1,0,-15679.98,0
Pumped storage plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear industry,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (energy),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-684.12,-3309.37,-3993.5,0
Losses,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16166.91,-20988.97,-37155.88,0
Total final consumption,x,x,1347.81,2236.34,0,0,800.01,0,6697.5,0,7164.91,0,0,7517.36,10993.87,0,0,891985.72,x,0,184448.01,0,0,0,0,0,58649.99,173800.01,88.01,0,1504.99,5976.99,309063,2839.99,330528.01,2572.41,4410,7760.99,9800,0,34600.01,0,0,0,17121.71,4655.09,5211.02,8806.01,0,0,270.01,0,0,0,0,494.92,0,1068.81,0,0,0,383382.6,80268.58,2556064.68,37627.57
Industry,x,x,1142.7,2236.34,0,0,559.98,0,4560.01,0,0,0,0,7517.36,10993.87,0,0,208207.81,x,0,95260,0,0,0,0,0,229.98,0,0,0,0,0,17806.8,800.01,0,0,0,0,0,0,2560.02,0,0,0,2849.45,797.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124985.69,44247.48,524755.34,3647.29
Iron and steel,x,x,58.62,2236.34,0,0,0,0,3448.5,0,0,0,0,7517.36,10993.87,0,0,11602.21,x,0,0,0,0,0,0,0,0,0,0,0,0,0,127.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9743.35,6.99,45735.01,0
Chemical and petrochemical,x,x,0,0,0,0,0,0,56.98,0,0,0,0,0,0,0,0,78261.47,x,0,95260,0,0,0,0,0,0,0,0,0,0,0,937.22,0,0,0,0,0,0,0,2519.99,0,0,0,0,65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44226.76,35236.23,256564.63,65.98
Non-ferrous metals,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2683.95,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9988.2,348.93,13061.06,0
Non-metallic minerals,x,x,0,0,0,0,400.01,0,997.51,0,0,0,0,0,0,0,0,17968.78,x,0,0,0,0,0,0,0,91.98,0,0,0,0,0,212.98,800.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4421.6,12.98,24905.85,0
Transport equipment,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982.11,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872.34,4.98,3859.43,0
Machinery,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11788.44,x,0,0,0,0,0,0,0,91.98,0,0,0,0,0,298.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10254.65,75.99,22509.24,0
Mining and quarrying,x,x,0,0,0,0,160.02,0,0,0,0,0,0,0,0,0,0,3665.54,x,0,0,0,0,0,0,0,0,0,0,0,0,0,298.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763.34,0,4887.08,0
Food and tobacco,x,x,1084.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51844.1,x,0,0,0,0,0,0,0,46.01,0,0,0,0,0,383.39,0,0,0,0,0,0,0,0,0,0,0,0,583.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22705.69,2931.43,79578.59,583.89
"Paper, pulp and print",x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14039.6,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9012.42,5251,28450.98,147.96
Wood and wood products,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928.55,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.55,20.01,2668.96,859.84
Construction,x,x,0,0,0,0,0,0,56.98,0,0,0,0,0,0,0,0,3794.2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,15378.62,0,0,0,0,0,0,0,0,0,0,0,89.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749.91,0,21069.69,89.97
Textile and leather,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3027.64,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260.23,53,4340.87,0
Non-specified (industry),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6621.21,x,0,0,0,0,0,0,0,0,0,0,0,0,0,170.4,0,0,0,0,0,0,0,0,0,0,0,1899.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8126.66,305.93,17123.84,1899.63
Transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.07,x,0,0,0,0,0,0,0,13110,173800.01,88.01,0,1504.99,0,266462.98,0,0,0,0,0,0,0,0,0,0,0,0,0,5211.02,8806.01,0,0,0,0,0,0,0,0,0,0,0,0,0,6463.16,0,476172.26,14017.03
Domestic aviation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,88.01,0,1504.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592.99,0
Road,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.07,x,0,0,0,0,0,0,0,13110,173800.01,0,0,0,0,257900.39,0,0,0,0,0,0,0,0,0,0,0,0,0,5211.02,8806.01,0,0,0,0,0,0,0,0,0,0,0,0,0,72.01,0,459625.52,14017.03
Rail,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,1150.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6391.15,0,7541.35,0
Pipeline transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic navigation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,7412.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7412.39,0
Non-specified (transport),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,x,x,205.11,0,0,0,239.99,0,0,0,0,0,0,0,0,0,0,599073.39,x,0,0,0,0,0,0,0,4415.99,0,0,0,0,2107.01,24750.6,1999.99,0,0,0,0,0,0,0,0,0,0,14272.26,3857.26,0,0,0,0,270.01,0,0,0,0,494.92,0,1068.81,0,0,0,251933.74,36021.09,940710.15,19963.25
Residential,x,x,205.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312484.46,x,0,0,0,0,0,0,0,1011.99,0,0,0,0,558.98,2129.99,0,0,0,0,0,0,0,0,0,0,0,12660.55,0,0,0,0,0,270.01,0,0,0,0,0,0,919.84,0,0,0,90113.42,10497.98,430852.33,13850.39
Commercial and public services,x,x,0,0,0,0,239.99,0,0,0,0,0,0,0,0,0,0,197121.16,x,0,0,0,0,0,0,0,2438.02,0,0,0,0,1461.99,3152.41,160.02,0,0,0,0,0,0,0,0,0,0,559.9,1693.69,0,0,0,0,0,0,0,0,0,0,0,148.97,0,0,0,135038.7,20895.98,362910.82,2402.55
Agriculture/forestry,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89467.77,x,0,0,0,0,0,0,0,966.02,0,0,0,0,86,14441.4,0,0,0,0,0,0,0,0,0,0,0,1051.81,2163.57,0,0,0,0,0,0,0,0,0,494.92,0,0,0,0,0,26781.62,4627.13,140080.24,3710.3
Fishing,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,5026.8,1840.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6866.81,0
Non-specified (other),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-energy use,x,x,0,0,0,0,0,0,2137.49,0,7164.91,0,0,0,0,0,0,83978.46,x,0,89188.01,0,0,0,0,0,40893.98,0,0,0,0,3869.98,42.58,39.98,330528.01,2572.41,4410,7760.99,9800,0,32039.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614426.8,0
