# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   FH,    T
# 
  260,19870103,    9,   10,  -28
  260,19870103,   10,   15,    0
  260,19870103,   11,   21,   17
  260,19870103,   12,   21,   42
  260,19870103,   13,   31,   43
  260,19870103,   14,   31,   43
  260,19870103,   15,   26,   34
  260,19870103,   16,   26,   24
  260,19870103,   17,   15,   12
  260,19870103,   18,   10,   10
  260,19870103,   19,   21,   17
  260,19870103,   20,   21,   18
  260,19870103,   21,   10,    6
  260,19870103,   22,   15,   15
  260,19870103,   23,   15,   13
  260,19870103,   24,   15,   16
  260,19870104,    1,   10,   14
  260,19870104,    2,   15,   20
  260,19870104,    3,    5,   14
  260,19870104,    4,   10,   16
  260,19870104,    5,   10,   14
  260,19870104,    6,   21,   20
  260,19870104,    7,   31,   22
  260,19870104,    8,   26,   18
  260,19870104,    9,   36,   17
  260,19870104,   10,   46,   20
  260,19870104,   11,   51,   20
  260,19870104,   12,   57,   18
  260,19870104,   13,   67,   22
  260,19870104,   14,   62,   24
  260,19870104,   15,   77,   24
  260,19870104,   16,   77,   19
  260,19870104,   17,   82,   19
  260,19870104,   18,   82,   20
  260,19870104,   19,   82,   21
  260,19870104,   20,   87,   28
  260,19870104,   21,   87,   35
  260,19870104,   22,   87,   44
  260,19870104,   23,   72,   46
  260,19870104,   24,   62,   54
  260,19870105,    1,   41,   61
  260,19870105,    2,   41,   64
  260,19870105,    3,   46,   59
  260,19870105,    4,   46,   59
  260,19870105,    5,   41,   55
  260,19870105,    6,   41,   51
  260,19870105,    7,   51,   58
  260,19870105,    8,   51,   59
  260,19870105,    9,   57,   61
  260,19870105,   10,   57,   67
  260,19870105,   11,   67,   69
  260,19870105,   12,   77,   68
  260,19870105,   13,   72,   66
  260,19870105,   14,   72,   66
  260,19870105,   15,   82,   66
  260,19870105,   16,   72,   61
  260,19870105,   17,   72,   64
  260,19870105,   18,   67,   63
  260,19870105,   19,   62,   62
  260,19870105,   20,   62,   62
  260,19870105,   21,   57,   65
  260,19870105,   22,   57,   58
  260,19870105,   23,   67,   55
  260,19870105,   24,   67,   58
  260,19870106,    1,   62,   56
  260,19870106,    2,   51,   50
  260,19870106,    3,   51,   54
  260,19870106,    4,   51,   39
  260,19870106,    5,   57,   43
  260,19870106,    6,   46,   39
  260,19870106,    7,   41,   36
  260,19870106,    8,   51,   28
  260,19870106,    9,   36,   31
  260,19870106,   10,   36,   33
  260,19870106,   11,   26,   34
  260,19870106,   12,   31,   36
  260,19870106,   13,   26,   48
  260,19870106,   14,   41,   45
  260,19870106,   15,   31,   23
  260,19870106,   16,   21,   16
  260,19870106,   17,   26,   11
  260,19870106,   18,   57,    0
  260,19870106,   19,   67,   -4
  260,19870106,   20,   62,   -7
  260,19870106,   21,   72,   -6
  260,19870106,   22,   72,  -11
  260,19870106,   23,   62,  -11
  260,19870106,   24,   57,  -10
  260,19870107,    1,   46,  -11
  260,19870107,    2,   57,  -18
  260,19870107,    3,   36,  -17
  260,19870107,    4,   26,  -20
  260,19870107,    5,   15,  -19
  260,19870107,    6,   15,  -19
  260,19870107,    7,   10,  -20
  260,19870107,    8,    5,  -19
  260,19870107,    9,   10,  -15
  260,19870107,   10,   15,   -6
  260,19870107,   11,   15,   -6
  260,19870107,   12,   15,  -16
  260,19870107,   13,   26,  -14
  260,19870107,   14,   26,  -14
  260,19870107,   15,   31,  -17
  260,19870107,   16,   31,  -18
  260,19870107,   17,   31,  -20
  260,19870107,   18,   31,  -20
  260,19870107,   19,   36,  -20
  260,19870107,   20,   36,  -20
  260,19870107,   21,   26,  -21
  260,19870107,   22,   15,  -29
  260,19870107,   23,   15,  -37
  260,19870107,   24,    5,  -43
  260,19870108,    1,    5,  -62
  260,19870108,    2,    5,  -63
  260,19870108,    3,    0,  -70
  260,19870108,    4,    5,  -74
  260,19870108,    5,    5,  -66
  260,19870108,    6,   10,  -65
  260,19870108,    7,   15,  -56
  260,19870108,    8,   10,  -52
  260,19870108,    9,   15,  -49
  260,19870108,   10,   21,  -34
  260,19870108,   11,   31,  -25
  260,19870108,   12,   36,  -15
  260,19870108,   13,   41,   -6
  260,19870108,   14,   41,   -3
  260,19870108,   15,   36,   -3
  260,19870108,   16,   36,   -1
  260,19870108,   17,   31,    1
  260,19870108,   18,   36,    4
  260,19870108,   19,   36,    7
  260,19870108,   20,   41,    7
  260,19870108,   21,   46,    7
  260,19870108,   22,   46,    5
  260,19870108,   23,   41,    1
  260,19870108,   24,   46,    0
  260,19870109,    1,   41,    0
  260,19870109,    2,   36,    0
  260,19870109,    3,   36,   -3
  260,19870109,    4,   41,   -9
  260,19870109,    5,   36,   -6
  260,19870109,    6,   36,   -9
  260,19870109,    7,   36,   -8
  260,19870109,    8,   41,   -8
  260,19870109,    9,   36,   -7
  260,19870109,   10,   41,   -5
  260,19870109,   11,   41,   -4
  260,19870109,   12,   36,   -2
  260,19870109,   13,   31,   -4
  260,19870109,   14,   31,   -5
  260,19870109,   15,   21,   -7
  260,19870109,   16,   21,   -6
  260,19870109,   17,   15,   -9
  260,19870109,   18,   15,  -10
  260,19870109,   19,   15,   -9
  260,19870109,   20,   15,  -11
  260,19870109,   21,   10,  -12
  260,19870109,   22,   10,  -12
  260,19870109,   23,   21,  -19
  260,19870109,   24,   46,  -34
  260,19870110,    1,   46,  -43
  260,19870110,    2,   51,  -52
  260,19870110,    3,   46,  -58
  260,19870110,    4,   62,  -67
  260,19870110,    5,   57,  -71
  260,19870110,    6,   57,  -75
  260,19870110,    7,   46,  -84
  260,19870110,    8,   51,  -83
  260,19870110,    9,   51,  -79
  260,19870110,   10,   57,  -75
  260,19870110,   11,   62,  -76
  260,19870110,   12,   72,  -79
  260,19870110,   13,   62,  -71
  260,19870110,   14,   67,  -70
  260,19870110,   15,   72,  -71
  260,19870110,   16,   67,  -76
  260,19870110,   17,   67,  -79
  260,19870110,   18,   67,  -77
  260,19870110,   19,   72,  -82
  260,19870110,   20,   62,  -86
  260,19870110,   21,   57,  -85
  260,19870110,   22,   57,  -86
  260,19870110,   23,   62,  -88
  260,19870110,   24,   57,  -90
  260,19870111,    1,   46,  -93
  260,19870111,    2,   51,  -98
  260,19870111,    3,   51, -102
  260,19870111,    4,   46, -106
  260,19870111,    5,   46, -110
  260,19870111,    6,   46, -113
  260,19870111,    7,   41, -117
  260,19870111,    8,   36, -119
  260,19870111,    9,   31, -112
  260,19870111,   10,   41, -111
  260,19870111,   11,   51, -107
  260,19870111,   12,   46, -102
  260,19870111,   13,   46, -102
  260,19870111,   14,   51, -101
  260,19870111,   15,   46, -105
  260,19870111,   16,   41, -113
  260,19870111,   17,   31, -115
  260,19870111,   18,   21, -120
  260,19870111,   19,   15, -125
  260,19870111,   20,   15, -129
  260,19870111,   21,   15, -129
  260,19870111,   22,   21, -128
  260,19870111,   23,   21, -130
  260,19870111,   24,   15, -130
  260,19870112,    1,   15, -132
  260,19870112,    2,   10, -142
  260,19870112,    3,   10, -140
  260,19870112,    4,   15, -135
  260,19870112,    5,   15, -138
  260,19870112,    6,   21, -132
  260,19870112,    7,   21, -127
  260,19870112,    8,   26, -121
  260,19870112,    9,   31, -111
  260,19870112,   10,   41, -100
  260,19870112,   11,   41,  -94
  260,19870112,   12,   41,  -86
  260,19870112,   13,   46,  -82
  260,19870112,   14,   46,  -80
  260,19870112,   15,   46,  -83
  260,19870112,   16,   36,  -86
  260,19870112,   17,   26,  -90
  260,19870112,   18,   26,  -96
  260,19870112,   19,   26, -101
  260,19870112,   20,   26, -102
  260,19870112,   21,   26, -100
  260,19870112,   22,   21, -101
  260,19870112,   23,   21, -103
  260,19870112,   24,   31,  -90
  260,19870113,    1,   31,  -91
  260,19870113,    2,   26,  -92
  260,19870113,    3,   26,  -86
  260,19870113,    4,   31,  -85
  260,19870113,    5,   41,  -84
  260,19870113,    6,   41,  -86
  260,19870113,    7,   41,  -85
  260,19870113,    8,   51,  -84
  260,19870113,    9,   57,  -80
  260,19870113,   10,   51,  -79
  260,19870113,   11,   51,  -76
  260,19870113,   12,   46,  -72
  260,19870113,   13,   51,  -74
  260,19870113,   14,   57,  -71
  260,19870113,   15,   46,  -72
  260,19870113,   16,   46,  -83
  260,19870113,   17,   41,  -89
  260,19870113,   18,   41,  -94
  260,19870113,   19,   46,  -98
  260,19870113,   20,   57, -107
  260,19870113,   21,   67, -125
  260,19870113,   22,   57, -134
  260,19870113,   23,   62, -141
  260,19870113,   24,   62, -145
  260,19870114,    1,   51, -148
  260,19870114,    2,   67, -150
  260,19870114,    3,   57, -150
  260,19870114,    4,   62, -151
  260,19870114,    5,   62, -151
  260,19870114,    6,   67, -150
  260,19870114,    7,   72, -151
  260,19870114,    8,   67, -151
  260,19870114,    9,   72, -151
  260,19870114,   10,   77, -140
  260,19870114,   11,   77, -133
  260,19870114,   12,   67, -118
  260,19870114,   13,   77, -109
  260,19870114,   14,   77, -114
  260,19870114,   15,   77, -116
  260,19870114,   16,   82, -120
  260,19870114,   17,   77, -122
  260,19870114,   18,   72, -125
  260,19870114,   19,   62, -124
  260,19870114,   20,   62, -120
  260,19870114,   21,   67, -119
  260,19870114,   22,   57, -120
  260,19870114,   23,   82, -116
  260,19870114,   24,   72, -114
  260,19870115,    1,   82, -112
  260,19870115,    2,   77, -114
  260,19870115,    3,   93, -117
  260,19870115,    4,   87, -117
  260,19870115,    5,   82, -120
  260,19870115,    6,   77, -119
  260,19870115,    7,   82, -115
  260,19870115,    8,   82, -113
  260,19870115,    9,   93, -108
  260,19870115,   10,   93,  -98
  260,19870115,   11,   93,  -92
  260,19870115,   12,   87,  -83
  260,19870115,   13,   87,  -77
  260,19870115,   14,   82,  -76
  260,19870115,   15,   87,  -75
  260,19870115,   16,   98,  -72
  260,19870115,   17,  103,  -70
  260,19870115,   18,   98,  -70
  260,19870115,   19,   77,  -73
  260,19870115,   20,   72,  -75
  260,19870115,   21,   67,  -79
  260,19870115,   22,   62,  -81
  260,19870115,   23,   67,  -83
  260,19870115,   24,   62,  -83
  260,19870116,    1,   67,  -81
  260,19870116,    2,   67,  -80
  260,19870116,    3,   62,  -80
  260,19870116,    4,   62,  -75
  260,19870116,    5,   67,  -72
  260,19870116,    6,   62,  -73
  260,19870116,    7,   62,  -73
  260,19870116,    8,   67,  -75
  260,19870116,    9,   62,  -77
  260,19870116,   10,   51,  -78
  260,19870116,   11,   57,  -77
  260,19870116,   12,   46,  -76
  260,19870116,   13,   41,  -73
  260,19870116,   14,   46,  -75
  260,19870116,   15,   46,  -73
  260,19870116,   16,   41,  -72
  260,19870116,   17,   31,  -70
  260,19870116,   18,   26,  -69
  260,19870116,   19,   36,  -69
  260,19870116,   20,   26,  -69
  260,19870116,   21,   26,  -70
  260,19870116,   22,   21,  -69
  260,19870116,   23,   21,  -69
  260,19870116,   24,   31,  -70
  260,19870117,    1,   21,  -69
  260,19870117,    2,   21,  -70
  260,19870117,    3,   26,  -73
  260,19870117,    4,   21,  -74
  260,19870117,    5,   26,  -80
  260,19870117,    6,   21,  -83
  260,19870117,    7,   26,  -83
  260,19870117,    8,   21,  -84
  260,19870117,    9,   26,  -90
  260,19870117,   10,   15,  -86
  260,19870117,   11,   10,  -82
  260,19870117,   12,   15,  -74
  260,19870117,   13,   15,  -72
  260,19870117,   14,   15,  -70
  260,19870117,   15,   10,  -66
  260,19870117,   16,   15,  -67
  260,19870117,   17,   15,  -66
  260,19870117,   18,   15,  -66
  260,19870117,   19,   15,  -70
  260,19870117,   20,   15,  -81
  260,19870117,   21,    5,  -68
  260,19870117,   22,   10,  -66
  260,19870117,   23,   15,  -66
  260,19870117,   24,   10,  -61
  260,19870118,    1,   15,  -57
  260,19870118,    2,   15,  -56
  260,19870118,    3,   21,  -53
  260,19870118,    4,   21,  -51
  260,19870118,    5,   21,  -51
  260,19870118,    6,   26,  -52
  260,19870118,    7,   21,  -51
  260,19870118,    8,   21,  -51
  260,19870118,    9,   26,  -51
  260,19870118,   10,   26,  -56
  260,19870118,   11,   26,  -58
  260,19870118,   12,   26,  -58
  260,19870118,   13,   31,  -56
  260,19870118,   14,   31,  -51
  260,19870118,   15,   26,  -61
  260,19870118,   16,   31,  -66
  260,19870118,   17,   21,  -64
  260,19870118,   18,   15,  -61
  260,19870118,   19,   21,  -59
  260,19870118,   20,   26,  -60
  260,19870118,   21,   21,  -60
  260,19870118,   22,   21,  -61
  260,19870118,   23,   21,  -62
  260,19870118,   24,   15,  -62
  260,19870119,    1,   15,  -64
  260,19870119,    2,   21,  -65
  260,19870119,    3,   15,  -66
  260,19870119,    4,   15,  -65
  260,19870119,    5,   10,  -66
  260,19870119,    6,   15,  -66
  260,19870119,    7,   10,  -65
  260,19870119,    8,    5,  -63
  260,19870119,    9,    5,  -59
  260,19870119,   10,   10,  -56
  260,19870119,   11,   10,  -55
  260,19870119,   12,   10,  -53
  260,19870119,   13,    5,  -50
  260,19870119,   14,   10,  -50
  260,19870119,   15,   21,  -53
  260,19870119,   16,   21,  -55
  260,19870119,   17,   21,  -57
  260,19870119,   18,   21,  -60
  260,19870119,   19,   15,  -61
  260,19870119,   20,   10,  -60
  260,19870119,   21,   10,  -61
  260,19870119,   22,    5,  -60
  260,19870119,   23,    5,  -58
  260,19870119,   24,    5,  -58
  260,19870120,    1,   10,  -57
  260,19870120,    2,   10,  -56
  260,19870120,    3,   10,  -54
  260,19870120,    4,   15,  -54
  260,19870120,    5,   15,  -53
  260,19870120,    6,   15,  -53
  260,19870120,    7,   10,  -52
  260,19870120,    8,   10,  -52
  260,19870120,    9,   10,  -49
  260,19870120,   10,   15,  -46
  260,19870120,   11,   15,  -42
  260,19870120,   12,   15,  -38
  260,19870120,   13,   15,  -34
  260,19870120,   14,   10,  -31
  260,19870120,   15,   10,  -31
  260,19870120,   16,   10,  -30
  260,19870120,   17,   10,  -30
  260,19870120,   18,   10,  -32
  260,19870120,   19,   10,  -33
  260,19870120,   20,    5,  -32
  260,19870120,   21,   10,  -32
  260,19870120,   22,   10,  -31
  260,19870120,   23,   10,  -31
  260,19870120,   24,   15,  -32
  260,19870121,    1,   15,  -31
  260,19870121,    2,   15,  -29
  260,19870121,    3,   10,  -28
  260,19870121,    4,   10,  -26
  260,19870121,    5,   15,  -25
  260,19870121,    6,   15,  -24
  260,19870121,    7,   15,  -24
  260,19870121,    8,   15,  -23
  260,19870121,    9,   15,  -22
  260,19870121,   10,   21,  -20
  260,19870121,   11,   21,  -17
  260,19870121,   12,   15,  -13
  260,19870121,   13,   15,   -9
  260,19870121,   14,   15,   -7
  260,19870121,   15,   15,   -5
  260,19870121,   16,   15,   -3
  260,19870121,   17,    5,   -2
  260,19870121,   18,   10,   -2
  260,19870121,   19,   15,   -1
  260,19870121,   20,   10,    0
  260,19870121,   21,   10,    0
  260,19870121,   22,   10,    0
  260,19870121,   23,   15,    1
  260,19870121,   24,   10,    2
  260,19870122,    1,   15,    2
  260,19870122,    2,   10,    3
  260,19870122,    3,   15,    3
  260,19870122,    4,   10,    3
  260,19870122,    5,   10,    3
  260,19870122,    6,   10,    4
  260,19870122,    7,   10,    5
  260,19870122,    8,    5,    7
  260,19870122,    9,   10,    8
  260,19870122,   10,   10,   10
  260,19870122,   11,   10,   12
  260,19870122,   12,   10,   13
  260,19870122,   13,   10,   15
  260,19870122,   14,    5,   15
  260,19870122,   15,    5,   18
  260,19870122,   16,    5,   15
  260,19870122,   17,    5,   14
  260,19870122,   18,    5,   11
  260,19870122,   19,    5,   12
  260,19870122,   20,    5,   11
  260,19870122,   21,    5,   10
  260,19870122,   22,    5,    9
  260,19870122,   23,    5,   11
  260,19870122,   24,    5,   12
  260,19870123,    1,    5,   20
  260,19870123,    2,    5,   21
  260,19870123,    3,   10,   25
  260,19870123,    4,   10,   27
  260,19870123,    5,   10,   28
  260,19870123,    6,   10,   28
  260,19870123,    7,   10,   35
  260,19870123,    8,   15,   32
  260,19870123,    9,   15,   40
  260,19870123,   10,   15,   46
  260,19870123,   11,   21,   51
  260,19870123,   12,   26,   54
  260,19870123,   13,   26,   55
  260,19870123,   14,   31,   52
  260,19870123,   15,   31,   49
  260,19870123,   16,   26,   47
  260,19870123,   17,   26,   46
  260,19870123,   18,   26,   44
  260,19870123,   19,   31,   44
  260,19870123,   20,   36,   44
  260,19870123,   21,   41,   40
  260,19870123,   22,   26,   36
  260,19870123,   23,   21,   37
  260,19870123,   24,   26,   36
  260,19870124,    1,   31,   37
  260,19870124,    2,   26,   34
  260,19870124,    3,   26,   32
  260,19870124,    4,   31,   33
  260,19870124,    5,   36,   31
  260,19870124,    6,   41,   27
  260,19870124,    7,   36,   19
  260,19870124,    8,   21,   16
  260,19870124,    9,   26,   12
  260,19870124,   10,   21,   12
  260,19870124,   11,   15,   12
  260,19870124,   12,   15,   11
  260,19870124,   13,   15,   11
  260,19870124,   14,   15,   11
  260,19870124,   15,   21,    3
  260,19870124,   16,   21,    0
  260,19870124,   17,   21,   -1
  260,19870124,   18,   10,    0
  260,19870124,   19,   10,    1
  260,19870124,   20,   10,    2
  260,19870124,   21,   10,    3
  260,19870124,   22,   10,    2
  260,19870124,   23,   15,    4
  260,19870124,   24,   15,    4
  260,19870125,    1,   21,    7
  260,19870125,    2,   26,    8
  260,19870125,    3,   26,    8
  260,19870125,    4,   31,   11
  260,19870125,    5,   31,   12
  260,19870125,    6,   26,   15
  260,19870125,    7,   21,   18
  260,19870125,    8,   26,   19
  260,19870125,    9,   26,   22
  260,19870125,   10,   21,   27
  260,19870125,   11,   26,   29
  260,19870125,   12,   26,   29
  260,19870125,   13,   26,   30
  260,19870125,   14,   31,   31
  260,19870125,   15,   31,   30
  260,19870125,   16,   26,   28
  260,19870125,   17,   31,   26
  260,19870125,   18,   31,   28
  260,19870125,   19,   31,   27
  260,19870125,   20,   31,   28
  260,19870125,   21,   31,   30
  260,19870125,   22,   26,   28
  260,19870125,   23,   26,   29
  260,19870125,   24,   26,   29
  260,19870126,    1,   26,   29
  260,19870126,    2,   31,   31
  260,19870126,    3,   31,   33
  260,19870126,    4,   31,   35
  260,19870126,    5,   26,   34
  260,19870126,    6,   26,   28
  260,19870126,    7,   31,   26
  260,19870126,    8,   26,   25
  260,19870126,    9,   26,   29
  260,19870126,   10,   31,   34
  260,19870126,   11,   31,   42
  260,19870126,   12,   41,   42
  260,19870126,   13,   41,   48
  260,19870126,   14,   36,   18
  260,19870126,   15,   21,   25
  260,19870126,   16,   21,   17
  260,19870126,   17,   15,   13
  260,19870126,   18,   15,    1
  260,19870126,   19,   10,   -4
  260,19870126,   20,   10,   -4
  260,19870126,   21,   10,  -10
  260,19870126,   22,    5,  -19
  260,19870126,   23,    5,  -18
  260,19870126,   24,    5,  -27
  260,19870127,    1,    5,  -28
  260,19870127,    2,    5,  -28
  260,19870127,    3,    5,  -32
  260,19870127,    4,    5,  -38
  260,19870127,    5,    5,  -43
  260,19870127,    6,    5,  -38
  260,19870127,    7,    5,  -44
  260,19870127,    8,    5,  -40
  260,19870127,    9,    5,  -28
  260,19870127,   10,   10,  -19
  260,19870127,   11,   10,   -9
  260,19870127,   12,   15,   -1
  260,19870127,   13,   15,    2
  260,19870127,   14,   15,   19
  260,19870127,   15,   31,   20
  260,19870127,   16,   31,   16
  260,19870127,   17,   26,   11
  260,19870127,   18,   26,   11
  260,19870127,   19,   31,    9
  260,19870127,   20,   31,    8
  260,19870127,   21,   31,    6
  260,19870127,   22,   26,   10
  260,19870127,   23,   31,   10
  260,19870127,   24,   26,   17
  260,19870128,    1,   31,   18
  260,19870128,    2,   36,   25
  260,19870128,    3,   31,   21
  260,19870128,    4,   31,   21
  260,19870128,    5,   21,   10
  260,19870128,    6,   21,   16
  260,19870128,    7,   21,   10
  260,19870128,    8,   26,   13
  260,19870128,    9,   26,   20
  260,19870128,   10,   31,   33
  260,19870128,   11,   26,   29
  260,19870128,   12,   46,   31
  260,19870128,   13,   51,   41
  260,19870128,   14,   51,   35
  260,19870128,   15,   41,   28
  260,19870128,   16,   36,   18
  260,19870128,   17,   21,    1
  260,19870128,   18,   21,   -1
  260,19870128,   19,   15,   -4
  260,19870128,   20,   15,  -12
  260,19870128,   21,   15,  -14
  260,19870128,   22,   15,  -18
  260,19870128,   23,   15,  -19
  260,19870128,   24,   10,  -19
  260,19870129,    1,   15,  -21
  260,19870129,    2,   15,  -22
  260,19870129,    3,   15,  -26
  260,19870129,    4,   15,  -30
  260,19870129,    5,   15,  -26
  260,19870129,    6,   15,  -33
  260,19870129,    7,    5,  -40
  260,19870129,    8,   10,  -28
  260,19870129,    9,   10,  -16
  260,19870129,   10,   21,   -4
  260,19870129,   11,   26,    2
  260,19870129,   12,   41,    7
  260,19870129,   13,   36,    4
  260,19870129,   14,   36,    5
  260,19870129,   15,   31,    1
  260,19870129,   16,   31,   -5
  260,19870129,   17,   36,  -18
  260,19870129,   18,   26,  -25
  260,19870129,   19,   41,  -36
  260,19870129,   20,   36,  -44
  260,19870129,   21,   46,  -57
  260,19870129,   22,   31,  -68
  260,19870129,   23,   21,  -73
  260,19870129,   24,   26,  -80
  260,19870130,    1,   26,  -84
  260,19870130,    2,   21,  -87
  260,19870130,    3,   21,  -93
  260,19870130,    4,   21,  -97
  260,19870130,    5,   21,  -98
  260,19870130,    6,   26, -100
  260,19870130,    7,   26, -102
  260,19870130,    8,   21, -103
  260,19870130,    9,   21,  -87
  260,19870130,   10,   21,  -74
  260,19870130,   11,   21,  -57
  260,19870130,   12,   26,  -45
  260,19870130,   13,   15,  -29
  260,19870130,   14,   15,  -26
  260,19870130,   15,   26,  -27
  260,19870130,   16,   26,  -33
  260,19870130,   17,   21,  -44
  260,19870130,   18,   15,  -54
  260,19870130,   19,   15,  -67
  260,19870130,   20,    5,  -71
  260,19870130,   21,    5,  -78
  260,19870130,   22,   10,  -79
  260,19870130,   23,    5,  -85
  260,19870130,   24,   15,  -88
  260,19870131,    1,   10,  -98
  260,19870131,    2,   10,  -96
  260,19870131,    3,    5,  -94
  260,19870131,    4,    5,  -92
  260,19870131,    5,   10,  -91
  260,19870131,    6,   10,  -98
  260,19870131,    7,    5, -101
  260,19870131,    8,   10,  -89
  260,19870131,    9,   15,  -66
  260,19870131,   10,   21,  -45
  260,19870131,   11,   21,  -27
  260,19870131,   12,   10,   -6
  260,19870131,   13,   15,    5
  260,19870131,   14,   15,   10
  260,19870131,   15,   21,    8
  260,19870131,   16,   21,   -6
  260,19870131,   17,   15,  -32
  260,19870131,   18,    5,  -42
  260,19870131,   19,    5,  -53
  260,19870131,   20,    5,  -45
  260,19870131,   21,    5,  -67
  260,19870131,   22,    5,  -84
  260,19870131,   23,    5,  -83
  260,19870131,   24,    5,  -89
  260,19870201,    1,    5,  -87
  260,19870201,    2,    5,  -89
  260,19870201,    3,    5,  -96
  260,19870201,    4,    5,  -87
  260,19870201,    5,    5, -107
  260,19870201,    6,   10,  -90
  260,19870201,    7,   10,  -94
  260,19870201,    8,   10,  -78
  260,19870201,    9,   15,  -64
  260,19870201,   10,   15,  -41
  260,19870201,   11,   15,  -21
  260,19870201,   12,   21,   -7
  260,19870201,   13,   21,    1
  260,19870201,   14,   15,    9
  260,19870201,   15,   21,    9
  260,19870201,   16,   21,   -4
  260,19870201,   17,   26,   -9
  260,19870201,   18,   15,  -23
  260,19870201,   19,   15,  -28
  260,19870201,   20,   26,  -21
  260,19870201,   21,   36,  -19
  260,19870201,   22,   36,  -31
  260,19870201,   23,   31,  -33
  260,19870201,   24,   31,  -38
  260,19870202,    1,   26,  -47
  260,19870202,    2,   31,  -46
  260,19870202,    3,   36,  -47
  260,19870202,    4,   26,  -52
  260,19870202,    5,   31,  -51
