PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
Transformation processes,x,x,0,-66485.25,-53688.42,0,0,0,13510.97,0,2234.12,0,0,12737.67,5123.01,1987.6,0,-147209.69,x,-1161622.8,-15051.59,-146789.71,0,0,35838,0,26496,184448.01,0,0,64371,1075,473456.41,196320.01,62128.01,0,168.02,37011.02,0,9951.98,220320.01,-6593.75,-12068.66,-16354.85,-31331,-4592.12,0,-76.12,-904.81,0,0,0,0,-465291.02,-1368.25,-135.99,-9520.11,0,0,-13275.59,0,295912.05,20680.03,-488590.81,-73272.64
Main activity producer electricity plants,x,x,0,0,-26974.55,0,0,0,0,0,0,0,0,-163.75,-16556.83,-1237.74,0,-67069.56,x,0,0,0,0,0,0,0,0,0,0,0,0,-43,-127.78,-80.01,0,0,0,0,0,0,0,0,-4687.08,-11800.75,-21270.91,-825.85,0,0,-301.62,0,0,0,0,-465291.02,-1368.25,0,-14.4,0,0,-13199.98,0,232583.86,0,-398429.2,-41668.08
Autoproducer electricity plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.89,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-890.83,-409.93,0,0,0,0,0,0,0,0,0,0,-9505.71,0,0,-75.61,0,9966.59,0,-952.37,-10882.08
Main activity producer CHP plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64241.67,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.58,0,0,0,0,0,0,0,0,-4508.14,-6914.67,-4361.18,-2421.52,-910.84,0,0,-603.19,0,0,0,0,0,0,0,0,0,0,0,0,30475.88,28768.47,-24759.44,-10850.22
Autoproducer CHP plants,x,x,0,0,-342.98,0,0,0,0,0,0,0,0,-246.52,0,0,0,-15786.92,x,0,0,0,0,0,-445.52,0,0,0,0,0,0,0,-42.58,-239.99,0,0,0,0,0,0,0,-2085.61,-289.94,0,-6747.7,-2445.51,0,-76.12,0,0,0,0,0,0,0,0,0,0,0,0,0,21625.49,0,-7123.88,-9559.26
Main activity producer heat plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.69,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-176.98,-192.97,0,0,0,0,0,0,0,0,0,0,0,-135.99,0,0,0,0,0,0,408.92,-171.7,-312.96
Autoproducer heat plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heat pumps,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric boilers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical heat for electricity production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260.23,-8497.36,-7237.14,0
Blast furnaces,x,x,0,0,-26370.89,0,0,0,-35902.31,0,0,0,0,0,21679.84,3225.39,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37367.99,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke ovens,x,x,0,-66485.25,0,0,0,0,49413.28,0,2234.12,0,0,13147.93,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1689.92,0
Patent fuel plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1161622.8,-15051.59,-184706.17,0,0,36283.52,0,26496,184448.01,0,0,64371,1118,473669.39,196640.01,101815.98,0,168.02,37011.02,0,9951.98,220320.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9087.62,0
Petrochemical plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,37916.46,0,0,0,0,0,0,0,0,0,0,0,0,-39688.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1771.56,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For blended natural gas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (transformation),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy industry own use,x,x,0,0,0,0,0,0,0,0,0,0,0,-5587.41,-4555.11,-1695.65,0,-12394.85,x,0,0,0,0,0,-35838,0,0,0,0,0,0,0,-85.2,-2639.99,0,0,0,0,0,-9951.98,0,-1030.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18471.32,-4933.06,-97183.37,0
Coal mines,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil and gas extraction,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast furnaces,x,x,0,0,0,0,0,0,0,0,0,0,0,-376.98,-4555.11,-1695.65,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6627.75,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasification plants for biogases,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke ovens,x,x,0,0,0,0,0,0,0,0,0,0,0,-5210.43,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-205.24,0,-5458.25,0
Patent fuel plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12394.85,x,0,0,0,0,0,-35838,0,0,0,0,0,0,0,0,-2639.99,0,0,0,0,0,-9951.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4742.05,-4901.07,-70467.95,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquefaction (LNG) / regasification plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.99,-31.99,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Own use in electricity, CHP and heat plants",x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.58,0,0,0,0,0,0,0,0,-1030.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11856.93,0,-12930.3,0
Pumped storage plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1559.08,0,-1559.08,0
Nuclear industry,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (energy),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-108.02,0,-108.02,0
Losses,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.07,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.02,0,0,0,0,0,-14424.2,-2913.43,-17502.71,-4.02
Total final consumption,x,x,7017.79,8950.5,3970.09,0,0,91.44,3370.42,0,8666.76,6700.97,0,7224.95,1162.76,291.95,0,442759.21,x,0,0,0,0,0,0,0,71759.99,50555.99,132.01,0,1461.99,2924.02,454925.42,5679.98,195140.01,348.8,1806.02,27767.99,0,2335.98,46680.01,6166.82,270.93,0,53049.81,3318.37,2014.52,12252.75,37.68,0,263.68,0,0,0,0,0,0,778.87,0,0,0,294331.37,23229.54,1747439.4,71986.63
Industry,x,x,2938.25,8950.5,3943.8,0,0,0,3018.72,0,0,6349.37,0,7224.95,1162.76,291.95,0,155427.96,x,0,0,0,0,0,0,0,8096.02,220.02,0,0,0,43,10479.6,3920.02,48004.01,0,0,0,0,2335.98,0,6166.82,270.93,0,26412.93,974.81,0,0,37.68,0,0,0,0,0,0,0,0,0,0,0,0,133929.7,20306.11,450505.88,27696.35
Iron and steel,x,x,0,7692.74,2208.54,0,0,0,2989.42,0,0,0,0,7224.95,1162.76,291.95,0,17075.32,x,0,0,0,0,0,0,0,0,0,0,0,0,0,553.79,39.98,0,0,0,0,0,0,0,0,0,0,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16386.55,0,55637,11.01
Chemical and petrochemical,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53552.73,x,0,0,0,0,0,0,0,6578.01,0,0,0,0,0,894.59,0,48004.01,0,0,0,0,0,0,886.85,0,0,165.96,318.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45980.27,16975.76,173357.13,484.92
Non-ferrous metals,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4891.02,x,0,0,0,0,0,0,0,0,0,0,0,0,0,170.4,80.01,0,0,0,0,0,0,0,79.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6776.42,0,11997.82,0
Non-metallic minerals,x,x,2889.69,1257.76,0,0,0,0,29.31,0,0,5708.24,0,0,0,0,0,20434.05,x,0,0,0,0,0,0,0,0,0,0,0,0,0,383.39,2080,0,0,0,0,0,2335.98,0,4636.13,0,0,4883.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10193.43,0,54831.04,4883.06
Transport equipment,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3937.27,x,0,0,0,0,0,0,0,0,0,0,0,0,0,212.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8047.45,0,12197.7,0
Machinery,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5908.62,x,0,0,0,0,0,0,0,0,0,0,0,0,0,809.39,119.99,0,0,0,0,0,0,0,0,0,0,51,0,0,0,37.68,0,0,0,0,0,0,0,0,0,0,0,0,2091.98,0,9018.66,88.68
Mining and quarrying,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551.88,0,1551.88,0
Food and tobacco,x,x,0,0,867.63,0,0,0,0,0,0,0,0,0,0,0,0,31730.33,x,0,0,0,0,0,0,0,46.01,0,0,0,0,0,298.18,200,0,0,0,0,0,0,0,0,0,0,2358.55,483.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19432.7,1669.7,57087.02,2842.46
"Paper, pulp and print",x,x,0,0,867.63,0,0,0,0,0,0,0,0,0,0,0,0,4013.76,x,0,0,0,0,0,0,0,46.01,0,0,0,0,0,85.2,759.99,0,0,0,0,0,0,0,563.88,241.96,0,11873.72,116.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9404.89,1634.69,29608.71,12232.66
Wood and wood products,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840.37,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7069.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353.84,0,9263.84,7069.62
Construction,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415.83,x,0,0,0,0,0,0,0,0,220.02,0,0,0,0,1831.81,559.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3337.8,0,8365.44,0
Textile and leather,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4068.65,x,0,0,0,0,0,0,0,0,0,0,0,0,0,42.58,0,0,0,0,0,0,0,0,0,29.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093.94,26,8260.18,29.01
Non-specified (industry),x,x,48.57,0,0,0,0,0,0,0,0,641.12,0,0,0,0,0,6560.05,x,0,0,0,0,0,0,0,1425.98,0,0,0,0,43,5197.2,80.01,0,0,0,0,0,0,0,0,0,0,0,54.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5278.55,0,19329.45,54.97
Transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937.15,x,0,0,0,0,0,0,0,1747.99,48927.99,132.01,0,0,171.99,279626.41,0,0,0,0,0,0,0,0,0,0,0,0,0,2014.52,12176.64,0,0,0,0,0,0,0,0,0,0,0,0,0,6070.69,0,352805.39,14191.16
Domestic aviation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,132.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.01,0
Road,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.41,x,0,0,0,0,0,0,0,1747.99,48927.99,0,0,0,0,270935.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2014.52,12176.64,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,335846.34,14191.16
Rail,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,2300.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5750.23,0,8050.63,0
Pipeline transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904.74,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.66,0,2214.4,0
Domestic navigation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,171.99,6390.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6562.01,0
Non-specified (transport),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,x,x,4079.53,0,26.29,0,0,91.44,351.69,0,0,351.61,0,0,0,0,0,246126.56,x,0,0,0,0,0,0,0,5566.02,1408.02,0,0,1461.99,2708.99,164819.41,39.98,0,0,0,0,0,0,0,0,0,0,26636.88,2343.56,0,76.12,0,0,263.68,0,0,0,0,0,0,778.87,0,0,0,154330.97,2923.43,614385.06,30099.11
Residential,x,x,3763.85,0,26.29,0,0,91.44,351.69,0,0,351.61,0,0,0,0,0,155877.83,x,0,0,0,0,0,0,0,3588,1011.99,0,0,0,1504.99,111356.4,0,0,0,0,0,0,0,0,0,0,0,25341.11,0,0,0,0,0,234.42,0,0,0,0,0,0,746.84,0,0,0,71343.24,173.96,375763.67,26322.37
Commercial and public services,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80781.67,x,0,0,0,0,0,0,0,1885.99,0,0,0,0,558.98,37104.59,0,0,0,0,0,0,0,0,0,0,0,809.85,875.84,0,0,0,0,29.31,0,0,0,0,0,0,31.99,0,0,0,80154.03,2612.48,204844.72,1746.98
Agriculture/forestry,x,x,315.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9467.11,x,0,0,0,0,0,0,0,91.98,395.99,0,0,0,129,16358.41,39.98,0,0,0,0,0,0,0,0,0,0,485.92,1467.72,0,76.12,0,0,0,0,0,0,0,0,0,0,0,0,0,2833.71,136.99,31798.62,2029.76
Fishing,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (other),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,1461.99,515.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977.97,0
Non-energy use,x,x,0,0,0,0,0,0,0,0,8666.76,0,0,0,0,0,0,39267.49,x,0,0,0,0,0,0,0,56350.02,0,0,0,0,0,0,1719.98,147136,348.8,1806.02,27767.99,0,0,46680.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329743.07,0
