crt_code,crt_category,co2,other_ghg,total_ghg,unit
3.I,Other carbon-containing fertilizers,,,,kton CO2-eq
3.J,Other (please specify),,,,kton CO2-eq
4,Total LULUCF,-6.844705172207386,7.84580885383778,1.0011036816303935,kton CO2-eq
4.A,Forest land,-87.20681987492362,0.1128387683349672,-87.09398110658866,kton CO2-eq
4.A.1,Forest land remaining forest land,-28.61,0.1128387683349601,-28.49716123166504,kton CO2-eq
4.A.2,Land converted to forest land,-58.596819874923625,0.0,-58.596819874923625,kton CO2-eq
4.B,Cropland,-0.2637215049922738,0.01426389,-0.2494576149922738,kton CO2-eq
4.B.1,Cropland remaining cropland,-0.02,0.0,-0.02,kton CO2-eq
4.B.2,Land converted to cropland,-0.2437215049922738,0.01426389,-0.2294576149922738,kton CO2-eq
4.C,Grassland,,,,kton CO2-eq
4.C.1,Grassland remaining grassland,,,,kton CO2-eq
4.C.2,Land converted to grassland,,,,kton CO2-eq
4.D,Wetlands,4.73000000000043,0.0,4.73000000000043,kton CO2-eq
4.D.1,Wetlands remaining wetlands,,,,kton CO2-eq
4.D.2,Land converted to wetlands,4.73000000000043,0.0,4.73000000000043,kton CO2-eq
4.E,Settlements,73.39489050770786,7.718706195502819,81.11359670321067,kton CO2-eq
4.E.1,Settlements remaining settlements,-28.34,2.4187061955028213,-25.92129380449718,kton CO2-eq
4.E.2,Land converted to settlements,101.73489050770786,5.299999999999997,107.03489050770786,kton CO2-eq
4.F,Other land,2.5009457000002273,0.0,2.5009457000002273,kton CO2-eq
4.F.1,Other land remaining other land,,,,kton CO2-eq
4.F.2,Land converted to other land,2.5009457000002273,0.0,2.5009457000002273,kton CO2-eq
4.G,Harvested wood products,,,,kton CO2-eq
4.H,Other (please specify),,,,kton CO2-eq
5,Total waste,103.84587424817202,109.93533501033978,213.7812092585118,kton CO2-eq
5.A,Solid waste disposal,,64.86626358947926,64.86626358947926,kton CO2-eq
5.A.1,Managed waste disposal sites,,,,kton CO2-eq
5.A.2,Unmanaged waste disposal sites,,64.86626358947926,64.86626358947926,kton CO2-eq
5.A.3,Uncategorized waste disposal sites,,,,kton CO2-eq
5.B,Biological treatment of solid waste,,,,kton CO2-eq
5.B.1,Composting,,,,kton CO2-eq
5.B.2,Anaerobic digestion at biogas facilities,,,,kton CO2-eq
5.C,Incineration and open burning of waste,103.84587424817202,0.8416628357397968,104.68753708391182,kton CO2-eq
5.C.1,Waste incineration,103.84587424817202,0.8416628357397968,104.68753708391182,kton CO2-eq
5.C.2,Open burning of waste,,,,kton CO2-eq
5.D,Wastewater treatment and discharge,,44.22740858512072,44.22740858512072,kton CO2-eq
5.D.1,Domestic wastewater,,44.22740858512072,44.22740858512072,kton CO2-eq
5.D.2,Industrial wastewater,,,,kton CO2-eq
5.D.3,Other,,,,kton CO2-eq
5.E,Other (please specify),,,,kton CO2-eq
5.F.1,Long-term storage of C in waste disposal sites,,,,kton CO2-eq
5.F.2,Annual change in total long-term C storage,,,,kton CO2-eq
5.F.3,Annual change in total long-term C storage in HWP waste,,,,kton CO2-eq
6,Other (as specified in summary 1),,,,kton CO2-eq
ind_CO2,Indirect CO2,,,,kton CO2-eq
