Municipality,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
Beesel,0.0009001593051,1.5834581e-05,0.00017585329964500001,0.000398304841555,3.179591672085e-05,0.0004078237302461,0.0036771876428,0.0028624076116020004,0.0,0.00164117415,0.0,0.00041317747776000005,6.324115400000001e-05
Berg en Dal,0.00038933633669999997,9.715175485999999e-05,0.00044581348,0.000979472617235,3.8106207537e-05,0.00064695972900444,0.01700786388,0.00723593764369,0.0,0.0071981297517,0.0,0.0010960121933,0.0002626504365
Bergeijk,6.855005773515001e-05,3.4739085049999996e-05,0.00023669128,0.0005633017026750001,3.9995550280000006e-05,0.00045234446087608,0.029960529479999998,0.019952525587704,0.0,0.00636796166,0.0,0.0006219984048,7.4778605e-05
Bergen (L),0.00487286444255,1.4674199100000001e-05,0.000171457560045,0.00039587473956,2.02988174024e-05,0.000383501220511764,0.0151219630464,0.012998844176494,0.0,0.00568234412,0.0,0.00039190454917999997,0.000318589115
Bergen (NH),2.4225440219499996e-05,5.552411471450001e-05,0.000452114718145,0.00084978126947,1.91758229935e-05,0.0006101890650342601,0.01104266474976,0.0033045496319764997,0.0,0.0085152808863,0.0,0.0010242311288,0.00011050757299999999
Bergen op Zoom,0.005096230280800001,0.00022862776775000004,0.00086206624,0.0015502611888999999,7.14488143355e-05,0.00159303741668944,0.0058839812864,0.00282753731726805,0.0,0.004563285849000001,0.0003516514,0.0022623723364200003,0.047532803504
Berkelland,0.00015390791414,9.450865728e-05,0.0005764928400000001,0.0012725709879550001,8.87745503155e-05,0.00098959009489808,0.132877765188,0.07371999084094,0.0,0.0328357981595,0.0,0.0044507694338,0.0013012578978
Bernheze,0.0008903512714999999,6.284857242e-05,0.00038643499999999997,0.0008813274032650002,4.399746791435e-05,0.001418093497626584,0.0478317368956,0.064729673798028,0.0,0.008321303955,0.0,0.0009161573099,0.001924098217
Best,9.097079268999999e-05,7.696610615000001e-05,0.00040021774999999995,0.000705160531355,9.29821386605e-05,0.001154695739728304,0.006757684404800001,0.010040059411192001,0.0,0.0015582033655,0.0,0.0012294295479,9.960128328000001e-05
Beuningen,0.00079476132345,0.00011072992025,0.0050770062845975,0.0006611790498350001,8.9472800836e-05,0.0013307137842106839,0.01176548156,0.00459583509787,0.0,0.0044363363133710495,0.0,0.0020644157806,0.0939979744228
Beverwijk,6.398668824729999e-05,0.0003184160322,0.0005265068000449999,0.000847132926165,0.0039358883453811,0.000750426080665311,9.518629708e-05,3.48393309196e-05,0.0,0.000487510875465,0.0,0.0014722624006999999,0.002282847211
Bladel,0.00025729916859999996,4.354319730000001e-05,0.00026377655469749997,0.0005519446797400001,7.167532913135e-05,0.000683611879273608,0.0242609979304,0.027826234423510003,0.0,0.005618463978164999,0.0,0.000768130311,0.0003452426872
Blaricum,6.104886165000001e-07,2.698894062e-05,0.00012104316,0.000300489068675,6.7161685553500005e-06,0.000338222363215144,0.00024790871055999997,7.637402362000001e-05,0.0,0.00052069999248,0.0,0.00037316134158,0.00027283402740000003
Bloemendaal,1.47919283585e-05,5.55048919e-05,0.000289630026515,0.0005962264565350001,1.190564785895e-05,0.000394353907976972,0.001041551896,0.00031427704296500006,0.0,0.0008396803158045,0.0,0.0006817227831,7.4694307e-05
Bodegraven-Reeuwijk,0.00012157532113500002,9.431852073000001e-05,0.00043165808,0.00080792673776,3.612080908035e-05,0.00202401510647396,0.037506577920000006,0.012829356944120001,0.0,0.026639736734827148,0.0,0.003386675077,0.0005745189940000001
Boekel,0.0021726342671999996,2.428899526e-05,0.00013153252,0.00028565887108499997,1.2325293937849998e-05,0.000130498789967068,0.0208679872772,0.027912240181796,0.0,0.003227901506,0.0,0.00032326021178,4.8721284e-05
Borger-Odoorn,0.0017239199691,4.85212093e-05,0.00033527149474999997,0.000812713386485,1.89798274085e-05,0.000551071218582872,0.0269469622324,0.014434716881992,0.0,0.0286487430395,0.0,0.0007819538267,0.0004536498674
Borne,8.9311666235e-06,3.0999634200000003e-05,0.00028586488000000005,0.0005508226969600001,2.95494457225e-05,0.000691649992170776,0.008753320027200001,0.0030733589282138,0.0,0.0024136092940000003,0.0,0.0007467048615,9.42776712e-05
Borsele,0.00010473332739500001,0.0001014613319,0.00029335208,0.00066604619681,2.84600429823e-05,0.0007398865990026001,0.00598007774,0.004091053379788,0.0,0.0155878309275,0.00037352829999999997,0.0831034744617,0.096197372109
Boxmeer,0.00166543964995,8.251623235e-05,0.0003692397462500001,0.000571044740955,7.687215928250001e-05,0.00138149053128324,0.027934815126400003,0.0346431246475175,0.0,0.0089363084025,0.0,0.0011570310113000002,0.000151220197
Boxtel,0.00055212974945,9.107339695e-05,0.00042230789964499996,0.00080826578997,0.00010229057465115001,0.001391352177115696,0.018990470239999998,0.015838217511644,0.0,0.0048480992895,0.0013458987229800004,0.0018107657368,0.0007460113358
Breda,0.0124763332328,0.000777200076105,0.002384940392,0.0040555248899,0.0004199525053125,0.00547986967877227,0.0130382615664,0.007756995832014001,0.0,0.007756551094715,0.016724146784296,0.025058011428,0.045760175320400005
Brielle,0.01229585125752055,3.7537486e-05,0.00021404768000000003,0.00041243320638,1.3463614322500001e-05,0.00044609938223744,0.00207867989308,0.000704347142834,0.0,0.0032955739385500003,0.0,0.0005299028698,6.39060894e-05
Bronckhorst,0.00012126463414499999,8.99551262e-05,0.00047738627999999996,0.00104938441667,0.00024305560851150003,0.000946524007291,0.120645889084,0.05554477399009,0.0,0.034818401183424996,0.0,0.0011388318010000001,0.0405419513045
Brummen,0.0001717709868,3.758653152e-05,0.0002727494,0.0006004399026499999,0.00065610594662,0.0005136219549578881,0.024111783388000005,0.0089025514196735,0.0,0.00877231726,0.0,0.0006556822459,0.0003797929122
Brunssum,5.247520622000001e-06,5.219543264999999e-05,0.000373633539095,0.00067688509248,5.9346985936e-05,0.000430068738911462,0.000284340364,7.60415234932e-05,0.0,0.0001896471888645,0.0,0.0010844416029000001,9.724991999999999e-05
Bunnik,0.00015036116547885,6.775080781e-05,0.00019058536,0.00039901393943000003,1.059420576395e-05,0.0008270490749827761,0.01632328544,0.006693937938236,0.0,0.0059455980085,0.0,0.0005359636864999999,0.00022450946590000002
Bunschoten,9.659306900000002e-06,3.3074586899999996e-05,0.00026838196,0.00049475212898,0.00010336448304450001,0.000332917662918536,0.017246390644,0.006510038120056,0.0,0.00875940193374117,0.0,0.0006566350331,0.00042945163200000004
Buren,0.0005743546639000001,5.067924496e-05,0.00033948432,0.000715028111415,2.099774231815e-05,0.0006657324894453281,0.0374445176,0.017891773899179998,0.0,0.018845511219743937,0.0,0.0007810384661,0.000301034511
Capelle aan den IJssel,0.00012794178956978001,0.00029097748315000003,0.00086468268616,0.0013042316797499999,7.9439357509e-05,0.000928726860918966,3.980616108e-05,6.7551320498400005e-06,0.0,0.0009429459312450001,1.04594e-09,0.0024336952296,0.0039267098358
Castricum,0.000171479996675,5.8772831845e-05,0.0004468734196449999,0.0008999811396799999,1.924917823915e-05,0.00071218779428868,0.009021254555880001,0.002993941449087,0.0,0.005813867668404999,0.0,0.0014461118103,0.00011682398800000001
Coevorden,0.00035990765812000003,6.93147881e-05,0.001006101207,0.00106432830664,0.000459246771125,0.0011553796028625199,0.0829888472924,0.03626436744105,0.0,0.0426403970555,0.0,0.0011070297407,0.0013161823278
Cranendonck,0.00045013706625,3.6073827500000005e-05,0.00026701724,0.000633933400685,0.00011128754427965,0.000721732035724085,0.0162670504248,0.013460087046286,0.0,0.004106831087,0.0,0.0007105350208,0.00025890879500000004
Cuijk,0.0003552121757,6.986283845e-05,0.00032068879456,0.0006016510438200001,4.37283064285e-05,0.0010396879690214,0.0171847196556,0.016316693959476,0.0,0.0041040039051486,0.0,0.013629765112000002,0.033654923859000006
Culemborg,1.27529297455e-05,8.593250183999999e-05,0.00035824124,0.00062859152267,3.4255229615500004e-05,0.0005880985912634561,0.0075564118,0.0026472387502795,0.0,0.0035852200595,0.0,0.0010226987041,0.0004898463422400001
Dalfsen,0.0002008647867,4.8224387720000004e-05,0.00036076260115,0.0008300587619850001,4.226903743165e-05,0.000825715693077584,0.088587837142,0.04365211815932,0.0,0.023885356565,0.0,0.0008605992568,0.0006426093609
Dantumadiel,2.8067980214000003e-05,3.0222663789999996e-05,0.00024774008000000004,0.0006274915144150001,1.882882086385e-05,0.000295887293741364,0.036695427188,0.01262210165915,0.0,0.02388125039,0.0,0.0005529386723000001,0.00023602266080000002
De Bilt,3.6616241125e-05,0.00028666814754,0.00054813892,0.00109344751213,3.47095016595e-05,0.0013564166963079202,0.013978101480000001,0.004677524903595001,0.0,0.0064754719215000004,0.0,0.0014305971966,0.0007312371352
De Fryske Marren,8.210289231075e-05,9.492995176000001e-05,0.0006656958,0.00140855292094,0.0001097659025695,0.00195521542712596,0.17529513412320002,0.06137828943295,0.0,0.10934426320316,0.0,0.0025860049056,0.0013319909770000001
De Ronde Venen,0.0015483513352500004,8.934734285000001e-05,0.000553918106515,0.00112541038083,4.10696336815e-05,0.00178007129446144,0.0445685336432,0.0152301623357,0.0,0.033324245285,0.0,0.0013094874814000002,0.0005933437172
De Wolden,0.00021613352222499998,3.820195945e-05,0.00042885812555,0.0006131330416300001,1.8795083774e-05,0.0011750467905516041,0.0835511742464,0.032241084755115,0.0,0.036918028222879,0.0,0.0006856158956999999,0.000172634683
Delft,0.00048652520549,0.00041880282554999996,0.001356431534,0.0019352808821,0.00023491558942315003,0.001572237776649122,0.0016726467323999999,0.00041617556932660004,0.0,0.0007219491502400001,0.0,0.0066444982786,0.00030460890639999997
Den Helder,1.5476374122e-05,0.00025987244779999996,0.0007341992,0.00130161422487,4.6594724267500007e-05,0.000751554192810514,0.00037171497999999997,0.00012050013705000001,0.0,0.0015044162784,0.0,0.0021511166846,0.0012953381900000002
Deurne,0.007097396759500001,5.71952033e-05,0.00041290116000000003,0.000883722582165,6.790808466149999e-05,0.00110465003278696,0.0568388508464,0.07931702808382,0.0,0.010718097352555,3.486476e-09,0.0009734641577000001,0.004395817252
Deventer,0.00012640444151,0.0003152018235999999,0.0013057228585,0.00234425531825,0.00021343413417650002,0.0026425401093098802,0.04698271452,0.021255753418734,0.0,0.013434124438,0.0046886279172199995,0.0034408103155999996,0.002118524487
Diemen,2.0842230113e-07,0.00013973947465,0.010026834133,0.000529658946945,4.8380179336000004e-05,0.0008090921571249041,0.00014269626,2.39848773306e-05,0.0,0.0011545498505882807,0.0,0.0012583639378000002,7.359888340000001e-05
Dinkelland,0.00178390279,4.768414360000001e-05,0.00033852820040000003,0.0008139789355250001,4.87098820542e-05,0.00076377260097126,0.0956413226188,0.0436567434616,0.0,0.025246164425000002,0.0,0.0007864431890000001,0.0007599324928000001
Doesburg,1.30741368e-06,1.894047648e-05,0.00014759892000000002,0.00029762002847,1.66774977935e-05,0.00016356960812815202,0.0023580606644,0.0008919146285054,0.0,0.0013714305705000002,0.0,0.00034117868604,3.41691708e-05
Doetinchem,0.00010471605199,0.0002075356226,0.0007553866224999999,0.001463200797325,0.000565015375686,0.001238789331443128,0.02341908968,0.020974341425728,0.0,0.007147098760000001,0.0,0.016768951649500003,0.0004101810382
Dongen,0.00783015841705,4.966371954999999e-05,0.00033009928000000006,0.000639326662545,3.7980668231e-05,0.000319604379904948,0.010131260440000001,0.0075483014662224,0.0,0.0025744753710000004,4.7669954600000007e-05,0.0007916610509999999,0.0003364574868
Dordrecht,2.9436426745e-06,0.0005627122115155,0.032649213389909504,0.0022666212646999997,0.0002073756396825,0.00264705413541014,0.0013881863332400003,0.0005700536907305001,0.0,0.00444048822775,0.30022339653241603,0.0077887024572,0.161958893124
Drechterland,0.0029789396634,3.416320945e-05,0.0002507946,0.00056633932281,1.2476819972000001e-05,0.00039189790331753204,0.01778481376,0.006125524671918001,0.0,0.008886192627784999,0.0,0.0005718924526,0.0001029154534
Drimmelen,0.0149800782042,4.2793334e-05,0.00034710144,0.0007372423015500001,2.227674771485e-05,0.0008000289671233561,0.021215404,0.013410877665668,0.0,0.0118573807715,0.0,0.0007847776998,0.000149720415
Dronten,0.00444120498355,7.698500615e-05,0.0005259947855,0.00104069262197,4.63768905996e-05,0.00136355284943356,0.043834295691199995,0.018923135819622,0.0,0.04413155028,0.0,0.0035410766534,0.0020924350180000005
Druten,0.0004076239616,4.925848769e-05,0.000238254517905,0.00045500774436999994,2.6722462969e-05,0.000469272967859668,0.01536163888,0.016635419360371,0.0,0.004587474200046,0.0,0.0005836560235,0.00034585938180000005
Duiven,0.0008748656673,8.23922202e-05,0.012198338610000001,0.0005918309149000001,7.48584927295e-05,0.00082407166702848,0.0047699637664,0.002149328962007,0.0,0.0033932261921,0.0,0.0008952242109,0.00338924730896
Echt-Susteren,6.867005077e-05,0.00012892068524705,0.00041526632,0.0009367825767400001,4.89983497765e-05,0.001533625335681932,0.0200129157116,0.01484433387819,0.0,0.008455828581500001,0.0,0.0016874965966999999,0.0028946955330000006
Edam-Volendam,1.6820389233600004e-05,8.63639579e-05,0.00046005932,0.000866039834135,9.22551868995e-05,0.00055374720891106,0.018456155004,0.0058302949525224,0.0,0.019676541813760003,0.0,0.0011191017648000002,0.000254809245
Ede,0.0023868150429800002,0.00040593878395,0.0014613358536600001,0.0028217529207,0.000203384611571,0.00367808419035724,0.133791275142,0.08661569309812,0.0,0.0163049352444695,0.0006967988774200001,0.00410084934862,0.0332431049362
Eemnes,3.3612249635e-06,2.0383386475e-05,0.00011447856,0.00022005710581,4.2095667208e-06,0.0008072129068113679,0.008044693728960002,0.0024718401210960003,0.0,0.006750031589021165,0.0,0.00027110033416,3.57422865e-05
Eemsdelta,0.0013616369369999998,0.00011582749508,0.016169861483499998,0.00144567967706,0.000114515369015,0.000878953948431352,0.075601580446,0.02764908948165,0.0,0.04503763882325,0.0030099432000000007,0.026561851274600003,0.0083651452714
Eersel,0.00014378903311,4.779721489999999e-05,0.000238818426515,0.000520793077575,5.8488659426850005e-05,0.0009454310199018001,0.0322425522832,0.024885354928032,0.0,0.0053528381645,0.0,0.0006198914981000001,6.8492356e-05
Eijsden-Margraten,4.3494377720000006e-05,3.80985934e-05,0.00032453568000000003,0.0006811929598800001,3.13520945575e-05,0.0005720118922444281,0.0183270166324,0.006012028952978,0.0,0.007246571757,0.0,0.0020621792266,9.896529520000001e-05
Eindhoven,0.00030431169339999994,0.0011648017211,0.0029083647960000004,0.0048535645616,0.00045225692397,0.006410538353121644,0.0011056344964,0.0003961512723045,0.0,0.0012748988085,0.0007018993440000001,0.0112364327341,0.004435482768
Elburg,0.00058749438565,7.76903032e-05,0.00029692684,0.0005643598673200001,2.868517377085e-05,0.0007280662254585,0.016305943150000002,0.00524622701838,0.0,0.0063793915605000005,0.0,0.0007859911337999999,0.0016234082715999999
Emmen,0.0174881836155,0.00030633190075000005,0.0017075117768999997,0.0031338565082000003,0.0001718437178095,0.002133118729621224,0.0403401476156,0.02561897244428,0.0,0.035525491502500006,0.000978089,0.0039725215385,0.0025333574953999996
Enkhuizen,0.00014155507565,3.410459165e-05,0.0002384592,0.00044102816029,3.6292399615500004e-05,0.00019842862700178782,0.00124596400068,0.00040816457036800004,0.0,0.00122584627765,0.0,0.0005518211036000001,8.9541264e-05
Enschede,6.6927599105e-05,0.0005835631175000001,0.0332167334989,0.0036052860005,0.00035981026860709995,0.002516013917997468,0.019907593188000002,0.008062814296664,0.0,0.009225997943700001,1.0808056e-08,0.005667302678000001,0.0198949169293
Epe,0.00037384048504999996,6.408896525e-05,0.00041873775999999997,0.0008471521067000001,7.040423407215e-05,0.0012217744181553401,0.033427038876,0.015474507995050001,0.0,0.010253090885,6.972952e-10,0.0011314528248000002,0.000553187353
Ermelo,0.0026600401734,0.00014235010235,0.00034043324000000003,0.0006910716123550001,4.92914361915e-05,0.00078656056307248,0.018717657504,0.008095357770538,0.0,0.003095130358,1.359722e-08,0.0009571494226,0.036266409596000006
Etten-Leur,0.008497599651750001,0.00010017717959999999,0.00055247836,0.0009964150523149998,9.88320856475e-05,0.0010693818827558319,0.012066132680000001,0.006941195130938001,0.0,0.005107141874585,1.3945876000000001e-08,0.0136964110435,0.000175496434
Geertruidenberg,0.0012422702514000002,6.0518479050000005e-05,0.009353400010650001,0.000526537448285,6.10788300015e-05,0.00096016653063586,0.00838412064,0.004862818400614,0.0,0.0029732109759,4.668215651999999e-06,0.0008276334859999999,7.8872359e-05
Geldrop-Mierlo,0.0005135564862500001,9.50980428e-05,0.000505372,0.000964306879965,6.05139466335e-05,0.001089604185658076,0.0050811267164,0.002947056851143,0.0,0.0014381355225000002,0.0,0.0013301031795,0.000144193351
Gemert-Bakel,0.00220345441,5.742246435e-05,0.00038362743999999997,0.0007949453391000001,3.6388211450000004e-05,0.00065546621158008,0.057270097388,0.0774074275151,0.0,0.009958880379405,0.0,0.000895078154,0.00037135690600000005
Gennep,0.00013896100774000002,5.71102452e-05,0.00022461572000000003,0.00048764005898999996,2.97339989175e-05,0.00043996505647413603,0.00845688508,0.00751476528926,0.0,0.00406350421505,0.0,0.0005874485455999999,0.014230894729
Gilze en Rijen,0.0009100137523000002,5.971960306e-05,0.0003388084,0.000589441335675,6.53596032461e-05,0.000941287871908916,0.02215744048,0.011700614884704,0.0,0.004881813464,0.0,0.001017644486,0.0008562932282000001
Goeree-Overflakkee,0.00356819711965,0.00010594851764999998,0.00062744454625,0.001329700446865,5.17496750933e-05,0.0014546857523629001,0.0228967396,0.013051007465809,0.0,0.028294005480000002,0.0,0.0021794566209,0.000944026311
Goes,9.477052264500001e-05,0.00017637908880000004,0.0004892556642750001,0.0009368919622450001,7.1412311543e-05,0.001159009954459345,0.0027722254086799997,0.0014929910745740001,0.0,0.0108831949265,0.0,0.0014666430351,0.00016409800000000003
Goirle,1.128217585e-05,4.153574049999999e-05,0.00030372244,0.000590871670755,3.5606717077e-05,0.00033390741219872403,0.0111917641332,0.0067517527418468,0.0,0.0027602904295,0.0,0.0006926383744999999,0.0001745190724
Gooise Meren,2.063389713694e-06,0.00017621006330000003,0.0007323478379050001,0.0013363462107250001,4.882637539052e-05,0.002471556359327684,0.005094063778159999,0.0016087615560020003,0.0,0.0039702408385,8.353184e-05,0.0018459254423000002,0.026784850854
Gorinchem,1.167940381e-06,0.0001554869227,0.00045934448,0.0006733221912449999,8.01409894215e-05,0.0012222132529798,0.0026254965352,0.0009362014136505,0.0,0.0016774427334350001,0.0,0.0013656813221,0.00024137142990000003
Gouda,1.190390765e-05,0.00028592455507,0.0009242657199999999,0.0014783222750500001,5.999272244535e-05,0.000698787835260452,0.00012533102400000002,5.32739369925e-05,0.0,0.0011490588335500002,0.00032467540000000005,0.004908408548000001,0.0007549820782
Grave,9.949643600000001e-06,2.68683552e-05,0.00016690212000000003,0.000341210913985,8.717882335e-06,0.000224442138781544,0.0097235906124,0.007953781351528001,0.0,0.002128656088578,0.0,0.00038491465742,5.1307397600000004e-05
Groningen,0.0008073421320100001,0.00116487498945,0.0040054211815,0.0050971948558500004,0.00030360282399650003,0.00411015787204236,0.03738794843,0.0125631786681315,0.0,0.0323040656266,0.001200019052,0.0116282880022,0.07305395262699999
Gulpen-Wittem,5.294446096e-05,2.4633318250000002e-05,0.00018844084,0.00041788459422500003,2.5887019274000003e-05,0.00035593241576974003,0.016615285344000003,0.0053715579058044,0.0,0.00778561957515,0.0,0.00040994847830000007,0.00066940657
Haaksbergen,3.57526301e-05,4.221714042000001e-05,0.00031595676,0.0006758258616700001,6.07139503925e-05,0.00051271789431858,0.0411080241544,0.026006349830142002,0.0,0.01196893435,0.0,0.0008106789301999999,0.0004153559382
Haarlem,0.0001285066346925,0.000514568069,0.002036499066515,0.0031848514517,0.00013446346207,0.001718744878671487,0.000542217144,0.000187773640814,0.0,0.001317113450593,0.0,0.005272646562000001,0.039133919908800004
Haarlemmermeer,0.006471137617050001,0.0011526196771000001,0.0019492280008,0.00345564672565,0.00025964300057150004,0.015543861160496246,0.0079972764872,0.0031759592190144003,0.0,0.019090813033500003,9.41346e-09,0.007161159755999999,0.0095971237844
