,Gemeentenaam,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
Doesburg,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Doetinchem,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Dongen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Dordrecht,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Drechterland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Drimmelen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Dronten,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Druten,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Duiven,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Echt-Susteren,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Edam-Volendam,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Ede,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Eemnes,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Eemsdelta,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Eersel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Eijsden-Margraten,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Eindhoven,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Elburg,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Emmen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Enkhuizen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Enschede,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Epe,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Ermelo,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Etten-Leur,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
