Emissiecode,Emissieoorzaak,Gascode,Gasnaam,CRF code,Emissiecode_Gascode,ETM categorie,
801700,Afsteken vuurwerk,204,Koolstofdioxide,2.G.4,801700_204,non_energetic_emissions_co2_other_industry,
801700,Afsteken vuurwerk,205,Distikstofoxide,2.G.4,801700_205,non_energetic_emissions_other_ghg_other_industry,
801700,Afsteken vuurwerk,523,Methaan,2.G.4,801700_523,non_energetic_emissions_other_ghg_other_industry,
801801,Houtskoolverbruik door consumenten: barbecuen,204,Koolstofdioxide,1.A.4.b.i,801801_204,"NA (energetische emissies, volgt uit energiegebruik)",
801801,Houtskoolverbruik door consumenten: barbecuen,205,Distikstofoxide,1.A.4.b.i,801801_205,energetic_emissions_other_ghg_households,
801801,Houtskoolverbruik door consumenten: barbecuen,523,Methaan,1.A.4.b.i,801801_523,energetic_emissions_other_ghg_households,
811301,"Oplosmiddel- en ander productgebruik: spuitbussen, drijfgas/oplosmiddel, consumenten",205,Distikstofoxide,2.G.3.b,811301_205,non_energetic_emissions_other_ghg_other_industry,
834000,"SBI 35.11: Productie van elektriciteit,  rookgasontzwaveling",204,Koolstofdioxide,2.A.4.d,834000_204,non_energetic_emissions_co2_other_industry,
850000,Ontgassen drinkwater,523,Methaan,2.G.4,850000_523,non_energetic_emissions_other_ghg_other_industry,
6800100,Gastransport,204,Koolstofdioxide,1.B.2.b.4; 1.A.3.e.i,6800100_204,"NA (energetische emissies, volgt uit energiegebruik)",
6800100,Gastransport,205,Distikstofoxide,1.A.3.e.i,6800100_205,energetic_emissions_other_ghg_transport,
6800100,Gastransport,523,Methaan,1.B.2.b.4,6800100_523,energetic_emissions_other_ghg_energy,
8120000,"SBI 06: Aardolie- en gaswinning, flaring, offshore (PBL)",204,Koolstofdioxide,1.B.2.c.2.iii,8120000_204,"NA (energetische emissies, volgt uit energiegebruik)",
8120000,"SBI 06: Aardolie- en gaswinning, flaring, offshore (PBL)",523,Methaan,1.B.2.c.2.iii,8120000_523,energetic_emissions_other_ghg_energy,
8120001,"SBI 06/09.1: Aardolie- en gaswinning en dienstverlening voor de aardolie- en aardgaswinning, offshore (PBL)",204,Koolstofdioxide,1.A.1.c.ii,8120001_204,"NA (energetische emissies, volgt uit energiegebruik)",
8120001,"SBI 06/09.1: Aardolie- en gaswinning en dienstverlening voor de aardolie- en aardgaswinning, offshore (PBL)",205,Distikstofoxide,1.A.1.c.ii,8120001_205,energetic_emissions_other_ghg_energy,
8120001,"SBI 06/09.1: Aardolie- en gaswinning en dienstverlening voor de aardolie- en aardgaswinning, offshore (PBL)",523,Methaan,1.A.1.c.ii,8120001_523,energetic_emissions_other_ghg_energy,
8120002,"SBI 06: Aardolie- en gaswinning, venting, offshore (PBL)",204,Koolstofdioxide,1.B.2.c.1.iii,8120002_204,"NA (energetische emissies, volgt uit energiegebruik)",
8120002,"SBI 06: Aardolie- en gaswinning, venting, offshore (PBL)",523,Methaan,1.B.2.c.1.iii,8120002_523,energetic_emissions_other_ghg_energy,
8120500,"SBI 06: Aardolie- en gaswinning, flaring, onshore (PBL)",204,Koolstofdioxide,1.B.2.c.2.iii,8120500_204,"NA (energetische emissies, volgt uit energiegebruik)",
8120500,"SBI 06: Aardolie- en gaswinning, flaring, onshore (PBL)",523,Methaan,1.B.2.c.2.iii,8120500_523,energetic_emissions_other_ghg_energy,
8120502,"SBI 06: Aardolie- en gaswinning, venting, onshore (PBL)",204,Koolstofdioxide,1.B.2.c.1.iii,8120502_204,"NA (energetische emissies, volgt uit energiegebruik)",
8120502,"SBI 06: Aardolie- en gaswinning, venting, onshore (PBL)",523,Methaan,1.B.2.c.1.iii,8120502_523,energetic_emissions_other_ghg_energy,
8120503,SBI 495: Olietransport via pijpleidingen,204,Koolstofdioxide,1.B.2.a.3,8120503_204,"NA (energetische emissies, volgt uit energiegebruik)",
8120503,SBI 495: Olietransport via pijpleidingen,523,Methaan,1.B.2.a.3,8120503_523,energetic_emissions_other_ghg_energy,
8900200,SBI 10-12: Voedings- & genotmiddelenindustrie,204,Koolstofdioxide,1.A.2.e,8900200_204,"NA (energetische emissies, volgt uit energiegebruik)",
8900200,SBI 10-12: Voedings- & genotmiddelenindustrie,205,Distikstofoxide,1.A.2.e,8900200_205,energetic_emissions_other_ghg_industry,Already included in ETM as non-energetic CO2
8900200,SBI 10-12: Voedings- & genotmiddelenindustrie,523,Methaan,1.A.2.e,8900200_523,energetic_emissions_other_ghg_industry,
8900205,SBI 10.810: Vervaardiging van suiker: productie van kalk,204,Koolstofdioxide,2.A.2,8900205_204,non_energetic_emissions_co2_other_industry,
8900300,SBI 13/14: Vervaardiging van textiel en kleding,204,Koolstofdioxide,1.A.2.g.vi,8900300_204,"NA (energetische emissies, volgt uit energiegebruik)",Already included in ETM as non-energetic CO2
8900300,SBI 13/14: Vervaardiging van textiel en kleding,205,Distikstofoxide,1.A.2.g.vi,8900300_205,energetic_emissions_other_ghg_industry,
8900300,SBI 13/14: Vervaardiging van textiel en kleding,523,Methaan,1.A.2.g.vi,8900300_523,energetic_emissions_other_ghg_industry,
8900400,SBI 15: Lederindustrie en bontbereiding,204,Koolstofdioxide,1.A.2.g.vi,8900400_204,"NA (energetische emissies, volgt uit energiegebruik)",
8900400,SBI 15: Lederindustrie en bontbereiding,205,Distikstofoxide,1.A.2.g.vi,8900400_205,energetic_emissions_other_ghg_industry,
8900400,SBI 15: Lederindustrie en bontbereiding,523,Methaan,1.A.2.g.vi,8900400_523,energetic_emissions_other_ghg_industry,
8900600,"SBI 17.1/17.2: Vervaardiging van pulp, papier, karton, papier- en kartonwaren",204,Koolstofdioxide,1.A.2.d,8900600_204,"NA (energetische emissies, volgt uit energiegebruik)",
8900600,"SBI 17.1/17.2: Vervaardiging van pulp, papier, karton, papier- en kartonwaren",205,Distikstofoxide,1.A.2.d,8900600_205,energetic_emissions_other_ghg_industry,
8900600,"SBI 17.1/17.2: Vervaardiging van pulp, papier, karton, papier- en kartonwaren",523,Methaan,1.A.2.d,8900600_523,energetic_emissions_other_ghg_industry,
8900601,"SBI onbekend: Industrie, n.n.b. Overige industrie",204,Koolstofdioxide,1.A.2.g.viii,8900601_204,"NA (energetische emissies, volgt uit energiegebruik)",
8900601,"SBI onbekend: Industrie, n.n.b. Overige industrie",205,Distikstofoxide,1.A.2.g.viii,8900601_205,energetic_emissions_other_ghg_industry,
8900601,"SBI onbekend: Industrie, n.n.b. Overige industrie",523,Methaan,1.A.2.g.viii,8900601_523,energetic_emissions_other_ghg_industry,
8900700,"SBI 18/58: Uitgeverijen, drukkerijen, reproductie van opgenomen media",204,Koolstofdioxide,1.A.2.d,8900700_204,"NA (energetische emissies, volgt uit energiegebruik)",
8900700,"SBI 18/58: Uitgeverijen, drukkerijen, reproductie van opgenomen media",205,Distikstofoxide,1.A.2.d,8900700_205,energetic_emissions_other_ghg_industry,
8900700,"SBI 18/58: Uitgeverijen, drukkerijen, reproductie van opgenomen media",523,Methaan,1.A.2.d,8900700_523,energetic_emissions_other_ghg_industry,
8900900,SBI 20.15: Vervaardiging van kunstmeststoffen en stikstofverbindingen,204,Koolstofdioxide,2.B.1; 1.A.2.c,8900900_204,out_of_scope,
8900900,SBI 20.15: Vervaardiging van kunstmeststoffen en stikstofverbindingen,205,Distikstofoxide,1.A.2.c,8900900_205,energetic_emissions_other_ghg_industry,
8900900,SBI 20.15: Vervaardiging van kunstmeststoffen en stikstofverbindingen,523,Methaan,1.A.2.c,8900900_523,energetic_emissions_other_ghg_industry,
8900901,SBI 20.15: Vastlegging CO2 in Ureum,204,Koolstofdioxide,2.B.1,8900901_204,out_of_scope,
8901100,SBI 20.1: Vervaardiging van chemische basisproducten,204,Koolstofdioxide,2.B.10; 1.A.2.c,8901100_204,"NA (energetische emissies, volgt uit energiegebruik)",
8901100,SBI 20.1: Vervaardiging van chemische basisproducten,205,Distikstofoxide,1.A.2.c,8901100_205,energetic_emissions_other_ghg_industry,
8901100,SBI 20.1: Vervaardiging van chemische basisproducten,523,Methaan,1.A.2.c,8901100_523,energetic_emissions_other_ghg_industry,
8901702,SBI 22: Vervaardiging van producten van rubber en kunststof,204,Koolstofdioxide,1.A.2.c,8901702_204,"NA (energetische emissies, volgt uit energiegebruik)",
8901702,SBI 22: Vervaardiging van producten van rubber en kunststof,205,Distikstofoxide,1.A.2.c,8901702_205,energetic_emissions_other_ghg_industry,
8901702,SBI 22: Vervaardiging van producten van rubber en kunststof,523,Methaan,1.A.2.c,8901702_523,energetic_emissions_other_ghg_industry,
8902100,SBI 25: Metaalproductenindustrie (exclusief machinebouw),204,Koolstofdioxide,2.D.1; 1.A.2.g.viii,8902100_204,"NA (energetische emissies, volgt uit energiegebruik)",
8902100,SBI 25: Metaalproductenindustrie (exclusief machinebouw),205,Distikstofoxide,1.A.2.g.viii,8902100_205,energetic_emissions_other_ghg_industry,
8902100,SBI 25: Metaalproductenindustrie (exclusief machinebouw),523,Methaan,1.A.2.g.viii,8902100_523,energetic_emissions_other_ghg_industry,
8902200,SBI 28: Machinebouw,204,Koolstofdioxide,1.A.2.g.i,8902200_204,"NA (energetische emissies, volgt uit energiegebruik)",
8902200,SBI 28: Machinebouw,205,Distikstofoxide,1.A.2.g.i,8902200_205,energetic_emissions_other_ghg_industry,
8902200,SBI 28: Machinebouw,523,Methaan,1.A.2.g.i,8902200_523,energetic_emissions_other_ghg_industry,
8902302,SBI 26/27: Elektrotechnische industrie,204,Koolstofdioxide,2.B.10,8902302_204,non_energetic_emissions_co2_chemical_industry,
8902303,SBI 27: Vervaardiging van elektrische apparatuur,204,Koolstofdioxide,1.A.2.g.viii,8902303_204,"NA (energetische emissies, volgt uit energiegebruik)",
8902303,SBI 27: Vervaardiging van elektrische apparatuur,205,Distikstofoxide,1.A.2.g.viii,8902303_205,energetic_emissions_other_ghg_industry,
8902303,SBI 27: Vervaardiging van elektrische apparatuur,523,Methaan,1.A.2.g.viii,8902303_523,energetic_emissions_other_ghg_industry,
8902400,SBI 29: Auto-industrie,204,Koolstofdioxide,1.A.2.g.ii,8902400_204,"NA (energetische emissies, volgt uit energiegebruik)",
8902400,SBI 29: Auto-industrie,205,Distikstofoxide,1.A.2.g.ii,8902400_205,energetic_emissions_other_ghg_industry,
8902400,SBI 29: Auto-industrie,523,Methaan,1.A.2.g.ii,8902400_523,energetic_emissions_other_ghg_industry,
8908000,SBI 31/32: Vervaardiging van meubels en overige goederen,204,Koolstofdioxide,1.A.2.g.viii,8908000_204,"NA (energetische emissies, volgt uit energiegebruik)",
8908000,SBI 31/32: Vervaardiging van meubels en overige goederen,205,Distikstofoxide,1.A.2.g.viii,8908000_205,energetic_emissions_other_ghg_industry,
8908000,SBI 31/32: Vervaardiging van meubels en overige goederen,523,Methaan,1.A.2.g.viii,8908000_523,energetic_emissions_other_ghg_industry,
8908100,SBI 30: Overige transportmiddelen,204,Koolstofdioxide,1.A.2.g.ii,8908100_204,"NA (energetische emissies, volgt uit energiegebruik)",
8908100,SBI 30: Overige transportmiddelen,205,Distikstofoxide,1.A.2.g.ii,8908100_205,energetic_emissions_other_ghg_industry,
8908100,SBI 30: Overige transportmiddelen,523,Methaan,1.A.2.g.ii,8908100_523,energetic_emissions_other_ghg_industry,
8910600,SBI 10.9: Diervoederindustrie,204,Koolstofdioxide,2.D.1; 2.H.2,8910600_204,non_energetic_emissions_co2_other_industry,
8912101,"SBI 16: Houtindustrie en vervaardiging van artikelen van hout, kurk, riet en vlechtwerk (geen meubels)",204,Koolstofdioxide,1.A.2.g.iv,8912101_204,"NA (energetische emissies, volgt uit energiegebruik)",
8912101,"SBI 16: Houtindustrie en vervaardiging van artikelen van hout, kurk, riet en vlechtwerk (geen meubels)",205,Distikstofoxide,1.A.2.g.iv,8912101_205,energetic_emissions_other_ghg_industry,
8912101,"SBI 16: Houtindustrie en vervaardiging van artikelen van hout, kurk, riet en vlechtwerk (geen meubels)",523,Methaan,1.A.2.g.iv,8912101_523,energetic_emissions_other_ghg_industry,
8912500,"SBI 19.202: Aardolieverwerking, excl. raffinage",204,Koolstofdioxide,1.A.1.c.ii,8912500_204,"NA (energetische emissies, volgt uit energiegebruik)",
8912500,"SBI 19.202: Aardolieverwerking, excl. raffinage",205,Distikstofoxide,1.A.1.c.ii,8912500_205,energetic_emissions_other_ghg_energy,
8912500,"SBI 19.202: Aardolieverwerking, excl. raffinage",523,Methaan,1.A.1.c.ii,8912500_523,energetic_emissions_other_ghg_energy,
8912700,"SBI 20.13: Basischemie anorganisch, productie actieve kool",204,Koolstofdioxide,2.B.10,8912700_204,non_energetic_emissions_co2_chemical_industry,
8912702,"SBI 20.13: Basischemie anorganisch, soda verbruik (PBL)",204,Koolstofdioxide,2.A.4.b,8912702_204,non_energetic_emissions_co2_other_industry,
8912704,"SBI 20.13: Basischemie anorganisch, productie soda ash (CBS)",204,Koolstofdioxide,2.B.7,8912704_204,non_energetic_emissions_co2_chemical_industry,
8912800,"SBI 20.14: Basischemie anorganisch, productie van houtskool",523,Methaan,1.B.1.b,8912800_523,energetic_emissions_other_ghg_energy,
8912900,SBI 20.149: Basischemie organisch (geen petrochemische producten),204,Koolstofdioxide,2.B.10,8912900_204,non_energetic_emissions_co2_chemical_industry,
8913000,SBI 20.13: Basischemie anorganisch,204,Koolstofdioxide,2.B.8.g,8913000_204,non_energetic_emissions_co2_chemical_industry,
8913000,SBI 20.13: Basischemie anorganisch,205,Distikstofoxide,2.B.10,8913000_205,non_energetic_emissions_other_ghg_chemical_industry,
8913000,SBI 20.13: Basischemie anorganisch,523,Methaan,2.B.8.g,8913000_523,non_energetic_emissions_other_ghg_chemical_industry,
8913002,"SBI 20.16: Vervaardiging van kunststof in primaire vorm, handling F-gassen",9999999,Overige HFK's,2.B.9.b.3,8913002_9999999,non_energetic_emissions_other_ghg_chemical_industry,
8913002,"SBI 20.16: Vervaardiging van kunststof in primaire vorm, handling F-gassen",641,Overige PFK's,2.B.9.b.3,8913002_641,non_energetic_emissions_other_ghg_chemical_industry,
8913002,"SBI 20.16: Vervaardiging van kunststof in primaire vorm, handling F-gassen",687,"HFK-134a (1,1,1,2-tetrafluorethaan)",2.B.9.b.3,8913002_687,non_energetic_emissions_other_ghg_chemical_industry,
8913002,"SBI 20.16: Vervaardiging van kunststof in primaire vorm, handling F-gassen",688,"HFK-152a (1,1-Difluorethaan)",2.B.9.b.3,8913002_688,non_energetic_emissions_other_ghg_chemical_industry,
8913002,"SBI 20.16: Vervaardiging van kunststof in primaire vorm, handling F-gassen",696,HFK-32 (Difluor-Methaan),2.B.9.b.3,8913002_696,non_energetic_emissions_other_ghg_chemical_industry,
8913002,"SBI 20.16: Vervaardiging van kunststof in primaire vorm, handling F-gassen",904,HFK-125 (Pentafluorethaan),2.B.9.b.3,8913002_904,non_energetic_emissions_other_ghg_chemical_industry,
8913002,"SBI 20.16: Vervaardiging van kunststof in primaire vorm, handling F-gassen",906,"HFK-143a (1,1,1-Trifluorethaan)",2.B.9.b.3,8913002_906,non_energetic_emissions_other_ghg_chemical_industry,
8913005,"SBI 20.16: Vervaardiging van kunststof in primaire vorm, productie HCFK 22",903,HFK-23 (Trifluormethaan),2.E.3,8913005_903,non_energetic_emissions_other_ghg_other_industry,
8913700,SBI 20.2-20.5: Chemische producten industrie,204,Koolstofdioxide,1.A.2.c,8913700_204,"NA (energetische emissies, volgt uit energiegebruik)",
8913700,SBI 20.2-20.5: Chemische producten industrie,205,Distikstofoxide,1.A.2.c,8913700_205,energetic_emissions_other_ghg_industry,
8913700,SBI 20.2-20.5: Chemische producten industrie,523,Methaan,1.A.2.c,8913700_523,energetic_emissions_other_ghg_industry,
8914000,SBI 23.1: Vervaardiging van glas en glaswerk,204,Koolstofdioxide,2.A.3,8914000_204,non_energetic_emissions_co2_other_industry,
8914101,SBI 23.32: Vervaardiging van keramische producten voor de bouw (geen tegels en plavuizen),204,Koolstofdioxide,2.A.4.a,8914101_204,non_energetic_emissions_co2_other_industry,
8914300,"SBI 23.6: Vervaardiging van producten van beton, gips en cement",204,Koolstofdioxide,2.A.1,8914300_204,non_energetic_emissions_co2_other_industry,
8914600,SBI 23: Bouwmaterialen- en glasindustrie,204,Koolstofdioxide,1.A.2.f,8914600_204,"NA (energetische emissies, volgt uit energiegebruik)",
8914600,SBI 23: Bouwmaterialen- en glasindustrie,205,Distikstofoxide,1.A.2.f,8914600_205,energetic_emissions_other_ghg_industry,
8914600,SBI 23: Bouwmaterialen- en glasindustrie,523,Methaan,1.A.2.f,8914600_523,energetic_emissions_other_ghg_industry,
8914700,SBI 24.4/24.53/24.54: Vervaardiging en gieten van lichte en overige non-ferrometalen,204,Koolstofdioxide,2.C.3.a,8914700_204,non_energetic_emissions_co2_other_industry,
8914700,SBI 24.4/24.53/24.54: Vervaardiging en gieten van lichte en overige non-ferrometalen,908,PFK 14 (Perfluormethaan),2.C.3.b,8914700_908,non_energetic_emissions_other_ghg_other_industry,
8914700,SBI 24.4/24.53/24.54: Vervaardiging en gieten van lichte en overige non-ferrometalen,909,PFK 116 (Perfluorethaan),2.C.3.b,8914700_909,non_energetic_emissions_other_ghg_other_industry,
8919512,"SBI 20.149: Basischemie organisch (geen petrochemische producten), productie caprolactam (PBL)",205,Distikstofoxide,2.B.4.a,8919512_205,non_energetic_emissions_other_ghg_chemical_industry,
8919514,"SBI 20.149: Basischemie organisch (geen petrochemische producten), productie salpeterzuur (PBL)",205,Distikstofoxide,2.B.2,8919514_205,non_energetic_emissions_other_ghg_chemical_industry,
8920100,SBI 24.4/24.53/24.54: Vervaardiging en gieten van lichte en overige non-ferrometalen,204,Koolstofdioxide,1.A.2.b; 2.C.3.a,8920100_204,"NA (energetische emissies, volgt uit energiegebruik)",
8920100,SBI 24.4/24.53/24.54: Vervaardiging en gieten van lichte en overige non-ferrometalen,205,Distikstofoxide,1.A.2.b,8920100_205,energetic_emissions_other_ghg_industry,
8920100,SBI 24.4/24.53/24.54: Vervaardiging en gieten van lichte en overige non-ferrometalen,523,Methaan,1.A.2.b,8920100_523,energetic_emissions_other_ghg_industry,
8920400,SBI 35: Productie en distributie van elektriciteit en gas,204,Koolstofdioxide,1.A.1.a.i,8920400_204,"NA (energetische emissies, volgt uit energiegebruik)",
8920400,SBI 35: Productie en distributie van elektriciteit en gas,205,Distikstofoxide,1.A.1.a.i,8920400_205,energetic_emissions_other_ghg_energy,
8920400,SBI 35: Productie en distributie van elektriciteit en gas,523,Methaan,1.A.1.a.i,8920400_523,energetic_emissions_other_ghg_energy,
8920500,SBI 36: Winning en distributie van water,204,Koolstofdioxide,1.A.4.a.i,8920500_204,"NA (energetische emissies, volgt uit energiegebruik)",
8920500,SBI 36: Winning en distributie van water,205,Distikstofoxide,1.A.4.a.i,8920500_205,energetic_emissions_other_ghg_buildings,
8920500,SBI 36: Winning en distributie van water,523,Methaan,1.A.4.a.i,8920500_523,energetic_emissions_other_ghg_buildings,
8921800,SBI 38.1/38.2 (ged.): Afvalverbrandingsinstallaties (AVI's),204,Koolstofdioxide,1.A.1.a.i,8921800_204,"NA (energetische emissies, volgt uit energiegebruik)",
8921800,SBI 38.1/38.2 (ged.): Afvalverbrandingsinstallaties (AVI's),205,Distikstofoxide,1.A.1.a.i,8921800_205,energetic_emissions_other_ghg_energy,
8921800,SBI 38.1/38.2 (ged.): Afvalverbrandingsinstallaties (AVI's),523,Methaan,1.A.1.a.i,8921800_523,energetic_emissions_other_ghg_energy,
8921804,SBI 38.2/84.1: Behandeling van afval inclusief gemeentelijke AVI's,204,Koolstofdioxide,1.A.1.a.i,8921804_204,"NA (energetische emissies, volgt uit energiegebruik)",
8921804,SBI 38.2/84.1: Behandeling van afval inclusief gemeentelijke AVI's,205,Distikstofoxide,1.A.1.a.i,8921804_205,energetic_emissions_other_ghg_energy,
8921804,SBI 38.2/84.1: Behandeling van afval inclusief gemeentelijke AVI's,523,Methaan,1.A.1.a.i,8921804_523,energetic_emissions_other_ghg_energy,
8922000,SBI 38.1/38.2 (ged.): Stortgasbedrijven,204,Koolstofdioxide,1.A.4.a.i,8922000_204,"NA (energetische emissies, volgt uit energiegebruik)",
8922000,SBI 38.1/38.2 (ged.): Stortgasbedrijven,205,Distikstofoxide,1.A.4.a.i,8922000_205,energetic_emissions_other_ghg_buildings,
8922000,SBI 38.1/38.2 (ged.): Stortgasbedrijven,523,Methaan,1.A.4.a.i,8922000_523,energetic_emissions_other_ghg_buildings,
8922701,SBI 08: Winning van delfstoffen (geen olie en gas),204,Koolstofdioxide,1.A.2.g.iii,8922701_204,"NA (energetische emissies, volgt uit energiegebruik)",
8922701,SBI 08: Winning van delfstoffen (geen olie en gas),205,Distikstofoxide,1.A.2.g.iii,8922701_205,energetic_emissions_other_ghg_energy,
8922701,SBI 08: Winning van delfstoffen (geen olie en gas),523,Methaan,1.A.2.g.iii,8922701_523,energetic_emissions_other_ghg_energy,
8924100,SBI 19.1: Vervaardiging van cokesovenproducten,523,Methaan,1.B.1.b,8924100_523,energetic_emissions_other_ghg_energy,
8924103,"SBI 19.1: Vervaardiging van cokesovenproducten, cokesfabriek Corus",204,Koolstofdioxide,1.B.1.b; 1.A.1.c.i,8924103_204,"NA (energetische emissies, volgt uit energiegebruik)",
8924103,"SBI 19.1: Vervaardiging van cokesovenproducten, cokesfabriek Corus",205,Distikstofoxide,1.A.1.c.i,8924103_205,energetic_emissions_other_ghg_energy,
8924103,"SBI 19.1: Vervaardiging van cokesovenproducten, cokesfabriek Corus",523,Methaan,1.A.1.c.i,8924103_523,energetic_emissions_other_ghg_energy,
8924200,SBI 19.2: Aardolieverwerking (exclusief SBI 19.202),204,Koolstofdioxide,1.A.1.b; 1.B.2.a.4,8924200_204,"NA (energetische emissies, volgt uit energiegebruik)",
8924200,SBI 19.2: Aardolieverwerking (exclusief SBI 19.202),205,Distikstofoxide,1.A.1.b,8924200_205,energetic_emissions_other_ghg_energy,
8924200,SBI 19.2: Aardolieverwerking (exclusief SBI 19.202),523,Methaan,1.A.1.b,8924200_523,energetic_emissions_other_ghg_energy,
8924204,SBI 19.201: Aardolieraffinage,523,Methaan,1.B.2.a.4,8924204_523,energetic_emissions_other_ghg_energy,
8924400,"SBI 24.1-24.3: Basismetaalindustrie, verwerking en vervaardiging ijzer en staal, kalkgebruik (PBL)",204,Koolstofdioxide,2.A.4.d,8924400_204,non_energetic_emissions_co2_other_industry,
8924401,"SBI 24.1-24.3: Basismetaalindustrie, verwerking en vervaardiging ijzer en staal, anode-gebruik bij electrostaal productie",204,Koolstofdioxide,2.C.1.f,8924401_204,non_energetic_emissions_co2_other_industry,
8924402,"SBI 24.1-24.3: Basismetaalindustrie, verwerking en vervaardiging ijzer en staal",204,Koolstofdioxide,2.C.1.a,8924402_204,non_energetic_emissions_co2_other_industry,
8924407,SBI 24.1-24.3/24.51/24.52: Basismetaal ijzer en staal,204,Koolstofdioxide,1.A.2.a,8924407_204,"NA (energetische emissies, volgt uit energiegebruik)",
8924407,SBI 24.1-24.3/24.51/24.52: Basismetaal ijzer en staal,205,Distikstofoxide,1.A.2.a,8924407_205,energetic_emissions_other_ghg_industry,
8924407,SBI 24.1-24.3/24.51/24.52: Basismetaal ijzer en staal,523,Methaan,1.A.2.a,8924407_523,energetic_emissions_other_ghg_industry,
8924502,Oplosmiddel- en ander productgebruik: overig,9999999,Overige HFK's,2.F.6.a,8924502_9999999,non_energetic_emissions_other_ghg_other_industry,
8924502,Oplosmiddel- en ander productgebruik: overig,409,Zwavelhexafluoride,2.G.2.e,8924502_409,non_energetic_emissions_other_ghg_other_industry,
8924504,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Commercieel,687,"HFK-134a (1,1,1,2-tetrafluorethaan)",2.F.1.a,8924504_687,non_energetic_emissions_other_ghg_other_industry,
8924504,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Commercieel,696,HFK-32 (Difluor-Methaan),2.F.1.a,8924504_696,non_energetic_emissions_other_ghg_other_industry,
8924504,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Commercieel,903,HFK-23 (Trifluormethaan),2.F.1.a,8924504_903,non_energetic_emissions_other_ghg_other_industry,
8924504,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Commercieel,904,HFK-125 (Pentafluorethaan),2.F.1.a,8924504_904,non_energetic_emissions_other_ghg_other_industry,
8924504,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Commercieel,906,"HFK-143a (1,1,1-Trifluorethaan)",2.F.1.a,8924504_906,non_energetic_emissions_other_ghg_other_industry,
8924505,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Industrieel,687,"HFK-134a (1,1,1,2-tetrafluorethaan)",2.F.1.c,8924505_687,non_energetic_emissions_other_ghg_other_industry,
8924505,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Industrieel,696,HFK-32 (Difluor-Methaan),2.F.1.c,8924505_696,non_energetic_emissions_other_ghg_other_industry,
8924505,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Industrieel,903,HFK-23 (Trifluormethaan),2.F.1.c,8924505_903,non_energetic_emissions_other_ghg_other_industry,
8924505,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Industrieel,904,HFK-125 (Pentafluorethaan),2.F.1.c,8924505_904,non_energetic_emissions_other_ghg_other_industry,
8924505,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Industrieel,906,"HFK-143a (1,1,1-Trifluorethaan)",2.F.1.c,8924505_906,non_energetic_emissions_other_ghg_other_industry,
8924506,"Oplosmiddel- en ander productgebruik: Stationair koelen, vriezen en airco",687,"HFK-134a (1,1,1,2-tetrafluorethaan)",2.F.1.c,8924506_687,non_energetic_emissions_other_ghg_other_industry,
8924506,"Oplosmiddel- en ander productgebruik: Stationair koelen, vriezen en airco",696,HFK-32 (Difluor-Methaan),2.F.1.c,8924506_696,non_energetic_emissions_other_ghg_other_industry,
8924506,"Oplosmiddel- en ander productgebruik: Stationair koelen, vriezen en airco",903,HFK-23 (Trifluormethaan),2.F.1.c,8924506_903,non_energetic_emissions_other_ghg_other_industry,
8924506,"Oplosmiddel- en ander productgebruik: Stationair koelen, vriezen en airco",904,HFK-125 (Pentafluorethaan),2.F.1.c,8924506_904,non_energetic_emissions_other_ghg_other_industry,
8924506,"Oplosmiddel- en ander productgebruik: Stationair koelen, vriezen en airco",906,"HFK-143a (1,1,1-Trifluorethaan)",2.F.1.c,8924506_906,non_energetic_emissions_other_ghg_other_industry,
8924507,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Transport,687,"HFK-134a (1,1,1,2-tetrafluorethaan)",2.F.1.d,8924507_687,non_energetic_emissions_other_ghg_other_industry,
8924507,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Transport,696,HFK-32 (Difluor-Methaan),2.F.1.d,8924507_696,non_energetic_emissions_other_ghg_other_industry,
8924507,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Transport,903,HFK-23 (Trifluormethaan),2.F.1.d,8924507_903,non_energetic_emissions_other_ghg_other_industry,
8924507,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Transport,904,HFK-125 (Pentafluorethaan),2.F.1.d,8924507_904,non_energetic_emissions_other_ghg_other_industry,
8924507,Oplosmiddel- en ander productgebruik: Koelen en vriezen: Transport,906,"HFK-143a (1,1,1-Trifluorethaan)",2.F.1.d,8924507_906,non_energetic_emissions_other_ghg_other_industry,
8924508,Oplosmiddel- en ander productgebruik: Stationaire Airco¿s,687,"HFK-134a (1,1,1,2-tetrafluorethaan)",2.F.1.c,8924508_687,non_energetic_emissions_other_ghg_other_industry,
8924508,Oplosmiddel- en ander productgebruik: Stationaire Airco¿s,696,HFK-32 (Difluor-Methaan),2.F.1.c,8924508_696,non_energetic_emissions_other_ghg_other_industry,
