Emissiecode,Emissieoorzaak,Gascode,Gasnaam,CRF code,Emissiecode_Gascode,ETM categorie,
445600,"Veestapel, paarden, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.4,445600_205,non_energetic_emissions_other_ghg_agriculture_manure,
445600,"Veestapel, paarden, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.4,445600_523,non_energetic_emissions_other_ghg_agriculture_manure,
445700,"Veestapel, paarden, weidemest CH4",523,Methaan,3.B.1.4,445700_523,non_energetic_emissions_other_ghg_agriculture_manure,
445800,"Veestapel, (muil-)ezels, fermentatie",523,Methaan,3.A.4,445800_523,non_energetic_emissions_other_ghg_agriculture_fermentation,
445900,"Veestapel, (muil-)ezels, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.4,445900_205,non_energetic_emissions_other_ghg_agriculture_manure,
445900,"Veestapel, (muil-)ezels, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.4,445900_523,non_energetic_emissions_other_ghg_agriculture_manure,
446000,"Veestapel, (muil-)ezels, weidemest CH4",523,Methaan,3.B.1.4,446000_523,non_energetic_emissions_other_ghg_agriculture_manure,
446100,"Veestapel, fokvarkens, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.3,446100_205,non_energetic_emissions_other_ghg_agriculture_manure,
446102,"Veestapel, vleesvarkens, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.3,446102_205,non_energetic_emissions_other_ghg_agriculture_manure,
446102,"Veestapel, vleesvarkens, mest in stallen + opslag excl. NH3",523,Methaan,3.B.2.3,446102_523,non_energetic_emissions_other_ghg_agriculture_manure,
446500,"Veestapel, varkens, fermentatie",523,Methaan,3.A.3,446500_523,non_energetic_emissions_other_ghg_agriculture_fermentation,
447103,"Veestapel, vleeskuikens, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.4,447103_205,non_energetic_emissions_other_ghg_agriculture_manure,
447103,"Veestapel, vleeskuikens, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.4,447103_523,non_energetic_emissions_other_ghg_agriculture_manure,Grotendeels biomassa
447104,"Veestapel, leghennen, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.4,447104_205,non_energetic_emissions_other_ghg_agriculture_manure,
447104,"Veestapel, leghennen, mest in stallen + opslag excl. NH3",523,Methaan,3.B.1.4,447104_523,non_energetic_emissions_other_ghg_agriculture_manure,
447108,"Veestapel, vleeseenden, mest in stallen + opslag excl. NH3",205,Distikstofoxide,3.B.2.4,447108_205,non_energetic_emissions_other_ghg_agriculture_manure,
