Code,Gebieden,inwoners_2023,woningen_2023,el_woningen_tj_incl_zonachtermeter_2023,gaswoningen_2023,warmwontier2_2023,houtskool_2023,houtwontj_2023,zonpvtj_won_2023
GM0312,Bunnik,16026.0,6764.0,78.0,6.1,0.0,0.0,22.0,37.0
GM0313,Bunschoten,22500.0,8825.0,107.0,7.6,0.0,0.0,16.0,38.0
GM0214,Buren,27725.0,11125.0,153.0,11.2,0.0,0.0,55.0,72.0
GM0502,Capelle aan den IJssel,67552.0,31488.0,284.0,16.3,139000.0,1.0,14.0,58.0
GM0383,Castricum,36345.0,16344.0,173.0,14.9,1000.0,1.0,40.0,83.0
GM0109,Coevorden,35700.0,15895.0,192.0,16.0,0.0,1.0,74.0,94.0
GM1706,Cranendonck,20851.0,9139.0,121.0,9.0,0.0,0.0,45.0,63.0
GM0216,Culemborg,29729.0,13023.0,133.0,9.0,23000.0,0.0,19.0,57.0
GM0148,Dalfsen,29612.0,12332.0,156.0,11.8,0.0,0.0,60.0,81.0
GM1891,Dantumadiel,19194.0,8263.0,90.0,7.9,1000.0,0.0,48.0,51.0
GM0310,De Bilt,43884.0,19884.0,212.0,19.6,1000.0,1.0,43.0,62.0
GM1940,De Fryske Marren,51992.0,23593.0,270.0,21.7,0.0,1.0,117.0,137.0
GM0736,De Ronde Venen,45572.0,18872.0,220.0,16.8,2000.0,1.0,55.0,92.0
GM1690,De Wolden,24602.0,10555.0,134.0,11.7,0.0,0.0,58.0,67.0
GM0503,Delft,106086.0,52816.0,422.0,31.8,40000.0,2.0,14.0,84.0
GM0518,Den Haag,562839.0,270220.0,2102.0,186.4,478000.0,8.0,65.0,296.0
GM0400,Den Helder,56539.0,28518.0,248.0,22.9,0.0,1.0,35.0,97.0
GM0762,Deurne,32977.0,14312.0,179.0,13.5,1000.0,1.0,55.0,83.0
GM0150,Deventer,102781.0,47015.0,449.0,35.3,65000.0,2.0,77.0,151.0
GM0384,Diemen,32785.0,15959.0,137.0,8.7,89000.0,0.0,7.0,33.0
GM1980,Dijk en Waard,88985.0,37459.0,417.0,25.4,89000.0,1.0,83.0,199.0
GM1774,Dinkelland,26743.0,11186.0,153.0,12.5,1000.0,0.0,60.0,76.0
GM0221,Doesburg,11081.0,5380.0,52.0,4.2,4000.0,0.0,15.0,19.0
GM0222,Doetinchem,59195.0,26836.0,289.0,22.1,2000.0,1.0,74.0,126.0
GM0766,Dongen,27200.0,11732.0,139.0,9.7,8000.0,0.0,29.0,59.0
GM0505,Dordrecht,121434.0,56596.0,510.0,39.6,38000.0,2.0,36.0,125.0
GM0498,Drechterland,20385.0,8602.0,105.0,7.9,0.0,0.0,40.0,52.0
GM1719,Drimmelen,27994.0,12182.0,145.0,10.9,0.0,0.0,46.0,57.0
GM0303,Dronten,43593.0,18344.0,220.0,14.6,1000.0,1.0,64.0,108.0
GM0225,Druten,19505.0,8433.0,102.0,7.2,0.0,0.0,27.0,45.0
GM0226,Duiven,24937.0,10865.0,119.0,3.9,163000.0,0.0,26.0,51.0
GM1711,Echt-Susteren,31967.0,14911.0,188.0,13.9,0.0,0.0,61.0,94.0
GM0385,Edam-Volendam,36760.0,15678.0,182.0,15.2,0.0,1.0,31.0,63.0
GM0228,Ede,122012.0,51718.0,553.0,39.1,163000.0,2.0,105.0,204.0
GM0317,Eemnes,9598.0,4125.0,48.0,3.9,0.0,0.0,10.0,22.0
GM1979,Eemsdelta,45394.0,23587.0,251.0,21.9,0.0,1.0,92.0,120.0
GM0770,Eersel,20004.0,8662.0,116.0,8.5,0.0,0.0,36.0,57.0
GM1903,Eijsden-Margraten,25991.0,11488.0,148.0,11.9,0.0,0.0,47.0,75.0
GM0772,Eindhoven,243730.0,118333.0,1074.0,85.4,176000.0,4.0,83.0,363.0
GM0230,Elburg,24037.0,9761.0,114.0,8.8,0.0,0.0,35.0,53.0
GM0114,Emmen,108765.0,50332.0,562.0,47.2,1000.0,2.0,185.0,255.0
GM0388,Enkhuizen,18885.0,8927.0,82.0,7.2,0.0,0.0,13.0,24.0
GM0153,Enschede,161235.0,77059.0,748.0,54.7,242000.0,2.0,94.0,218.0
GM0232,Epe,33283.0,14844.0,172.0,14.8,0.0,1.0,55.0,65.0
GM0233,Ermelo,27496.0,11647.0,131.0,10.8,0.0,0.0,37.0,55.0
GM0777,Etten-Leur,44578.0,19766.0,226.0,14.7,1000.0,1.0,30.0,85.0
GM0779,Geertruidenberg,22099.0,10120.0,107.0,7.5,15000.0,0.0,24.0,39.0
GM1771,Geldrop-Mierlo,40441.0,18308.0,204.0,16.2,0.0,1.0,33.0,92.0
GM1652,Gemert-Bakel,31383.0,12989.0,170.0,12.2,0.0,0.0,51.0,82.0
GM0907,Gennep,17764.0,7705.0,95.0,6.9,0.0,0.0,32.0,45.0
GM0784,Gilze en Rijen,26815.0,11508.0,133.0,9.6,0.0,0.0,33.0,56.0
GM1924,Goeree-Overflakkee,51590.0,22564.0,261.0,18.3,0.0,1.0,82.0,133.0
GM0664,Goes,39433.0,19076.0,199.0,13.9,11000.0,1.0,43.0,98.0
GM0785,Goirle,24177.0,10561.0,127.0,8.9,10000.0,0.0,23.0,50.0
GM1942,Gooise Meren,60359.0,27590.0,285.0,28.0,1000.0,1.0,35.0,65.0
GM0512,Gorinchem,38461.0,17789.0,170.0,12.2,8000.0,1.0,18.0,57.0
GM0513,Gouda,75316.0,34477.0,299.0,24.4,2000.0,1.0,20.0,90.0
GM0014,Groningen,238147.0,122715.0,972.0,89.7,89000.0,4.0,119.0,323.0
GM1729,Gulpen-Wittem,14210.0,6892.0,80.0,6.8,0.0,0.0,28.0,34.0
GM0158,Haaksbergen,24502.0,10666.0,129.0,10.0,0.0,0.0,35.0,59.0
GM0392,Haarlem,165396.0,78000.0,628.0,61.3,16000.0,3.0,26.0,135.0
GM0394,Haarlemmermeer,162300.0,66659.0,730.0,53.1,6000.0,2.0,103.0,259.0
GM1655,Halderberge,31041.0,13702.0,162.0,12.4,0.0,0.0,56.0,69.0
GM0160,Hardenberg,62509.0,25844.0,320.0,24.7,0.0,1.0,116.0,154.0
GM0243,Harderwijk,48906.0,21553.0,217.0,17.1,5000.0,1.0,33.0,78.0
GM0523,Hardinxveld-Giessendam,18681.0,7550.0,81.0,5.9,0.0,0.0,22.0,36.0
GM0072,Harlingen,16188.0,8035.0,78.0,6.6,0.0,0.0,17.0,41.0
GM0244,Hattem,12563.0,5467.0,61.0,5.0,0.0,0.0,19.0,24.0
GM0396,Heemskerk,39431.0,17882.0,170.0,13.7,0.0,1.0,16.0,69.0
GM0397,Heemstede,27778.0,12863.0,130.0,13.3,2000.0,0.0,15.0,37.0
GM0246,Heerde,19214.0,8195.0,97.0,7.9,0.0,0.0,40.0,42.0
GM0074,Heerenveen,51637.0,24010.0,252.0,20.5,0.0,1.0,80.0,115.0
GM0917,Heerlen,87122.0,46474.0,435.0,35.8,40000.0,1.0,47.0,126.0
GM1658,Heeze-Leende,16627.0,7095.0,96.0,7.3,0.0,0.0,34.0,52.0
GM0399,Heiloo,24319.0,11123.0,118.0,10.2,2000.0,0.0,26.0,56.0
GM0163,Hellendoorn,36261.0,15061.0,183.0,14.1,0.0,1.0,59.0,89.0
GM0794,Helmond,94898.0,42337.0,450.0,29.1,173000.0,1.0,66.0,171.0
GM0531,Hendrik-Ido-Ambacht,32183.0,12725.0,139.0,9.0,5000.0,0.0,12.0,55.0
GM0164,Hengelo,82311.0,39523.0,399.0,32.2,19000.0,1.0,58.0,146.0
GM1966,Het Hogeland,48298.0,22813.0,241.0,23.0,0.0,1.0,120.0,114.0
GM0252,Heumen,16824.0,7379.0,90.0,6.9,0.0,0.0,25.0,46.0
GM0797,Heusden,45830.0,19761.0,243.0,17.6,0.0,1.0,49.0,108.0
GM0534,Hillegom,22453.0,10124.0,101.0,7.9,0.0,0.0,14.0,34.0
GM0798,Hilvarenbeek,15949.0,7030.0,90.0,6.9,0.0,0.0,34.0,41.0
GM0402,Hilversum,93327.0,43618.0,395.0,39.1,12000.0,1.0,28.0,87.0
GM1963,Hoeksche Waard,89760.0,39026.0,445.0,31.2,3000.0,1.0,120.0,198.0
GM1735,Hof van Twente,35455.0,15428.0,194.0,15.9,0.0,1.0,70.0,89.0
GM1911,Hollands Kroon,49431.0,21452.0,253.0,19.5,1000.0,1.0,97.0,116.0
GM0118,Hoogeveen,56433.0,25775.0,274.0,22.8,2000.0,1.0,68.0,122.0
GM0405,Hoorn,75216.0,34330.0,327.0,26.2,5000.0,1.0,39.0,110.0
GM1507,Horst aan de Maas,43641.0,18409.0,249.0,17.4,0.0,1.0,80.0,140.0
GM0321,Houten,50581.0,21217.0,233.0,12.4,73000.0,1.0,28.0,102.0
GM0406,Huizen,41252.0,19128.0,192.0,16.8,0.0,1.0,20.0,70.0
GM0677,Hulst,27596.0,13649.0,155.0,12.7,2000.0,0.0,68.0,83.0
GM0353,IJsselstein,33492.0,14533.0,152.0,10.9,0.0,1.0,14.0,54.0
GM1884,Kaag en Braassem,28573.0,12378.0,146.0,10.1,0.0,0.0,39.0,74.0
GM0166,Kampen,55614.0,23340.0,239.0,19.4,1000.0,1.0,47.0,95.0
GM0678,Kapelle,13051.0,5530.0,66.0,4.7,0.0,0.0,27.0,39.0
GM0537,Katwijk,66607.0,27444.0,271.0,20.2,6000.0,1.0,21.0,82.0
GM0928,Kerkrade,45620.0,24167.0,246.0,20.2,1000.0,1.0,30.0,96.0
GM1598,Koggenland,23509.0,9803.0,118.0,8.7,0.0,0.0,43.0,54.0
GM0542,Krimpen aan den IJssel,29504.0,12572.0,127.0,9.6,1000.0,0.0,11.0,45.0
GM1931,Krimpenerwaard,57700.0,24450.0,266.0,20.5,2000.0,1.0,77.0,107.0
GM1659,Laarbeek,23260.0,9908.0,133.0,9.2,2000.0,0.0,44.0,78.0
GM1982,Land van Cuijk,91423.0,39868.0,497.0,36.4,4000.0,1.0,162.0,249.0
GM0882,Landgraaf,37175.0,18139.0,201.0,15.6,0.0,1.0,32.0,87.0
GM0415,Landsmeer,11705.0,4915.0,57.0,4.5,0.0,0.0,12.0,22.0
GM1621,Lansingerland,64754.0,24865.0,298.0,18.5,27000.0,1.0,46.0,137.0
GM0417,Laren,11712.0,5475.0,67.0,7.3,0.0,0.0,17.0,11.0
GM0080,Leeuwarden,127073.0,64684.0,570.0,48.8,45000.0,2.0,116.0,224.0
GM0546,Leiden,127089.0,62598.0,487.0,36.2,170000.0,2.0,17.0,101.0
GM0547,Leiderdorp,27657.0,12700.0,118.0,8.8,17000.0,0.0,8.0,36.0
GM1916,Leidschendam-Voorburg,77753.0,37690.0,320.0,30.3,6000.0,1.0,18.0,68.0
GM0995,Lelystad,83033.0,35058.0,390.0,23.5,144000.0,1.0,65.0,161.0
GM1640,Leudal,36141.0,16312.0,216.0,15.7,0.0,1.0,80.0,112.0
GM0327,Leusden,31467.0,13637.0,155.0,11.2,0.0,0.0,29.0,74.0
GM1705,Lingewaard,47220.0,20320.0,246.0,17.4,1000.0,1.0,62.0,125.0
GM0553,Lisse,23390.0,10490.0,105.0,7.9,0.0,0.0,12.0,42.0
GM0262,Lochem,34314.0,15446.0,188.0,16.2,1000.0,1.0,63.0,83.0
GM0809,Loon op Zand,23797.0,10516.0,123.0,9.4,0.0,0.0,30.0,50.0
GM0331,Lopik,14704.0,5879.0,72.0,5.4,0.0,0.0,23.0,31.0
GM0168,Losser,23362.0,10067.0,129.0,9.9,0.0,0.0,36.0,62.0
GM0263,Maasdriel,26020.0,10377.0,144.0,10.4,0.0,0.0,51.0,73.0
GM1641,Maasgouw,24305.0,11262.0,146.0,10.8,0.0,0.0,51.0,79.0
GM1991,Maashorst,58934.0,26012.0,320.0,22.9,0.0,1.0,74.0,160.0
GM0556,Maassluis,35303.0,16055.0,150.0,10.9,7000.0,1.0,9.0,43.0
GM0935,Maastricht,122734.0,64382.0,555.0,48.8,57000.0,2.0,40.0,143.0
GM0420,Medemblik,46031.0,19454.0,228.0,17.6,2000.0,1.0,84.0,107.0
GM0938,Meerssen,18600.0,8684.0,108.0,8.7,1000.0,0.0,37.0,52.0
GM1948,Meierijstad,83715.0,35758.0,451.0,32.2,1000.0,1.0,107.0,221.0
GM0119,Meppel,35464.0,16390.0,161.0,13.2,7000.0,1.0,40.0,67.0
GM0687,Middelburg,49956.0,24458.0,221.0,18.9,3000.0,1.0,39.0,98.0
GM1842,Midden-Delfland,19472.0,8058.0,92.0,6.3,7000.0,0.0,19.0,44.0
GM1731,Midden-Drenthe,33987.0,14704.0,180.0,14.8,0.0,1.0,78.0,95.0
GM1952,Midden-Groningen,61554.0,28587.0,314.0,27.4,0.0,1.0,110.0,158.0
GM1709,Moerdijk,37711.0,16783.0,194.0,14.4,0.0,1.0,56.0,82.0
GM1978,Molenlanden,45158.0,17852.0,209.0,15.5,0.0,1.0,70.0,87.0
GM1955,Montferland,36882.0,16226.0,205.0,14.5,1000.0,1.0,58.0,111.0
GM0335,Montfoort,13929.0,5799.0,68.0,5.1,0.0,0.0,19.0,31.0
GM0944,Mook en Middelaar,8043.0,3679.0,46.0,3.7,0.0,0.0,17.0,24.0
GM1740,Neder-Betuwe,25448.0,9119.0,118.0,8.7,0.0,0.0,40.0,55.0
GM0946,Nederweert,17499.0,7656.0,105.0,7.3,1000.0,0.0,33.0,55.0
GM0356,Nieuwegein,65426.0,30456.0,290.0,10.8,141000.0,1.0,22.0,89.0
GM0569,Nieuwkoop,29463.0,11824.0,141.0,10.1,4000.0,0.0,44.0,56.0
GM0267,Nijkerk,44975.0,18072.0,212.0,15.6,1000.0,1.0,46.0,92.0
GM0268,Nijmegen,182480.0,84648.0,733.0,59.0,191000.0,3.0,61.0,226.0
GM1930,Nissewaard,86833.0,40034.0,409.0,27.5,13000.0,1.0,45.0,141.0
GM1970,Noardeast-Fryslân,45812.0,20965.0,220.0,19.8,0.0,1.0,104.0,110.0
GM1695,Noord-Beveland,7857.0,4736.0,51.0,3.8,0.0,0.0,22.0,27.0
GM1699,Noordenveld,31591.0,14926.0,167.0,15.0,0.0,0.0,63.0,91.0
GM0171,Noordoostpolder,49729.0,20755.0,247.0,18.0,2000.0,1.0,63.0,117.0
GM0575,Noordwijk,45179.0,20757.0,213.0,17.1,0.0,1.0,31.0,74.0
GM0820,"Nuenen, Gerwen en Nederwetten",24015.0,10672.0,132.0,10.4,0.0,0.0,30.0,64.0
GM0302,Nunspeet,28731.0,11458.0,132.0,10.6,0.0,0.0,38.0,50.0
GM0579,Oegstgeest,25746.0,11141.0,116.0,9.0,13000.0,0.0,10.0,41.0
GM0823,Oirschot,19217.0,8260.0,109.0,7.7,0.0,0.0,33.0,49.0
GM0824,Oisterwijk,32941.0,14337.0,174.0,13.5,0.0,0.0,50.0,67.0
GM1895,Oldambt,39044.0,18973.0,205.0,18.7,1000.0,1.0,76.0,104.0
GM0269,Oldebroek,24264.0,9595.0,119.0,8.9,0.0,0.0,38.0,54.0
GM0173,Oldenzaal,31925.0,14826.0,163.0,13.2,1000.0,0.0,29.0,73.0
GM1773,Olst-Wijhe,18682.0,7980.0,95.0,7.3,1000.0,0.0,37.0,47.0
GM0175,Ommen,18955.0,7755.0,94.0,7.5,0.0,0.0,35.0,43.0
GM1586,Oost Gelre,29846.0,13133.0,161.0,11.8,0.0,0.0,51.0,80.0
GM0826,Oosterhout,57425.0,25929.0,276.0,20.0,20000.0,1.0,42.0,103.0
GM0085,Ooststellingwerf,25837.0,11468.0,133.0,11.0,0.0,0.0,59.0,75.0
GM0431,Oostzaan,9720.0,4144.0,46.0,3.6,0.0,0.0,10.0,16.0
GM0432,Opmeer,12180.0,5029.0,58.0,4.6,0.0,0.0,22.0,26.0
GM0086,Opsterland,30054.0,13318.0,154.0,12.9,0.0,0.0,73.0,75.0
GM0828,Oss,94437.0,41779.0,491.0,36.8,1000.0,1.0,106.0,220.0
GM1509,Oude IJsselstreek,39613.0,17651.0,214.0,16.0,1000.0,1.0,74.0,106.0
GM0437,Ouder-Amstel,14276.0,6392.0,64.0,5.0,10000.0,0.0,12.0,19.0
GM0589,Oudewater,10232.0,4393.0,50.0,4.0,0.0,0.0,12.0,21.0
GM1734,Overbetuwe,48707.0,20388.0,246.0,17.5,1000.0,1.0,72.0,112.0
GM0590,Papendrecht,32277.0,14609.0,144.0,9.9,29000.0,0.0,14.0,45.0
GM1894,Peel en Maas,45276.0,18921.0,255.0,17.6,1000.0,1.0,87.0,141.0
GM0765,Pekela,12404.0,5787.0,64.0,6.1,0.0,0.0,29.0,28.0
GM1926,Pijnacker-Nootdorp,57672.0,22451.0,262.0,14.4,8000.0,1.0,32.0,116.0
GM0439,Purmerend,93992.0,42865.0,411.0,12.8,620000.0,1.0,41.0,120.0
GM0273,Putten,24904.0,10219.0,126.0,9.5,1000.0,0.0,39.0,50.0
GM0177,Raalte,38500.0,16400.0,195.0,15.0,1000.0,1.0,65.0,100.0
GM0703,Reimerswaal,23255.0,9352.0,110.0,8.1,1000.0,0.0,42.0,59.0
GM0274,Renkum,31461.0,15102.0,155.0,14.8,1000.0,0.0,45.0,53.0
GM0339,Renswoude,5747.0,2192.0,27.0,2.0,0.0,0.0,9.0,12.0
GM1667,Reusel-De Mierden,13542.0,5742.0,80.0,5.4,0.0,0.0,30.0,39.0
GM0275,Rheden,43570.0,21327.0,203.0,19.6,2000.0,1.0,41.0,63.0
GM0340,Rhenen,20329.0,8368.0,97.0,7.6,0.0,0.0,27.0,40.0
GM0597,Ridderkerk,47477.0,21589.0,214.0,15.3,1000.0,1.0,22.0,67.0
GM1742,Rijssen-Holten,38493.0,15000.0,179.0,14.5,1000.0,1.0,46.0,77.0
GM0603,Rijswijk,57997.0,28137.0,246.0,20.1,2000.0,1.0,9.0,66.0
GM1669,Roerdalen,20702.0,9729.0,124.0,9.3,0.0,0.0,50.0,67.0
GM0957,Roermond,59981.0,29164.0,307.0,23.5,1000.0,1.0,57.0,131.0
GM1674,Roosendaal,77613.0,35904.0,373.0,30.2,8000.0,1.0,64.0,137.0
GM0599,Rotterdam,663900.0,321282.0,2445.0,180.4,1120000.0,10.0,111.0,315.0
GM0277,Rozendaal,1754.0,706.0,11.0,0.9,0.0,0.0,4.0,5.0
GM0840,Rucphen,23636.0,10218.0,136.0,10.2,0.0,0.0,50.0,55.0
GM0441,Schagen,47450.0,21169.0,234.0,18.5,1000.0,1.0,71.0,104.0
GM0279,Scherpenzeel,10386.0,4248.0,48.0,3.7,3000.0,0.0,11.0,20.0
GM0606,Schiedam,80628.0,38089.0,322.0,26.8,2000.0,1.0,12.0,58.0
GM0088,Schiermonnikoog,982.0,612.0,6.0,0.6,0.0,0.0,3.0,2.0
GM1676,Schouwen-Duiveland,34561.0,16888.0,195.0,15.1,0.0,1.0,74.0,104.0
GM0796,'s-Hertogenbosch,158753.0,75246.0,762.0,56.4,26000.0,2.0,99.0,264.0
GM0965,Simpelveld,10396.0,5215.0,58.0,5.0,0.0,0.0,19.0,24.0
GM0845,Sint-Michielsgestel,30135.0,12568.0,166.0,12.4,0.0,0.0,57.0,80.0
GM1883,Sittard-Geleen,92234.0,47011.0,503.0,38.1,36000.0,1.0,86.0,204.0
GM0610,Sliedrecht,26184.0,11213.0,105.0,7.5,12000.0,0.0,14.0,33.0
GM1714,Sluis,23243.0,13887.0,138.0,12.8,0.0,0.0,59.0,64.0
GM0090,Smallingerland,56098.0,26241.0,262.0,23.2,1000.0,1.0,68.0,126.0
GM0342,Soest,47439.0,21202.0,231.0,19.3,1000.0,1.0,39.0,80.0
GM0847,Someren,20061.0,8482.0,116.0,7.9,0.0,0.0,31.0,66.0
GM0848,Son en Breugel,18010.0,7632.0,99.0,7.6,0.0,0.0,29.0,51.0
GM0037,Stadskanaal,32135.0,15177.0,164.0,15.0,1000.0,0.0,61.0,69.0
GM0180,Staphorst,17628.0,6099.0,80.0,6.8,1000.0,0.0,31.0,33.0
GM0532,Stede Broec,22138.0,9438.0,101.0,8.0,0.0,0.0,27.0,47.0
GM0851,Steenbergen,24610.0,10679.0,128.0,9.2,2000.0,0.0,40.0,57.0
GM1708,Steenwijkerland,45376.0,20469.0,227.0,19.3,0.0,1.0,83.0,93.0
GM0971,Stein,24772.0,11823.0,145.0,10.5,0.0,0.0,40.0,76.0
GM1904,Stichtse Vecht,65771.0,28901.0,307.0,24.8,1000.0,1.0,59.0,101.0
GM1900,Súdwest-Fryslân,90883.0,42865.0,437.0,38.2,2000.0,1.0,154.0,194.0
GM0715,Terneuzen,54993.0,27414.0,287.0,23.7,0.0,1.0,91.0,138.0
GM0093,Terschelling,4928.0,2318.0,23.0,2.4,0.0,0.0,10.0,8.0
GM0448,Texel,13979.0,6975.0,72.0,6.3,0.0,0.0,24.0,28.0
GM1525,Teylingen,38510.0,16657.0,177.0,13.0,0.0,1.0,25.0,70.0
GM0716,Tholen,26825.0,11263.0,134.0,9.4,1000.0,0.0,43.0,69.0
GM0281,Tiel,42604.0,18534.0,195.0,15.0,5000.0,1.0,32.0,73.0
GM0855,Tilburg,227707.0,105264.0,1013.0,59.3,558000.0,3.0,99.0,325.0
GM0183,Tubbergen,21408.0,8771.0,123.0,9.7,1000.0,0.0,42.0,58.0
GM1700,Twenterand,33867.0,14016.0,171.0,13.8,1000.0,1.0,67.0,76.0
GM1730,Tynaarlo,34592.0,14715.0,178.0,15.6,0.0,1.0,74.0,104.0
GM0737,Tytsjerksteradiel,32408.0,14211.0,158.0,13.4,1000.0,0.0,71.0,84.0
GM0450,Uitgeest,13472.0,5692.0,61.0,4.8,0.0,0.0,13.0,31.0
GM0451,Uithoorn,31442.0,13572.0,140.0,10.6,3000.0,0.0,20.0,52.0
GM0184,Urk,21829.0,6964.0,89.0,6.2,1000.0,0.0,16.0,40.0
GM0344,Utrecht,367947.0,165400.0,1367.0,80.8,995000.0,6.0,66.0,394.0
GM1581,Utrechtse Heuvelrug,50429.0,22121.0,255.0,22.3,0.0,1.0,77.0,102.0
GM0981,Vaals,10190.0,5862.0,53.0,5.4,0.0,0.0,12.0,17.0
GM0994,Valkenburg aan de Geul,16423.0,8368.0,91.0,8.2,0.0,0.0,25.0,38.0
GM0858,Valkenswaard,31527.0,15081.0,170.0,13.0,0.0,0.0,28.0,79.0
GM0047,Veendam,27616.0,13013.0,138.0,13.0,0.0,0.0,46.0,69.0
GM0345,Veenendaal,68525.0,29268.0,300.0,20.5,48000.0,1.0,30.0,117.0
GM0717,Veere,22045.0,11066.0,126.0,10.4,0.0,0.0,53.0,67.0
GM0861,Veldhoven,46417.0,20399.0,235.0,17.5,6000.0,1.0,32.0,111.0
GM0453,Velsen,68790.0,31823.0,281.0,25.5,1000.0,1.0,30.0,69.0
GM0983,Venlo,103328.0,48553.0,527.0,40.6,16000.0,2.0,85.0,227.0
GM0984,Venray,44628.0,19757.0,240.0,17.6,0.0,1.0,62.0,121.0
GM1961,Vijfheerenlanden,60052.0,25013.0,278.0,19.7,0.0,1.0,66.0,128.0
