,Metervraag aardgas,Metervraag aardgas,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag warmtenet,Metervraag warmtenet,Metervraag waterstof,Metervraag waterstof,Metervraag biomassa,Metervraag biomassa,Metervraag olie,Metervraag aardgas,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal
GM0299,130246.2,731215.4,4581.1,6606.0,0.0,0.0,0.0,0.0,0.0,20332.0,0.0,16335.4,415.5,3581.1000000000004,877831.1,15180.9,0.0,0.0,20330.0,0.0,913359.4
GM0301,145778.2,813025.2,4961.2,7469.2,68.2,434.6,0.0,0.0,0.0,21895.7,0.0,18289.9,455.1,3912.6000000000004,977117.7,16792.2,502.8,0.0,21893.9,0.0,1016321.3
GM0302,72380.6,367528.9,3308.6,4632.1,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9036.0,300.3,1864.9,448945.7,10098.9,0.0,0.0,13163.2,0.0,472194.9
GM0303,115069.2,649088.7,3924.2,5404.9,0.0,0.0,0.0,0.0,0.0,17738.7,0.0,14442.2,353.0,3201.9,778634.3,12877.8,0.0,0.0,17737.4,0.0,809249.3
GM0307,454551.2,2271309.7,8652.5,11040.4,4075.4,28062.4,0.0,0.0,0.0,41605.8,0.0,58065.1,1034.3,11191.1,2784125.7,31908.100000000002,32139.1,0.0,41602.7,0.0,2889826.3
GM0308,74997.9,385657.4,3311.2,4734.4,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,9345.5,300.6,1903.9,470004.2,10243.2,0.0,0.0,13163.2,0.0,493408.4
GM0310,127228.2,710819.2,4482.4,6586.3,0.0,0.0,0.0,0.0,0.0,19727.9,0.0,15949.5,406.40000000000003,3424.9,854030.6,14894.2,0.0,0.0,19726.2,0.0,888643.7
GM0312,39774.1,208024.0,2632.0,3943.9,0.0,0.0,0.0,0.0,0.0,9936.8,0.0,4965.3,249.5,1044.6000000000001,252801.9,7866.1,0.0,0.0,9935.4,0.0,270598.5
GM0313,53491.8,278317.0,2690.6,4125.6,0.0,0.0,0.0,0.0,0.0,10335.0,0.0,6644.400000000001,254.3,1384.7,338476.1,8447.4,0.0,0.0,10333.7,0.0,357259.9
GM0317,25821.6,139519.3,1584.9,1730.4,0.0,0.0,0.0,0.0,0.0,9082.6,0.0,3292.2000000000003,140.70000000000002,707.7,168667.9,4160.3,0.0,0.0,9080.9,0.0,181891.4
GM0321,133319.9,750910.0,4652.8,6705.4,0.0,0.0,0.0,0.0,0.0,20762.2,0.0,16731.2,421.8,3648.8,900993.0,15425.1,0.0,0.0,20760.0,0.0,937185.4
GM0327,85801.1,451884.9,3361.1,4599.2,0.0,0.0,0.0,0.0,0.0,13441.9,0.0,10725.9,304.5,2268.1,548414.6,10529.9,0.0,0.0,13441.0,0.0,572372.3
GM0331,36603.7,190413.0,2008.0,2960.4,0.0,0.0,0.0,0.0,0.0,9633.5,0.0,4536.5,182.5,964.4000000000001,231597.4,6109.4,0.0,0.0,9632.1,0.0,247327.5
GM0335,36529.5,190037.0,1812.5,2348.8,0.0,0.0,0.0,0.0,0.0,9579.1,0.0,4527.5,162.0,957.6,231137.8,5276.2,0.0,0.0,9577.6,0.0,245983.3
GM0339,13209.7,74520.8,925.3,567.9,0.0,0.0,0.0,0.0,0.0,6601.1,0.0,1676.4,71.2,364.2,89409.7,1926.8,0.0,0.0,6600.3,0.0,97933.9
GM0340,51675.1,267097.1,2675.5,4120.5,0.0,0.0,0.0,0.0,0.0,10251.9,0.0,6420.8,253.0,1328.0,325221.4,8370.5,0.0,0.0,10250.4,0.0,343846.8
GM0342,134927.2,761941.1,4674.8,6967.5,0.0,0.0,0.0,0.0,0.0,20863.7,0.0,16921.0,424.0,3642.5,913812.0,15704.7,0.0,0.0,20861.6,0.0,950390.6
GM0344,941019.4,4379582.5,33228.1,51766.4,60258.8,403904.0,0.0,0.0,0.0,106190.6,0.0,117288.0,6901.5,21278.5,5438253.6,113122.0,464365.3,0.0,106188.8,0.0,6122126.2
GM0345,185936.6,1009412.9,5394.5,8235.0,451.59999999999997,3290.6,0.0,0.0,0.0,24261.0,0.0,23458.3,517.5,4845.8,1218858.3,18985.7,3741.3,0.0,24259.1,0.0,1265867.9
GM0351,34003.5,180708.4,1653.4,2000.9,0.0,0.0,0.0,0.0,0.0,9482.3,0.0,4265.400000000001,146.8,910.1,219015.7,4706.7,0.0,0.0,9480.8,0.0,233185.3
GM0352,65719.3,336534.9,3037.2,4144.1,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,8192.8,278.0,1688.1000000000001,410445.7,9138.0,0.0,0.0,12623.0,0.0,432212.8
GM0353,93222.0,498405.7,3482.2,4972.9,0.0,0.0,0.0,0.0,0.0,14187.6,0.0,11668.5,314.90000000000003,2431.9,603309.2,11195.4,0.0,0.0,14186.4,0.0,628698.5
GM0355,192411.2,1039679.0,5462.3,8298.5,534.2,3943.8,0.0,0.0,0.0,24553.6,0.0,24289.9,528.9,4943.3,1256435.2,19227.6,4477.4,0.0,24551.6,0.0,1304722.7
GM0356,191506.0,1036188.9,5451.7,8337.5,517.0,3789.0,0.0,0.0,0.0,24517.7,0.0,24171.2,526.9,4968.7,1251919.6,19278.1,4305.4,0.0,24515.7,0.0,1300040.4
GM0358,86129.2,453273.9,3365.4,4843.0,0.0,0.0,0.0,0.0,0.0,13473.3,0.0,10769.2,304.8,2258.1,550174.7,10764.5,0.0,0.0,13472.4,0.0,574408.5
GM0361,341309.4,1740772.7,7318.5,10048.5,2477.0,16711.6,0.0,0.0,0.0,34302.8,0.0,43521.8,816.3,8522.5,2125750.1,26697.3,19188.8,0.0,34299.8,0.0,2205979.5
GM0362,279424.7,1445303.7,6513.4,9493.2,1692.2,11565.4,0.0,0.0,0.0,30073.4,0.0,35566.1,696.2,6874.900000000001,1760410.9,23569.9,13257.9,0.0,30071.0,0.0,1827332.7
GM0363,2596601.1,12748819.3,73046.5,122023.2,293107.2,1754737.0,0.0,0.0,0.0,263291.1,0.0,322653.8,25664.8,57611.700000000004,15668395.0,278201.7,2049180.7,0.0,263286.2,0.0,18259550.6
GM0373,98180.4,532230.3,3702.4,5160.2,0.0,0.0,0.0,0.0,0.0,16109.6,0.0,12312.800000000001,333.0,2604.0,642734.5,11790.7,0.0,0.0,16108.5,0.0,670637.7
GM0375,125930.8,702992.0,4461.5,6304.2,0.0,0.0,0.0,0.0,0.0,19598.5,0.0,15787.1,404.40000000000003,3355.3,844744.5,14520.4,0.0,0.0,19596.8,0.0,878833.1
GM0376,33144.3,177411.5,1650.2,1875.3,0.0,0.0,0.0,0.0,0.0,9482.3,0.0,4180.6,146.4,894.6,214776.8,4563.6,0.0,0.0,9480.8,0.0,228807.7
GM0377,65183.7,332498.7,3037.2,4175.8,0.0,0.0,0.0,0.0,0.0,12623.9,0.0,8124.3,278.0,1647.2,405804.9,9128.1,0.0,0.0,12623.0,0.0,427559.6
GM0383,104876.9,579118.6,3807.0,5337.1,0.0,0.0,0.0,0.0,0.0,17190.0,0.0,13178.9,341.0,2835.9,697196.6,12315.2,0.0,0.0,17188.8,0.0,726705.0
GM0384,99562.4,543239.4,3728.7999999999997,4983.1,0.0,0.0,0.0,0.0,0.0,16391.7,0.0,12492.300000000001,335.0,2528.6,655305.7,11570.7,0.0,0.0,16390.5,0.0,683246.9
GM0385,99194.6,540969.7,3722.5,5261.5,0.0,0.0,0.0,0.0,0.0,16342.0,0.0,12444.0,334.5,2704.8,652619.0,12014.9,0.0,0.0,16340.8,0.0,680970.9
GM0388,55939.0,289408.6,2690.6,4077.9,0.0,0.0,0.0,0.0,0.0,10335.0,0.0,6946.3,254.3,1430.9,352310.6,8447.1,0.0,0.0,10333.7,0.0,371097.4
GM0392,508405.4,2521092.6,9443.6,12110.4,5046.6,34794.6,0.0,0.0,0.0,45625.0,0.0,64951.3,1165.7,12149.5,3094676.5,34856.6,39841.0,0.0,45622.2,0.0,3215103.8
GM0394,430907.8,2161343.5,8346.0,10788.5,3700.8,25332.0,0.0,0.0,0.0,39938.8,0.0,55030.6,983.1,10876.0,2647474.1,30984.0,29033.0,0.0,39936.0,0.0,2747434.7
GM0396,114236.4,645006.0,3921.1,5466.0,0.0,0.0,0.0,0.0,0.0,17738.7,0.0,14342.5,352.6,3087.3,773616.9,12819.0,0.0,0.0,17737.4,0.0,804176.0
GM0397,82868.4,435052.0,3355.2,4797.0,0.0,0.0,0.0,0.0,0.0,13385.9,0.0,10344.4,304.1,2133.2000000000003,528257.5,10584.5,0.0,0.0,13384.9,0.0,552216.6
GM0399,70665.4,361842.3,3308.6,4495.0,0.0,0.0,0.0,0.0,0.0,13164.2,0.0,8826.0,300.3,1802.2,441320.7,9900.0,0.0,0.0,13163.2,0.0,464378.2
GM0400,184330.8,1002275.8,5365.6,8268.8,433.0,3135.4,0.0,0.0,0.0,24102.9,0.0,23250.7,514.0,4873.0,1209906.5,19016.3,3567.9,0.0,24101.1,0.0,1256635.6
GM0402,283898.3,1466642.7,6554.8,9378.0,1757.0,11929.2,0.0,0.0,0.0,30292.7,0.0,36142.0,703.9,7090.1,1786802.4,23716.9,13685.9,0.0,30290.1,0.0,1854534.8
GM0405,221104.4,1170341.7,5785.1,8561.8,929.1999999999999,6442.8,0.0,0.0,0.0,26145.2,0.0,28014.5,582.9,5760.400000000001,1419532.7,20679.4,7371.6,0.0,26143.5,0.0,1473726.0
GM0406,123205.9,682801.8,4374.2,6484.3,0.0,0.0,0.0,0.0,0.0,18807.0,0.0,15444.5,397.40000000000003,3319.9,821487.9,14568.3,0.0,0.0,18805.3,0.0,854860.8
GM0415,31523.8,169811.7,1623.9,1969.9,0.0,0.0,0.0,0.0,0.0,9332.8,0.0,3995.1,144.1,851.6,205375.7,4584.9,0.0,0.0,9331.2,0.0,219274.7
GM0417,34911.0,184005.1,1663.4,2062.4,0.0,0.0,0.0,0.0,0.0,9482.3,0.0,4357.900000000001,148.20000000000002,929.0,223316.6,4798.4,0.0,0.0,9480.8,0.0,237579.1
GM0420,124182.9,689824.4,4383.9,6439.2,0.0,0.0,0.0,0.0,0.0,18868.0,0.0,15567.6,398.3,3416.9,829611.0,14632.6,0.0,0.0,18866.3,0.0,863116.5
GM0431,26003.9,140223.5,1584.9,1728.0,0.0,0.0,0.0,0.0,0.0,9082.6,0.0,3315.3,140.70000000000002,703.6,169578.1,4154.5,0.0,0.0,9080.9,0.0,182798.7
GM0432,31949.6,171701.3,1630.0,1996.4,0.0,0.0,0.0,0.0,0.0,9399.1,0.0,4040.4,144.5,861.8000000000001,207734.8,4628.6,0.0,0.0,9397.5,0.0,221743.1
