gemeente_id,vbo_opp_m2,Functionele vraag ruimteverwarming (kWh),Gemiddelde netto warmtevraag (kWh/m2),Aantal gebouwen (weq)
GM0321,656799.0,115399440.0,175.69978029808206,5052.0
GM0327,482118.0,92854240.0,192.59650127147296,3709.0
GM0331,88976.0,23451748.0,263.5738626146377,684.0
GM0335,131364.0,35696230.0,271.7352547120977,1010.0
GM0339,41559.0,9630363.0,231.72749584927453,320.0
GM0340,163580.0,40038756.0,244.7655948159922,1258.0
GM0342,528761.0,143944131.0,272.2290997255849,4067.0
GM0344,4872400.0,990424074.0,203.27232452179624,37480.0
GM0345,928149.0,203145288.0,218.87141827443654,7140.0
GM0351,102588.0,27085048.0,264.017701875463,789.0
GM0352,141784.0,39290139.0,277.11264317553463,1091.0
GM0353,275633.0,60568433.0,219.7430387508027,2120.0
GM0355,1165372.0,316198910.0,271.32873451567394,8964.0
GM0356,1643763.0,313894576.0,190.96096943415807,12644.0
GM0358,362343.0,81111038.0,223.85153845941554,2787.0
GM0361,1837449.0,454979348.0,247.61468100611228,14134.0
GM0362,1523391.0,319849167.0,209.95868230808767,11718.0
GM0363,21303405.0,4965674834.0,233.09301184482013,163872.0
GM0373,1044483.0,299323387.0,286.5756426863817,8034.0
GM0375,635438.0,173152775.0,272.4935792319628,4888.0
GM0376,93671.0,26323912.0,281.0252052396153,721.0
GM0377,196192.0,62101168.0,316.53262110585547,1509.0
GM0383,324379.0,85834829.0,264.61278011215273,2495.0
GM0384,399375.0,84965534.0,212.7462510172144,3072.0
GM0385,332600.0,79799338.0,239.92585087191821,2558.0
GM0388,179531.0,53403930.0,297.463557825668,1381.0
GM0392,2074024.0,562514166.0,271.21873517374917,15954.0
GM0394,3973593.0,735023709.0,184.97709981872828,30566.0
GM0396,456304.0,111551188.0,244.46682036537047,3510.0
GM0397,334795.0,101388494.0,302.8375393897758,2575.0
GM0399,221199.0,66845429.0,302.1958914823304,1702.0
GM0400,1144677.0,311423970.0,272.0627478319212,8805.0
GM0402,1985989.0,499900763.0,251.7137622615231,15277.0
GM0405,1012435.0,252039825.0,248.94420382543078,7788.0
GM0406,413876.0,97102865.0,234.61825522620302,3184.0
GM0415,66092.0,16730653.0,253.14187798825878,508.0
GM0417,186686.0,53801897.0,288.1945994879102,1436.0
GM0420,424250.0,99570901.0,234.6986470241603,3263.0
GM0431,56166.0,11783050.0,209.78973044190437,432.0
GM0432,99830.0,27349977.0,273.9655113693279,768.0
GM0437,445640.0,107296881.0,240.77031011578853,3428.0
GM0439,755980.0,162265694.0,214.64283975766554,5815.0
GM0441,690882.0,195660202.0,283.2035021899543,5314.0
GM0448,645827.0,187620692.0,290.5123074755314,4968.0
GM0450,113761.0,31724094.0,278.86616678826664,875.0
GM0451,280174.0,62867846.0,224.3885799538858,2155.0
GM0453,897847.0,250271366.0,278.74611821390505,6907.0
GM0473,181372.0,53171328.0,293.1617228679179,1395.0
GM0479,1878538.0,452704359.0,240.98759726979173,14450.0
GM0482,184408.0,42444202.0,230.1646457854323,1419.0
GM0484,1366532.0,333492213.0,244.04273957726565,10512.0
GM0489,620017.0,113086561.0,182.39267794270157,4769.0
GM0498,114275.0,29976329.0,262.31747101290745,879.0
GM0502,1101736.0,230328977.0,209.06004433003915,8475.0
GM0503,2661408.0,691405817.0,259.789486241869,20472.0
GM0505,1917848.0,490401951.0,255.70428469826598,14753.0
GM0512,1033197.0,240804575.0,233.06743534872828,7948.0
GM0513,1299246.0,314551294.0,242.10295355921818,9994.0
GM0518,10030794.0,2352475844.0,234.52538692350774,77160.0
GM0523,255089.0,58601961.0,229.73143099075224,1962.0
GM0531,209889.0,46064524.0,219.4708822282254,1615.0
GM0532,243131.0,60374928.0,248.32262442880588,1870.0
GM0534,191406.0,47640226.0,248.8961997011588,1472.0
GM0537,627074.0,174343573.0,278.02711163275785,4824.0
GM0542,240093.0,54376937.0,226.48280874494466,1847.0
GM0546,2765767.0,733846668.0,265.332064486994,21275.0
GM0547,421930.0,98317893.0,233.0194416135378,3246.0
GM0553,349633.0,87622052.0,250.61150406283159,2689.0
GM0556,286054.0,73639162.0,257.43098156292166,2200.0
GM0569,251115.0,69365706.0,276.2308344782271,1932.0
GM0575,727296.0,176557629.0,242.75897158790917,5595.0
GM0579,263159.0,59044193.0,224.36699105863755,2024.0
GM0589,87132.0,23890579.0,274.18834641693064,670.0
GM0590,322649.0,70277590.0,217.81437413412098,2482.0
GM0597,553078.0,122585949.0,221.64314798274384,4254.0
GM0599,14554596.0,3210570700.0,220.58810151789854,111958.0
GM0603,2347102.0,562927701.0,239.83947054708318,18055.0
GM0606,1122397.0,286866176.0,255.5835199131858,8634.0
GM0610,416786.0,93830001.0,225.12752587658895,3206.0
GM0613,204597.0,43397704.0,212.1131003875912,1574.0
GM0622,855523.0,235453152.0,275.2154553413526,6581.0
GM0626,248449.0,66141307.0,266.21683725835084,1911.0
GM0627,348485.0,93531398.0,268.39432974159575,2681.0
GM0629,401109.0,104671914.0,260.95628370343223,3085.0
GM0632,759160.0,188684013.0,248.54314373781548,5840.0
GM0637,1856841.0,386112625.0,207.94059642155682,14283.0
GM0638,201920.0,54156470.0,268.20755744849447,1553.0
GM0642,475269.0,111337512.0,234.26209578154686,3656.0
GM0654,215354.0,52318296.0,242.94090660029534,1657.0
GM0664,783067.0,191214893.0,244.18714235180386,6024.0
GM0668,170579.0,48747332.0,285.77569337374473,1312.0
GM0677,262626.0,74380282.0,283.21751083289547,2020.0
GM0678,123046.0,32863391.0,267.082156266762,947.0
GM0687,860838.0,233390957.0,271.12064871671555,6622.0
GM0703,155028.0,43434078.0,280.1692468457311,1193.0
GM0715,1362716.0,339664401.0,249.2554582172661,10482.0
GM0716,276384.0,66808452.0,241.72329802014588,2126.0
GM0717,617938.0,176926228.0,286.3171191931877,4753.0
GM0718,769807.0,218054530.0,283.258699907899,5922.0
GM0736,461094.0,117214442.0,254.2094280125094,3547.0
GM0737,327429.0,89431925.0,273.1337938911947,2519.0
GM0743,202814.0,52844344.0,260.5557012829489,1560.0
GM0744,181150.0,52122673.0,287.7321170300856,1393.0
GM0748,1341258.0,338483079.0,252.3623933650349,10317.0
GM0753,513249.0,123050082.0,239.74733901088945,3948.0
GM0755,82130.0,20848686.0,253.84982345062704,632.0
GM0757,315779.0,89082270.0,282.1032114231789,2429.0
GM0758,3758762.0,856007388.0,227.73652282320614,28914.0
GM0762,395515.0,101920721.0,257.69116468401955,3042.0
GM0765,119684.0,30804674.0,257.38339293472814,921.0
GM0766,199378.0,50585178.0,253.71494347420477,1534.0
GM0770,253506.0,64423810.0,254.13130261216696,1950.0
GM0772,5304259.0,1234501509.0,232.73778844509667,40802.0
GM0777,435892.0,83304023.0,191.1116125095207,3353.0
GM0779,204810.0,55961020.0,273.23382647331675,1575.0
GM0784,453440.0,121381819.0,267.6910263761468,3488.0
GM0785,209324.0,57923575.0,276.717313829279,1610.0
GM0794,1122066.0,265100706.0,236.26124131735565,8631.0
GM0796,3809542.0,820078748.0,215.26964343745257,29304.0
GM0797,367324.0,90867309.0,247.37645511864184,2826.0
GM0798,203456.0,54521253.0,267.97564583988674,1565.0
GM0809,290281.0,71042306.0,244.73632790296298,2233.0
GM0820,231980.0,54150531.0,233.42758427450642,1784.0
GM0823,278591.0,70116588.0,251.68288997131995,2143.0
GM0824,738808.0,162863169.0,220.44045137572957,5683.0
GM0826,833165.0,191995805.0,230.4415151860676,6409.0
GM0828,998868.0,257242690.0,257.5342187356087,7684.0
GM0840,156880.0,43114774.0,274.82645334013256,1207.0
GM0845,208941.0,58716368.0,281.01889050018906,1607.0
GM0847,422553.0,85430743.0,202.17758009054486,3250.0
GM0848,358466.0,72520119.0,202.3068268678201,2757.0
GM0851,173756.0,46779293.0,269.2240440617878,1337.0
GM0852,125392.0,35531913.0,283.3666661350006,965.0
GM0855,3466635.0,848975197.0,244.89892849982763,26666.0
GM0858,348486.0,80854393.0,232.01618716390328,2681.0
GM0861,575146.0,136046382.0,236.54234229221797,4424.0
GM0865,491654.0,128951341.0,262.2806709596586,3782.0
GM0866,229703.0,55404918.0,241.20241355141204,1767.0
GM0867,668417.0,166498508.0,249.09376631653595,5142.0
GM0873,420619.0,119461130.0,284.0126813101643,3236.0
GM0879,181234.0,47878401.0,264.18001589105796,1394.0
GM0880,126818.0,31476976.0,248.20590137046793,976.0
GM0882,402936.0,101107409.0,250.9267203724661,3100.0
GM0888,308320.0,67596556.0,219.24155422937207,2372.0
GM0889,133209.0,36291483.0,272.4401729612864,1025.0
GM0893,93013.0,25629766.0,275.55036392762304,715.0
GM0899,401194.0,114033553.0,284.2354397124583,3086.0
GM0907,252806.0,72061068.0,285.0449277311456,1945.0
GM0917,2117977.0,556324848.0,262.6680308615249,16292.0
GM0928,650076.0,177295107.0,272.72981466782346,5001.0
GM0935,2999403.0,776972916.0,259.0425214617709,23072.0
GM0938,148921.0,43467491.0,291.8828842137778,1146.0
GM0944,82300.0,25986553.0,315.75398541919805,633.0
GM0946,156501.0,38859012.0,248.29880959227097,1204.0
GM0957,1575070.0,431930165.0,274.229186639324,12116.0
GM0965,102694.0,29255347.0,284.8788342064775,790.0
GM0971,239633.0,64402509.0,268.75475831792784,1843.0
GM0981,146612.0,46973206.0,320.3912776580362,1128.0
GM0983,1643677.0,405450228.0,246.67269055903319,12644.0
GM0984,608517.0,158157187.0,259.9059467525147,4681.0
GM0986,84397.0,22278233.0,263.9694894368283,649.0
GM0988,1189419.0,327019704.0,274.94070970784895,9149.0
GM0994,391507.0,120185855.0,306.98264654271827,3012.0
GM0995,872786.0,198459847.0,227.38660679708428,6714.0
GM1507,648878.0,159088307.0,245.17445035892726,4991.0
GM1509,368263.0,98317050.0,266.9750966021566,2833.0
GM1525,585325.0,165956254.0,283.5283885021142,4502.0
GM1581,749280.0,222026164.0,296.31935191116804,5764.0
GM1586,387869.0,95176351.0,245.3827220015005,2984.0
GM1598,141045.0,35195223.0,249.5318728065511,1085.0
GM1621,501004.0,104260577.0,208.10328260852208,3854.0
GM1640,345425.0,93870928.0,271.75487587754213,2657.0
GM1641,255565.0,60557349.0,236.95478254064523,1966.0
GM1652,315450.0,79861798.0,253.16784910445395,2427.0
GM1655,258239.0,68691183.0,265.99848589872175,1986.0
GM1658,192746.0,52617999.0,272.99139281749035,1483.0
GM1659,182888.0,44031683.0,240.7576385547439,1407.0
GM1667,110962.0,29625662.0,266.9892575836773,854.0
GM1669,360822.0,81592795.0,226.13032187616054,2776.0
GM1674,1108553.0,276537504.0,249.4580809397476,8527.0
GM1676,818601.0,224133024.0,273.80008575606433,6297.0
GM1680,286733.0,71619381.0,249.77725270547862,2206.0
GM1681,236229.0,60599019.0,256.5265864902277,1817.0
GM1690,245734.0,66175185.0,269.2960070645495,1890.0
GM1695,261655.0,57774445.0,220.80390208480634,2013.0
GM1696,288411.0,81993388.0,284.2935532972043,2219.0
GM1699,382923.0,106299569.0,277.6003765770142,2946.0
GM1700,361804.0,92393932.0,255.3701230500492,2783.0
GM1701,263458.0,80008301.0,303.6852211737734,2027.0
GM1705,415777.0,102098450.0,245.56060099524504,3198.0
GM1706,230102.0,60903879.0,264.68209315868614,1770.0
GM1708,524335.0,142016168.0,270.8500634136573,4033.0
GM1709,466049.0,124875571.0,267.9451538357555,3585.0
GM1711,447422.0,98797345.0,220.81467831264445,3442.0
GM1714,819391.0,208199700.0,254.0907820564297,6303.0
GM1719,186386.0,49054456.0,263.1874497011578,1434.0
GM1721,239736.0,56063202.0,233.8539143057363,1844.0
GM1723,355406.0,107470094.0,302.3868308357203,2734.0
GM1724,225233.0,64136941.0,284.75818818734376,1733.0
GM1728,305096.0,80774229.0,264.75020649238274,2347.0
GM1729,199815.0,61111860.0,305.8422040387358,1537.0
GM1730,509567.0,138939391.0,272.6616735385141,3920.0
GM1731,431918.0,110933226.0,256.8386267763789,3322.0
GM1734,522233.0,117604487.0,225.19543383891863,4017.0
GM1735,448628.0,132350348.0,295.01134124486214,3451.0
GM1740,221653.0,55365487.0,249.78451453397878,1705.0
GM1742,401145.0,100601427.0,250.78569345249224,3086.0
GM1771,394004.0,104657951.0,265.62662054192344,3031.0
GM1773,149021.0,43464695.0,291.66825480972483,1146.0
GM1774,415579.0,102106000.0,245.69576422292752,3197.0
GM1783,1204913.0,263432709.0,218.63214107574572,9269.0
GM1842,150364.0,35316392.0,234.8726556888617,1157.0
GM1859,457890.0,127168361.0,277.726879818297,3522.0
GM1876,355358.0,102531186.0,288.529274703257,2734.0
GM1883,2100412.0,551258245.0,262.45243552217374,16157.0
GM1884,256003.0,63599450.0,248.43244024484088,1969.0
GM1891,150576.0,41376700.0,274.78947508235046,1158.0
GM1892,374697.0,90677747.0,242.00286364716024,2882.0
GM1894,485532.0,115519773.0,237.92411828674526,3735.0
GM1895,436756.0,121140348.0,277.36390112557126,3360.0
GM1896,255156.0,64167884.0,251.48491119158476,1963.0
GM1900,1212296.0,321195413.0,264.948010221926,9325.0
GM1901,363067.0,81985553.0,225.81383876805108,2793.0
GM1903,348273.0,96234552.0,276.31930123782206,2679.0
GM1904,575393.0,140145851.0,243.56544309715272,4426.0
GM1911,427483.0,114068304.0,266.8370531693658,3288.0
GM1916,778112.0,196482728.0,252.51214221088995,5985.0
GM1924,904099.0,235250617.0,260.2044875616498,6955.0
GM1926,430101.0,85442163.0,198.65604358046133,3308.0
GM1930,840624.0,194718729.0,231.63593830297492,6466.0
GM1931,472081.0,128065709.0,271.27910040861633,3631.0
GM1940,741549.0,192019997.0,258.94444871478487,5704.0
GM1942,831530.0,238208830.0,286.4705182013878,6396.0
GM1945,500395.0,143597375.0,286.96804524425704,3849.0
GM1948,876337.0,214645582.0,244.93497592821026,6741.0
GM1949,396243.0,117372255.0,296.21281637782874,3048.0
GM1950,316049.0,78824611.0,249.4062977576262,2431.0
GM1952,585137.0,152147579.0,260.0204379487197,4501.0
GM1954,332800.0,99753636.0,299.74049278846155,2560.0
GM1955,270030.0,73810454.0,273.3416805540125,2077.0
GM1959,484004.0,124723065.0,257.69015338716207,3723.0
GM1960,560609.0,129606985.0,231.18962592466406,4312.0
GM1961,633247.0,142133380.0,224.45172262955845,4871.0
GM1963,703854.0,174907194.0,248.49925410667552,5414.0
GM1966,396405.0,105932122.0,267.23205307702983,3049.0
GM1969,535441.0,136071142.0,254.12910479399224,4119.0
GM1970,525235.0,148723084.0,283.15531904766436,4040.0
GM1978,337102.0,84422911.0,250.43728901044787,2593.0
GM1979,460870.0,123462248.0,267.8895306702541,3545.0
GM1980,865967.0,176128830.0,203.38977120375256,6661.0
GM1982,1048583.0,264584356.0,252.32562038484318,8066.0
GM1991,882509.0,188916858.0,214.0679109221549,6789.0
GM1992,741980.0,174025561.0,234.5421183859403,5708.0
