GemeentecodeGM,Gemeentenaam,train_share_in_nl,has_tram_metro,buildings_total,arable_land_km2,number_of_vans_data,number_of_trucks_data,number_of_busses_data,greenhouse_scaled,arable_land_scaled,wet_biomass_potential,dry_biomass_potential,oily_biomass_potential,number_of_cars_data,total_land_area_km2,coast_line_km,households_roof_pv_potential,buildings_roof_pv_potential,Unnamed: 19,Unnamed: 20,Unnamed: 21
GM0213,Brummen,0.000325099,0,1472.911077,57.7983253,1193,67,1,0,0.002591334,146.4154759,82.15620433,12.57533562,11886,83.62839585,0,0.796,1.053072,,,
GM0899,Brunssum,0,0,2127.591615,1.768756428,1042,49,9,0,7.93E-05,49.65279994,75.99473733,17.07433844,15780,17.23943124,0,1.022871,0.694049,,,
GM0312,Bunnik,0.00079473,0,937.1126154,28.23829033,882,40,15,0,0.001266037,92.31496801,51.67210142,9.230094636,7576,36.93030778,0,0.542781,0.609492,,,
GM0313,Bunschoten,0,0,1182.973385,24.27138375,1549,217,0,0,0.001088185,96.149907,61.42041403,13.10877579,10167,30.38872607,0,0.60326,0.845194,,,
GM0214,Buren,0,0,2497.647846,114.6184477,2672,284,0,0.000302848,0.005138811,253.2893851,109.254342,16.14172948,16537,133.5967614,0,1.295124,1.521877,,,
GM0502,Capelle aan den IJssel,0.00076424,0,2958.348769,0.75160596,2593,97,4,0,3.37E-05,119.6510382,174.0239528,40.59613371,31332,14.14249361,0,1.330252,0.972373,,,
GM0383,Castricum,0.002557234,0,1916.372538,22.99097266,1548,129,0,7.14E-05,0.001030779,151.5020561,104.3364471,21.73373784,18053,49.64256643,5.186662752,1.250343,0.683617,,,
GM0109,Coevorden,0.000654158,0,5200.576231,229.7405003,2689,122,1,7.25E-05,0.010300201,554.1102407,212.8469056,21.55815218,20478,296.1138746,0,1.959397,2.336088,,,
GM1706,Cranendonck,0.00049537,0,1909.268462,37.22619994,1689,87,0,0.00071106,0.001669002,160.8288778,86.12376499,12.41858441,12459,76.496415,0,0.974826,1.403877,,,
GM0216,Culemborg,0.003105269,0,1606.412769,18.06899935,1211,156,2,0,0.000810107,85.90484314,81.32102612,17.34895684,14009,29.27160349,0,0.840364,1.023649,,,
GM0148,Dalfsen,0.000454188,0,2936.061923,133.9654641,2612,233,127,0,0.006006217,381.7953942,179.9270926,17.31493332,17307,165.0193924,0,1.385018,2.073374,,,
GM1891,Dantumadiel,0,0,1642.313077,69.90851853,1536,58,10,0.000179265,0.003134283,215.1180168,69.16257246,11.49691158,10509,84.59714521,0,0.978196,0.664049,,,
GM0503,Delft,0.015530701,1,6739.799154,2.086308676,2529,106,1,0,9.35E-05,187.9951021,268.0712564,62.67800506,34212,22.66470574,0,1.810325,1.745903,,,
GM0762,Deurne,0.001531648,0,3422.005385,74.74121599,2854,220,20,0.002519258,0.003350953,429.5640921,183.4821846,19.66194857,17766,116.758419,0,1.627183,3.102072,,,
GM0150,Deventer,0.008510782,0,5761.523615,85.02104927,3583,171,748,0,0.003811839,390.0803154,347.7705187,60.7301586,47012,130.5633777,0,2.903937,3.089854,,,
GM0384,Diemen,0.002366372,1,1204.588231,2.32595004,951,73,43,0,0.000104282,62.42602876,78.65513386,17.73840462,10737,11.94655609,0,0.562167,0.457436,,,
GM1980,Dijk en Waard,0.001532836,0,3782.855538,32.63621231,4588,275,5,0.012775757,0.001463214,101.5653771,74.47958574,17.00689896,44840,61.89924476,0,2.673359,3.79087,,,
GM1774,Dinkelland,0,0,2343.427615,142.7794855,2617,197,24,0.002383322,0.006401385,415.1777723,142.745644,16.00928078,15457,175.7240731,0,1.378524,2.208843,,,
GM0221,Doesburg,0,0,691.6485385,7.369777826,416,28,1,0,0.000330417,41.84498456,32.3579286,6.773110519,6066,11.55861289,0,0.361175,0.26326,,,
GM0222,Doetinchem,0.003606183,0,4150.669462,49.56718604,3560,182,6,0.000247551,0.002222299,224.8226669,193.4082971,34.96827914,32465,79.04305888,0,1.996096,2.418197,,,
GM0766,Dongen,0,0,1813.526615,19.97098816,1331,125,25,0.004261941,0.000895381,120.9008824,73.51121005,15.82761949,14868,29.23352464,0,1.12804,1.550517,,,
GM0505,Dordrecht,0.008708771,0,6988.265385,27.78023834,6809,296,18,0.000385335,0.001245501,417.7695487,329.4181477,72.08976099,60837,77.55648952,0,2.604998,2.817677,,,
GM0498,Drechterland,0.005106548,0,1681.727077,50.68844153,1571,101,4,0.002590568,0.002272569,123.4285434,61.87652654,11.90640894,10583,58.88488683,0,0.83245,1.49619,,,
GM1719,Drimmelen,0.000342522,0,2215.244,66.90841446,2006,84,7,0.012638126,0.002999776,470.123441,115.4799975,16.49533105,15610,95.05122536,0,1.070011,2.650059,,,
GM0303,Dronten,0.001112702,0,2901.972846,264.1822981,2593,154,11,0,0.011844367,1411.988003,303.6912014,24.79767724,22910,333.6019604,0,1.491041,2.531373,,,
GM0225,Druten,0,0,1560.842692,27.54079667,1322,99,2,0.000216848,0.001234766,119.6524814,64.54469436,11.42035867,10649,37.52108986,0,0.744628,0.756603,,,
GM0226,Duiven,0.001292476,0,1110.925615,23.03709957,1113,159,0,0.000817936,0.001032847,75.26630047,75.40871482,15.39078181,13492,33.87941234,0,0.880543,1.26771,,,
GM1711,Echt-Susteren,0.001162991,0,3265.570769,70.47152338,1969,138,16,0,0.003159525,238.1362305,132.4093606,19.22207307,19395,103.02283,0,1.625371,1.437355,,,
GM0385,Edam-Volendam,0,0,1874.129462,43.91392219,2973,118,21,0,0.00196884,120.8920151,99.38112823,21.93241089,15856,54.32155217,0,1.201671,0.83432,,,
GM0228,Ede,0.006076697,0,8319.983077,108.0405347,8561,849,22,0,0.004843897,514.0190982,659.3415614,70.30109599,61460,318.1451393,0,3.636138,5.46154,,,
GM0317,Eemnes,0,0,623.6815385,25.35951219,742,46,0,0,0.00113697,48.35138023,29.11533861,5.536720143,5335,31.03868632,0,0.322899,0.254866,,,
GM1979,Eemsdelta,0.001499177,0,6531.930231,225.5435601,2504,77,1,0,0.010112035,636.4836599,358.628798,27.97887626,24198,268.0701145,91.19826738,2.531728,2.402362,,,
GM0770,Eersel,0,0,2051.941154,49.94711243,1709,114,1,0,0.002239332,244.0506106,148.8048626,11.61052584,11707,82.46634757,0,0.989462,1.275687,,,
GM1903,Eijsden-Margraten,6.34E-05,0,2064.474,60.62053858,1386,130,2,0,0.002717865,153.9813236,95.06010372,15.5888473,15129,77.55693168,0,1.295416,0.954296,,,
GM0772,Eindhoven,0.026696524,0,13911.80869,12.94354654,8986,1533,22,6.71E-05,0.000580312,402.6801406,614.9507435,140.7370709,104234,88.01558927,0,6.25857,6.323452,,,
GM0230,Elburg,0.000476363,0,1883.280077,29.47834506,1579,74,0,0,0.001321634,98.84599504,86.07986367,14.02619568,12668,63.81582231,0,0.772855,0.9109,,,
GM0114,Emmen,0.001222784,0,8360.906385,234.602034,6749,397,5,0.02057955,0.010518163,706.6901694,443.5553293,65.07787827,58987,335.3316443,0,4.758685,6.926678,,,
GM0388,Enkhuizen,0.000636339,0,1181.879,6.838101979,908,25,0,0.001535403,0.00030658,46.22385158,51.05604769,11.24416544,8436,12.6644444,0,0.582613,0.795203,,,
GM0153,Enschede,0.003457691,0,10203.40369,68.37285914,5791,511,2,0.000104423,0.003065433,374.6438253,461.4550607,96.59398537,70551,140.7280983,0,4.760136,4.48686,,,
GM0232,Epe,0,0,3261.405462,68.19526958,2358,136,0,0.000203967,0.003057471,207.6893576,192.2747201,20.13767027,19091,156.1212696,0,1.297462,1.676272,,,
GM0233,Ermelo,0.000882638,0,3627.969154,19.84507044,1596,207,5,8.74E-05,0.000889735,108.418483,114.719081,16.3179227,14211,85.63607443,0,1.016849,1.314614,,,
GM0777,Etten-Leur,0.001161803,0,2277.826385,37.97576709,2084,217,4,0.00618157,0.001702608,169.8104394,126.6226788,26.59545567,22913,55.29171622,0,1.435839,3.027892,,,
GM1940,De Fryske Marren,0,0,7905.810769,291.766255,4399,224,23,1.95E-05,0.013081068,1496.436485,259.5690145,31.24695676,29481,351.2101566,0,2.933939,2.612817,,,
GM0779,Geertruidenberg,0,0,1208.889923,15.98240686,1245,59,4,0.000278635,0.000716556,116.4632817,86.89072594,13.07171446,11974,26.59730194,0,0.713107,1.30769,,,
GM1771,Geldrop-Mierlo,0.000595949,0,2247.619462,10.3930796,2380,115,7,0,0.000465964,101.357442,113.2752939,24.05645057,22240,31.01449722,0,1.405347,1.147656,,,
GM1652,Gemert-Bakel,0,0,4033.983462,77.69856572,2712,208,4,0.001018133,0.003483543,407.9969823,202.6541584,18.49846573,17310,122.0654701,0,1.490025,2.584671,,,
GM0907,Gennep,0,0,1644.621692,31.75476585,972,117,0,9.27E-05,0.001423695,109.8050399,81.32685776,10.37170521,9799,47.56814255,0,0.732774,1.151501,,,
GM0784,Gilze en Rijen,0.001776759,0,2081.477154,36.55457305,1518,98,1,0.000684433,0.00163889,163.3121248,119.8963647,16.05849337,14443,65.38320355,0,0.989994,1.630209,,,
GM1924,Goeree-Overflakkee,0,0,6090.464154,180.3295851,3716,197,79,0.002446214,0.008084909,883.7779529,210.230754,30.14179996,28379,262.2018841,43.96854475,1.86798,2.70871,,,
GM0664,Goes,0.002291136,0,3435.760462,69.32528736,2483,130,1,0,0.003108135,285.4747887,147.2112419,22.87656354,21617,92.47549092,3.120173305,1.348652,1.380722,,,
GM0785,Goirle,0,0,1468.072,24.55002497,1146,85,2,0,0.001100677,112.6996518,90.16233854,14.45574261,12645,42.97391188,0,0.912349,0.787101,,,
GM1942,Gooise Meren,0.00495568,0,3895.219385,13.22276261,1838,47,0,0,0.00059283,181.6058189,158.3616784,35.0654892,29412,41.43441052,0,1.724145,1.009728,,,
GM0512,Gorinchem,0.000657326,0,2630.927077,7.113999271,1901,97,5,0,0.00031895,86.8506548,99.06936911,22.28662003,17719,18.71369878,0,0.873332,1.153151,,,
GM0513,Gouda,0.012169234,0,4767.488462,2.984848364,2498,94,3,0,0.000133823,132.1391493,184.1499124,44.46205605,29676,16.4988463,0,1.604982,1.180514,,,
GM0518,'s-Gravenhage,0.053455216,1,29826.91846,1.767539343,20724,486,156,0.000583187,7.92E-05,876.3215498,1347.863809,326.7673439,203451,82.44174336,12.52226543,9.800414,5.936362,,,
GM0014,Groningen,0.008573346,0,14752.96423,107.7758644,11095,412,308,7.38E-05,0.00483203,399.8624279,537.2888038,123.8328501,97287,185.525439,0,5.914107,4.680075,,,
GM1729,Gulpen-Wittem,0,0,1833.179538,58.41734902,750,45,2,0,0.002619087,113.6848072,72.98969474,8.655340191,8458,73.18076681,0,0.746127,0.463325,,,
GM0158,Haaksbergen,0,0,2404.442231,71.19372904,1631,86,0,0,0.003191904,257.7566561,108.3705934,14.74980302,13663,104.7810176,0,1.013607,1.55369,,,
GM0392,Haarlem,0.015902922,0,8766.037846,4.094947907,5030,247,95,6.62E-05,0.000183593,289.0808473,407.5014188,97.97862108,64102,29.21216346,0,3.629916,2.398528,,,
GM0394,Haarlemmermeer,0.039426068,0,7073.975846,115.1433619,20457,1098,44,0.010920587,0.005162345,461.1454504,473.1669451,89.96061431,126589,197.2147668,0,4.345982,8.122333,,,
GM1655,Halderberge,0.000412214,0,2523.985923,57.75697204,1955,135,8,0.002106971,0.00258948,247.4175192,104.1877971,18.34475233,17657,74.44324677,0,1.301757,2.089246,,,
GM0160,Hardenberg,0.001343162,0,5998.986,254.7302925,4799,339,1,4.44E-05,0.011420595,691.0314244,412.4319312,36.80251135,34363,312.1595526,0,2.622064,4.028906,,,
GM0243,Harderwijk,0.001977124,0,2949.930385,8.41312407,2459,124,1,0.000280611,0.000377195,95.39483644,136.1171353,28.9084474,23473,38.92496363,0,1.344503,1.524939,,,
GM0523,Hardinxveld-Giessendam,0.000494578,0,832.1070769,10.77703809,1420,115,16,0,0.000483178,67.05502759,48.97334756,10.96711679,8979,16.8577263,0,0.507454,0.603502,,,
GM0072,Harlingen,0.00083512,0,1262.294385,16.64318145,962,67,3,0,0.000746182,75.14325641,47.88500042,9.573975202,7605,24.961535,361.8309267,0.591365,0.661455,,,
GM0244,Hattem,0,0,830.2786154,12.48528372,564,30,0,0,0.000559766,47.49666851,37.89922902,7.395862428,6399,23.06923338,0,0.46234,0.325746,,,
GM0396,Heemskerk,0.00090996,0,1991.956,6.669901384,1559,49,1,0.00162562,0.000299039,77.70614712,110.3435735,23.79459099,19366,27.27126141,3.971840414,1.03845,0.865053,,,
GM0397,Heemstede,0.002477642,0,1671.331769,1.501810272,523,52,0,0.000124031,6.73E-05,50.88318299,70.52604031,16.5779596,13628,9.171709936,0,0.831,0.402394,,,
GM0246,Heerde,0,0,1442.858385,39.61348423,1204,75,4,0.000379483,0.001776034,117.2067425,83.84773167,11.26786039,10621,78.54522212,0,0.751312,0.878128,,,
GM0074,Heerenveen,0.004813919,0,5742.332308,146.1550137,3258,321,1180,0,0.006552724,502.0093062,232.0463399,30.53428555,27468,189.9662128,0,2.290272,2.360181,,,
GM0917,Heerlen,0.001077459,0,6635.554385,7.808009799,3225,248,8,0,0.000350065,160.5631828,258.561995,52.75589635,45757,44.90635255,0,2.74654,2.526463,,,
GM1658,Heeze-Leende,0.001618367,0,1744.827154,44.36095318,1169,58,3,0,0.001988882,206.4252217,127.9668434,9.699133147,9702,103.9230461,0,0.812588,0.971783,,,
GM0399,Heiloo,0.000280749,0,1213.537846,9.55121605,881,47,1,0.000302229,0.00042822,54.58676479,63.38446159,14.25585443,12107,18.70540084,0,0.808728,0.479385,,,
GM0400,Den Helder,0.001918123,0,5100.256846,17.20185698,2107,67,10,0,0.000771229,138.4278142,154.4885391,33.78292405,26441,45.10239666,131.4515598,1.734834,1.62707,,,
GM0163,Hellendoorn,0.001233475,0,3387.506231,81.58462449,2174,105,8,0,0.003657771,300.8377873,178.8357739,21.75561011,20609,137.9311319,0,1.397903,1.902855,,,
GM0794,Helmond,0.001699939,0,4925.321462,14.93424421,4308,215,13,0.00199655,0.000669563,198.090987,252.5901679,55.60658119,46215,53.16647863,0,2.899962,3.349649,,,
GM0531,Hendrik-Ido-Ambacht,0,0,885.5633846,2.347781911,1047,25,0,0.001790113,0.000105261,53.18346744,78.22200639,18.81379084,15048,10.18665961,0,0.722869,0.652504,,,
GM0164,Hengelo,0.024883335,0,5438.824462,25.26608664,4390,267,9,7.51E-05,0.001132781,178.5531773,219.712023,49.01999246,49781,60.841271,0,2.661354,2.677392,,,
GM0796,'s-Hertogenbosch,0.002032561,0,10230.29769,54.35058804,8574,714,7,0.000205939,0.002436758,472.2776021,426.9632137,93.68922744,84703,109.483253,0,4.641193,4.244602,,,
GM0252,Heumen,0,0,1056.626077,23.25388433,726,43,15,0,0.001042566,86.05642159,57.01761689,10.01628095,8904,39.72860371,0,0.683947,0.605724,,,
GM0797,Heusden,0,0,3349.858,46.08251552,2861,175,3,0.006681035,0.002066067,181.2758547,147.7756152,26.81478586,25750,78.85616384,0,1.733067,2.748035,,,
GM0534,Hillegom,0.009876118,0,1299.629846,7.463428926,1142,102,0,0.00071125,0.000334616,47.5702557,55.40255216,13.3457253,11957,12.85513697,0,0.632717,0.844834,,,
GM0798,Hilvarenbeek,0,0,1976.714769,56.57951231,1450,129,1,0.000135994,0.00253669,318.382809,103.6270931,9.316368559,9322,94.86681139,0,0.819415,1.33197,,,
GM0402,Hilversum,0.003882972,0,5488.440231,5.70288295,3190,107,1414,0,0.000255683,173.4374487,239.1942504,54.82525538,41060,45.60986153,0,2.354859,1.698287,,,
GM1963,Hoeksche Waard,0,0,5020.133538,213.9738436,5521,319,22,0.005033221,0.009593318,882.0848644,335.2809379,52.64896529,48613,268.5400092,0,3.008789,3.6596,,,
GM1735,Hof van Twente,0,0,3586.622308,156.8579479,2569,107,18,0,0.00703258,498.8419735,282.0125586,21.22824556,20660,212.4329667,0,1.589063,3.002939,,,
GM1966,Het Hogeland,0.002362016,0,8630.407462,385.2723773,3350,115,8,0.000585775,0.017273328,5991.852324,392.5284266,30.04155209,25586,476.7432599,408.5158815,3.295705,2.993022,,,
GM1911,Hollands Kroon,0.000630399,0,6468.533077,316.6373514,4574,443,21,0.027047458,0.01419614,964.5742022,285.7419481,29.0506171,27912,357.632398,178.4880129,2.41223,7.539034,,,
GM0118,Hoogeveen,0.000383308,0,4732.607308,87.70657019,3998,204,28,0,0.003932242,269.7837004,197.5534505,33.81816269,29044,127.5436188,0,2.114922,2.411389,,,
GM0405,Hoorn,0.002490709,0,4075.745231,2.33575244,4814,183,0,7.56E-05,0.000104721,124.2193355,187.6693649,44.35451743,34648,20.374905,0,2.006997,1.491801,,,
GM1507,Horst aan de Maas,0.002413493,0,5769.015615,130.8415333,2943,269,24,0.024411884,0.005866158,441.79165,250.3907294,25.69443998,25862,188.6749322,0,2.292213,7.16927,,,
GM0321,Houten,0.001983064,0,2266.346154,38.75806921,8749,163,1,0.00204701,0.001737682,177.2255421,149.5583488,30.32406881,73318,54.90155704,0,1.444235,1.449055,,,
GM0406,Huizen,0,0,1654.201615,1.088568173,1553,38,0,0,4.88E-05,73.08148013,109.524012,25.07594102,22066,15.81048947,0,1.180206,0.526335,,,
GM0677,Hulst,0,0,1931.248385,154.193004,1539,102,1,0,0.0069131,788.6092541,169.7958973,16.72255955,16652,201.2617546,47.28585368,1.339219,1.58021,,,
GM0353,IJsselstein,0,1,1304.792077,13.12699997,1335,67,0,0,0.000588537,85.10024916,90.05559374,20.75434655,15587,21.01151466,0,0.905054,0.622776,,,
GM1884,Kaag en Braassem,0,0,2833.805846,53.80373046,1888,183,0,0.010391774,0.00241224,253.1859345,85.71341609,16.32278321,15061,63.1346502,0,1.011751,2.192972,,,
GM0166,Kampen,0.000638319,0,4384.208462,112.652767,3209,195,0,0.008071479,0.005050682,419.5179229,187.9493878,32.67412187,24565,141.2331602,0,1.799342,3.087253,,,
GM0678,Kapelle,0.000380932,0,1066.284846,27.76302217,909,39,30,0.005622019,0.001244729,111.2720191,48.71986046,7.767690885,7227,37.13450101,11.51402111,0.485679,1.430559,,,
GM0537,Katwijk,0,0,3856.803077,6.184724558,3027,486,19,0.007001373,0.000277286,121.6429734,164.8867911,39.67506845,27215,24.80667936,4.787786229,1.548098,2.374806,,,
GM0928,Kerkrade,0,0,3076.290462,3.700635537,1711,104,21,0,0.000165915,84.247534,127.4666259,27.73038305,24608,21.90852598,0,1.632694,1.349664,,,
GM1598,Koggenland,0.00042251,0,1588.491923,69.45728885,2220,168,3,0.003821823,0.003114053,234.3126727,76.28479252,13.81476381,12898,80.25539429,0,0.935538,1.602777,,,
GM0542,Krimpen aan den IJssel,0,0,1294.239385,0.413306701,1029,98,0,0,1.85E-05,56.16252894,75.6038229,17.84776593,13987,7.6736574,0,0.753756,0.534513,,,
