GEMEENTECODE,GEMEENTENAAM,chemical_other_co2_scaled,food_co2_scaled,paper_co2_scaled,metal_other_co2_scaled,industry_other_co2_scaled,index,aluminium_co2_scaled,index_dup,fertilizers_co2_scaled,index_dup,refineries_co2_scaled,index_dup,steel_co2_scaled,agriculture_gas_chp_relative,agriculture_gas_final_demand_relative
193,Zwolle,0.00022073390966908323,0.005634324754454318,0.00038023811190853016,0.0,0.001454136485300837,0.0,0.0,0.0,0.0,343,3.642208014681986e-06,0.0,0.0,0.396,0.604
197,Aalten,4.0498220850836585e-05,0.0003197984839445036,0.00037139536511995923,0.0,0.0015013963263822037,0.0,0.0,0.0,0.0,4,7.423832957666673e-07,0.0,0.0,0.025,0.975
200,Apeldoorn,0.0008296348326962564,0.006721579756703845,0.02489019820164854,0.0,0.0028667709149408412,3.0,0.03506286923342276,0.0,0.0,18,4.6028497919020665e-06,0.0,0.0,0.04,0.96
202,Arnhem,0.0014241132202805346,0.0010165023239664627,0.0002210686697142618,0.0,0.005890050357090983,0.0,0.0,0.0,0.0,19,4.5252073438100646e-06,0.0,0.0,0.812,0.18799999999999994
203,Barneveld,0.00010333300818515226,0.002634530367733309,0.0010346013742627456,0.0,0.002225374550273006,4.0,0.0008091431361559103,0.0,0.0,25,1.6658283687799575e-06,0.0,0.0,0.001,0.999
209,Beuningen,6.635696728223425e-06,0.001153558817085538,0.0,0.0,0.0005091094018483395,0.0,0.0,0.0,0.0,38,7.261292362013728e-07,0.0,0.0,0.443,0.5569999999999999
213,Brummen,5.4091186461741e-06,0.0007690392113903586,0.16642532773764177,0.0,0.0010646393984429733,0.0,0.0,0.0,0.0,51,5.919075798571904e-07,0.0,0.0,0.193,0.8069999999999999
214,Buren,7.017796013893816e-06,0.00014086361792793714,0.0,0.0,0.0004199757166867218,0.0,0.0,0.0,0.0,55,7.679414940275694e-07,0.0,0.0,0.233,0.767
216,Culemborg,7.461376464224633e-06,0.0002474631125761057,1.768549357714092e-05,0.0,0.0007555453321334008,0.0,0.0,0.0,0.0,60,8.164814961983468e-07,0.0,0.0,0.083,0.917
221,Doesburg,2.7208459870212575e-06,1.142137442658948e-05,8.842746788570472e-05,0.0020693680346649114,0.0007976066792827086,0.0,0.0,0.0,0.0,74,2.977360026075621e-07,0.0,0.0,0.0,1.0
222,Doetinchem,1.4996174822349565e-05,0.0037361334697431064,0.022585462888881646,0.0,0.004881151096502385,0.0,0.0,0.0,0.0,75,1.6409973836478072e-06,0.0,0.0,0.133,0.867
225,Druten,1.444482833956584e-05,0.00025127023738496894,0.0,0.0,0.007271057942702686,0.0,0.0,0.0,0.0,81,5.424518520776135e-07,0.0,0.0,0.51,0.49
226,Duiven,9.683323447726509e-05,0.00015989924197225294,2.6528240365711324e-05,0.0,0.0009725827605394751,0.0,0.0,0.0,0.0,83,7.293055904487184e-07,0.0,0.0,0.921,0.07899999999999996
228,Ede,0.0002131268632583857,0.0031277645393955784,0.0007251052366627788,0.0,0.005603533215769977,13.0,0.0013485718935931838,0.0,0.0,86,3.411138756158737e-06,0.0,0.0,0.0,1.0
230,Elburg,1.0068598495531708e-05,0.00040736235454835604,0.0001591694421942684,0.0,0.0005770951611581896,0.0,0.0,0.0,0.0,92,6.590744728465787e-07,0.0,0.0,0.071,0.929
232,Epe,7.427916706355978e-05,0.0010535543677111514,0.0,0.0,0.0013841957849573291,17.0,0.06551336260643247,0.0,0.0,96,9.116415186635398e-07,0.0,0.0,0.037,0.963
233,Ermelo,5.9538855284991544e-05,0.0009795084578733155,0.0007516334770284905,0.0,0.00913281911208669,0.0,0.0,0.0,0.0,97,7.599794508735429e-07,0.0,0.0,0.026,0.974
243,Harderwijk,1.5006877449600696e-05,0.001850262657107497,0.0,0.0,0.0019860838214099206,21.0,0.045042301246012315,0.0,0.0,117,1.347028938326592e-06,0.0,0.0,0.0,1.0
244,Hattem,9.902483467319104e-06,0.00257083783027051,0.0,0.0,0.0002037632638840302,0.0,0.0,0.0,0.0,120,3.457572726971542e-07,0.0,0.0,0.0,1.0
246,Heerde,0.0002201320005572044,0.0011992443147918971,0.0018569768255997903,0.0,0.0003491821658763337,0.0,0.0,0.0,0.0,123,5.281503407130546e-07,0.0,0.0,0.432,0.5680000000000001
252,Heumen,4.621903336919645e-06,0.00012563511869248433,0.0,0.0,0.00039984451622308614,0.0,0.0,0.0,0.0,133,5.057643948011713e-07,0.0,0.0,0.176,0.8240000000000001
262,Lochem,1.9284509292420018e-05,0.010382237712894909,0.0,0.0,0.0008765568371130934,0.0,0.0,0.0,0.0,171,9.297016560903997e-07,0.0,0.0,0.012,0.988
263,Maasdriel,0.00021041421018471807,0.003167527840974147,1.768549357714092e-05,0.0,0.006194625938720809,0.0,0.0,0.0,0.0,175,7.166433741352949e-07,0.0,0.0,0.791,0.20899999999999996
267,Nijkerk,1.4026406193602883e-05,0.00466570408151716,0.0012645127907655739,0.0,0.0017059596679320174,0.0,0.0,0.0,0.0,197,1.239738193527042e-06,0.0,0.0,0.0,1.0
268,Nijmegen,6.419590440561772e-05,0.0036813816806577464,7.95847210971342e-05,0.0,0.0034334277493527922,0.0,0.0,0.0,0.0,198,4.987231820820487e-06,0.0,0.0,0.996,0.0040000000000000036
269,Oldebroek,6.1048916037341e-06,0.002962031749150071,0.0,0.0,0.00014121656262748212,0.0,0.0,0.0,0.0,211,6.680444358551102e-07,0.0,0.0,0.003,0.997
273,Putten,6.264317651644686e-06,0.0009213242037448838,0.0,0.0,0.00015301021854833836,0.0,0.0,0.0,0.0,231,6.854900665313187e-07,0.0,0.0,0.0,1.0
274,Renkum,7.919891776430287e-06,6.852824655953694e-05,0.23269694211848127,0.0,0.00010642262588752455,0.0,0.0,0.0,0.0,234,8.666557864160514e-07,0.0,0.0,0.0,1.0
275,Rheden,3.868626628535483e-05,0.000856603081994211,0.0004775083265828052,0.0,0.002562813497144765,0.0,0.0,0.0,0.0,237,1.1909067276310028e-06,0.0,0.0,0.078,0.922
277,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246,5.672834629863491e-08,0.0,0.0,0.0,0.0
279,Scherpenzeel,2.5805705288519997e-06,0.00018274199082543173,0.0,0.0,0.00045522397976222414,0.0,0.0,0.0,0.0,249,2.8238597751298236e-07,0.0,0.0,0.0,1.0
281,Tiel,0.0011987651848658328,0.00023984886295837942,0.0,0.0,0.008443704910932636,0.0,0.0,0.0,0.0,275,1.174111541132545e-06,0.0,0.0,0.538,0.46199999999999997
285,Voorst,1.7114877879341225e-05,0.00047969772591675825,0.0,0.0,0.0010419635933878904,0.0,0.0,0.0,0.0,303,6.922838135725722e-07,0.0,0.0,0.176,0.8240000000000001
289,Wageningen,2.796789477664419e-05,0.0006167542190358304,0.0,0.0,0.0004110499982034531,0.0,0.0,0.0,0.0,309,1.1420558026991815e-06,0.0,0.0,0.876,0.124
293,Westervoort,3.6279002695549743e-06,0.0001675134915899792,0.0,0.0,0.0002476473511514847,0.0,0.0,0.0,0.0,317,3.9699289458817595e-07,0.0,0.0,0.0,0.0
294,Winterswijk,7.311745590581256e-06,0.00039594098012176907,0.0,0.0,0.002303318926259533,0.0,0.0,0.0,0.0,325,8.001077292163968e-07,0.0,0.0,0.024,0.976
296,Wijchen,2.6621845858477328e-05,0.0016408707926200228,1.768549357714092e-05,0.0,0.002315785734297325,0.0,0.0,0.0,0.0,322,1.1423305286129033e-06,0.0,0.0,0.18,0.8200000000000001
297,Zaltbommel,0.00021737022183155566,0.0003350269831799567,0.0,0.0,0.013215671469799496,0.0,0.0,0.0,0.0,331,8.45791500557137e-07,0.0,0.0,0.952,0.04800000000000004
299,Zevenaar,5.125384374424838e-05,0.001601296736381662,0.0,0.0,0.037496554480581215,59.0,0.00782171698284047,0.0,0.0,335,1.2170840553275422e-06,0.0,0.0,0.224,0.776
301,Zutphen,2.871092426993894e-05,0.0007461964625371789,0.0010611296146284563,0.12416031104302133,0.0012319675332825028,61.0,0.0008091431361559103,0.0,0.0,340,1.3248986564199367e-06,0.0,0.0,0.79,0.20999999999999996
302,Nunspeet,7.225368571627743e-06,0.005237406813546919,0.0,0.0,0.00028493536916001294,0.0,0.0,0.0,0.0,206,7.906556880266164e-07,0.0,0.0,0.007,0.993
303,Dronten,1.883983539587111e-05,0.0002664987366204215,0.00022991141650283164,0.0,0.0008371998256462401,0.0,0.0,0.0,0.0,80,1.1863023006741258e-06,0.0,0.0,0.103,0.897
307,Amersfoort,0.00035616003420883965,0.0007119323392574094,0.0006366777687770736,0.0,0.002727689606526188,1.0,0.0005394287574372735,0.0,0.0,15,4.407826899350289e-06,0.0,0.0,0.05,0.95
308,Baarn,4.668866547793572e-05,0.00034644835760654655,7.95847210971342e-05,0.0,0.0005253788387481163,0.0,0.0,0.0,0.0,23,6.819405810029085e-07,0.0,0.0,0.0,1.0
310,De Bilt,3.443736633103344e-05,0.00037309823126858944,0.0,0.0,0.0002792707270426885,12.0,0.002157715029749092,0.0,0.0,63,1.2197088818915501e-06,0.0,0.0,0.047,0.953
312,Bunnik,4.085127682470665e-06,0.0012631318362577482,0.0,0.0,9.617582169678286e-05,0.0,0.0,0.0,0.0,53,4.470262529088913e-07,0.0,0.0,0.0,1.0
313,Bunschoten,5.787812921495591e-06,0.003419135070625929,0.0,0.0,0.0024827704565023104,0.0,0.0,0.0,0.0,54,6.33347235127067e-07,0.0,0.0,0.0,1.0
317,Eemnes,2.633547725869522e-06,0.0,0.0,0.0,0.00012920397304329464,0.0,0.0,0.0,0.0,87,2.8818315197437866e-07,0.0,0.0,0.0,1.0
321,Houten,3.808754721938023e-05,0.00011802086907475807,0.0001768549357714092,0.0,0.0005700530969086749,0.0,0.0,0.0,0.0,144,1.3842489599526606e-06,0.0,0.0,0.964,0.03600000000000003
327,Leusden,8.001552120190289e-06,0.0007652320865814953,0.0,0.0,0.0002560485384442598,33.0,0.0005394287574372735,0.0,0.0,168,8.75591692541804e-07,0.0,0.0,0.0,1.0
331,Lopik,2.6931469487444066e-05,0.0002474631125761057,0.0,0.0,0.0004137230358116599,0.0,0.0,0.0,0.0,173,4.383629159362687e-07,0.0,0.0,0.0,1.0
335,Montfoort,3.4896951074194714e-06,0.0004187837289749459,0.0,0.0,0.001879672268308889,0.0,0.0,0.0,0.0,191,3.818694172909541e-07,0.0,0.0,0.0,1.0
339,Renswoude,1.4929060051687074e-06,0.00023223461334065287,0.0,0.0,0.00023024924740868357,0.0,0.0,0.0,0.0,235,1.6336531665813887e-07,0.0,0.0,0.0,1.0
340,Rhenen,1.0596168672778967e-05,0.00015609211716338968,0.0,0.0,0.0007089609544419883,0.0,0.0,0.0,0.0,238,5.69235475488202e-07,0.0,0.0,0.0,1.0
342,Soest,0.00039053215811809064,0.0004035552297394927,7.95847210971342e-05,0.0,0.000609396181945653,0.0,0.0,0.0,0.0,259,1.2924147183134023e-06,0.0,0.0,0.014,0.986
344,Utrecht,0.0007108047971280276,0.005703072963676996,0.0014059967393826958,0.0,0.0034448181336547215,0.0,0.0,0.0,0.0,284,1.0160759764062962e-05,0.0,0.0,0.941,0.05900000000000005
345,Veenendaal,1.6644756115534813e-05,0.0007500035873460421,0.0017773921045026605,0.0,0.0030652630568588973,0.0,0.0,0.0,0.0,290,1.8213978938376308e-06,0.0,0.0,0.12,0.88
351,Woudenberg,3.6097549903052132e-06,1.142137442658948e-05,0.0,0.0,0.0001339894173719694,0.0,0.0,0.0,0.0,329,3.9500729785253086e-07,0.0,0.0,0.0,1.0
352,Wijk bij Duurstede,6.015754299150187e-06,5.71068721329474e-05,0.0,0.0,9.392996445792948e-05,0.0,0.0,0.0,0.0,324,6.582903428720364e-07,0.0,0.0,0.094,0.906
353,IJsselstein,2.159118474049043e-05,0.0003312198583710934,0.0,0.0,0.000652047406797321,0.0,0.0,0.0,0.0,147,8.918726937991931e-07,0.0,0.0,0.0,1.0
355,Zeist,1.6731638393745103e-05,0.0023236105783858447,0.0,0.0,0.00041830869222864625,0.0,0.0,0.0,0.0,334,1.8309052244014195e-06,0.0,0.0,0.02,0.98
356,Nieuwegein,0.000828284325594546,0.00040736235454835604,0.0,0.0,0.0008286561817289589,0.0,0.0,0.0,0.0,195,1.8002518557454518e-06,0.0,0.0,0.999,0.0010000000000000009
358,Aalsmeer,2.982601140569513e-05,0.0002855343606647373,0.0,0.0,0.0005436774883906598,0.0,0.0,0.0,0.0,3,9.026758749407168e-07,0.0,0.0,1.0,0.0
361,Alkmaar,0.00016559428713911034,0.0006357898430801467,1.768549357714092e-05,0.0,0.0024264218205365695,0.0,0.0,0.0,0.0,8,3.0430213278167836e-06,0.0,0.0,0.393,0.607
362,Amstelveen,6.94296218859467e-05,0.0013515293071464224,0.0,0.0,0.0002548455985250109,0.0,0.0,0.0,0.0,16,2.620307466700522e-06,0.0,0.0,0.984,0.016000000000000014
363,Amsterdam,0.006956444819898644,0.04589697865448794,0.00019454042934855,0.0,0.009623974463007287,2.0,0.0013485718935931838,0.0,0.0060793145732416605,17,0.00308215042546926,0.0,0.0,0.724,0.276
373,Bergen (NH),1.580920474691857e-05,0.0003312198583710934,0.0,0.0,5.255440966673277e-05,0.0,0.0,0.0,0.0,33,8.445465748735836e-07,0.0,0.0,0.115,0.885
375,Beverwijk,0.00025391423157926975,0.0007804605858169484,0.0,0.0,0.00048767792443903574,0.0,0.0,0.0,0.0,39,1.1586856748869398e-06,1.0,3.1494252419403047e-06,1.0,0.0
376,Blaricum,2.9733634340785783e-06,9.137099541271573e-05,0.0,0.0,5.763586345121645e-05,0.0,0.0,0.0,0.0,41,3.2536841386279154e-07,0.0,0.0,0.0,1.0
377,Bloemendaal,6.076425264310756e-06,0.00014086361792793714,0.0,0.0,1.2339486237711475e-05,0.0,0.0,0.0,0.0,42,6.649294289237338e-07,0.0,0.0,0.623,0.377
383,Castricum,9.108372886691429e-06,0.00021700611410520033,0.0,0.0,0.0001497971452332452,0.0,0.0,0.0,0.0,57,9.967085775816196e-07,0.0,0.0,0.533,0.46699999999999997
384,Diemen,8.08812597547274e-06,4.5685497706357864e-05,0.0,0.0,0.001443922895748143,0.0,0.0,0.0,0.0,71,8.850652730844312e-07,0.0,0.0,0.0,1.0
385,Edam-Volendam,9.175961058268172e-06,0.0021700611410520034,0.0012026135632455816,0.0,0.0014248698419467181,0.0,0.0,0.0,0.0,85,1.0041045978359035e-06,0.0,0.0,0.041,0.959
388,Enkhuizen,4.349597281889223e-05,0.00048350485072562156,0.0,0.0,0.0007309256992676036,0.0,0.0,0.0,0.0,94,5.202961180383703e-07,0.0,0.0,0.838,0.16200000000000003
392,Haarlem,0.00018740668462995702,0.0010736091960994118,0.0005040365669485169,0.0,0.001907572586403795,0.0,0.0,0.0,0.0,113,4.569949347808373e-06,0.0,0.0,0.953,0.04700000000000004
394,Haarlemmermeer,0.00016447961276954787,0.0022842748853178986,7.074197430856379e-05,0.0,0.0036571672537343367,0.0,0.0,0.0,0.0,114,4.477052779591692e-06,0.0,0.0,0.986,0.014000000000000012
396,Heemskerk,9.913089156061789e-06,0.00020558473967861082,0.0,0.0,0.00036962021915191014,0.0,0.0,0.0,0.0,121,1.0847668529924573e-06,2.0,5.056401723161088e-08,0.995,0.0050000000000000044
397,Heemstede,4.034487049493742e-05,0.00025127023738496894,0.0,0.0,0.00015085935190681073,0.0,0.0,0.0,0.0,122,7.256025142811824e-07,0.0,0.0,0.945,0.05500000000000005
399,Heiloo,6.2556319007431655e-06,0.00017132061639884248,0.0,0.0,0.00013326181681526028,0.0,0.0,0.0,0.0,127,6.845396045186216e-07,0.0,0.0,0.883,0.11699999999999999
400,Den Helder,3.357091234152946e-05,0.00012182799388362106,0.0,0.0,0.0008989420972218593,0.0,0.0,0.0,0.0,68,1.5514558234154597e-06,0.0,0.0,0.819,0.18100000000000005
402,Hilversum,0.0014598802325661068,0.0006624397167421898,0.0,0.0,0.0017569978195342922,0.0,0.0,0.0,0.0,137,2.58953922141519e-06,0.0,0.0,0.146,0.854
405,Hoorn,1.8527169886124574e-05,0.001686556290326382,0.0009019601724341878,0.0,0.0022357842078310907,27.0,0.001078857514874547,0.0,0.0,142,2.027386161450829e-06,0.0,0.0,1.0,0.0
406,Huizen,1.7679455604510988e-05,0.0002817272358558743,0.0,0.0,0.00032362646860416565,0.0,0.0,0.0,0.0,145,1.1458423178220336e-06,0.0,0.0,0.0,1.0
415,Landsmeer,3.1559980514097214e-06,0.00017132061639884248,0.0,0.0,1.9108175286885895e-05,0.0,0.0,0.0,0.0,159,3.45353705629146e-07,0.0,0.0,0.0,1.0
417,Laren,2.891926282277965e-06,0.0,0.0,0.0,4.012921236180606e-05,0.0,0.0,0.0,0.0,161,3.164569311267162e-07,0.0,0.0,0.0,0.0
420,Medemblik,2.0093726891246923e-05,0.002722094238337164,0.0,0.0,0.0006772766599152919,0.0,0.0,0.0,0.0,180,1.2624607418443485e-06,0.0,0.0,0.975,0.025000000000000022
431,Oostzaan,3.1558404748918185e-06,0.00019035624044315828,0.0,0.0,0.0003288468148511781,0.0,0.0,0.0,0.0,218,3.453364623883418e-07,0.0,0.0,0.0,1.0
432,Opmeer,5.5677533991703546e-05,0.0002664987366204215,0.0,0.0,0.0008595686667236924,0.0,0.0,0.0,0.0,219,3.3744382330365896e-07,0.0,0.0,0.917,0.08299999999999996
437,Ouder-Amstel,3.850067170817618e-06,0.0004035552297394927,2.6528240365711324e-05,0.0,0.000525092441650652,0.0,0.0,0.0,0.0,223,4.21304114484186e-07,0.0,0.0,0.293,0.7070000000000001
439,Purmerend,9.744291148710994e-05,0.0034175889614843193,0.00011495570825141582,0.0,0.0005521084048221685,43.0,0.001078857514874547,0.0,0.0,230,2.587100200576553e-06,0.0,0.0,0.465,0.5349999999999999
441,Schagen,1.8715404223203507e-05,0.002843922232220783,6.189922751999327e-05,0.0,0.0006771153469854248,0.0,0.0,0.0,0.0,248,1.3101351940020118e-06,0.0,0.0,0.921,0.07899999999999996
448,Texel,3.4427001707015466e-06,0.00018274199082543173,0.0,0.0,8.867681199405484e-05,0.0,0.0,0.0,0.0,272,3.767268680000584e-07,0.0,0.0,0.004,0.996
450,Uitgeest,6.809386617233701e-06,7.61424961772632e-05,0.0,0.0,0.0001039107214906871,0.0,0.0,0.0,0.0,281,3.99064747645241e-07,0.0,0.0,0.137,0.863
451,Uithoorn,0.0009166362904571939,0.0002208132389140636,0.0006366777687770736,0.0,0.0002275629147559617,50.0,0.0005394287574372735,0.0,0.0,282,8.46799043431543e-07,0.0,0.0,0.999,0.0010000000000000009
453,Velsen,0.0001335315110977464,0.0006434040926978733,0.04706829457938952,0.0,0.0018304750582490389,0.0,0.0,0.0,0.0,293,1.8955813741393472e-06,6.0,0.9955991031511506,0.497,0.503
473,Zandvoort,4.415779314646526e-06,6.472112175067366e-05,0.0,0.0,1.203027529580435e-06,0.0,0.0,0.0,0.0,332,4.832087107507944e-07,0.0,0.0,0.0,0.0
479,Zaanstad,0.002963532415350452,0.03577380771134068,0.002980005667748242,0.0,0.009430410599706743,0.0,0.0,0.0,0.0,330,4.29960175480261e-06,0.0,0.0,0.857,0.14300000000000002
482,Alblasserdam,5.021449972329564e-06,6.472112175067366e-05,0.0,0.0,0.0013192257196354268,0.0,0.0,0.0,0.0,6,5.4948587652035e-07,0.0,0.003484153790084469,0.0,1.0
484,Alphen aan den Rijn,0.0004460711318152597,0.0008756387060385274,0.0019803983528985454,0.0,0.005792113189113924,0.0,0.0,0.0,0.0,11,3.1329114179383472e-06,0.0,0.0,0.482,0.518
