Code,Gebieden,inwoners_2019,woningen_2019,zonpvtj_won_2019,houtwontj_2019,houtskool_2019,warmwontier2_2019,gaswoningen_2019,el_woningen_tj_incl_zonachtermeter_2019
755,Boekel,10588.0,4168.0,9.0,18.0,0.0,2000.0,6.1,55.0
1681,Borger-Odoorn,25372.0,11645.0,30.0,59.0,0.0,0.0,19.0,135.0
147,Borne,23210.0,9817.0,17.0,27.0,0.0,0.0,11.7,110.0
654,Borsele,22800.0,9785.0,27.0,46.0,0.0,0.0,11.9,101.0
757,Boxtel,32878.0,14269.0,26.0,37.0,1.0,6000.0,17.6,158.0
758,Breda,183873.0,83793.0,60.0,140.0,3.0,706000.0,77.0,831.0
501,Brielle,17182.0,7963.0,8.0,20.0,0.0,0.0,8.7,86.0
1876,Bronckhorst,36212.0,16152.0,32.0,62.0,1.0,1000.0,24.4,193.0
213,Brummen,20698.0,9310.0,15.0,38.0,0.0,1000.0,12.9,100.0
899,Brunssum,28103.0,14479.0,22.0,26.0,0.0,3000.0,17.2,146.0
312,Bunnik,15192.0,6379.0,12.0,23.0,0.0,0.0,8.4,70.0
313,Bunschoten,21576.0,8414.0,10.0,21.0,0.0,1000.0,10.4,101.0
214,Buren,26568.0,10604.0,19.0,41.0,0.0,0.0,16.2,134.0
502,Capelle aan den IJssel,66818.0,30853.0,14.0,25.0,1.0,297000.0,21.6,295.0
383,Castricum,35772.0,15973.0,29.0,46.0,1.0,1000.0,20.6,164.0
109,Coevorden,35483.0,15521.0,39.0,69.0,1.0,0.0,22.9,176.0
1706,Cranendonck,20440.0,8962.0,18.0,46.0,0.0,0.0,13.0,112.0
216,Culemborg,28555.0,12390.0,19.0,24.0,0.0,14000.0,12.2,121.0
148,Dalfsen,28499.0,11722.0,35.0,57.0,0.0,0.0,17.1,139.0
1891,Dantumadiel,18923.0,8147.0,13.0,50.0,0.0,3000.0,11.7,77.0
310,De Bilt,42824.0,19544.0,15.0,50.0,1.0,1000.0,28.2,211.0
1940,De Fryske Marren,51430.0,23209.0,41.0,79.0,1.0,0.0,30.6,236.0
736,De Ronde Venen,44059.0,18332.0,30.0,60.0,1.0,3000.0,23.8,207.0
1690,De Wolden,24110.0,10265.0,31.0,27.0,0.0,0.0,16.3,123.0
503,Delft,103163.0,50610.0,25.0,24.0,2.0,96000.0,41.4,421.0
518,Den Haag,537833.0,259264.0,76.0,94.0,8.0,831000.0,243.7,2121.0
400,Den Helder,55604.0,28056.0,26.0,46.0,1.0,0.0,31.0,240.0
762,Deurne,32362.0,13887.0,21.0,53.0,1.0,0.0,19.4,168.0
150,Deventer,99957.0,45313.0,50.0,96.0,2.0,89000.0,48.1,424.0
384,Diemen,29196.0,13803.0,9.0,9.0,0.0,83000.0,10.4,126.0
1980,Dijk en Waard,84734.0,34978.0,69.0,94.0,1.0,134000.0,35.0,376.0
1774,Dinkelland,26350.0,10900.0,23.0,59.0,0.0,2000.0,16.8,139.0
221,Doesburg,11148.0,5286.0,6.0,17.0,0.0,8000.0,5.9,51.0
222,Doetinchem,57555.0,25926.0,45.0,77.0,1.0,5000.0,30.7,267.0
766,Dongen,26051.0,11241.0,16.0,31.0,0.0,4000.0,14.0,128.0
505,Dordrecht,118654.0,55008.0,29.0,13.0,2.0,87000.0,54.7,497.0
498,Drechterland,19597.0,8280.0,18.0,38.0,0.0,0.0,11.2,93.0
1719,Drimmelen,27150.0,11779.0,14.0,44.0,0.0,1000.0,15.3,134.0
303,Dronten,40815.0,17140.0,42.0,57.0,1.0,3000.0,19.9,189.0
225,Druten,18797.0,8047.0,12.0,22.0,0.0,0.0,10.2,91.0
226,Duiven,25332.0,10708.0,16.0,30.0,0.0,268000.0,5.5,117.0
1711,Echt-Susteren,31638.0,14540.0,32.0,62.0,1.0,0.0,20.6,170.0
385,Edam-Volendam,36099.0,15029.0,16.0,36.0,1.0,0.0,21.0,176.0
228,Ede,115710.0,48552.0,66.0,137.0,2.0,203000.0,56.1,508.0
317,Eemnes,9113.0,3910.0,8.0,10.0,0.0,0.0,5.2,44.0
1979,Eemsdelta,46051.0,22912.0,56.0,98.0,1.0,0.0,31.3,218.0
770,Eersel,19110.0,8277.0,16.0,32.0,0.0,0.0,11.9,101.0
1903,Eijsden-Margraten,25658.0,11208.0,32.0,36.0,0.0,0.0,17.2,135.0
772,Eindhoven,231642.0,111295.0,110.0,130.0,4.0,279000.0,115.2,1010.0
230,Elburg,23086.0,9268.0,18.0,26.0,0.0,0.0,12.2,101.0
114,Emmen,107113.0,49187.0,92.0,196.0,2.0,3000.0,66.9,517.0
388,Enkhuizen,18507.0,8754.0,8.0,19.0,0.0,0.0,9.5,82.0
153,Enschede,158986.0,74588.0,66.0,127.0,3.0,442000.0,74.6,721.0
232,Epe,33145.0,14349.0,19.0,41.0,1.0,0.0,21.4,162.0
233,Ermelo,26858.0,11002.0,23.0,36.0,0.0,0.0,14.6,119.0
777,Etten-Leur,43774.0,18967.0,22.0,42.0,1.0,1000.0,21.9,215.0
779,Geertruidenberg,21515.0,9638.0,11.0,24.0,0.0,30000.0,10.4,103.0
1771,Geldrop-Mierlo,39595.0,17640.0,30.0,43.0,1.0,0.0,22.7,193.0
1652,Gemert-Bakel,30447.0,12754.0,25.0,46.0,0.0,0.0,17.5,157.0
907,Gennep,17071.0,7408.0,14.0,31.0,0.0,0.0,10.1,88.0
784,Gilze en Rijen,26431.0,11270.0,18.0,19.0,0.0,0.0,13.6,127.0
1924,Goeree-Overflakkee,49611.0,21597.0,40.0,80.0,1.0,4000.0,25.7,230.0
664,Goes,37653.0,18251.0,37.0,47.0,1.0,7000.0,19.7,169.0
785,Goirle,23793.0,10291.0,15.0,28.0,0.0,7000.0,12.9,123.0
1942,Gooise Meren,57715.0,26508.0,15.0,44.0,1.0,1000.0,38.5,277.0
512,Gorinchem,36682.0,16599.0,11.0,6.0,1.0,2000.0,16.1,154.0
513,Gouda,73181.0,33174.0,25.0,33.0,1.0,4000.0,32.6,285.0
14,Groningen,231299.0,114733.0,113.0,145.0,4.0,101000.0,124.8,913.0
1729,Gulpen-Wittem,14246.0,6821.0,13.0,25.0,0.0,0.0,9.8,74.0
158,Haaksbergen,24277.0,10410.0,16.0,41.0,0.0,0.0,14.3,119.0
392,Haarlem,161265.0,75632.0,37.0,43.0,3.0,22000.0,81.6,631.0
394,Haarlemmermeer,154235.0,63511.0,86.0,132.0,2.0,7000.0,70.6,692.0
1655,Halderberge,30194.0,13310.0,20.0,59.0,0.0,0.0,17.7,150.0
160,Hardenberg,60574.0,24513.0,49.0,98.0,1.0,0.0,32.5,285.0
243,Harderwijk,47581.0,19450.0,23.0,36.0,1.0,4000.0,21.6,190.0
523,Hardinxveld-Giessendam,18051.0,7312.0,11.0,22.0,0.0,0.0,8.1,76.0
72,Harlingen,15758.0,7627.0,19.0,25.0,0.0,0.0,8.9,69.0
244,Hattem,12173.0,5277.0,7.0,17.0,0.0,0.0,7.2,54.0
396,Heemskerk,39164.0,17501.0,23.0,24.0,1.0,0.0,18.7,167.0
397,Heemstede,27286.0,12587.0,8.0,23.0,0.0,2000.0,18.0,130.0
246,Heerde,18546.0,7888.0,12.0,41.0,0.0,0.0,11.4,88.0
74,Heerenveen,50257.0,23532.0,40.0,81.0,1.0,0.0,29.5,226.0
917,Heerlen,86832.0,45834.0,54.0,76.0,1.0,58000.0,50.4,430.0
1658,Heeze-Leende,15964.0,6817.0,14.0,33.0,0.0,0.0,10.5,85.0
399,Heiloo,23464.0,10574.0,18.0,16.0,0.0,3000.0,14.1,110.0
163,Hellendoorn,35808.0,14734.0,26.0,63.0,1.0,0.0,20.4,167.0
530,Hellevoetsluis,40049.0,17907.0,16.0,38.0,1.0,0.0,18.1,190.0
794,Helmond,91524.0,40319.0,44.0,79.0,1.0,249000.0,39.4,428.0
531,Hendrik-Ido-Ambacht,30966.0,12214.0,12.0,19.0,0.0,0.0,12.4,129.0
164,Hengelo,80683.0,38373.0,37.0,76.0,1.0,34000.0,43.9,376.0
1966,Het Hogeland,47888.0,22631.0,56.0,113.0,1.0,0.0,32.6,216.0
252,Heumen,16486.0,7160.0,16.0,20.0,0.0,0.0,9.9,82.0
797,Heusden,44135.0,18759.0,27.0,56.0,1.0,0.0,24.8,222.0
534,Hillegom,21966.0,9766.0,10.0,14.0,0.0,0.0,10.7,99.0
798,Hilvarenbeek,15334.0,6591.0,12.0,3.0,0.0,0.0,9.6,81.0
402,Hilversum,90238.0,42324.0,23.0,47.0,1.0,23000.0,53.3,387.0
1963,Hoeksche Waard,86656.0,37542.0,43.0,123.0,1.0,8000.0,43.5,404.0
1735,Hof van Twente,34940.0,15122.0,29.0,69.0,1.0,0.0,20.9,175.0
1911,Hollands Kroon,47815.0,20786.0,38.0,91.0,1.0,3000.0,27.1,231.0
118,Hoogeveen,55662.0,25147.0,53.0,75.0,1.0,5000.0,31.5,253.0
405,Hoorn,73004.0,32744.0,37.0,60.0,1.0,0.0,34.5,315.0
1507,Horst aan de Maas,42291.0,17672.0,48.0,73.0,1.0,1000.0,25.5,227.0
321,Houten,49911.0,20271.0,30.0,7.0,1.0,118000.0,17.2,221.0
406,Huizen,41273.0,18874.0,25.0,13.0,1.0,0.0,23.1,192.0
677,Hulst,27524.0,13520.0,33.0,62.0,0.0,7000.0,17.1,137.0
353,IJsselstein,34160.0,14377.0,14.0,21.0,1.0,0.0,14.7,151.0
1884,Kaag en Braassem,26866.0,11486.0,22.0,41.0,0.0,0.0,13.9,130.0
166,Kampen,53779.0,22097.0,34.0,52.0,1.0,1000.0,26.2,217.0
678,Kapelle,12785.0,5350.0,14.0,27.0,0.0,0.0,6.3,56.0
537,Katwijk,65302.0,26724.0,21.0,29.0,1.0,4000.0,27.9,267.0
928,Kerkrade,45642.0,23679.0,45.0,45.0,1.0,1000.0,28.7,234.0
1598,Koggenland,22738.0,9395.0,17.0,46.0,0.0,0.0,12.0,108.0
542,Krimpen aan den IJssel,29376.0,12527.0,10.0,20.0,0.0,1000.0,14.1,123.0
1931,Krimpenerwaard,56048.0,23787.0,22.0,75.0,1.0,0.0,29.0,245.0
1659,Laarbeek,22333.0,9446.0,18.0,39.0,0.0,5000.0,13.0,115.0
1982,Land van Cuijk,88976.0,38346.0,74.0,97.0,1.0,7000.0,51.7,452.0
882,Landgraaf,37591.0,18139.0,40.0,45.0,1.0,0.0,22.9,192.0
415,Landsmeer,11488.0,4853.0,9.0,12.0,0.0,0.0,6.4,57.0
1621,Lansingerland,61601.0,23802.0,36.0,54.0,1.0,42000.0,25.4,276.0
417,Laren,11195.0,5280.0,2.0,19.0,0.0,0.0,10.3,66.0
80,Leeuwarden,123107.0,61492.0,86.0,125.0,2.0,74000.0,66.9,512.0
546,Leiden,124899.0,59088.0,27.0,34.0,2.0,416000.0,46.2,480.0
547,Leiderdorp,27109.0,12121.0,11.0,11.0,0.0,31000.0,12.2,120.0
1916,Leidschendam-Voorburg,75425.0,36781.0,19.0,20.0,1.0,1000.0,40.8,321.0
995,Lelystad,77893.0,32893.0,59.0,81.0,1.0,193000.0,30.8,353.0
1640,Leudal,35681.0,15832.0,39.0,75.0,1.0,0.0,23.1,198.0
327,Leusden,30030.0,12905.0,22.0,5.0,0.0,2000.0,15.5,139.0
1705,Lingewaard,46475.0,19783.0,32.0,74.0,1.0,0.0,25.3,221.0
553,Lisse,22800.0,10217.0,12.0,18.0,0.0,0.0,10.9,103.0
262,Lochem,33590.0,14997.0,28.0,54.0,1.0,2000.0,23.3,170.0
809,Loon op Zand,23327.0,10317.0,11.0,37.0,0.0,0.0,13.3,119.0
331,Lopik,14473.0,5660.0,9.0,13.0,0.0,0.0,7.6,68.0
168,Losser,22622.0,9733.0,18.0,33.0,0.0,0.0,14.1,114.0
263,Maasdriel,24693.0,9947.0,22.0,49.0,0.0,0.0,15.0,126.0
1641,Maasgouw,23716.0,10702.0,27.0,45.0,0.0,0.0,16.0,129.0
1991,Maashorst,57311.0,24969.0,51.0,77.0,1.0,0.0,32.4,297.0
556,Maassluis,32768.0,15127.0,8.0,15.0,1.0,3000.0,14.9,137.0
935,Maastricht,121565.0,61884.0,50.0,75.0,2.0,57000.0,67.0,555.0
420,Medemblik,44809.0,18957.0,37.0,72.0,1.0,1000.0,24.4,210.0
938,Meerssen,18923.0,8603.0,19.0,38.0,0.0,1000.0,12.9,102.0
1948,Meierijstad,80815.0,34102.0,68.0,106.0,1.0,1000.0,45.4,412.0
119,Meppel,33564.0,15658.0,25.0,41.0,1.0,7000.0,17.9,149.0
687,Middelburg,48544.0,23532.0,35.0,39.0,1.0,2000.0,24.4,200.0
1842,Midden-Delfland,19391.0,7883.0,14.0,20.0,0.0,9000.0,8.3,85.0
1731,Midden-Drenthe,33178.0,14313.0,42.0,75.0,1.0,0.0,21.4,162.0
1952,Midden-Groningen,60899.0,28074.0,65.0,107.0,1.0,0.0,39.3,287.0
1709,Moerdijk,36961.0,16407.0,23.0,52.0,1.0,0.0,20.3,186.0
1978,Molenlanden,43858.0,17160.0,22.0,60.0,1.0,1000.0,22.2,188.0
1955,Montferland,36026.0,15727.0,38.0,57.0,1.0,1000.0,21.1,184.0
335,Montfoort,13996.0,5733.0,8.0,20.0,0.0,0.0,7.2,65.0
944,Mook en Middelaar,7806.0,3579.0,8.0,15.0,0.0,0.0,5.4,43.0
1740,Neder-Betuwe,24034.0,8748.0,12.0,32.0,0.0,0.0,12.5,103.0
946,Nederweert,17001.0,7385.0,22.0,28.0,0.0,0.0,10.6,98.0
356,Nieuwegein,63036.0,28710.0,22.0,8.0,1.0,585000.0,14.2,285.0
569,Nieuwkoop,28628.0,11361.0,16.0,35.0,0.0,5000.0,14.6,130.0
267,Nijkerk,42943.0,17125.0,32.0,40.0,1.0,1000.0,21.3,192.0
268,Nijmegen,176731.0,80736.0,78.0,93.0,3.0,221000.0,78.7,691.0
1930,Nissewaard,84797.0,39036.0,31.0,27.0,1.0,11000.0,37.5,400.0
1970,Noardeast-Fryslân,45181.0,20395.0,29.0,96.0,1.0,3000.0,28.0,188.0
1695,Noord-Beveland,7308.0,4400.0,9.0,17.0,0.0,0.0,5.0,40.0
1699,Noordenveld,31290.0,14716.0,33.0,58.0,0.0,0.0,21.6,152.0
171,Noordoostpolder,46849.0,20018.0,35.0,60.0,1.0,0.0,24.6,214.0
575,Noordwijk,42859.0,19688.0,18.0,36.0,1.0,0.0,23.2,202.0
820,"Nuenen, Gerwen en Nederwetten",23186.0,10165.0,18.0,30.0,0.0,0.0,14.9,120.0
302,Nunspeet,27481.0,10851.0,15.0,34.0,0.0,1000.0,15.0,120.0
579,Oegstgeest,24426.0,10691.0,11.0,16.0,0.0,44000.0,11.9,112.0
823,Oirschot,18623.0,7861.0,13.0,28.0,0.0,0.0,11.3,102.0
824,Oisterwijk,31947.0,13946.0,19.0,45.0,0.0,0.0,19.5,167.0
1895,Oldambt,38129.0,18462.0,24.0,77.0,1.0,3000.0,27.0,181.0
269,Oldebroek,23598.0,9265.0,19.0,34.0,0.0,0.0,13.0,107.0
173,Oldenzaal,31840.0,14434.0,21.0,38.0,1.0,1000.0,17.3,151.0
1773,Olst-Wijhe,18071.0,7669.0,20.0,34.0,0.0,2000.0,10.4,86.0
175,Ommen,17813.0,7429.0,16.0,32.0,0.0,1000.0,10.8,85.0
1586,Oost Gelre,29704.0,12854.0,28.0,53.0,0.0,0.0,17.2,147.0
826,Oosterhout,55616.0,25115.0,29.0,54.0,1.0,36000.0,27.6,267.0
85,Ooststellingwerf,25497.0,11303.0,29.0,59.0,0.0,0.0,16.6,116.0
431,Oostzaan,9757.0,4099.0,5.0,12.0,0.0,0.0,5.1,46.0
432,Opmeer,11779.0,4783.0,10.0,22.0,0.0,0.0,6.2,52.0
86,Opsterland,29723.0,12987.0,26.0,6.0,0.0,0.0,18.6,136.0
828,Oss,91451.0,39955.0,58.0,112.0,1.0,6000.0,50.7,449.0
1509,Oude IJsselstreek,39473.0,17385.0,40.0,77.0,1.0,3000.0,23.3,198.0
437,Ouder-Amstel,13916.0,6155.0,5.0,14.0,0.0,20000.0,7.3,63.0
589,Oudewater,10201.0,4338.0,6.0,12.0,0.0,0.0,5.6,48.0
1734,Overbetuwe,47543.0,19702.0,32.0,66.0,1.0,0.0,25.6,223.0
590,Papendrecht,32290.0,14383.0,10.0,21.0,1.0,42000.0,13.5,142.0
1894,Peel en Maas,43311.0,18302.0,53.0,86.0,1.0,0.0,26.1,233.0
765,Pekela,12214.0,5767.0,7.0,32.0,0.0,0.0,8.9,59.0
1926,Pijnacker-Nootdorp,54331.0,21134.0,31.0,43.0,1.0,81000.0,19.2,233.0
439,Purmerend,89865.0,40082.0,31.0,56.0,1.0,986000.0,17.2,402.0
273,Putten,24198.0,9670.0,14.0,33.0,0.0,4000.0,13.4,113.0
177,Raalte,37511.0,15759.0,44.0,67.0,1.0,0.0,21.3,177.0
703,Reimerswaal,22678.0,9159.0,18.0,43.0,0.0,0.0,10.7,94.0
274,Renkum,31302.0,14908.0,19.0,58.0,1.0,1000.0,21.4,148.0
339,Renswoude,5259.0,2017.0,2.0,4.0,0.0,0.0,2.7,23.0
1667,Reusel-De Mierden,13060.0,5422.0,11.0,29.0,0.0,0.0,7.8,71.0
275,Rheden,43640.0,21189.0,20.0,50.0,1.0,1000.0,28.3,200.0
340,Rhenen,20004.0,8131.0,10.0,27.0,0.0,0.0,10.7,90.0
597,Ridderkerk,46241.0,21140.0,17.0,27.0,1.0,0.0,20.9,207.0
1742,Rijssen-Holten,38300.0,14740.0,23.0,51.0,1.0,5000.0,20.7,163.0
603,Rijswijk,53467.0,26666.0,21.0,4.0,1.0,5000.0,28.0,230.0
1669,Roerdalen,20615.0,9463.0,24.0,42.0,0.0,0.0,13.9,112.0
957,Roermond,58209.0,27465.0,43.0,11.0,1.0,0.0,32.3,278.0
1674,Roosendaal,77032.0,35188.0,43.0,85.0,1.0,19000.0,41.6,359.0
599,Rotterdam,644618.0,311597.0,74.0,145.0,10.0,1870000.0,235.2,2483.0
277,Rozendaal,1654.0,683.0,1.0,4.0,0.0,0.0,1.4,10.0
840,Rucphen,22572.0,9690.0,12.0,31.0,0.0,0.0,14.7,124.0
441,Schagen,46553.0,20287.0,34.0,72.0,1.0,4000.0,25.4,214.0
279,Scherpenzeel,9873.0,3967.0,4.0,13.0,0.0,0.0,5.2,43.0
606,Schiedam,77999.0,36914.0,12.0,21.0,1.0,2000.0,34.7,312.0
88,Schiermonnikoog,936.0,587.0,1.0,2.0,0.0,0.0,0.8,6.0
1676,Schouwen-Duiveland,33779.0,16746.0,33.0,71.0,1.0,0.0,21.3,171.0
796,'s-Hertogenbosch,154205.0,72003.0,63.0,123.0,2.0,57000.0,76.9,726.0
965,Simpelveld,10516.0,5320.0,11.0,22.0,0.0,0.0,7.3,55.0
845,Sint-Michielsgestel,28991.0,12101.0,25.0,55.0,0.0,0.0,17.8,152.0
1883,Sittard-Geleen,92661.0,46435.0,73.0,115.0,1.0,47000.0,55.3,484.0
610,Sliedrecht,25026.0,11018.0,9.0,20.0,0.0,7000.0,11.3,100.0
1714,Sluis,23386.0,14138.0,22.0,59.0,0.0,0.0,17.2,125.0
90,Smallingerland,55938.0,25675.0,40.0,78.0,1.0,3000.0,32.0,237.0
342,Soest,46194.0,20567.0,25.0,49.0,1.0,2000.0,26.9,223.0
847,Someren,19322.0,8057.0,21.0,24.0,0.0,0.0,11.4,102.0
848,Son en Breugel,16904.0,7112.0,15.0,29.0,0.0,0.0,10.7,88.0
37,Stadskanaal,31789.0,15253.0,25.0,64.0,1.0,8000.0,22.0,156.0
180,Staphorst,17003.0,5914.0,11.0,14.0,0.0,1000.0,9.2,73.0
532,Stede Broec,21706.0,9207.0,16.0,19.0,0.0,0.0,11.0,96.0
851,Steenbergen,25054.0,10335.0,17.0,41.0,0.0,1000.0,13.1,118.0
1708,Steenwijkerland,43940.0,20014.0,31.0,9.0,1.0,1000.0,26.8,204.0
971,Stein,24961.0,11768.0,35.0,48.0,0.0,0.0,15.5,137.0
1904,Stichtse Vecht,64336.0,28206.0,28.0,67.0,1.0,5000.0,34.6,301.0
1900,Súdwest-Fryslân,89710.0,41915.0,67.0,146.0,1.0,2000.0,52.5,391.0
715,Terneuzen,54589.0,26952.0,45.0,92.0,1.0,0.0,31.7,251.0
93,Terschelling,4890.0,2281.0,3.0,9.0,0.0,0.0,3.4,23.0
448,Texel,13547.0,6594.0,10.0,21.0,0.0,0.0,8.7,67.0
1525,Teylingen,37061.0,15588.0,19.0,34.0,1.0,0.0,17.5,165.0
716,Tholen,25780.0,10888.0,22.0,43.0,0.0,1000.0,12.7,114.0
281,Tiel,41978.0,18011.0,18.0,43.0,1.0,10000.0,21.0,184.0
855,Tilburg,218707.0,99581.0,83.0,31.0,3.0,1014000.0,76.9,964.0
183,Tubbergen,21276.0,8525.0,14.0,37.0,0.0,0.0,13.1,111.0
1700,Twenterand,33792.0,13705.0,24.0,60.0,1.0,2000.0,18.3,159.0
1730,Tynaarlo,33698.0,14403.0,38.0,17.0,1.0,0.0,22.8,160.0
737,Tytsjerksteradiel,31780.0,13943.0,29.0,68.0,1.0,3000.0,19.3,138.0
450,Uitgeest,13528.0,5633.0,11.0,14.0,0.0,0.0,6.6,59.0
451,Uithoorn,29424.0,12856.0,13.0,25.0,0.0,33000.0,14.6,129.0
184,Urk,20776.0,6472.0,9.0,20.0,0.0,0.0,8.5,76.0
344,Utrecht,352866.0,153845.0,113.0,105.0,5.0,1587000.0,105.9,1275.0
1581,Utrechtse Heuvelrug,49515.0,21679.0,28.0,12.0,1.0,2000.0,31.8,239.0
981,Vaals,10092.0,5748.0,7.0,12.0,0.0,0.0,7.2,53.0
994,Valkenburg aan de Geul,16470.0,8291.0,15.0,24.0,0.0,0.0,11.7,87.0
858,Valkenswaard,30910.0,14647.0,23.0,35.0,0.0,0.0,18.5,161.0
47,Veendam,27491.0,12816.0,15.0,50.0,0.0,0.0,18.8,123.0
345,Veenendaal,65589.0,27793.0,30.0,38.0,1.0,52000.0,28.3,282.0
717,Veere,21835.0,10964.0,29.0,44.0,0.0,0.0,13.8,110.0
861,Veldhoven,45337.0,19722.0,29.0,46.0,1.0,4000.0,24.7,222.0
453,Velsen,68348.0,30913.0,19.0,48.0,1.0,37000.0,34.2,284.0
983,Venlo,101603.0,47173.0,72.0,95.0,2.0,23000.0,57.4,493.0
984,Venray,43326.0,19004.0,46.0,56.0,1.0,0.0,25.1,225.0
1961,Vijfheerenlanden,55712.0,23418.0,32.0,62.0,1.0,2000.0,27.7,243.0
622,Vlaardingen,72404.0,35159.0,14.0,18.0,1.0,0.0,33.6,301.0
96,Vlieland,1138.0,564.0,1.0,2.0,0.0,2000.0,0.7,6.0
718,Vlissingen,44371.0,22843.0,37.0,26.0,1.0,13000.0,22.3,190.0
986,Voerendaal,12452.0,5777.0,15.0,24.0,0.0,0.0,8.6,66.0
626,Voorschoten,25479.0,11448.0,9.0,17.0,0.0,7000.0,13.2,114.0
285,Voorst,24417.0,10545.0,18.0,40.0,0.0,0.0,15.2,122.0
865,Vught,31205.0,13523.0,15.0,39.0,0.0,0.0,18.6,152.0
1949,Waadhoeke,46039.0,21112.0,31.0,84.0,1.0,0.0,27.9,201.0
866,Waalre,17247.0,7607.0,14.0,30.0,0.0,0.0,11.6,89.0
867,Waalwijk,48240.0,21782.0,21.0,51.0,1.0,0.0,26.1,231.0
627,Waddinxveen,28316.0,11970.0,15.0,21.0,0.0,3000.0,12.5,124.0
289,Wageningen,38774.0,17483.0,23.0,22.0,1.0,28000.0,17.9,154.0
629,Wassenaar,26211.0,12191.0,7.0,27.0,0.0,1000.0,20.9,141.0
852,Waterland,17315.0,7289.0,7.0,24.0,0.0,0.0,9.6,76.0
988,Weert,49842.0,22769.0,45.0,67.0,1.0,2000.0,28.9,248.0
457,Weesp,19334.0,9008.0,8.0,11.0,0.0,0.0,9.3,81.0
1960,West Betuwe,50697.0,20710.0,38.0,77.0,1.0,0.0,28.8,250.0
