,,Metervraag aardgas,Metervraag aardgas,Metervraag aardgas,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag warmtenet,Metervraag warmtenet,Metervraag waterstof,Metervraag waterstof,Metervraag biomassa,Metervraag biomassa,Metervraag olie,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal
,,koken,warm tapwater,ruimteverwarming,koken,warm tapwater,ruimteverwarming,hulpvraag,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,ruimteverwarming,aardgas,elektriciteit,warmtenet,waterstof,biomassa,olie,totaal
geo_id,bag_vbo_id,,,,,,,,,,,,,,,,,,,,,
GM0277,'0277010000000052',5.966167952593979,2.5569291225402773,21.505430405629586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3169325555883056,0.0,0.0,0.0,0.0,81.65407286585487,1.04759228
GM0277,'0277010000000053',5.966167952593979,2.5569291225402773,26.38940235103601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3761914151925703,0.0,0.0,0.0,0.0,98.01619463627956,1.04759943
GM0277,'0277010000000054',5.955669737454547,2.5524298874805207,15.673088188181309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2461668033499332,0.0,0.0,0.0,0.0,62.143980513227234,1.04760599
GM0277,'0277010000000055',5.966167952593979,2.5569291225402773,30.390769457830736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4247413360883462,0.0,0.0,0.0,0.0,111.40263491315773,1.04759943
GM0277,'0277010000000056',5.955669737454547,2.5524298874805207,13.841050867944825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239380838643971,0.0,0.0,0.0,0.0,56.01496072628674,1.04760206
GM0277,'0277010000000057',5.966167952593979,2.5569291225402773,23.59395410233856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342273309775041,0.0,0.0,0.0,0.0,88.6641157018705,1.04759943
GM0277,'0277010000000058',5.955669737454547,2.5524298874805207,13.841050867944825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239380838643971,0.0,0.0,0.0,0.0,56.01496072628674,1.04760206
GM0277,'0277010000000059',5.955669737454547,2.5524298874805207,13.841050867944825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239380838643971,0.0,0.0,0.0,0.0,56.01496072628674,1.04760206
GM0277,'0277010000000060',5.955669737454547,2.5524298874805207,9.678660700340622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1734344164974662,0.0,0.0,0.0,0.0,42.0898231669058,1.04760206
GM0277,'0277010000000061',5.955669737454547,2.5524298874805207,9.504613189899164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1713226400374431,0.0,0.0,0.0,0.0,41.50755302230759,1.04760206
GM0277,'0277010000000062',4.530751323390127,1.9417505671671975,9.427548147832706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1703875841937034,0.0,0.0,0.0,0.0,38.90405439439039,1.04760206
GM0277,'0277010000000063',4.530751323390127,1.9417505671671975,9.427548147832706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1703875841937034,0.0,0.0,0.0,0.0,38.90405439439039,1.04760206
GM0277,'0277010000000064',4.530751323390127,1.9417505671671975,9.543579821460346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1717954351670521,0.0,0.0,0.0,0.0,39.29223449078921,1.04760206
GM0277,'0277010000000065',5.955669737454547,2.5524298874805207,15.673029391995367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2461660899562104,0.0,0.0,0.0,0.0,62.14378381254704,1.04760206
GM0277,'0277010000000066',5.955669737454547,2.5524298874805207,14.2296166495717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2286526820148032,0.0,0.0,0.0,0.0,57.314894596526734,1.04759943
GM0277,'0277010000000067',5.955669737454547,2.5524298874805207,15.672990044929458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246165612545144,0.0,0.0,0.0,0.0,62.1436521782496,1.04759943
GM0277,'0277010000000068',6.013534312678164,2.577228991147785,13.702897713963454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222618255960898,0.0,0.0,0.0,0.0,55.6693071263888,1.04760396
GM0277,'0277010000000069',6.011832299020924,2.576499556723254,14.014229165128878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2260393138702303,0.0,0.0,0.0,0.0,56.70742844196164,1.04760396
GM0277,'0277010000000070',6.011832299020924,2.576499556723254,12.665974602696297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2096804918460483,0.0,0.0,0.0,0.0,52.19688774516218,1.04760396
GM0277,'0277010000000071',6.011832299020924,2.576499556723254,13.641943121415856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2215222432065123,0.0,0.0,0.0,0.0,55.46195789225451,1.04760396
GM0277,'0277010000000072',6.011832299020924,2.576499556723254,12.096659633443217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2027728035524443,0.0,0.0,0.0,0.0,50.29226349269164,1.04760396
GM0277,'0277010000000073',6.011832299020924,2.576499556723254,12.096659633443217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2027728035524443,0.0,0.0,0.0,0.0,50.29226349269164,1.04760396
GM0277,'0277010000000074',6.127991952107534,2.626282265188944,11.798116515639284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1991504803897566,0.0,0.0,0.0,0.0,49.54750841258279,1.04760396
GM0277,'0277010000000075',6.127991952107534,2.626282265188944,12.55027638704954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2082766868295343,0.0,0.0,0.0,0.0,52.06383419039008,1.04760396
GM0277,'0277010000000076',6.127991952107534,2.626282265188944,11.654586312866767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1974089805961167,0.0,0.0,0.0,0.0,49.067332903547424,1.04760206
GM0277,'0277010000000077',6.011832299020924,2.576499556723254,14.022481594891786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2261394433513536,0.0,0.0,0.0,0.0,56.73503667065244,1.04760206
GM0277,'0277010000000078',6.127991952107534,2.626282265188944,11.295856675832884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193056394333439,0.0,0.0,0.0,0.0,47.86721486050514,1.04760599
GM0277,'0277010000000079',6.127991952107534,2.626282265188944,11.980984633966512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2013692802254603,0.0,0.0,0.0,0.0,50.15928760684259,1.04760599
GM0277,'0277010000000080',6.011832299020924,2.576499556723254,13.851594586289435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2240660143136451,0.0,0.0,0.0,0.0,56.1633398796069,1.04760599
GM0277,'0277010000000081',6.013534312678164,2.577228991147785,15.480186165713562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2438262588106578,0.0,0.0,0.0,0.0,61.61516639877039,1.04760599
GM0277,'0277010000000082',6.585111688155771,2.822190723495331,12.957740059245456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2132205793855115,0.0,0.0,0.0,0.0,54.25234082371133,1.04757917
GM0277,'0277010000000083',4.721047570528536,2.0233061016550877,15.365412080736816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2424336665796067,0.0,0.0,0.0,0.0,59.231723730898345,1.04757607
GM0277,'0277010000000084',6.127991952107534,2.626282265188944,15.153988880503508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2398683984167758,0.0,0.0,0.0,0.0,60.91743778037832,1.04757917
GM0277,'0277010000000085',4.721047570528536,2.0233061016550877,15.365412080736816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2424336665796067,0.0,0.0,0.0,0.0,59.231723730898345,1.04757607
GM0277,'0277010000000086',4.766916704366016,2.04296430187115,14.10733628791588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2271690136267126,0.0,0.0,0.0,0.0,55.11874757112619,1.04757917
GM0277,'0277010000000087',4.766916704366016,2.04296430187115,15.967645150920474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2497407611645017,0.0,0.0,0.0,0.0,61.34234886201262,1.04758108
GM0277,'0277010000000088',6.425247927549803,2.753677683235631,15.574568379402914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2449714296700886,0.0,0.0,0.0,0.0,62.7273907226918,1.0475843
GM0277,'0277010000000089',4.765567521520804,2.0423860806517737,13.92748411377702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249868072471611,0.0,0.0,0.0,0.0,54.51423809076278,1.04758108
GM0277,'0277010000000090',4.765567521520804,2.0423860806517737,13.500713213058248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2198086536517733,0.0,0.0,0.0,0.0,53.08649026810482,1.0475843
GM0277,'0277010000000091',6.585111688155771,2.822190723495331,13.406350568368469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2186637202295374,0.0,0.0,0.0,0.0,55.75315232829872,1.04758108
