key,value,comment
input_percentage_of_mt_steam_hot_water_households_final_demand_steam_hot_water,0,All heat to HT
input_households_solar_pv_demand,,
number_of_inhabitants,6963764,"Eurostat table Population on 1 January https://doi.org/10.2908/TPS00001; see etdataset-public/source_analyses/NO_norway/2019/households/Eurostat number of inhabitants.xlsx."
present_number_of_apartments_1945_1964,66362.63436,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_apartments_1965_1984,219549.4755,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_apartments_1985_2004,139146.5028,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_apartments_2005_present,75446.46819,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_apartments_before_1945,92184.13,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_detached_houses_1945_1964,215100.1138,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_detached_houses_1965_1984,624676.4821,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_detached_houses_1985_2004,458909.7437,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_detached_houses_2005_present,276105.9108,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_detached_houses_before_1945,437413.0536,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_semi_detached_houses_1945_1964,0,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_semi_detached_houses_1965_1984,0,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_semi_detached_houses_1985_2004,0,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_semi_detached_houses_2005_present,0,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_semi_detached_houses_before_1945,0,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_terraced_houses_1945_1964,92614.97754,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_terraced_houses_1965_1984,321464.3722,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_terraced_houses_1985_2004,303361.6266,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_terraced_houses_2005_present,222326.1465,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_number_of_terraced_houses_before_1945,159259.1209,"Derived from Hotmaps project housing types per construction period for EU27, scaled with number of households in 2019 from Eurostat https://doi.org/10.2908/LFST_HHNHTYCH"
present_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,0.02,Based on EU dataset
present_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,0.09,Based on EU dataset
present_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,0.06,Based on EU dataset
present_share_of_apartments_2005_present_in_useful_demand_for_space_heating,0.03,Based on EU dataset
present_share_of_apartments_before_1945_in_useful_demand_for_space_heating,0.05,Based on EU dataset
present_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,0.04,Based on EU dataset
present_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,0.15,Based on EU dataset
present_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,0.1,Based on EU dataset
present_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,0.05,Based on EU dataset
present_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,0.09,Based on EU dataset
present_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,0,Based on EU dataset
