PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
Autoproducer electricity plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.98,0,0,0,0,0,0,0,0,0,0,-2174.41,0,0,0,0,2178.02,0,-9.38,-2187.39
Main activity producer CHP plants,x,x,0,0,-71411.27,0,0,0,0,0,0,0,0,0,0,0,0,-15406.21,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2,-920.01,0,0,0,0,0,0,0,0,-4743.02,-3881,-38163.98,-3307.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43722,66675,-27521.68,-46214.99
Autoproducer CHP plants,x,x,0,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,-3337.21,x,0,0,0,0,0,-1485.02,0,-46.01,0,0,0,0,0,-42.58,-639.99,0,0,0,0,0,0,0,0,-14114,-11547.99,-1668.98,-1277.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7315.22,19699.98,-7168.6,-17060
Main activity producer heat plants,x,x,0,0,-88.01,0,0,0,0,0,0,0,0,0,0,0,0,-15499.78,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-638.99,-119.99,0,0,0,0,0,0,0,0,-274.99,-225,-18734,-429.98,0,0,-520.8,0,0,0,0,0,0,-140.01,0,-956.01,0,0,0,0,36644,-983.56,-21055.79
Autoproducer heat plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-188.99,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.98,0,0,0,0,0,0,0,0,-1649.01,-1348.99,-714.98,-104,0,0,-37.22,0,0,0,0,0,0,0,0,0,0,0,0,0,6440.01,2356.83,-2505.21
Heat pumps,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46.81,46.81,0,0
Electric boilers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1072.78,1029.99,-42.79,0
Chemical heat for electricity production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast furnaces,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,686.72,0,0,0,0,-601.18,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.54,0
Coke ovens,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patent fuel plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-315448,0,-76518.42,0,0,15790.52,0,5658,102740.01,0,0,6191.98,0,183179.99,68080.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10325.9,0
Petrochemical plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For blended natural gas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (transformation),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy industry own use,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24082.18,x,0,0,0,0,0,-14256.01,0,0,0,0,0,0,0,0,-600.01,0,0,0,0,0,0,0,0,0,0,0,-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6807.61,-1486.98,-47336.8,-104
Coal mines,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil and gas extraction,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24082.18,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24082.18,0
Blast furnaces,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-104,-104
Gasification plants for biogases,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke ovens,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patent fuel plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,-14256.01,0,0,0,0,0,0,0,0,-600.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1087.19,-577.99,-16521.2,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquefaction (LNG) / regasification plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Own use in electricity, CHP and heat plants",x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3740.4,-909,-4649.4,0
Pumped storage plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear industry,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (energy),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1979.98,0,-1979.98,0
Losses,x,x,0,0,0,0,0,0,0,0,0,0,-27.88,0,0,0,0,-117.9,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6397.18,-25884.01,-32426.98,0
Total final consumption,x,x,0,0,4422.6,0,0,0,498.1,0,0,0,656.99,0,0,0,0,60182.99,x,0,0,0,0,0,0,0,2300.02,56320,44,0,1935.01,0,138237,1919.98,0,348.8,2142.01,7916.99,0,6687.99,0,0,1050.01,859.01,48923.01,1200.98,0,9712.5,0,0,0,0,0,0,0,0,0,581,0,0,0,111168,102958.98,560065.98,61467.5
Industry,x,x,0,0,3705.4,0,0,0,498.1,0,0,0,204.32,0,0,0,0,26682.31,x,0,0,0,0,0,0,0,1011.99,0,0,0,0,0,7029.01,1719.98,0,0,0,0,0,6687.99,0,0,821.99,672.99,5194.02,533.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30142.78,2772,87676.87,6550
Iron and steel,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615.52,x,0,0,0,0,0,0,0,46.01,0,0,0,0,0,42.58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609.2,153.99,3468.3,1
Chemical and petrochemical,x,x,0,0,505.26,0,0,0,0,0,0,0,168.31,0,0,0,0,4423.48,x,0,0,0,0,0,0,0,0,0,0,0,0,0,127.78,119.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4816.79,463.02,10624.63,0
Non-ferrous metals,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-metallic minerals,x,x,0,0,1997.06,0,0,0,380.92,0,0,0,0,0,0,0,0,4133.71,x,0,0,0,0,0,0,0,184.01,0,0,0,0,0,298.18,119.99,0,0,0,0,0,6687.99,0,0,785.99,643.01,64.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2681.98,257.99,18234.85,850
Transport equipment,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.52,x,0,0,0,0,0,0,0,0,0,0,0,0,0,42.58,0,0,0,0,0,0,0,0,0,0,0,54.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.22,31.99,680.31,54.01
Machinery,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2073.6,x,0,0,0,0,0,0,0,322.01,0,0,0,0,0,340.81,80.01,0,0,0,0,0,0,0,0,4.02,4.02,870.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5140.8,494,9330.24,875
Mining and quarrying,x,x,0,0,96.25,0,0,0,0,0,0,0,0,0,0,0,0,647.99,x,0,0,0,0,0,0,0,0,0,0,0,0,0,724.19,80.01,0,0,0,0,0,0,0,0,0,0,1721.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.61,26,3570.04,1721.99
Food and tobacco,x,x,0,0,1106.82,0,0,0,117.19,0,0,0,35.09,0,0,0,0,10879.19,x,0,0,0,0,0,0,0,275.99,0,0,0,0,0,468.59,1279.99,0,0,0,0,0,0,0,0,23.99,19.01,1,530.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8553.59,821.99,24112.45,555
"Paper, pulp and print",x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426.48,x,0,0,0,0,0,0,0,46.01,0,0,0,0,0,85.2,0,0,0,0,0,0,0,0,0,6.99,5.99,309.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267.22,122,3269.89,316.98
Wood and wood products,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.01,x,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2,39.98,0,0,0,0,0,0,0,0,0,0,1650.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759.61,73.02,2688.85,1650.02
Construction,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.19,x,0,0,0,0,0,0,0,91.98,0,0,0,0,0,4728.61,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299.58,0,6545.39,4.02
Textile and leather,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.4,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.99,41.99,705.39,10.01
Non-specified (industry),x,x,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,538.21,x,0,0,0,0,0,0,0,46.01,0,0,0,0,0,85.2,0,0,0,0,0,0,0,0,0,1,1,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2977.19,286,4446.51,512
Transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.61,x,0,0,0,0,0,0,0,0,55396.01,44,0,1935.01,0,101771.39,39.98,0,0,0,0,0,0,0,0,0,0,0,1,0,9712.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1429.21,0,170404.73,9713.5
Domestic aviation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,44,0,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,0
Road,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.61,x,0,0,0,0,0,0,0,0,55396.01,0,0,0,0,92229.01,0,0,0,0,0,0,0,0,0,0,0,0,1,c,9712.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157414.13,9713.5
Rail,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,3365.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429.21,0,4794.6,0
Pipeline transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic navigation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,5580.59,39.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5620.57,0
Non-specified (transport),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,731.02,0,596.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327.42,0
Other,x,x,0,0,717.2,0,0,0,0,0,0,0,452.72,0,0,0,0,33425.11,x,0,0,0,0,0,0,0,1287.99,923.98,0,0,0,0,29436.6,160.02,0,0,0,0,0,0,0,0,228.01,186.02,43728.99,665.99,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,79596.01,100186.98,291576.62,45204
Residential,x,x,0,0,0,0,0,0,0,0,0,0,416.71,0,0,0,0,24425.08,x,0,0,0,0,0,0,0,736,879.98,0,0,0,0,8392.19,0,0,0,0,0,0,0,0,0,0,0,40311.01,256.99,0,0,0,0,0,0,0,0,0,0,0,494,0,0,0,36637.18,67352,179901.14,41062
Commercial and public services,x,x,0,0,0,0,0,0,0,0,0,0,36.01,0,0,0,0,7248.61,x,0,0,0,0,0,0,0,368.02,0,0,0,0,0,2215.19,39.98,0,0,0,0,0,0,0,0,228.01,186.02,1249.01,273.98,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,36536.4,31249.98,79718.22,1838.01
Agriculture/forestry,x,x,0,0,717.2,0,0,0,0,0,0,0,0,0,0,0,0,1476.01,x,0,0,0,0,0,0,0,184.01,44,0,0,0,0,13632.01,119.99,0,0,0,0,0,0,0,0,0,0,2169.01,134.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6422.38,1585,26484.61,2304
Fishing,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,5197.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5197.2,0
Non-specified (other),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.41,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.41,0
Non-energy use,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.8,2142.01,7916.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10407.8,0
Non-energy use industry/transformation/energy,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348.8,420.02,7916.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8685.81,0
   Memo: Non-energy use chemical/petrochemical,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.99,0
Non-energy use in transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,0
