# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T
# 
  260,19970107,   21,  -82
  260,19970107,   22,  -72
  260,19970107,   23,  -74
  260,19970107,   24,  -66
  260,19970108,    1,  -64
  260,19970108,    2,  -69
  260,19970108,    3,  -73
  260,19970108,    4,  -78
  260,19970108,    5,  -81
  260,19970108,    6,  -84
  260,19970108,    7,  -86
  260,19970108,    8,  -89
  260,19970108,    9,  -84
  260,19970108,   10,  -76
  260,19970108,   11,  -72
  260,19970108,   12,  -70
  260,19970108,   13,  -68
  260,19970108,   14,  -66
  260,19970108,   15,  -68
  260,19970108,   16,  -69
  260,19970108,   17,  -74
  260,19970108,   18,  -76
  260,19970108,   19,  -80
  260,19970108,   20,  -83
  260,19970108,   21,  -82
  260,19970108,   22,  -81
  260,19970108,   23,  -78
  260,19970108,   24,  -80
  260,19970109,    1,  -83
  260,19970109,    2,  -84
  260,19970109,    3,  -86
  260,19970109,    4,  -87
  260,19970109,    5,  -88
  260,19970109,    6,  -91
  260,19970109,    7,  -86
  260,19970109,    8,  -87
  260,19970109,    9,  -83
  260,19970109,   10,  -75
  260,19970109,   11,  -69
  260,19970109,   12,  -63
  260,19970109,   13,  -61
  260,19970109,   14,  -60
  260,19970109,   15,  -59
  260,19970109,   16,  -64
  260,19970109,   17,  -70
  260,19970109,   18,  -71
  260,19970109,   19,  -62
  260,19970109,   20,  -56
  260,19970109,   21,  -52
  260,19970109,   22,  -49
  260,19970109,   23,  -45
  260,19970109,   24,  -42
  260,19970110,    1,  -41
  260,19970110,    2,  -38
  260,19970110,    3,  -37
  260,19970110,    4,  -35
  260,19970110,    5,  -35
  260,19970110,    6,  -35
  260,19970110,    7,  -35
  260,19970110,    8,  -36
  260,19970110,    9,  -36
  260,19970110,   10,  -35
  260,19970110,   11,  -35
  260,19970110,   12,  -34
  260,19970110,   13,  -32
  260,19970110,   14,  -32
  260,19970110,   15,  -32
  260,19970110,   16,  -34
  260,19970110,   17,  -34
  260,19970110,   18,  -34
  260,19970110,   19,  -33
  260,19970110,   20,  -33
  260,19970110,   21,  -32
  260,19970110,   22,  -32
  260,19970110,   23,  -31
  260,19970110,   24,  -32
  260,19970111,    1,  -33
  260,19970111,    2,  -33
  260,19970111,    3,  -35
  260,19970111,    4,  -36
  260,19970111,    5,  -35
  260,19970111,    6,  -35
  260,19970111,    7,  -35
  260,19970111,    8,  -33
  260,19970111,    9,  -37
  260,19970111,   10,  -36
  260,19970111,   11,  -41
  260,19970111,   12,  -43
  260,19970111,   13,  -40
  260,19970111,   14,  -34
  260,19970111,   15,  -30
  260,19970111,   16,  -32
  260,19970111,   17,  -34
  260,19970111,   18,  -40
  260,19970111,   19,  -43
  260,19970111,   20,  -41
  260,19970111,   21,  -45
  260,19970111,   22,  -48
  260,19970111,   23,  -50
  260,19970111,   24,  -52
  260,19970112,    1,  -54
  260,19970112,    2,  -53
  260,19970112,    3,  -49
  260,19970112,    4,  -43
  260,19970112,    5,  -39
  260,19970112,    6,  -34
  260,19970112,    7,  -27
  260,19970112,    8,  -23
  260,19970112,    9,  -21
  260,19970112,   10,  -13
  260,19970112,   11,   -1
  260,19970112,   12,    7
  260,19970112,   13,   13
  260,19970112,   14,   16
  260,19970112,   15,   15
  260,19970112,   16,   16
  260,19970112,   17,   17
  260,19970112,   18,   16
  260,19970112,   19,   17
  260,19970112,   20,   17
  260,19970112,   21,   17
  260,19970112,   22,   18
  260,19970112,   23,   18
  260,19970112,   24,   18
  260,19970113,    1,   18
  260,19970113,    2,   20
  260,19970113,    3,   20
  260,19970113,    4,   20
  260,19970113,    5,   18
  260,19970113,    6,   18
  260,19970113,    7,   19
  260,19970113,    8,   18
  260,19970113,    9,   17
  260,19970113,   10,   22
  260,19970113,   11,   43
  260,19970113,   12,   57
  260,19970113,   13,   72
  260,19970113,   14,   73
  260,19970113,   15,   70
  260,19970113,   16,   48
  260,19970113,   17,   37
  260,19970113,   18,   16
  260,19970113,   19,   14
  260,19970113,   20,   10
  260,19970113,   21,    5
  260,19970113,   22,    3
  260,19970113,   23,    7
  260,19970113,   24,    5
  260,19970114,    1,   -2
  260,19970114,    2,   -6
  260,19970114,    3,   -7
  260,19970114,    4,  -13
  260,19970114,    5,  -17
  260,19970114,    6,  -19
  260,19970114,    7,  -11
  260,19970114,    8,  -10
  260,19970114,    9,    5
  260,19970114,   10,   18
  260,19970114,   11,   31
  260,19970114,   12,   40
  260,19970114,   13,   55
  260,19970114,   14,   67
  260,19970114,   15,   62
  260,19970114,   16,   50
  260,19970114,   17,   38
  260,19970114,   18,   32
  260,19970114,   19,   19
  260,19970114,   20,   14
  260,19970114,   21,    7
  260,19970114,   22,   -5
  260,19970114,   23,   -6
  260,19970114,   24,  -14
  260,19970115,    1,  -24
  260,19970115,    2,  -23
  260,19970115,    3,  -25
  260,19970115,    4,  -32
  260,19970115,    5,  -35
  260,19970115,    6,  -37
  260,19970115,    7,  -36
  260,19970115,    8,  -33
  260,19970115,    9,  -28
  260,19970115,   10,   -9
  260,19970115,   11,   13
  260,19970115,   12,   28
  260,19970115,   13,   44
  260,19970115,   14,   49
  260,19970115,   15,   46
  260,19970115,   16,   31
  260,19970115,   17,    7
  260,19970115,   18,  -14
  260,19970115,   19,   -6
  260,19970115,   20,    2
  260,19970115,   21,   -3
  260,19970115,   22,   -8
  260,19970115,   23,  -11
  260,19970115,   24,  -19
  260,19970116,    1,  -21
  260,19970116,    2,  -24
  260,19970116,    3,  -29
  260,19970116,    4,  -27
  260,19970116,    5,  -29
  260,19970116,    6,  -35
  260,19970116,    7,  -33
  260,19970116,    8,  -33
  260,19970116,    9,  -18
  260,19970116,   10,   -2
  260,19970116,   11,   20
  260,19970116,   12,   39
  260,19970116,   13,   55
  260,19970116,   14,   64
  260,19970116,   15,   57
  260,19970116,   16,   40
  260,19970116,   17,   21
  260,19970116,   18,    3
  260,19970116,   19,   10
  260,19970116,   20,    3
  260,19970116,   21,   -4
  260,19970116,   22,   -1
  260,19970116,   23,   -1
  260,19970116,   24,   -4
  260,19970117,    1,   -8
  260,19970117,    2,   -5
  260,19970117,    3,   -8
  260,19970117,    4,  -13
  260,19970117,    5,  -14
  260,19970117,    6,  -14
  260,19970117,    7,  -14
  260,19970117,    8,  -11
  260,19970117,    9,    9
  260,19970117,   10,   20
  260,19970117,   11,   36
  260,19970117,   12,   50
  260,19970117,   13,   64
  260,19970117,   14,   73
  260,19970117,   15,   63
  260,19970117,   16,   53
  260,19970117,   17,   46
  260,19970117,   18,   44
  260,19970117,   19,   41
  260,19970117,   20,   43
  260,19970117,   21,   54
  260,19970117,   22,   61
  260,19970117,   23,   67
  260,19970117,   24,   51
  260,19970118,    1,   55
  260,19970118,    2,   51
  260,19970118,    3,   47
  260,19970118,    4,   49
  260,19970118,    5,   48
  260,19970118,    6,   50
  260,19970118,    7,   52
  260,19970118,    8,   52
  260,19970118,    9,   53
  260,19970118,   10,   54
  260,19970118,   11,   55
  260,19970118,   12,   54
  260,19970118,   13,   53
  260,19970118,   14,   50
  260,19970118,   15,   47
  260,19970118,   16,   44
  260,19970118,   17,   42
  260,19970118,   18,   41
  260,19970118,   19,   40
  260,19970118,   20,   36
  260,19970118,   21,   35
  260,19970118,   22,   34
  260,19970118,   23,   36
  260,19970118,   24,   33
  260,19970119,    1,   22
  260,19970119,    2,   11
  260,19970119,    3,   15
  260,19970119,    4,   19
  260,19970119,    5,   22
  260,19970119,    6,   26
  260,19970119,    7,   29
  260,19970119,    8,   29
  260,19970119,    9,   34
  260,19970119,   10,   38
  260,19970119,   11,   38
  260,19970119,   12,   37
  260,19970119,   13,   37
  260,19970119,   14,   41
  260,19970119,   15,   38
  260,19970119,   16,   38
  260,19970119,   17,   36
  260,19970119,   18,   36
  260,19970119,   19,   37
  260,19970119,   20,   33
  260,19970119,   21,   35
  260,19970119,   22,   38
  260,19970119,   23,   36
  260,19970119,   24,   32
  260,19970120,    1,   25
  260,19970120,    2,   18
  260,19970120,    3,   16
  260,19970120,    4,   14
  260,19970120,    5,   12
  260,19970120,    6,   13
  260,19970120,    7,   16
  260,19970120,    8,   18
  260,19970120,    9,   17
  260,19970120,   10,   22
  260,19970120,   11,   26
  260,19970120,   12,   35
  260,19970120,   13,   42
  260,19970120,   14,   43
  260,19970120,   15,   43
  260,19970120,   16,   40
  260,19970120,   17,   32
  260,19970120,   18,   25
  260,19970120,   19,   22
  260,19970120,   20,   22
  260,19970120,   21,   29
  260,19970120,   22,   23
  260,19970120,   23,    7
  260,19970120,   24,   14
  260,19970121,    1,  -11
  260,19970121,    2,  -17
  260,19970121,    3,  -11
  260,19970121,    4,   -5
  260,19970121,    5,    2
  260,19970121,    6,   10
  260,19970121,    7,   13
  260,19970121,    8,   12
  260,19970121,    9,   14
  260,19970121,   10,   16
  260,19970121,   11,   16
  260,19970121,   12,   22
  260,19970121,   13,   27
  260,19970121,   14,   29
  260,19970121,   15,   24
  260,19970121,   16,   22
  260,19970121,   17,   22
  260,19970121,   18,   15
  260,19970121,   19,    9
  260,19970121,   20,    9
  260,19970121,   21,    9
  260,19970121,   22,    8
  260,19970121,   23,    2
  260,19970121,   24,    3
  260,19970122,    1,    7
  260,19970122,    2,   14
  260,19970122,    3,   16
  260,19970122,    4,   21
  260,19970122,    5,   21
  260,19970122,    6,   27
  260,19970122,    7,   32
  260,19970122,    8,   33
  260,19970122,    9,   39
  260,19970122,   10,   48
  260,19970122,   11,   53
  260,19970122,   12,   62
  260,19970122,   13,   75
  260,19970122,   14,   86
  260,19970122,   15,   95
  260,19970122,   16,   86
  260,19970122,   17,   81
  260,19970122,   18,   85
  260,19970122,   19,   82
  260,19970122,   20,   71
  260,19970122,   21,   63
  260,19970122,   22,   62
  260,19970122,   23,   66
  260,19970122,   24,   57
  260,19970123,    1,   47
  260,19970123,    2,   41
  260,19970123,    3,   37
  260,19970123,    4,   38
  260,19970123,    5,   33
  260,19970123,    6,   48
  260,19970123,    7,   51
  260,19970123,    8,   46
  260,19970123,    9,   54
  260,19970123,   10,   63
  260,19970123,   11,   71
  260,19970123,   12,   74
  260,19970123,   13,   78
  260,19970123,   14,   83
  260,19970123,   15,   79
  260,19970123,   16,   53
  260,19970123,   17,   39
  260,19970123,   18,   29
  260,19970123,   19,   25
  260,19970123,   20,   18
  260,19970123,   21,   16
  260,19970123,   22,   21
  260,19970123,   23,   15
  260,19970123,   24,   23
  260,19970124,    1,   24
  260,19970124,    2,   26
  260,19970124,    3,   25
  260,19970124,    4,   23
  260,19970124,    5,   26
  260,19970124,    6,   23
  260,19970124,    7,   33
  260,19970124,    8,   27
  260,19970124,    9,   20
  260,19970124,   10,   42
  260,19970124,   11,   36
  260,19970124,   12,   36
  260,19970124,   13,   41
  260,19970124,   14,   63
  260,19970124,   15,   70
  260,19970124,   16,   55
  260,19970124,   17,   25
  260,19970124,   18,   10
  260,19970124,   19,    7
  260,19970124,   20,  -10
  260,19970124,   21,   -6
  260,19970124,   22,  -19
  260,19970124,   23,  -14
  260,19970124,   24,  -19
  260,19970125,    1,  -11
  260,19970125,    2,  -15
  260,19970125,    3,   -9
  260,19970125,    4,  -11
  260,19970125,    5,   -6
  260,19970125,    6,   -4
  260,19970125,    7,   -7
  260,19970125,    8,   -4
  260,19970125,    9,    3
  260,19970125,   10,   10
  260,19970125,   11,   26
  260,19970125,   12,   43
  260,19970125,   13,   58
  260,19970125,   14,   76
  260,19970125,   15,   72
  260,19970125,   16,   54
  260,19970125,   17,   37
  260,19970125,   18,   22
  260,19970125,   19,    5
  260,19970125,   20,    5
  260,19970125,   21,   -7
  260,19970125,   22,  -11
  260,19970125,   23,   -7
  260,19970125,   24,   -4
  260,19970126,    1,   -1
  260,19970126,    2,   -2
  260,19970126,    3,    0
  260,19970126,    4,    2
  260,19970126,    5,    5
  260,19970126,    6,    5
  260,19970126,    7,    7
  260,19970126,    8,   10
  260,19970126,    9,   11
  260,19970126,   10,   10
  260,19970126,   11,   10
  260,19970126,   12,   10
  260,19970126,   13,   10
  260,19970126,   14,    7
  260,19970126,   15,    2
  260,19970126,   16,    2
  260,19970126,   17,    1
  260,19970126,   18,    1
  260,19970126,   19,  -11
  260,19970126,   20,  -13
  260,19970126,   21,  -12
  260,19970126,   22,  -21
  260,19970126,   23,  -25
  260,19970126,   24,  -28
  260,19970127,    1,  -30
  260,19970127,    2,  -34
  260,19970127,    3,  -39
  260,19970127,    4,  -42
  260,19970127,    5,  -43
  260,19970127,    6,  -45
  260,19970127,    7,  -47
  260,19970127,    8,  -42
  260,19970127,    9,  -32
  260,19970127,   10,  -25
  260,19970127,   11,  -15
  260,19970127,   12,   -5
  260,19970127,   13,    4
  260,19970127,   14,    7
  260,19970127,   15,    5
  260,19970127,   16,   -2
  260,19970127,   17,  -17
  260,19970127,   18,  -22
  260,19970127,   19,  -30
  260,19970127,   20,  -29
  260,19970127,   21,  -26
  260,19970127,   22,  -15
  260,19970127,   23,   -8
  260,19970127,   24,   -2
  260,19970128,    1,    2
  260,19970128,    2,    5
  260,19970128,    3,    7
  260,19970128,    4,    6
  260,19970128,    5,    7
  260,19970128,    6,    7
  260,19970128,    7,   11
  260,19970128,    8,   13
  260,19970128,    9,   16
  260,19970128,   10,   24
  260,19970128,   11,   27
  260,19970128,   12,   37
  260,19970128,   13,   37
  260,19970128,   14,   36
  260,19970128,   15,   36
  260,19970128,   16,   37
  260,19970128,   17,   28
  260,19970128,   18,   25
  260,19970128,   19,   30
  260,19970128,   20,   33
  260,19970128,   21,   29
  260,19970128,   22,   31
  260,19970128,   23,   31
  260,19970128,   24,   31
  260,19970129,    1,   28
  260,19970129,    2,   27
  260,19970129,    3,   27
  260,19970129,    4,   26
  260,19970129,    5,   27
  260,19970129,    6,   22
  260,19970129,    7,   21
  260,19970129,    8,   23
  260,19970129,    9,   23
  260,19970129,   10,   24
  260,19970129,   11,   28
  260,19970129,   12,   30
  260,19970129,   13,   32
  260,19970129,   14,   34
  260,19970129,   15,   38
  260,19970129,   16,   32
  260,19970129,   17,   27
  260,19970129,   18,   23
  260,19970129,   19,   20
  260,19970129,   20,   20
  260,19970129,   21,   19
  260,19970129,   22,   21
  260,19970129,   23,   20
  260,19970129,   24,   20
  260,19970130,    1,   19
  260,19970130,    2,   18
  260,19970130,    3,   14
  260,19970130,    4,   18
  260,19970130,    5,   17
  260,19970130,    6,   19
  260,19970130,    7,   18
  260,19970130,    8,   19
  260,19970130,    9,   20
  260,19970130,   10,   24
  260,19970130,   11,   31
  260,19970130,   12,   40
  260,19970130,   13,   42
  260,19970130,   14,   42
  260,19970130,   15,   41
  260,19970130,   16,   36
  260,19970130,   17,   32
  260,19970130,   18,   31
  260,19970130,   19,   34
  260,19970130,   20,   34
  260,19970130,   21,   31
  260,19970130,   22,   29
  260,19970130,   23,   28
  260,19970130,   24,   25
  260,19970131,    1,   24
  260,19970131,    2,   24
  260,19970131,    3,   24
  260,19970131,    4,   22
  260,19970131,    5,    7
  260,19970131,    6,   -1
  260,19970131,    7,   -2
  260,19970131,    8,   11
  260,19970131,    9,   23
  260,19970131,   10,   28
  260,19970131,   11,   29
  260,19970131,   12,   36
  260,19970131,   13,   42
  260,19970131,   14,   53
  260,19970131,   15,   58
  260,19970131,   16,   50
  260,19970131,   17,   44
  260,19970131,   18,   33
  260,19970131,   19,   36
  260,19970131,   20,   32
  260,19970131,   21,   33
  260,19970131,   22,   28
  260,19970131,   23,   30
  260,19970131,   24,   22
  260,19970201,    1,   14
  260,19970201,    2,   16
  260,19970201,    3,   11
  260,19970201,    4,   21
  260,19970201,    5,   19
  260,19970201,    6,   16
  260,19970201,    7,   14
  260,19970201,    8,   13
  260,19970201,    9,   19
  260,19970201,   10,   22
  260,19970201,   11,   23
  260,19970201,   12,   24
  260,19970201,   13,   25
  260,19970201,   14,   26
  260,19970201,   15,   24
  260,19970201,   16,   22
  260,19970201,   17,   19
  260,19970201,   18,   17
  260,19970201,   19,   16
  260,19970201,   20,   13
  260,19970201,   21,   -2
  260,19970201,   22,   -5
  260,19970201,   23,  -13
  260,19970201,   24,  -13
  260,19970202,    1,   -9
  260,19970202,    2,  -14
  260,19970202,    3,  -23
  260,19970202,    4,  -21
  260,19970202,    5,  -22
  260,19970202,    6,  -19
  260,19970202,    7,  -20
  260,19970202,    8,  -15
  260,19970202,    9,   -2
  260,19970202,   10,   -2
  260,19970202,   11,   -2
  260,19970202,   12,   -6
  260,19970202,   13,   -1
  260,19970202,   14,    2
  260,19970202,   15,    3
  260,19970202,   16,    2
  260,19970202,   17,    2
  260,19970202,   18,    4
  260,19970202,   19,    6
  260,19970202,   20,    8
  260,19970202,   21,    9
  260,19970202,   22,   11
  260,19970202,   23,   12
  260,19970202,   24,   13
  260,19970203,    1,   14
  260,19970203,    2,   15
  260,19970203,    3,   17
  260,19970203,    4,    7
  260,19970203,    5,    0
  260,19970203,    6,   -5
  260,19970203,    7,   -5
  260,19970203,    8,   -2
  260,19970203,    9,    3
  260,19970203,   10,    6
  260,19970203,   11,    8
  260,19970203,   12,    8
  260,19970203,   13,   14
  260,19970203,   14,   26
  260,19970203,   15,   22
  260,19970203,   16,   17
  260,19970203,   17,   15
  260,19970203,   18,   18
  260,19970203,   19,   16
  260,19970203,   20,   15
  260,19970203,   21,   10
  260,19970203,   22,   15
  260,19970203,   23,   15
  260,19970203,   24,   11
  260,19970204,    1,    8
  260,19970204,    2,    8
  260,19970204,    3,   12
  260,19970204,    4,   18
  260,19970204,    5,   25
  260,19970204,    6,   29
  260,19970204,    7,   32
  260,19970204,    8,   34
  260,19970204,    9,   37
  260,19970204,   10,   46
  260,19970204,   11,   50
  260,19970204,   12,   52
  260,19970204,   13,   57
  260,19970204,   14,   60
  260,19970204,   15,   57
  260,19970204,   16,   62
  260,19970204,   17,   65
  260,19970204,   18,   65
  260,19970204,   19,   66
  260,19970204,   20,   67
  260,19970204,   21,   67
  260,19970204,   22,   65
  260,19970204,   23,   65
  260,19970204,   24,   62
  260,19970205,    1,   52
  260,19970205,    2,   38
  260,19970205,    3,   34
  260,19970205,    4,   34
  260,19970205,    5,   33
  260,19970205,    6,   32
  260,19970205,    7,   29
  260,19970205,    8,   28
  260,19970205,    9,   28
  260,19970205,   10,   45
  260,19970205,   11,   57
  260,19970205,   12,   62
  260,19970205,   13,   66
  260,19970205,   14,   63
  260,19970205,   15,   61
  260,19970205,   16,   53
  260,19970205,   17,   39
  260,19970205,   18,   29
  260,19970205,   19,   37
  260,19970205,   20,   29
  260,19970205,   21,   24
  260,19970205,   22,   16
  260,19970205,   23,   17
  260,19970205,   24,   17
  260,19970206,    1,   18
  260,19970206,    2,   18
  260,19970206,    3,   23
  260,19970206,    4,   24
  260,19970206,    5,   24
  260,19970206,    6,   23
  260,19970206,    7,   21
  260,19970206,    8,   24
  260,19970206,    9,   29
  260,19970206,   10,   37
  260,19970206,   11,   49
  260,19970206,   12,   65
  260,19970206,   13,   84
  260,19970206,   14,   89
  260,19970206,   15,   89
  260,19970206,   16,   86
  260,19970206,   17,   79
  260,19970206,   18,   73
  260,19970206,   19,   64
  260,19970206,   20,   56
  260,19970206,   21,   53
  260,19970206,   22,   54
  260,19970206,   23,   50
  260,19970206,   24,   48
  260,19970207,    1,   48
  260,19970207,    2,   47
  260,19970207,    3,   49
  260,19970207,    4,   52
  260,19970207,    5,   52
  260,19970207,    6,   56
  260,19970207,    7,   55
  260,19970207,    8,   57
  260,19970207,    9,   64
  260,19970207,   10,   77
  260,19970207,   11,   85
  260,19970207,   12,   95
  260,19970207,   13,   98
  260,19970207,   14,   97
  260,19970207,   15,   95
  260,19970207,   16,   94
  260,19970207,   17,   86
  260,19970207,   18,   80
  260,19970207,   19,   65
  260,19970207,   20,   62
  260,19970207,   21,   61
  260,19970207,   22,   56
  260,19970207,   23,   48
  260,19970207,   24,   40
  260,19970208,    1,   27
  260,19970208,    2,   21
  260,19970208,    3,    5
  260,19970208,    4,    2
  260,19970208,    5,   -5
  260,19970208,    6,   -8
  260,19970208,    7,  -11
  260,19970208,    8,  -13
  260,19970208,    9,   -9
  260,19970208,   10,   -1
  260,19970208,   11,   18
  260,19970208,   12,   53
  260,19970208,   13,   72
  260,19970208,   14,   82
  260,19970208,   15,   79
  260,19970208,   16,   61
  260,19970208,   17,   51
  260,19970208,   18,   40
  260,19970208,   19,   35
  260,19970208,   20,   17
  260,19970208,   21,   48
  260,19970208,   22,   59
  260,19970208,   23,   59
  260,19970208,   24,   61
  260,19970209,    1,   66
  260,19970209,    2,   61
  260,19970209,    3,   53
  260,19970209,    4,   56
  260,19970209,    5,   57
  260,19970209,    6,   56
  260,19970209,    7,   48
  260,19970209,    8,   54
  260,19970209,    9,   66
  260,19970209,   10,   79
  260,19970209,   11,   87
  260,19970209,   12,   97
  260,19970209,   13,  103
  260,19970209,   14,   95
  260,19970209,   15,   94
  260,19970209,   16,   93
  260,19970209,   17,   90
  260,19970209,   18,   87
  260,19970209,   19,   83
  260,19970209,   20,   82
  260,19970209,   21,   84
  260,19970209,   22,   82
  260,19970209,   23,   83
  260,19970209,   24,   82
  260,19970210,    1,   82
  260,19970210,    2,   78
  260,19970210,    3,   74
  260,19970210,    4,   69
  260,19970210,    5,   64
  260,19970210,    6,   57
  260,19970210,    7,   61
  260,19970210,    8,   68
  260,19970210,    9,   72
