PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. bio,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. bio,Other Kerosene,Gas/diesel oil excl. bio,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
Main activity producer electricity plants,x,x,0,0,-1295641.22,0,0,0,0,0,0,0,0,0,0,0,0,-558225.96,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-1746.61,-10440,0,0,0,0,0,-3552,0,0,0,0,-57468.94,0,0,0,0,0,0,0,0,-768192.81,-15014.7,0,0,0,0,-60793.34,0,1149312.44,0,-1621763.13,-133276.98
Autoproducer electricity plants,x,x,0,0,-19806.33,0,0,0,0,0,0,0,0,-7215.95,-23841.4,0,0,-16361.85,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-439.99,0,0,0,0,0,0,0,-3637.28,-23189.55,-12386.61,-7913.47,-64609.57,0,0,0,0,0,0,0,0,-4014.72,0,-4277.57,0,-14.4,-9721.75,0,69085.63,0,-128344.8,-113741.04
Main activity producer CHP plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,0,0,0
Autoproducer CHP plants,x,x,0,0,-5920.01,0,0,0,0,0,0,0,0,-563.25,-1006.8,0,0,-119045.92,x,0,0,0,0,0,-11780.99,0,0,0,0,0,0,0,-596.41,-2560.02,0,0,0,0,0,0,0,-9680.13,-5250,-3960.25,0,-7962.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80971.37,0,-87354.86,-13212.45
Main activity producer heat plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoproducer heat plants,x,x,0,0,-14633.08,0,0,0,0,0,0,0,0,-1355.02,-644.89,0,0,-72528.31,x,0,0,0,0,0,0,0,-460,0,0,0,0,0,-212.98,-2119.99,0,0,0,0,0,0,0,0,-1298.75,-746.84,-2214.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58621.73,-37592.69,-3513.31
Heat pumps,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric boilers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical heat for electricity production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast furnaces,x,x,0,-27849.21,0,0,0,0,-77371.23,0,0,0,0,0,42082.91,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63137.53,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke ovens,x,x,0,-150131.66,-3447.12,0,0,0,105964.35,0,5777.87,0,0,26775.47,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15061.09,0
Patent fuel plants,x,x,0,0,-7955.67,0,0,7990.26,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.58,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-2897659.87,-33978.02,-57879.54,0,0,131422.48,0,115552,775587.99,0,0,248325.01,97524.01,1052731.21,286560,41800.01,3139.22,19194.01,47658.01,0,66304.01,50599.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53119.48,0
Petrochemical plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,5991.94,0,0,-4257.01,0,-413.99,0,0,0,0,0,-1405.8,0,0,0,0,0,0,0,-520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-604.87,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For blended natural gas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (transformation),x,x,0,0,0,0,0,0,0,0,0,0,0,193.43,-13.98,0,0,-180.83,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38,0
Energy industry own use,x,x,0,0,-98.81,0,0,0,0,0,0,0,0,-14821.48,-12845.52,0,0,-180446.22,x,0,0,0,0,0,-113899.51,0,0,0,0,0,0,0,-25900.8,-13919.98,0,0,0,0,0,-51392.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96335.34,-7020.64,-516680.3,0
Coal mines,x,x,0,0,-98.81,0,0,0,0,0,0,0,0,0,0,0,0,-412.06,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3247.78,0,-3758.66,0
Oil and gas extraction,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156967.4,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-25900.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2034.37,0,-184902.57,0
Blast furnaces,x,x,0,0,0,0,0,0,0,0,0,0,0,-2437.39,-10427.98,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12865.37,0
Gas works,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5447.95,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1328.64,0,-6776.59,0
Gasification plants for biogases,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke ovens,x,x,0,0,0,0,0,0,0,0,0,0,0,-12384.05,-2417.54,0,0,-860.14,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15661.73,0
Patent fuel plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKB/peat briquette plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil refineries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10616.09,x,0,0,0,0,0,-113899.51,0,0,0,0,0,0,0,0,-13919.98,0,0,0,0,0,-51392.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15565.6,-7020.64,-212413.82,0
Coal liquefaction plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquefaction (LNG) / regasification plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas-to-liquids (GTL) plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Own use in electricity, CHP and heat plants",x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64822.47,0,-64822.47,0
Pumped storage plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3643.86,0,-3643.86,0
Nuclear industry,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-176.43,0,-176.43,0
Charcoal production plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (energy),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6142.54,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5516.19,0,-11658.73,0
Losses,x,x,0,0,0,0,0,0,0,0,0,0,0,-620.82,-2942.44,0,0,-39745.25,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-102924.52,0,-146233.03,0
Total final consumption,x,x,0,2006.4,58490.18,0,0,7835.43,21713.75,0,5777.87,0,0,2707.31,1001.82,0,0,1792460.56,x,0,0,0,0,0,1485.02,38758.51,109111.99,582163.99,748.01,0,28938.99,143103.99,1082125.18,13880,46683.99,9504.79,17304,52844.99,1279.99,17439.99,19880.01,0,2685.5,1543.72,35918.1,3244.39,18190.47,20752.59,0,0,0,0,0,0,0,32.99,0,6410.79,0,0,0,1143468.59,51599.09,5341092.97,87234.83
Industry,x,x,0,2006.4,40849.39,0,0,0,21515.59,0,5777.87,0,0,2707.31,1001.82,0,0,358640.37,x,0,0,0,0,0,0,0,27047.98,0,0,0,0,57276.01,80088,3799.98,0,0,0,0,0,0,0,0,1294.77,743.87,14830.15,527.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352211.79,33277.61,1003596.81,16652.83
Iron and steel,x,x,0,2006.4,1300.46,0,0,0,20241.67,0,0,0,0,2066.73,1001.82,0,0,15721.22,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12119.78,0,54538.09,0
Chemical and petrochemical,x,x,0,0,1937.94,0,0,0,0,0,0,0,0,0,0,0,0,71867.89,x,0,0,0,0,0,0,0,0,0,0,0,0,0,4089.58,559.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62082.37,14670.17,155207.94,0
Non-ferrous metals,x,x,0,0,535.49,0,0,0,0,0,0,0,0,0,0,0,0,9086.53,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18125.66,0,27747.68,0
Non-metallic minerals,x,x,0,0,26340.46,0,0,0,0,0,0,0,0,0,0,0,0,48949.64,x,0,0,0,0,0,0,0,0,0,0,0,0,0,11203.79,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24300.77,0,111834.66,0
Transport equipment,x,x,0,0,1274.96,0,0,0,0,0,0,0,0,0,0,0,0,30429.33,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18269.69,0,49973.98,0
Machinery,x,x,0,0,382.46,0,0,0,0,0,0,0,0,0,0,0,0,30805.43,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47737.39,0,78925.28,0
Mining and quarrying,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food and tobacco,x,x,0,0,1121.94,0,0,0,0,0,0,0,0,0,0,0,0,69423.3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,16400.99,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39981.6,112,128719.82,0
"Paper, pulp and print",x,x,0,0,3034.38,0,0,0,0,0,0,0,0,0,0,0,0,40071.86,x,0,0,0,0,0,0,0,0,0,0,0,0,0,2428.22,80.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38753.77,163.96,84532.2,0
Wood and wood products,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Construction,x,x,0,0,152.99,0,0,0,0,0,0,0,0,0,0,0,0,5299.48,x,0,0,0,0,0,0,0,0,0,0,0,0,0,1448.38,39.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5379.37,0,12320.2,0
Textile and leather,x,x,0,0,1580.94,0,0,0,0,0,0,0,0,0,0,0,0,16045.12,x,0,0,0,0,0,0,0,0,0,0,0,0,0,4004.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10477.89,0,32108.32,0
Non-specified (industry),x,x,0,0,3187.37,0,0,0,1273.96,0,5777.87,0,0,640.62,0,0,0,20940.62,x,0,0,0,0,0,0,0,27047.98,0,0,0,0,57276.01,40512.61,320,0,0,0,0,0,0,0,0,1294.77,743.87,14830.15,527.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74983.49,18331.49,267688.71,16652.83
Transport,x,x,0,0,395.32,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,4277.99,582163.99,748.01,0,28938.99,0,951343.2,5879.98,0,0,0,0,0,0,0,0,0,0,0,0,18190.47,20752.59,0,0,0,0,0,0,0,0,0,0,0,0,0,14719.45,0,1627410,38943.06
Domestic aviation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,748.01,0,28938.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29687.01,0
Road,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,4277.99,582163.99,0,0,0,0,917518.8,0,0,0,0,0,0,0,0,0,0,0,0,0,18190.47,20752.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542903.84,38943.06
Rail,x,x,0,0,395.32,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,26880.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14625.83,0,41901.75,0
Pipeline transport,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic navigation,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,6943.81,5879.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12823.79,0
Non-specified (transport),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.62,0,93.62,0
Other,x,x,0,0,17245.47,0,0,7835.43,198.16,0,0,0,0,0,0,0,0,1414549.44,x,0,0,0,0,0,0,0,18630,0,0,0,0,85828.02,46561.78,4199.99,0,0,0,0,0,0,0,0,1390.73,799.85,21087.95,2716.48,0,0,0,0,0,0,0,0,0,32.99,0,6410.79,0,0,0,776537.35,18321.48,2422345.91,31638.94
Residential,x,x,0,0,16652.54,0,0,7835.43,198.16,0,0,0,0,0,0,0,0,1098305.87,x,0,0,0,0,0,0,0,13661.99,0,0,0,0,85828.02,5964.01,0,0,0,0,0,0,0,0,0,286.96,164.96,16042.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412987.12,2173.58,1660101.54,16329.86
Commercial and public services,x,x,0,0,420.02,0,0,0,0,0,0,0,0,0,0,0,0,275483.4,x,0,0,0,0,0,0,0,0,0,0,0,0,0,24665.4,3159.99,0,0,0,0,0,0,0,0,1103.81,634.89,0,2716.48,0,0,0,0,0,0,0,0,0,32.99,0,0,0,0,0,349612.12,16147.9,673977,3853.28
Agriculture/forestry,x,x,0,0,24.7,0,0,0,0,0,0,0,0,0,0,0,0,4974.67,x,0,0,0,0,0,0,0,4968.02,0,0,0,0,0,6432.6,559.98,0,0,0,0,0,0,0,0,0,0,5045.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13938.11,0,35943.09,5045.01
Fishing,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-specified (other),x,x,0,0,148.25,0,0,0,0,0,0,0,0,0,0,0,0,35785.5,x,0,0,0,0,0,0,0,0,0,0,0,0,0,9499.81,480.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6410.79,0,0,0,0,0,52324.37,6410.79
